Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1991-11-13,0.1445309966802597,0.1445309966802597,0.1445309966802597,0.1445309966802597,264089600,False,1991-11-13,
1991-11-15,0.1308590024709701,0.1367190033197403,0.1289059966802597,0.1289059966802597,85164800,False,1991-11-15,
1991-11-18,0.1269530057907104,0.1289059966802597,0.1191409975290298,0.1210940033197403,17747200,False,1991-11-18,APH
1991-11-21,0.1210940033197403,0.1210940033197403,0.1171879991889,0.1171879991889,25228800,False,1991-11-21,
1991-11-25,0.1171879991889,0.1171879991889,0.109375,0.1152340024709701,16537600,False,1991-11-25,
1991-11-29,0.1171879991889,0.1210940033197403,0.1171879991889,0.1210940033197403,15315200,False,1991-11-29,
1991-12-03,0.1230470016598701,0.1289059966802597,0.1230470016598701,0.1269530057907104,8524800,False,1991-12-03,
1991-12-04,0.1289059966802597,0.140625,0.1289059966802597,0.1308590024709701,19648000,False,1991-12-04,APH
1991-12-10,0.1289059966802597,0.1308590024709701,0.1269530057907104,0.1269530057907104,22464000,False,1991-12-10,
1991-12-12,0.1269530057907104,0.1289059966802597,0.1210940033197403,0.1269530057907104,7916800,False,1991-12-12,
1991-12-16,0.1289059966802597,0.1328130066394806,0.1289059966802597,0.1308590024709701,8524800,False,1991-12-16,
1991-12-17,0.1289059966802597,0.1289059966802597,0.1269530057907104,0.1269530057907104,2195200,False,1991-12-17,APH
1991-12-18,0.1269530057907104,0.1269530057907104,0.1210940033197403,0.1230470016598701,3974400,False,1991-12-18,APH
1991-12-20,0.1210940033197403,0.1210940033197403,0.1132809966802597,0.1210940033197403,7276800,False,1991-12-20,
1991-12-23,0.1191409975290298,0.1269530057907104,0.1171879991889,0.1269530057907104,3833600,False,1991-12-23,APH
1991-12-24,0.125,0.1347659975290298,0.125,0.1347659975290298,4857600,False,1991-12-24,APH
1991-12-31,0.1367190033197403,0.140625,0.1367190033197403,0.140625,28864000,False,1991-12-31,
1992-01-02,0.1386719942092895,0.1386719942092895,0.1347659975290298,0.1386719942092895,2912000,False,1992-01-02,APH
1992-01-03,0.1386719942092895,0.1425780057907104,0.1386719942092895,0.140625,12038400,False,1992-01-03,APH
1992-01-07,0.1425780057907104,0.1542969942092895,0.1425780057907104,0.1484380066394806,63180800,False,1992-01-07,
1992-01-16,0.1503909975290298,0.1582030057907104,0.1503909975290298,0.1582030057907104,184345600,False,1992-01-16,
1992-01-17,0.1582030057907104,0.1660159975290298,0.15625,0.1582030057907104,18380800,False,1992-01-17,APH
1992-01-20,0.1582030057907104,0.1582030057907104,0.1523440033197403,0.1523440033197403,8256000,False,1992-01-20,APH
1992-01-21,0.1523440033197403,0.1542969942092895,0.1484380066394806,0.1503909975290298,8211200,False,1992-01-21,APH
1992-01-22,0.1503909975290298,0.1503909975290298,0.1464840024709701,0.1464840024709701,4595200,False,1992-01-22,APH
1992-01-31,0.1445309966802597,0.1445309966802597,0.1328130066394806,0.1425780057907104,46630400,False,1992-01-31,
1992-02-03,0.140625,0.1464840024709701,0.140625,0.1464840024709701,1139200,False,1992-02-03,APH
1992-02-04,0.1347659975290298,0.1367190033197403,0.125,0.1347659975290298,37568000,False,1992-02-04,APH
1992-02-10,0.1347659975290298,0.1386719942092895,0.1328130066394806,0.1328130066394806,25491200,False,1992-02-10,
1992-02-12,0.1328130066394806,0.1328130066394806,0.1308590024709701,0.1328130066394806,14675200,False,1992-02-12,
1992-02-13,0.1367190033197403,0.1367190033197403,0.1328130066394806,0.1328130066394806,2137600,False,1992-02-13,APH
1992-02-18,0.1308590024709701,0.1308590024709701,0.1289059966802597,0.1289059966802597,5273600,False,1992-02-18,
1992-02-19,0.1289059966802597,0.1289059966802597,0.125,0.125,4729600,False,1992-02-19,APH
1992-02-20,0.125,0.1269530057907104,0.1210940033197403,0.125,2323200,False,1992-02-20,APH
1992-02-21,0.1269530057907104,0.1289059966802597,0.125,0.1269530057907104,7046400,False,1992-02-21,APH
1992-02-26,0.125,0.125,0.1230470016598701,0.125,10950400,False,1992-02-26,
1992-02-27,0.1308590024709701,0.1308590024709701,0.1269530057907104,0.1269530057907104,2048000,False,1992-02-27,APH
1992-03-03,0.1269530057907104,0.1269530057907104,0.1230470016598701,0.1269530057907104,12729600,False,1992-03-03,
1992-03-04,0.1289059966802597,0.1347659975290298,0.1289059966802597,0.1328130066394806,6470400,False,1992-03-04,APH
1992-03-05,0.1367190033197403,0.1367190033197403,0.1308590024709701,0.1308590024709701,3564800,False,1992-03-05,APH
1992-03-10,0.1289059966802597,0.1289059966802597,0.1269530057907104,0.1269530057907104,9862400,False,1992-03-10,
1992-03-19,0.1230470016598701,0.1230470016598701,0.1191409975290298,0.1191409975290298,15417600,False,1992-03-19,
1992-03-23,0.1210940033197403,0.125,0.1210940033197403,0.125,3603200,False,1992-03-23,
1992-03-25,0.1289059966802597,0.1367190033197403,0.1289059966802597,0.1289059966802597,16787200,False,1992-03-25,
1992-03-31,0.1269530057907104,0.1269530057907104,0.1230470016598701,0.1269530057907104,18387200,False,1992-03-31,
1992-04-03,0.1269530057907104,0.1289059966802597,0.1269530057907104,0.1269530057907104,2592000,False,1992-04-03,
1992-04-07,0.1269530057907104,0.1269530057907104,0.1230470016598701,0.1230470016598701,3110400,False,1992-04-07,
1992-04-08,0.1230470016598701,0.1230470016598701,0.1191409975290298,0.1230470016598701,2438400,False,1992-04-08,APH
1992-04-09,0.1230470016598701,0.1269530057907104,0.1230470016598701,0.1269530057907104,1324800,False,1992-04-09,APH
1992-04-10,0.1289059966802597,0.1289059966802597,0.125,0.1269530057907104,8870400,False,1992-04-10,APH
1992-04-14,0.1269530057907104,0.1308590024709701,0.1269530057907104,0.1269530057907104,1683200,False,1992-04-14,
1992-04-24,0.1152340024709701,0.1152340024709701,0.109375,0.1152340024709701,17088000,False,1992-04-24,
1992-05-01,0.1210940033197403,0.1230470016598701,0.1210940033197403,0.1210940033197403,4985600,False,1992-05-01,
1992-05-04,0.1230470016598701,0.125,0.1230470016598701,0.125,512000,False,1992-05-04,APH
1992-05-06,0.1210940033197403,0.1210940033197403,0.1171879991889,0.1191409975290298,5651200,False,1992-05-06,
1992-05-12,0.1210940033197403,0.1230470016598701,0.1210940033197403,0.1210940033197403,5427200,False,1992-05-12,
1992-05-13,0.1191409975290298,0.1191409975290298,0.1171879991889,0.1171879991889,1555200,False,1992-05-13,APH
1992-05-14,0.1171879991889,0.1171879991889,0.1152340024709701,0.1171879991889,1228800,False,1992-05-14,APH
1992-05-15,0.1152340024709701,0.1152340024709701,0.1113279983401298,0.1132809966802597,2182400,False,1992-05-15,APH
1992-05-18,0.1171879991889,0.1191409975290298,0.1171879991889,0.1171879991889,691200,False,1992-05-18,APH
1992-05-26,0.1171879991889,0.1171879991889,0.1152340024709701,0.1171879991889,4582400,False,1992-05-26,
1992-05-27,0.1191409975290298,0.1230470016598701,0.1191409975290298,0.1191409975290298,1056000,False,1992-05-27,APH
1992-05-29,0.1191409975290298,0.1191409975290298,0.1171879991889,0.1191409975290298,2016000,False,1992-05-29,
1992-06-01,0.1191409975290298,0.1230470016598701,0.1191409975290298,0.1230470016598701,876800,False,1992-06-01,APH
1992-06-04,0.1230470016598701,0.1289059966802597,0.1230470016598701,0.125,9145600,False,1992-06-04,
