Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1987-06-10,1.944443941116333,2.1111109256744385,1.944443941116333,2.0,10395450,CDNS,False,1987-06-10
1987-06-15,1.944443941116333,1.944443941116333,1.888888955116272,1.888888955116272,5169600,,False,1987-06-15
1987-06-16,1.888888955116272,1.9166669845581048,1.8333330154418943,1.8333330154418943,686700,CDNS,False,1987-06-16
1987-06-29,1.7777780294418335,1.7777780294418335,1.611111044883728,1.611111044883728,3444750,,False,1987-06-29
1987-07-01,1.611111044883728,1.6666669845581057,1.4722219705581665,1.6666669845581057,371250,,False,1987-07-01
1987-07-02,1.6666669845581057,1.7222219705581665,1.5833330154418943,1.7222219705581665,252450,CDNS,False,1987-07-02
1987-07-08,1.7777780294418335,1.888888955116272,1.7777780294418335,1.7777780294418335,840600,,False,1987-07-08
1987-07-10,1.7777780294418335,1.8333330154418943,1.7222219705581665,1.7222219705581665,136800,,False,1987-07-10
1987-07-15,1.694443941116333,1.694443941116333,1.611111044883728,1.611111044883728,301050,,False,1987-07-15
1987-07-22,1.7222219705581665,1.7222219705581665,1.7222219705581665,1.7222219705581665,250200,,False,1987-07-22
1987-07-31,1.638888955116272,1.638888955116272,1.638888955116272,1.638888955116272,532800,,False,1987-07-31
1987-08-03,1.694443941116333,1.7222219705581665,1.694443941116333,1.7222219705581665,153900,CDNS,False,1987-08-03
1987-08-07,1.7777780294418335,1.861111044883728,1.7777780294418335,1.7777780294418335,80550,,False,1987-08-07
1987-08-17,1.75,1.75,1.7222219705581665,1.75,141300,,False,1987-08-17
1987-08-19,1.75,1.805556058883667,1.75,1.75,20700,,False,1987-08-19
1987-08-26,1.75,1.75,1.7222219705581665,1.75,720450,,False,1987-08-26
1987-08-27,1.8333330154418943,1.8333330154418943,1.75,1.8333330154418943,81450,CDNS,False,1987-08-27
1987-08-31,1.8333330154418943,1.9166669845581048,1.805556058883667,1.9166669845581048,177300,,False,1987-08-31
1987-09-11,1.9722219705581665,2.027777910232544,1.9722219705581665,2.027777910232544,810000,,False,1987-09-11
1987-09-18,2.055556058883667,2.166666984558105,2.055556058883667,2.055556058883667,777600,,False,1987-09-18
1987-09-21,2.055556058883667,2.1111109256744385,1.9722219705581665,1.9722219705581665,54900,CDNS,False,1987-09-21
1987-09-22,1.9722219705581665,2.0,1.888888955116272,2.0,116550,CDNS,False,1987-09-22
1987-09-30,2.027777910232544,2.055556058883667,2.027777910232544,2.055556058883667,576450,,False,1987-09-30
1987-10-01,2.055556058883667,2.388889074325561,2.055556058883667,2.388889074325561,555750,CDNS,False,1987-10-01
1987-10-02,2.388889074325561,2.444443941116333,2.277777910232544,2.277777910232544,328050,CDNS,False,1987-10-02
1987-10-05,2.277777910232544,2.388889074325561,2.25,2.388889074325561,241650,CDNS,False,1987-10-05
1987-10-06,2.388889074325561,2.5,2.3333330154418945,2.5,335250,CDNS,False,1987-10-06
1987-10-08,2.5,2.555556058883667,2.444443941116333,2.444443941116333,421200,,False,1987-10-08
1987-10-09,2.416666984558105,2.5,2.416666984558105,2.5,89100,CDNS,False,1987-10-09
1987-10-13,2.3611109256744385,2.3611109256744385,2.277777910232544,2.3611109256744385,98100,,False,1987-10-13
1987-10-14,2.3333330154418945,2.3333330154418945,2.222222089767456,2.222222089767456,33750,CDNS,False,1987-10-14
1987-10-15,2.222222089767456,2.222222089767456,2.166666984558105,2.222222089767456,29250,CDNS,False,1987-10-15
1987-10-16,2.138889074325561,2.138889074325561,2.055556058883667,2.055556058883667,44100,CDNS,False,1987-10-16
1987-10-19,1.888888955116272,1.888888955116272,1.7222219705581665,1.75,489600,CDNS,False,1987-10-19
1987-10-22,1.6666669845581057,1.6666669845581057,1.555556058883667,1.638888955116272,217350,,False,1987-10-22
1987-10-23,1.5833330154418943,1.5833330154418943,1.5,1.5277780294418335,73800,CDNS,False,1987-10-23
1987-10-27,1.388888955116272,1.388888955116272,1.2222219705581665,1.3333330154418943,172350,,False,1987-10-27
1987-10-29,1.2777780294418335,1.2777780294418335,1.1666669845581057,1.2777780294418335,256050,,False,1987-10-29
1987-11-03,1.388888955116272,1.444443941116333,1.361111044883728,1.4166669845581057,945900,,False,1987-11-03
1987-11-04,1.388888955116272,1.388888955116272,1.3333330154418943,1.388888955116272,326700,CDNS,False,1987-11-04
1987-11-05,1.388888955116272,1.4166669845581057,1.361111044883728,1.4166669845581057,45900,CDNS,False,1987-11-05
1987-11-06,1.4166669845581057,1.444443941116333,1.388888955116272,1.388888955116272,6300,CDNS,False,1987-11-06
