Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1986-07-09,10.6875,11.0625,10.5625,11.0,1116800,COST,False,1986-07-09
1986-07-10,11.0625,11.125,10.6875,10.9375,595600,COST,False,1986-07-10
1986-07-11,10.875,10.9375,10.5625,10.5625,800400,COST,False,1986-07-11
1986-07-14,10.625,10.625,10.125,10.25,738000,COST,False,1986-07-14
1986-07-15,10.1875,10.1875,9.3125,9.9375,2059200,COST,False,1986-07-15
1986-07-22,10.1875,10.5,10.1875,10.1875,4340000,,False,1986-07-22
1986-07-23,10.25,10.25,10.0,10.0625,1004000,COST,False,1986-07-23
1986-07-25,10.0625,10.125,9.8125,10.0625,1760000,,False,1986-07-25
1986-07-29,10.0625,10.25,10.0,10.1875,693200,,False,1986-07-29
1986-07-30,10.0625,10.125,9.875,10.125,459200,COST,False,1986-07-30
1986-07-31,10.125,10.25,10.0,10.0625,1213600,COST,False,1986-07-31
1986-08-01,10.0,10.125,9.75,9.75,1118000,COST,False,1986-08-01
1986-08-04,9.8125,9.8125,9.53125,9.75,892400,COST,False,1986-08-04
1986-08-05,9.75,9.75,9.5,9.5625,868800,COST,False,1986-08-05
1986-08-06,9.5625,9.625,9.125,9.125,550400,COST,False,1986-08-06
1986-08-08,8.9375,8.9375,8.125,8.875,10362000,,False,1986-08-08
1986-08-11,9.0,9.125,8.875,9.125,1428000,COST,False,1986-08-11
1986-08-12,9.125,9.4375,9.125,9.375,1155200,COST,False,1986-08-12
1986-08-14,9.4375,10.09375,9.375,9.5,1627600,,False,1986-08-14
1986-08-15,9.5,9.5,9.1875,9.375,654400,COST,False,1986-08-15
1986-08-19,9.5,9.875,9.5,9.5625,3350800,,False,1986-08-19
1986-08-22,9.5625,9.5625,9.375,9.375,1139200,,False,1986-08-22
1986-08-28,9.3125,9.3125,9.125,9.1875,2147600,,False,1986-08-28
1986-08-29,9.125,9.25,9.0625,9.125,1128800,COST,False,1986-08-29
1986-09-03,8.9375,8.9375,8.6875,8.9375,1601200,,False,1986-09-03
1986-09-04,9.0,9.3125,8.875,9.3125,576800,COST,False,1986-09-04
1986-09-05,9.3125,9.4375,9.0,9.0,961600,COST,False,1986-09-05
1986-09-08,9.125,9.125,8.625,8.75,1793200,COST,False,1986-09-08
1986-09-10,8.625,8.625,8.5,8.5,1190400,,False,1986-09-10
1986-09-11,8.5625,8.5625,7.75,7.9375,6240000,COST,False,1986-09-11
1986-09-12,7.875,7.9375,7.5625,7.625,2066800,COST,False,1986-09-12
1986-09-15,7.625,7.75,7.4375,7.625,1746800,COST,False,1986-09-15
1986-09-16,7.5625,7.625,7.3125,7.4375,1547200,COST,False,1986-09-16
1986-09-17,7.5,7.5,7.0625,7.375,997600,COST,False,1986-09-17
1986-09-22,8.375,8.75,8.375,8.5,2225200,,False,1986-09-22
1986-09-29,8.375,8.375,8.0625,8.25,2394800,,False,1986-09-29
1986-10-02,8.5625,8.75,8.5625,8.5625,2033600,,False,1986-10-02
1986-10-07,8.5,8.5,8.25,8.4375,871600,,False,1986-10-07
1986-10-09,8.5,8.625,8.4375,8.4375,802000,,False,1986-10-09
1986-10-10,8.4375,8.4375,8.25,8.3125,238400,COST,False,1986-10-10
1986-10-14,8.375,8.375,8.0625,8.375,974800,,False,1986-10-14
1986-10-16,8.6875,8.8125,8.6875,8.6875,876000,,False,1986-10-16
1986-10-17,8.75,8.75,8.4375,8.5,216000,COST,False,1986-10-17
1986-10-23,8.3125,8.3125,8.0625,8.28125,2676800,,False,1986-10-23
1986-10-28,8.3125,8.5,8.25,8.5,1444000,,False,1986-10-28
1986-10-29,8.5,9.0,8.5,8.875,835600,COST,False,1986-10-29
1986-11-04,8.9375,9.1875,8.9375,8.9375,2297600,,False,1986-11-04
1986-11-05,9.0,9.0,8.875,8.875,231200,COST,False,1986-11-05
1986-11-10,8.8125,8.8125,8.5625,8.75,1454400,,False,1986-11-10
1986-11-11,8.8125,8.9375,8.6875,8.9375,142000,COST,False,1986-11-11
1986-11-12,8.9375,9.03125,8.875,8.96875,669600,COST,False,1986-11-12
1986-11-13,8.9375,9.0,8.375,8.375,578800,COST,False,1986-11-13
1986-11-19,8.3125,8.375,8.1875,8.3125,2641600,,False,1986-11-19
1986-11-20,8.3125,8.5,8.3125,8.5,828400,COST,False,1986-11-20
1986-11-21,8.5625,9.0,8.5,8.9375,666800,COST,False,1986-11-21
1986-11-26,8.9375,9.25,8.9375,9.0625,1311200,,False,1986-11-26
1986-12-02,8.96875,8.96875,8.8125,8.9375,1677600,,False,1986-12-02
1986-12-04,8.875,9.1875,8.875,8.9375,1660000,,False,1986-12-04
1986-12-05,8.875,8.9375,8.5,8.5625,636400,COST,False,1986-12-05
1986-12-10,8.5,8.5,8.3125,8.375,1355600,,False,1986-12-10
1986-12-12,8.1875,8.1875,7.9375,8.0625,1504000,,False,1986-12-12
1986-12-15,8.0625,8.625,8.0,8.625,768400,COST,False,1986-12-15
1986-12-17,8.5625,8.75,8.5625,8.5625,1115200,,False,1986-12-17
1986-12-19,8.5,8.5,8.3125,8.375,1232800,,False,1986-12-19
1986-12-23,8.4375,8.625,8.375,8.375,654400,,False,1986-12-23
1987-01-02,8.375,8.375,8.125,8.34375,2058400,,False,1987-01-02
1987-01-06,8.8125,9.1875,8.8125,8.875,2342000,,False,1987-01-06
1987-01-07,9.0,9.375,9.0,9.375,976800,COST,False,1987-01-07
1987-01-08,9.375,9.75,9.3125,9.6875,1178800,COST,False,1987-01-08
1987-01-09,9.6875,9.875,9.625,9.75,659600,COST,False,1987-01-09
1987-01-12,9.6875,9.75,9.4375,9.4375,1713600,COST,False,1987-01-12
