Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1979-01-02,0.0761379972100257,0.0761379972100257,0.0761379972100257,0.0761379972100257,737965,False,1979-01-02,
1979-01-04,0.0787639990448951,0.0813890025019645,0.0787639990448951,0.0813890025019645,390407,False,1979-01-04,
1979-01-10,0.0840149968862533,0.0866400003433227,0.0840149968862533,0.0840149968862533,2204371,False,1979-01-10,
1979-01-19,0.0813890025019645,0.0813890025019645,0.0813890025019645,0.0813890025019645,2547169,False,1979-01-19,
1979-01-23,0.0840149968862533,0.0866400003433227,0.0840149968862533,0.0840149968862533,728443,False,1979-01-23,
1979-02-01,0.0813890025019645,0.0813890025019645,0.0787639990448951,0.0787639990448951,1885381,False,1979-02-01,
1979-02-06,0.0787639990448951,0.0787639990448951,0.0761379972100257,0.0761379972100257,433257,False,1979-02-06,
1979-02-12,0.0735130012035369,0.0735130012035369,0.0708879977464675,0.0735130012035369,1342620,False,1979-02-12,
1979-02-20,0.0813890025019645,0.0813890025019645,0.0787639990448951,0.0813890025019645,1333097,False,1979-02-20,
1979-02-21,0.0787639990448951,0.0787639990448951,0.0761379972100257,0.0787639990448951,433257,False,1979-02-21,DHR
1979-02-22,0.0787639990448951,0.0866400003433227,0.0787639990448951,0.0840149968862533,1047434,False,1979-02-22,DHR
1979-02-23,0.0866400003433227,0.0918909981846809,0.0866400003433227,0.0892660021781921,1128372,False,1979-02-23,DHR
1979-02-28,0.0866400003433227,0.0866400003433227,0.0813890025019645,0.0866400003433227,1966319,False,1979-02-28,
1979-03-01,0.0918909981846809,0.0918909981846809,0.0918909981846809,0.0918909981846809,280903,False,1979-03-01,DHR
1979-03-06,0.0892660021781921,0.0892660021781921,0.0866400003433227,0.0892660021781921,737964,False,1979-03-06,
1979-03-09,0.0971420034766197,0.0997679978609085,0.0971420034766197,0.0997679978609085,3389876,False,1979-03-09,
