Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1972-06-02,10.375,10.5625,10.375,10.5,119200,False,1972-06-02,
1972-06-05,10.5,10.625,10.4375,10.4375,26400,False,1972-06-05,ETR
1972-06-08,10.375,10.375,10.1875,10.1875,107200,False,1972-06-08,
1972-06-13,10.1875,10.25,10.0,10.125,135000,False,1972-06-13,
1972-06-16,9.9375,9.9375,9.8125,9.9375,299800,False,1972-06-16,
1972-06-19,9.9375,10.0,9.875,9.9375,17000,False,1972-06-19,ETR
1972-06-28,9.75,9.75,9.6875,9.75,447800,False,1972-06-28,
1972-06-29,9.9375,10.0,9.8125,9.9375,26600,False,1972-06-29,ETR
1972-06-30,9.9375,10.1875,9.9375,10.125,94200,False,1972-06-30,ETR
1972-07-03,10.125,10.25,10.0,10.125,14600,False,1972-07-03,ETR
1972-07-05,10.25,10.5,10.25,10.4375,44800,False,1972-07-05,ETR
1972-07-06,10.4375,10.6875,10.4375,10.6875,30600,False,1972-07-06,ETR
1972-07-07,10.6875,10.8125,10.625,10.8125,47800,False,1972-07-07,ETR
1972-07-10,10.8125,10.9375,10.6875,10.875,51200,False,1972-07-10,ETR
1972-07-17,10.6875,10.6875,10.5,10.5625,96200,False,1972-07-17,
1972-07-18,10.4375,10.4375,10.3125,10.3125,8800,False,1972-07-18,ETR
1972-07-21,10.3125,10.375,10.25,10.375,44600,False,1972-07-21,
1972-07-26,10.4375,10.5625,10.3125,10.3125,188000,False,1972-07-26,
1972-07-28,10.3125,10.375,10.1875,10.3125,48400,False,1972-07-28,
1972-08-07,10.0625,10.0625,9.8125,9.8125,304400,False,1972-08-07,
1972-08-10,9.8125,9.875,9.6875,9.8125,149800,False,1972-08-10,
1972-08-14,9.8125,9.9375,9.8125,9.9375,61600,False,1972-08-14,
1972-08-16,9.9375,10.0,9.9375,10.0,125800,False,1972-08-16,
1972-08-17,10.0,10.125,10.0,10.0625,35000,False,1972-08-17,ETR
1972-08-18,10.0625,10.4375,10.0625,10.375,103600,False,1972-08-18,ETR
1972-08-21,10.5,10.6875,10.5,10.625,25600,False,1972-08-21,ETR
1972-08-22,10.6875,10.9375,10.6875,10.8125,80800,False,1972-08-22,ETR
1972-08-23,10.875,11.0,10.875,10.875,35200,False,1972-08-23,ETR
1972-08-29,11.1875,11.375,11.1875,11.25,237800,False,1972-08-29,
1972-08-30,11.3125,11.4375,11.3125,11.375,39000,False,1972-08-30,ETR
1972-08-31,11.375,11.375,11.1875,11.1875,24200,False,1972-08-31,ETR
1972-09-01,11.1875,11.25,11.0625,11.1875,13200,False,1972-09-01,ETR
1972-09-07,11.0625,11.0625,11.0,11.0,81400,False,1972-09-07,
1972-09-12,11.0,11.0,10.75,10.9375,89800,False,1972-09-12,
1972-09-13,10.9375,11.0625,10.9375,11.0,65000,False,1972-09-13,ETR
1972-09-19,11.0625,11.125,11.0625,11.0625,62200,False,1972-09-19,
1972-09-21,10.9375,11.0625,10.8125,10.8125,22000,False,1972-09-21,
1972-09-22,10.8125,10.9375,10.75,10.75,20400,False,1972-09-22,ETR
1972-09-26,10.75,10.8125,10.625,10.6875,268200,False,1972-09-26,
1972-09-27,10.6875,11.0,10.6875,10.9375,19200,False,1972-09-27,ETR
1972-09-28,10.9375,11.0625,10.9375,11.0,17400,False,1972-09-28,ETR
1972-09-29,11.0625,11.25,11.0625,11.0625,45400,False,1972-09-29,ETR
1972-10-03,11.0625,11.125,10.9375,11.0,49000,False,1972-10-03,
1972-10-06,11.0625,11.3125,11.0625,11.25,127200,False,1972-10-06,
1972-10-12,11.3125,11.4375,11.3125,11.375,54200,False,1972-10-12,
1972-10-16,11.375,11.375,11.25,11.375,141800,False,1972-10-16,
1972-10-17,11.375,11.5,11.375,11.375,65200,False,1972-10-17,ETR
1972-10-18,11.4375,11.5625,11.4375,11.5,55600,False,1972-10-18,ETR
