Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
2000-03-28,1.3333330154418943,1.3854169845581057,1.3333330154418943,1.3385419845581057,14259600,False,2000-03-28,
2000-03-29,1.3333330154418943,1.34375,1.3177080154418943,1.3333330154418943,1311600,False,2000-03-29,EW
2000-03-30,1.3333330154418943,1.3333330154418943,1.28125,1.28125,5650800,False,2000-03-30,EW
2000-04-03,1.234375,1.234375,1.1302080154418943,1.1458330154418943,58255200,False,2000-04-03,
2000-04-05,1.1770830154418943,1.1875,1.03125,1.1614580154418943,58459200,False,2000-04-05,
2000-04-06,1.1666669845581057,1.1979169845581057,1.15625,1.1927080154418943,21543600,False,2000-04-06,EW
2000-04-10,1.2083330154418943,1.2708330154418943,1.2083330154418943,1.2135419845581057,57556800,False,2000-04-10,
2000-04-11,1.1927080154418943,1.21875,1.1875,1.1927080154418943,19770000,False,2000-04-11,EW
2000-04-12,1.1822919845581057,1.2135419845581057,1.1770830154418943,1.1927080154418943,25639200,False,2000-04-12,EW
2000-04-13,1.1927080154418943,1.21875,1.1927080154418943,1.2044270038604736,20623200,False,2000-04-13,EW
2000-04-14,1.203125,1.2083330154418943,1.1770830154418943,1.203125,7878000,False,2000-04-14,EW
2000-04-18,1.1927080154418943,1.203125,1.1614580154418943,1.171875,17664000,False,2000-04-18,
2000-04-20,1.1875,1.2291669845581057,1.1875,1.21875,27663600,False,2000-04-20,
2000-04-25,1.1979169845581057,1.21875,1.15625,1.21875,25352400,False,2000-04-25,
2000-04-26,1.2604169845581057,1.375,1.25,1.2760419845581057,15963600,False,2000-04-26,EW
2000-04-27,1.2552080154418943,1.2552080154418943,1.2135419845581057,1.234375,12255600,False,2000-04-27,EW
2000-05-02,1.2291669845581057,1.2291669845581057,1.203125,1.2135419845581057,31600800,False,2000-05-02,
2000-05-03,1.1822919845581057,1.2135419845581057,1.171875,1.1875,12493200,False,2000-05-03,EW
2000-05-04,1.1979169845581057,1.2291669845581057,1.1875,1.2291669845581057,10831200,False,2000-05-04,EW
2000-05-05,1.2395830154418943,1.28125,1.2395830154418943,1.2604169845581057,5132400,False,2000-05-05,EW
2000-05-08,1.28125,1.3020830154418943,1.265625,1.2708330154418943,4306800,False,2000-05-08,EW
2000-05-09,1.2864580154418943,1.2916669845581057,1.25,1.25,4030800,False,2000-05-09,EW
2000-05-11,1.25,1.28125,1.2291669845581057,1.2447919845581057,9187200,False,2000-05-11,
2000-05-12,1.2447919845581057,1.3072919845581057,1.2447919845581057,1.3072919845581057,2305200,False,2000-05-12,EW
2000-05-15,1.2916669845581057,1.40625,1.2916669845581057,1.3645830154418943,3985200,False,2000-05-15,EW
2000-05-16,1.375,1.4114580154418943,1.359375,1.375,3790800,False,2000-05-16,EW
2000-05-17,1.375,1.375,1.3177080154418943,1.3333330154418943,7551600,False,2000-05-17,EW
2000-05-18,1.3333330154418943,1.34375,1.2864580154418943,1.296875,6236400,False,2000-05-18,EW
2000-05-22,1.296875,1.3020830154418943,1.2760419845581057,1.296875,3780000,False,2000-05-22,
2000-05-23,1.2916669845581057,1.3333330154418943,1.2916669845581057,1.3020830154418943,2601600,False,2000-05-23,EW
2000-05-24,1.3020830154418943,1.3958330154418943,1.3020830154418943,1.3697919845581057,6796800,False,2000-05-24,EW
2000-05-25,1.359375,1.46875,1.359375,1.4427080154418943,9045600,False,2000-05-25,EW
2000-05-26,1.453125,1.5104169845581057,1.4427080154418943,1.5,6882000,False,2000-05-26,EW
2000-05-30,1.5,1.6510419845581057,1.5,1.6458330154418943,11426400,False,2000-05-30,EW
2000-05-31,1.6458330154418943,1.71875,1.6458330154418943,1.6927080154418943,9780000,False,2000-05-31,EW
2000-06-01,1.671875,1.6875,1.6145830154418943,1.65625,4317600,False,2000-06-01,EW
2000-06-02,1.65625,1.6770830154418943,1.546875,1.5989580154418943,3984000,False,2000-06-02,EW
2000-06-05,1.578125,1.578125,1.5052080154418943,1.5104169845581057,6038400,False,2000-06-05,EW
2000-06-06,1.5208330154418943,1.5208330154418943,1.4010419845581057,1.4270830154418943,11726400,False,2000-06-06,EW
2000-06-08,1.515625,1.5520830154418943,1.515625,1.5416669845581057,11256000,False,2000-06-08,
2000-06-12,1.53125,1.5833330154418943,1.53125,1.5520830154418943,6264000,False,2000-06-12,
2000-06-14,1.5416669845581057,1.546875,1.515625,1.5364580154418943,7286400,False,2000-06-14,
2000-06-15,1.5364580154418943,1.5520830154418943,1.5260419845581057,1.5260419845581057,2157600,False,2000-06-15,EW
2000-06-16,1.53125,1.5364580154418943,1.4895830154418943,1.5,3186000,False,2000-06-16,EW
2000-06-20,1.4635419845581057,1.5052080154418943,1.4583330154418943,1.484375,9602400,False,2000-06-20,
2000-06-21,1.4947919845581057,1.5833330154418943,1.484375,1.5833330154418943,3040800,False,2000-06-21,EW
2000-06-23,1.6302080154418943,1.71875,1.6302080154418943,1.65625,13903200,False,2000-06-23,
2000-06-26,1.6666669845581057,1.6875,1.6041669845581057,1.65625,6289200,False,2000-06-26,EW
2000-06-28,1.65625,1.6692709922790527,1.5104169845581057,1.6692709922790527,12810000,False,2000-06-28,
2000-06-29,1.7135419845581057,1.75,1.6875,1.6875,4351200,False,2000-06-29,EW
2000-06-30,1.6927080154418943,1.7083330154418943,1.5403649806976318,1.542968988418579,11492400,False,2000-06-30,EW
