Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1994-11-02,8.1875,8.3125,8.1875,8.1875,6508800,False,1994-11-02,
1994-11-04,8.1875,8.25,8.125,8.125,4724600,False,1994-11-04,
1994-11-16,7.9375,7.9375,7.875,7.875,17898000,False,1994-11-16,
1994-11-17,7.875,7.875,7.75,7.8125,1477600,False,1994-11-17,MCO
1994-11-18,7.8125,7.8125,7.6875,7.75,2452600,False,1994-11-18,MCO
1994-11-21,7.75,7.75,7.5625,7.5625,3276000,False,1994-11-21,MCO
1994-11-22,7.5625,7.625,7.4375,7.4375,2725000,False,1994-11-22,MCO
1994-11-25,7.4375,7.5,7.3125,7.5,3275000,False,1994-11-25,
1994-12-01,7.5,7.5625,7.4375,7.4375,4705600,False,1994-12-01,
1994-12-02,7.4375,7.5,7.375,7.5,1257200,False,1994-12-02,MCO
1994-12-05,7.5,7.5625,7.4375,7.4375,1071200,False,1994-12-05,MCO
1994-12-12,7.375,7.375,7.3125,7.375,6914400,False,1994-12-12,
1994-12-20,7.5625,7.625,7.5625,7.625,13990200,False,1994-12-20,
1994-12-28,7.625,7.75,7.625,7.75,11254000,False,1994-12-28,
1995-01-04,7.75,7.8125,7.75,7.75,5617600,False,1995-01-04,
1995-01-05,7.6875,7.75,7.625,7.75,1600200,False,1995-01-05,MCO
1995-01-06,7.75,7.8125,7.6875,7.6875,2230600,False,1995-01-06,MCO
1995-01-10,7.6875,7.75,7.625,7.6875,3689400,False,1995-01-10,
1995-01-11,7.6875,7.6875,7.5625,7.625,3488600,False,1995-01-11,MCO
1995-01-13,7.5625,7.5625,7.5,7.5625,4082200,False,1995-01-13,
1995-01-16,7.5625,7.625,7.5625,7.625,3502000,False,1995-01-16,MCO
1995-01-17,7.625,7.6875,7.625,7.625,1322800,False,1995-01-17,MCO
1995-01-18,7.625,7.625,7.5625,7.5625,2150400,False,1995-01-18,MCO
1995-01-23,7.5,7.5,7.4375,7.5,9654600,False,1995-01-23,
1995-01-25,7.5625,7.625,7.5625,7.625,4202800,False,1995-01-25,
