Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1994-02-17,25.5,25.875,24.5,24.625,4478600,MLM,False,1994-02-17
1994-02-18,24.75,25.0,24.25,24.625,777900,MLM,False,1994-02-18
1994-02-23,24.25,24.5,23.25,23.25,646400,,False,1994-02-23
1994-02-24,23.125,23.25,22.75,23.0,494600,MLM,False,1994-02-24
1994-02-25,23.0,23.875,23.0,23.75,102000,MLM,False,1994-02-25
1994-03-01,23.875,24.0,23.75,23.75,361800,,False,1994-03-01
1994-03-02,22.75,22.875,22.625,22.75,355900,MLM,False,1994-03-02
1994-03-07,23.0,23.375,23.0,23.0,299200,,False,1994-03-07
1994-03-09,23.0,23.125,22.875,22.875,135800,,False,1994-03-09
1994-03-10,22.875,23.0,22.125,22.25,220400,MLM,False,1994-03-10
1994-03-11,22.125,22.375,22.0,22.375,42100,MLM,False,1994-03-11
1994-03-14,22.25,22.5,22.125,22.25,11900,MLM,False,1994-03-14
1994-03-18,22.75,23.0,22.5,22.875,391000,,False,1994-03-18
1994-03-21,22.75,23.125,22.75,23.125,81100,MLM,False,1994-03-21
1994-03-22,23.0,23.625,23.0,23.5,91800,MLM,False,1994-03-22
1994-03-23,24.25,24.875,24.25,24.25,332700,MLM,False,1994-03-23
1994-03-28,24.25,24.25,23.75,24.0,235900,,False,1994-03-28
1994-03-29,23.875,24.0,22.5,22.5,174400,MLM,False,1994-03-29
1994-03-31,22.25,22.25,21.5,22.0,399000,,False,1994-03-31
1994-04-04,21.625,21.625,21.0,21.5,206600,MLM,False,1994-04-04
1994-04-05,21.5,22.75,21.5,22.75,40500,MLM,False,1994-04-05
1994-04-08,22.75,22.875,22.625,22.625,76100,,False,1994-04-08
1994-04-11,22.75,22.75,22.25,22.625,28900,MLM,False,1994-04-11
1994-04-12,22.5,22.5,22.0,22.125,56200,MLM,False,1994-04-12
1994-04-18,21.375,21.375,20.5,20.5,272400,,False,1994-04-18
1994-04-19,20.5,20.5,20.0,20.125,23100,MLM,False,1994-04-19
1994-04-22,19.75,19.75,19.5,19.75,148000,,False,1994-04-22
1994-04-25,19.5,19.625,18.25,19.625,130900,MLM,False,1994-04-25
1994-04-26,19.625,21.0,19.625,20.75,172800,MLM,False,1994-04-26
1994-04-28,21.0,21.125,20.75,20.875,73900,MLM,False,1994-04-28
1994-04-29,21.0,23.0,21.0,23.0,166100,MLM,False,1994-04-29
1994-05-03,23.25,23.75,23.25,23.375,142800,,False,1994-05-03
1994-05-04,23.5,24.0,23.375,23.5,81500,MLM,False,1994-05-04
1994-05-05,23.25,23.5,23.25,23.375,14200,MLM,False,1994-05-05
1994-05-06,23.125,23.25,22.375,22.5,67900,MLM,False,1994-05-06
1994-05-10,22.0,22.0,21.75,21.875,83200,,False,1994-05-10
1994-05-11,21.875,21.875,21.375,21.375,24200,MLM,False,1994-05-11
1994-05-12,21.5,21.5,21.25,21.25,18400,MLM,False,1994-05-12
1994-05-13,21.25,21.25,20.875,20.875,68700,MLM,False,1994-05-13
1994-05-16,20.75,20.75,20.0,20.125,13800,MLM,False,1994-05-16
1994-05-17,20.125,20.125,19.875,19.875,18300,MLM,False,1994-05-17
1994-05-18,19.875,19.875,19.5,19.75,40900,MLM,False,1994-05-18
1994-05-19,19.5,19.625,18.0,19.0,772400,MLM,False,1994-05-19
1994-05-20,18.875,20.0,18.875,19.875,58400,MLM,False,1994-05-20
1994-05-24,20.0,20.25,20.0,20.0,104600,,False,1994-05-24
1994-05-25,19.75,20.0,19.75,20.0,36600,MLM,False,1994-05-25
1994-05-27,20.125,20.25,20.125,20.125,19500,,False,1994-05-27
1994-05-31,19.5,19.5,19.375,19.375,3000,MLM,False,1994-05-31
1994-06-01,19.25,19.375,19.25,19.375,17900,MLM,False,1994-06-01
1994-06-02,19.625,20.0,19.625,20.0,25300,MLM,False,1994-06-02
1994-06-13,20.875,21.125,20.875,21.0,177000,,False,1994-06-13
1994-06-14,21.0,21.0,20.25,20.5,51500,MLM,False,1994-06-14
1994-06-15,21.25,21.625,21.25,21.625,63100,MLM,False,1994-06-15
1994-06-16,21.75,21.75,21.625,21.75,11600,MLM,False,1994-06-16
1994-06-17,22.0,22.25,21.875,22.25,25400,MLM,False,1994-06-17
1994-06-21,22.0,22.0,21.5,21.75,44600,,False,1994-06-21
1994-06-22,22.0,22.5,22.0,22.5,22600,MLM,False,1994-06-22
1994-06-23,22.25,22.25,21.875,21.875,4800,MLM,False,1994-06-23
1994-06-24,22.0,22.0,21.75,21.75,7800,MLM,False,1994-06-24
1994-06-27,21.5,21.75,21.5,21.75,6400,MLM,False,1994-06-27
1994-06-28,21.5,21.5,21.125,21.5,18000,MLM,False,1994-06-28
1994-06-29,21.25,21.25,21.0,21.25,15800,MLM,False,1994-06-29
1994-07-08,21.75,22.0,21.75,21.875,123700,,False,1994-07-08
1994-07-11,21.75,21.875,21.625,21.875,37700,MLM,False,1994-07-11
1994-07-15,22.0,22.25,22.0,22.125,51500,,False,1994-07-15
1994-07-19,21.875,21.875,21.625,21.75,22100,,False,1994-07-19
1994-07-20,21.75,22.0,21.75,22.0,15800,MLM,False,1994-07-20
1994-07-22,21.5,21.5,21.25,21.375,38500,,False,1994-07-22
1994-07-28,21.625,22.0,21.625,21.875,72400,,False,1994-07-28
1994-08-01,21.875,22.125,21.875,22.0,59700,,False,1994-08-01
1994-08-08,21.75,21.875,21.5,21.625,75200,,False,1994-08-08
1994-08-09,21.375,21.5,21.25,21.25,1900,MLM,False,1994-08-09
1994-08-12,21.125,21.25,21.0,21.0,31300,,False,1994-08-12
1994-08-15,21.125,21.125,20.75,20.75,3000,MLM,False,1994-08-15
1994-08-22,20.0,20.0,19.0,19.75,288700,,False,1994-08-22
1994-08-23,20.0,20.25,19.875,20.125,31100,MLM,False,1994-08-23
1994-08-25,20.25,20.375,20.125,20.125,46400,,False,1994-08-25
1994-09-01,19.75,19.75,19.25,19.75,163000,,False,1994-09-01
1994-09-02,19.875,19.875,19.75,19.875,44300,MLM,False,1994-09-02
1994-09-08,20.0,20.25,20.0,20.0,37300,,False,1994-09-08
1994-09-09,20.0,20.0,19.875,19.875,1700,MLM,False,1994-09-09
1994-09-12,19.75,19.875,19.75,19.75,2900,MLM,False,1994-09-12
1994-09-15,19.625,19.75,19.5,19.75,143600,,False,1994-09-15
1994-09-19,19.625,20.0,19.625,19.875,33100,,False,1994-09-19
1994-09-26,19.25,19.25,18.75,19.25,780500,,False,1994-09-26
1994-09-28,19.5,19.5,19.25,19.375,14800,,False,1994-09-28
1994-09-29,19.375,19.625,19.375,19.5,86100,MLM,False,1994-09-29
1994-09-30,19.5,20.0,19.5,20.0,80500,MLM,False,1994-09-30
1994-10-05,20.0,20.25,20.0,20.25,133500,,False,1994-10-05
1994-10-06,20.125,20.75,20.125,20.75,148300,MLM,False,1994-10-06
1994-10-07,20.625,20.875,20.625,20.75,1800,MLM,False,1994-10-07
1994-10-10,21.0,21.25,21.0,21.25,5600,MLM,False,1994-10-10
1994-10-12,21.625,21.875,21.625,21.875,32000,,False,1994-10-12
1994-10-17,22.0,22.375,22.0,22.0,18200,,False,1994-10-17
