Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1993-02-24,8.0,8.125,7.78125,7.96875,50021200,False,1993-02-24,
1993-02-25,8.0,8.15625,7.96875,8.15625,5229200,False,1993-02-25,MS
1993-02-26,8.15625,8.28125,8.03125,8.28125,2761200,False,1993-02-26,MS
1993-03-01,8.1875,8.21875,8.0,8.0,3014400,False,1993-03-01,MS
1993-03-02,8.0625,8.25,8.03125,8.21875,3022800,False,1993-03-02,MS
1993-03-08,8.1875,8.34375,8.1875,8.28125,10977200,False,1993-03-08,
1993-03-09,8.25,8.625,8.25,8.53125,2449200,False,1993-03-09,MS
1993-03-10,8.46875,8.90625,8.4375,8.875,3192800,False,1993-03-10,MS
1993-03-15,8.96875,9.0625,8.8125,8.875,6093600,False,1993-03-15,
1993-03-16,8.8125,8.90625,8.65625,8.6875,2182000,False,1993-03-16,MS
1993-03-17,8.6875,8.78125,8.59375,8.78125,2413600,False,1993-03-17,MS
1993-03-18,8.75,9.03125,8.75,9.0,1765200,False,1993-03-18,MS
1993-03-19,9.0625,9.0625,8.90625,8.90625,2397600,False,1993-03-19,MS
1993-03-22,8.9375,8.9375,8.78125,8.875,729200,False,1993-03-22,MS
1993-03-23,8.875,8.875,8.6875,8.6875,924000,False,1993-03-23,MS
1993-03-25,8.59375,8.59375,8.34375,8.59375,2868000,False,1993-03-25,
1993-03-26,8.875,9.15625,8.84375,9.15625,2376800,False,1993-03-26,MS
1993-03-29,9.09375,9.25,8.9375,9.25,1273600,False,1993-03-29,MS
1993-03-30,9.375,9.59375,9.28125,9.59375,1463600,False,1993-03-30,MS
1993-03-31,9.625,9.8125,9.5625,9.59375,1856000,False,1993-03-31,MS
1993-04-01,9.46875,9.5,9.1875,9.25,1410000,False,1993-04-01,MS
1993-04-02,9.125,9.28125,8.90625,8.90625,1338800,False,1993-04-02,MS
1993-04-05,8.875,9.09375,8.875,9.0625,873200,False,1993-04-05,MS
1993-04-06,9.09375,9.125,8.9375,8.9375,763200,False,1993-04-06,MS
1993-04-08,8.90625,9.0625,8.90625,9.03125,544400,False,1993-04-08,
1993-04-12,9.03125,9.25,9.03125,9.25,217600,False,1993-04-12,MS
1993-04-13,9.375,9.59375,9.375,9.53125,937600,False,1993-04-13,MS
1993-04-14,9.53125,9.8125,9.53125,9.78125,689600,False,1993-04-14,MS
1993-04-16,9.5,9.5,9.25,9.34375,2772000,False,1993-04-16,
1993-04-19,9.28125,9.34375,9.09375,9.125,861600,False,1993-04-19,MS
1993-04-22,8.875,8.875,8.65625,8.71875,5524400,False,1993-04-22,
1993-04-23,8.6875,8.71875,8.5,8.59375,660400,False,1993-04-23,MS
1993-04-26,8.625,8.6875,8.3125,8.40625,1847200,False,1993-04-26,MS
1993-04-27,8.3125,8.5,8.15625,8.5,1674000,False,1993-04-27,MS
1993-04-28,8.5625,8.6875,8.46875,8.65625,726800,False,1993-04-28,MS
1993-04-29,8.65625,8.71875,8.625,8.625,228800,False,1993-04-29,MS
