Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1997-11-14,14.0625,15.25,14.0625,14.875,2233500,MTD,False,1997-11-14
1997-11-18,15.75,15.75,15.0,15.0,772300,,False,1997-11-18
1997-11-19,15.0,15.625,14.75,15.625,270100,MTD,False,1997-11-19
1997-11-20,15.5,16.375,15.5,16.375,185500,MTD,False,1997-11-20
1997-11-24,16.625,17.5,16.375,17.0,293300,,False,1997-11-24
1997-11-28,17.8125,18.0625,17.8125,17.875,482100,,False,1997-11-28
1997-12-02,17.75,18.0,17.75,17.8125,284400,,False,1997-12-02
1997-12-05,17.6875,17.875,17.6875,17.875,277400,,False,1997-12-05
1997-12-09,18.375,18.75,17.875,18.5,226700,,False,1997-12-09
1997-12-10,18.5,18.5,17.8125,18.0625,28000,MTD,False,1997-12-10
1997-12-11,18.125,18.25,17.75,18.0625,19500,MTD,False,1997-12-11
1997-12-12,17.75,18.0,17.625,17.75,89600,MTD,False,1997-12-12
1997-12-15,17.9375,18.625,17.75,18.125,186100,MTD,False,1997-12-15
1997-12-16,18.125,18.125,17.3125,18.0625,89700,MTD,False,1997-12-16
1997-12-19,18.0625,18.4375,18.0,18.25,154500,,False,1997-12-19
1997-12-22,18.5,18.5,18.125,18.125,7400,MTD,False,1997-12-22
1997-12-23,18.375,18.375,17.625,17.625,169900,MTD,False,1997-12-23
1997-12-24,17.5,17.625,17.5,17.5625,32600,MTD,False,1997-12-24
1997-12-26,17.5625,17.6875,17.5625,17.5625,600,MTD,False,1997-12-26
1997-12-29,17.625,17.625,17.375,17.5,49200,MTD,False,1997-12-29
1997-12-30,17.5,17.5,17.25,17.25,46700,MTD,False,1997-12-30
1998-01-02,17.375,17.375,16.875,17.0,218700,,False,1998-01-02
1998-01-05,17.125,17.125,16.625,16.75,67800,MTD,False,1998-01-05
1998-01-07,16.625,16.6875,16.375,16.5625,114300,,False,1998-01-07
1998-01-09,16.75,17.625,16.75,16.875,197100,,False,1998-01-09
1998-01-12,16.625,17.0,16.375,17.0,37000,MTD,False,1998-01-12
1998-01-14,18.25,18.75,18.25,18.25,246200,,False,1998-01-14
1998-01-15,18.0,18.25,18.0,18.0,32100,MTD,False,1998-01-15
1998-01-16,18.0,18.1875,17.75,17.75,13000,MTD,False,1998-01-16
1998-01-20,17.25,18.0,17.0,18.0,105400,MTD,False,1998-01-20
1998-01-21,18.0,18.25,18.0,18.125,109500,MTD,False,1998-01-21
1998-01-22,18.0,18.0,17.625,17.75,47400,MTD,False,1998-01-22
1998-01-23,17.75,18.125,17.75,18.125,53300,MTD,False,1998-01-23
1998-01-26,18.25,18.25,17.875,17.875,5000,MTD,False,1998-01-26
1998-01-27,17.9375,18.0,17.625,17.625,12200,MTD,False,1998-01-27
1998-01-29,17.625,17.75,17.5,17.625,169800,,False,1998-01-29
1998-01-30,17.75,18.0,17.75,17.875,19700,MTD,False,1998-01-30
1998-02-02,18.0,19.1875,18.0,19.0,45000,MTD,False,1998-02-02
1998-02-05,19.25,19.25,18.875,19.0,108300,,False,1998-02-05
1998-02-09,19.25,19.5,19.0625,19.25,42000,,False,1998-02-09
1998-02-17,20.25,20.6875,20.25,20.5625,254700,,False,1998-02-17
1998-02-19,20.3125,20.4375,20.125,20.125,56100,,False,1998-02-19
1998-02-20,20.0,20.25,19.5,19.875,59400,MTD,False,1998-02-20
1998-02-23,20.0,20.5,20.0,20.0,132500,MTD,False,1998-02-23
1998-02-24,20.0,20.0,19.5,19.5,14700,MTD,False,1998-02-24
1998-02-26,19.625,19.75,19.375,19.375,22900,,False,1998-02-26
1998-02-27,19.25,19.5,19.0,19.5,132400,MTD,False,1998-02-27
1998-03-04,20.125,20.5,20.125,20.25,104000,,False,1998-03-04
1998-03-06,20.375,20.75,20.375,20.375,33100,,False,1998-03-06
1998-03-09,20.5,21.375,20.5,21.375,15800,MTD,False,1998-03-09
1998-03-10,21.375,21.875,21.375,21.75,18400,MTD,False,1998-03-10
1998-03-13,22.0,22.875,22.0,22.125,117400,,False,1998-03-13
1998-03-16,22.25,22.25,21.625,21.75,33600,MTD,False,1998-03-16
1998-03-17,21.75,21.75,21.125,21.5,16600,MTD,False,1998-03-17
1998-03-18,21.5,21.875,21.375,21.875,27600,MTD,False,1998-03-18
1998-03-19,21.9375,22.0,21.6875,21.875,73700,MTD,False,1998-03-19
1998-03-20,21.75,21.875,21.375,21.5,3700,MTD,False,1998-03-20
1998-03-24,21.375,21.375,20.875,21.0,47200,,False,1998-03-24
1998-03-25,21.0,21.125,20.75,20.8125,5400,MTD,False,1998-03-25
1998-03-26,20.6875,20.875,20.625,20.875,3600,MTD,False,1998-03-26
1998-03-27,21.0,21.25,20.875,21.125,46100,MTD,False,1998-03-27
1998-03-30,21.125,21.875,21.125,21.6875,99100,MTD,False,1998-03-30
1998-04-02,21.875,22.25,21.875,22.0,363200,,False,1998-04-02
1998-04-06,21.25,21.625,21.25,21.5,165500,,False,1998-04-06
1998-04-07,21.75,21.875,21.5,21.75,17400,MTD,False,1998-04-07
1998-04-08,21.75,21.75,21.375,21.5,2800,MTD,False,1998-04-08
1998-04-13,21.5,21.5,21.125,21.5,71600,,False,1998-04-13
1998-04-14,21.375,21.625,21.375,21.625,15900,MTD,False,1998-04-14
1998-04-15,21.4375,21.875,21.4375,21.625,20300,MTD,False,1998-04-15
1998-04-16,21.375,21.5,21.375,21.4375,3800,MTD,False,1998-04-16
1998-04-21,21.6875,21.9375,21.625,21.9375,51000,,False,1998-04-21
1998-04-24,21.75,21.75,21.125,21.125,79900,,False,1998-04-24
1998-04-27,20.875,20.875,20.5,20.5625,34000,MTD,False,1998-04-27
1998-04-28,20.625,20.625,20.125,20.1875,252100,MTD,False,1998-04-28
1998-04-29,20.25,20.25,19.5,20.25,112000,MTD,False,1998-04-29
1998-04-30,20.375,20.5,19.875,20.125,30400,MTD,False,1998-04-30
1998-05-04,19.9375,19.9375,19.625,19.75,90600,,False,1998-05-04
1998-05-05,20.0,20.1875,19.875,20.0,30600,MTD,False,1998-05-05
1998-05-06,20.0,20.125,19.625,19.75,32800,MTD,False,1998-05-06
1998-05-11,19.875,19.875,19.375,19.5,109800,,False,1998-05-11
1998-05-13,19.75,19.9375,19.625,19.625,36100,,False,1998-05-13
1998-05-14,19.375,19.625,19.25,19.5,15900,MTD,False,1998-05-14
1998-05-18,19.75,19.875,19.5,19.5,21700,,False,1998-05-18
1998-05-20,19.0625,19.3125,19.0625,19.1875,71200,,False,1998-05-20
1998-05-22,20.0,20.25,20.0,20.0,44700,,False,1998-05-22
1998-05-26,20.0,20.0,19.625,19.625,4100,MTD,False,1998-05-26
1998-05-28,18.75,18.75,18.0,18.625,157100,,False,1998-05-28
1998-05-29,18.75,19.0,18.75,19.0,49000,MTD,False,1998-05-29
1998-06-01,19.0,19.25,19.0,19.0,5200,MTD,False,1998-06-01
1998-06-02,19.125,19.6875,19.125,19.375,183800,MTD,False,1998-06-02
