Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
2000-05-02,24.875,25.0625,22.375,24.0,2051300,ON,False,2000-05-02
2000-05-03,23.6875,23.75,21.3125,22.5,1734900,ON,False,2000-05-03
2000-05-05,22.0,22.0,20.5,20.875,2399700,,False,2000-05-05
2000-05-09,20.4375,21.0625,19.75,20.1875,1971300,,False,2000-05-09
2000-05-11,20.25,20.25,17.8125,20.0,2842500,,False,2000-05-11
2000-05-17,21.375,23.0,21.375,21.875,4116100,,False,2000-05-17
2000-05-19,21.875,24.5,21.8125,22.75,3105700,,False,2000-05-19
2000-05-22,23.125,23.125,19.75,20.0,1056700,ON,False,2000-05-22
2000-05-23,20.875,21.25,19.625,19.875,1311500,ON,False,2000-05-23
2000-05-25,19.9375,20.25,18.0,18.1875,1924000,,False,2000-05-25
2000-05-26,18.1875,18.75,17.875,18.0,367000,ON,False,2000-05-26
2000-05-30,18.0,20.625,18.0,20.0,446000,ON,False,2000-05-30
2000-06-01,20.6875,20.875,19.5625,20.125,2217600,,False,2000-06-01
2000-06-05,21.0625,23.25,21.0625,22.875,2262700,,False,2000-06-05
2000-06-06,22.75,24.625,22.125,23.125,735300,ON,False,2000-06-06
2000-06-07,23.1875,23.5,21.875,22.25,299900,ON,False,2000-06-07
2000-06-08,22.25,23.75,22.0,22.625,476800,ON,False,2000-06-08
2000-06-09,22.8125,23.875,22.625,23.25,428200,ON,False,2000-06-09
2000-06-12,23.75,24.25,23.625,24.0625,665000,ON,False,2000-06-12
2000-06-14,23.3125,23.3125,21.875,22.9375,473100,,False,2000-06-14
2000-06-15,22.625,23.25,21.75,23.0,323500,ON,False,2000-06-15
2000-06-16,22.96875,23.0,20.8125,21.0625,1229000,ON,False,2000-06-16
2000-06-19,21.5625,22.125,20.5,21.25,358700,ON,False,2000-06-19
2000-06-20,21.375,22.5,21.3125,21.875,714400,ON,False,2000-06-20
2000-06-21,21.875,23.375,21.75,22.6875,488400,ON,False,2000-06-21
2000-06-23,24.625,26.5,22.25,23.625,2019000,,False,2000-06-23
2000-06-26,23.875,26.8125,23.0,23.625,473000,ON,False,2000-06-26
2000-06-27,23.625,23.75,22.375,22.9375,432100,ON,False,2000-06-27
2000-06-30,23.0,24.375,22.5,22.5,1482600,,False,2000-06-30
2000-07-03,22.875,23.125,22.0,22.75,156400,ON,False,2000-07-03
2000-07-05,22.4375,22.5,20.75,21.5625,644700,ON,False,2000-07-05
2000-07-06,21.5625,22.0,20.0,21.8125,382000,ON,False,2000-07-06
2000-07-07,21.875,22.75,21.375,21.8125,1265000,ON,False,2000-07-07
2000-07-10,21.75,24.6875,21.5,21.75,1233200,ON,False,2000-07-10
2000-07-13,21.625,22.0625,19.75,20.5,2317300,,False,2000-07-13
2000-07-14,22.1875,22.1875,20.25,21.5625,586000,ON,False,2000-07-14
2000-07-18,22.0,22.375,21.6875,21.9375,1094800,,False,2000-07-18
2000-07-24,21.125,21.125,19.75,20.75,1502600,,False,2000-07-24
2000-07-26,20.6875,21.1875,20.484375,21.1875,2629900,,False,2000-07-26
2000-07-27,21.0625,21.15625,20.0,20.0,1171200,ON,False,2000-07-27
2000-07-28,20.0,20.25,19.375,20.0,1541400,ON,False,2000-07-28
2000-08-02,21.0,22.25,21.0,21.75,1389500,,False,2000-08-02
2000-08-03,20.8125,20.875,20.125,20.4375,755700,ON,False,2000-08-03
2000-08-07,20.75,21.25,20.75,20.875,315900,,False,2000-08-07
2000-08-08,20.75,20.875,20.5,20.6875,267600,ON,False,2000-08-08
2000-08-09,20.6875,20.75,19.625,20.0,6045100,ON,False,2000-08-09
2000-08-10,20.21875,20.3125,16.5,17.25,825300,ON,False,2000-08-10
2000-08-11,17.25,17.5,16.25,17.25,646400,ON,False,2000-08-11
2000-08-14,17.28125,17.625,16.875,17.0,200200,ON,False,2000-08-14
2000-08-15,17.5625,18.5,17.25,17.25,406900,ON,False,2000-08-15
2000-08-16,17.5,17.625,16.8125,17.125,258600,ON,False,2000-08-16
2000-08-17,16.9375,17.25,16.375,16.875,288700,ON,False,2000-08-17
2000-08-18,17.0,17.625,16.875,17.0,541600,ON,False,2000-08-18
2000-08-22,17.1875,17.25,16.25,16.75,1347100,,False,2000-08-22
2000-08-23,16.75,17.375,16.5,17.0,337700,ON,False,2000-08-23
2000-08-28,17.4375,17.9375,17.4375,17.625,898700,,False,2000-08-28
2000-08-29,17.5625,17.625,17.125,17.25,238600,ON,False,2000-08-29
2000-08-30,17.125,17.375,16.6875,17.375,769000,ON,False,2000-08-30
2000-09-01,17.375,17.5,16.875,17.5,266300,,False,2000-09-01
2000-09-05,17.5,17.625,17.1875,17.375,155300,ON,False,2000-09-05
2000-09-06,17.125,17.3125,16.875,16.9375,492400,ON,False,2000-09-06
2000-09-08,16.125,16.125,15.5,15.5,1562700,,False,2000-09-08
2000-09-11,15.75,16.5,15.75,16.5,596800,ON,False,2000-09-11
2000-09-13,16.5,17.125,16.5,16.6875,383400,,False,2000-09-13
2000-09-14,17.0,17.03125,15.75,15.875,97800,ON,False,2000-09-14
2000-09-15,15.875,16.125,14.875,14.875,189200,ON,False,2000-09-15
2000-09-19,13.125,13.125,11.375,13.0625,1381000,,False,2000-09-19
2000-09-21,13.125,13.75,12.75,12.8125,1270700,,False,2000-09-21
2000-09-22,12.1875,12.6875,11.625,12.25,477300,ON,False,2000-09-22
2000-09-25,12.6875,13.125,12.3125,12.75,514000,ON,False,2000-09-25
2000-09-26,12.65625,12.875,11.375,11.5625,258000,ON,False,2000-09-26
2000-09-27,11.75,12.25,10.75,10.75,314500,ON,False,2000-09-27
2000-09-29,10.8125,11.0,10.125,10.875,1637100,,False,2000-09-29
2000-10-02,11.0,11.375,10.625,11.0,169100,ON,False,2000-10-02
2000-10-05,11.75,12.9375,11.75,12.0625,1217700,,False,2000-10-05
2000-10-09,12.125,12.125,11.1875,12.0,499900,,False,2000-10-09
2000-10-10,11.75,12.0,10.625,10.8125,119100,ON,False,2000-10-10
2000-10-11,10.5625,10.6875,10.1875,10.4375,224900,ON,False,2000-10-11
2000-10-12,10.875,11.234375,10.375,10.875,208800,ON,False,2000-10-12
2000-10-16,10.9375,12.0625,10.75,11.0,267600,,False,2000-10-16
2000-10-19,10.75,10.75,9.625,10.5,2010400,,False,2000-10-19
2000-10-20,10.5625,11.125,10.5625,10.9375,412300,ON,False,2000-10-20
2000-10-23,11.0625,11.0625,10.1875,10.625,356300,ON,False,2000-10-23
2000-10-24,10.75,10.9375,9.75,10.0625,524100,ON,False,2000-10-24
2000-10-25,9.96875,10.0,9.1875,9.65625,313800,ON,False,2000-10-25
2000-11-06,9.875,10.75,9.875,9.875,2877800,,False,2000-11-06
2000-11-07,9.8125,10.34375,9.5,9.6875,325600,ON,False,2000-11-07
2000-11-08,9.75,9.75,8.875,9.03125,250600,ON,False,2000-11-08
2000-11-09,9.0,9.109375,8.375,8.5,214200,ON,False,2000-11-09
2000-11-10,8.5625,8.625,7.6875,7.8125,494300,ON,False,2000-11-10
2000-11-13,7.84375,8.375,7.625,8.0625,307900,ON,False,2000-11-13
2000-11-15,8.5625,9.125,8.15625,8.15625,2905200,,False,2000-11-15
2000-11-16,8.34375,8.625,8.0,8.1875,674400,ON,False,2000-11-16
2000-11-17,8.21875,9.0625,8.03125,9.0625,821200,ON,False,2000-11-17
2000-11-20,9.046875,9.125,8.25,8.34375,301400,ON,False,2000-11-20
2000-11-21,8.328125,8.34375,7.6875,7.875,312700,ON,False,2000-11-21
2000-11-22,7.71875,7.90625,7.5,7.5625,255000,ON,False,2000-11-22
2000-11-27,7.75,8.125,7.59375,7.75,326300,,False,2000-11-27
2000-11-28,7.765625,7.875,7.40625,7.5625,281000,ON,False,2000-11-28
2000-11-29,7.59375,7.59375,7.03125,7.375,281700,ON,False,2000-11-29
2000-11-30,7.0625,7.125,6.5,6.625,471500,ON,False,2000-11-30
2000-12-01,6.96875,7.25,6.78125,6.875,181500,ON,False,2000-12-01
2000-12-04,7.03125,7.09375,6.65625,7.09375,136600,ON,False,2000-12-04
2000-12-06,7.6875,8.40625,7.6875,7.78125,727200,,False,2000-12-06
2000-12-07,7.78125,7.796875,6.9375,7.25,218600,ON,False,2000-12-07
2000-12-08,7.4375,8.6875,7.4375,8.6875,349600,ON,False,2000-12-08
2000-12-11,8.71875,9.75,8.15625,8.96875,254000,ON,False,2000-12-11
2000-12-12,8.875,9.25,8.125,8.75,189500,ON,False,2000-12-12
2000-12-13,7.1875,7.375,6.5,6.59375,1341900,ON,False,2000-12-13
2000-12-14,6.71875,6.75,5.78125,6.0,1512200,ON,False,2000-12-14
2000-12-15,5.9375,6.03125,4.96875,5.25,1488300,ON,False,2000-12-15
2000-12-18,5.5,6.4375,5.5,6.34375,2622600,ON,False,2000-12-18
2000-12-19,6.34375,6.5625,5.625,5.75,1350500,ON,False,2000-12-19
2000-12-20,5.75,5.875,4.96875,5.4375,674200,ON,False,2000-12-20
2000-12-21,5.4375,5.5,4.25,4.75,346900,ON,False,2000-12-21
2000-12-22,4.6875,4.9375,4.0625,4.25,573000,ON,False,2000-12-22
2000-12-26,4.28125,4.5,4.0,4.5,1433800,ON,False,2000-12-26
2000-12-28,4.40625,5.125,4.390625,4.9375,2532500,,False,2000-12-28
2001-01-03,4.875,5.71875,4.75,5.5625,968400,,False,2001-01-03
2001-01-04,5.6875,5.9375,5.46875,5.75,204000,ON,False,2001-01-04
2001-01-05,5.625,5.96875,5.5,5.5625,72300,ON,False,2001-01-05
2001-01-08,5.5625,5.6875,5.21875,5.6875,112300,ON,False,2001-01-08
2001-01-09,5.75,6.25,5.71875,6.0625,161700,ON,False,2001-01-09
2001-01-10,6.0625,6.625,5.9375,6.1875,422500,ON,False,2001-01-10
2001-01-18,6.0,6.0,5.25,6.0,2576000,,False,2001-01-18
2001-01-19,6.6875,6.75,6.0,6.375,273900,ON,False,2001-01-19
2001-01-22,6.375,6.5,5.9375,6.09375,220100,ON,False,2001-01-22
2001-01-23,6.15625,6.9375,6.0625,6.75,739600,ON,False,2001-01-23
2001-01-25,7.40625,8.0,7.40625,7.875,1298400,,False,2001-01-25
2001-01-26,7.703125,8.375,7.5,8.0,585600,ON,False,2001-01-26
2001-01-29,8.1875,8.5,7.75,8.21875,409200,ON,False,2001-01-29
2001-01-30,8.25,8.75,7.9375,7.9375,434800,ON,False,2001-01-30
2001-01-31,8.09375,8.1875,6.9375,7.375,580500,ON,False,2001-01-31
2001-02-02,7.328125,7.328125,6.5625,7.125,387100,,False,2001-02-02
2001-02-06,7.109375,7.125,6.5,7.125,292300,,False,2001-02-06
2001-02-07,7.390625,7.40625,6.90625,7.03125,77900,ON,False,2001-02-07
2001-02-08,7.25,7.6875,7.125,7.28125,106700,ON,False,2001-02-08
2001-02-09,7.28125,7.40625,6.875,7.125,68800,ON,False,2001-02-09
2001-02-12,7.03125,7.125,6.625,6.71875,131400,ON,False,2001-02-12
2001-02-13,6.984375,7.0,6.53125,6.625,154500,ON,False,2001-02-13
2001-02-14,6.53125,6.9375,6.4375,6.75,61800,ON,False,2001-02-14
2001-02-15,6.96875,7.6875,6.9375,7.21875,122300,ON,False,2001-02-15
2001-02-20,6.875,7.125,6.4375,6.5,257100,,False,2001-02-20
2001-02-21,6.5,6.5625,6.0625,6.125,95200,ON,False,2001-02-21
2001-02-22,6.0625,6.34375,5.96875,6.0625,78700,ON,False,2001-02-22
2001-02-23,6.0,6.078125,5.5,5.8125,152500,ON,False,2001-02-23
2001-02-27,6.0625,6.25,5.859375,5.859375,185000,,False,2001-02-27
2001-03-02,5.8125,5.8125,5.5,5.8125,194300,,False,2001-03-02
2001-03-06,5.875,6.1875,5.75,5.875,292600,,False,2001-03-06
2001-03-08,6.0625,6.75,6.0625,6.3125,466700,,False,2001-03-08
2001-03-12,5.21875,5.40625,4.9375,5.3125,1290600,,False,2001-03-12
2001-03-14,5.375,5.625,5.1875,5.40625,411200,,False,2001-03-14
2001-03-16,5.625,6.0,5.625,5.6875,526500,,False,2001-03-16
2001-03-20,5.65625,5.71875,5.0,5.4375,300600,,False,2001-03-20
2001-03-22,5.25,5.25,4.8125,5.09375,240800,,False,2001-03-22
2001-03-23,5.125,5.5,5.0625,5.5,111300,ON,False,2001-03-23
2001-03-26,5.5,5.625,5.125,5.5,88300,ON,False,2001-03-26
2001-03-28,5.5,5.75,5.5,5.5625,354200,,False,2001-03-28
2001-03-30,5.375,5.375,4.59375,5.34375,405000,,False,2001-03-30
2001-04-02,5.3125,5.40625,4.875,5.0,74700,ON,False,2001-04-02
2001-04-03,5.125,5.15625,4.125,4.375,104400,ON,False,2001-04-03
2001-04-06,4.3125,4.3125,3.9375,4.0625,304100,,False,2001-04-06
2001-04-09,4.079999923706055,4.480000019073486,4.070000171661377,4.179999828338623,34900,ON,False,2001-04-09
2001-04-10,4.110000133514404,4.5,4.099999904632568,4.420000076293945,80600,ON,False,2001-04-10
2001-04-12,4.619999885559082,4.800000190734863,4.5,4.650000095367432,234500,,False,2001-04-12
2001-04-16,4.5,4.510000228881836,4.25,4.320000171661377,63400,ON,False,2001-04-16
2001-04-17,4.320000171661377,4.320000171661377,3.9800000190734863,4.139999866485596,78700,ON,False,2001-04-17
2001-04-18,4.28000020980835,5.25,4.139999866485596,5.199999809265137,273800,ON,False,2001-04-18
2001-04-20,5.239999771118164,5.380000114440918,5.010000228881836,5.090000152587891,239400,,False,2001-04-20
2001-04-25,5.0,5.0,4.599999904632568,5.0,189400,,False,2001-04-25
2001-04-26,5.25,5.300000190734863,4.960000038146973,5.159999847412109,250600,ON,False,2001-04-26
2001-04-27,5.25,5.320000171661377,5.010000228881836,5.28000020980835,76100,ON,False,2001-04-27
2001-04-30,5.269999980926514,5.989999771118164,5.25,5.900000095367432,314400,ON,False,2001-04-30
2001-05-01,5.909999847412109,6.03000020980835,5.75,5.880000114440918,69800,ON,False,2001-05-01
2001-05-03,6.0,6.369999885559082,5.960000038146973,6.199999809265137,297900,,False,2001-05-03
2001-05-04,6.179999828338623,6.900000095367432,6.010000228881836,6.5,187200,ON,False,2001-05-04
2001-05-09,7.139999866485596,8.0,7.050000190734863,7.179999828338623,995200,,False,2001-05-09
2001-05-10,7.230000019073486,7.400000095367432,6.699999809265137,6.730000019073486,178100,ON,False,2001-05-10
2001-05-14,6.739999771118164,6.980000019073486,6.570000171661377,6.769999980926514,161900,,False,2001-05-14
2001-05-15,6.829999923706055,7.039999961853027,6.699999809265137,7.0,126100,ON,False,2001-05-15
2001-05-17,6.949999809265137,7.170000076293945,6.949999809265137,7.050000190734863,422900,,False,2001-05-17
2001-05-18,7.039999961853027,7.039999961853027,6.349999904632568,6.949999809265137,96500,ON,False,2001-05-18
2001-05-21,6.900000095367432,7.300000190734863,6.820000171661377,7.099999904632568,389400,ON,False,2001-05-21
2001-05-22,7.25,7.25,6.760000228881836,6.940000057220459,56300,ON,False,2001-05-22
2001-05-23,7.0,7.03000020980835,6.559999942779541,6.619999885559082,63100,ON,False,2001-05-23
2001-05-24,6.789999961853027,6.949999809265137,6.329999923706055,6.929999828338623,203400,ON,False,2001-05-24
2001-05-25,6.949999809265137,7.099999904632568,6.75,6.800000190734863,125800,ON,False,2001-05-25
2001-05-29,6.800000190734863,6.849999904632568,5.869999885559082,6.099999904632568,256600,ON,False,2001-05-29
2001-05-30,6.0,6.039999961853027,5.599999904632568,5.929999828338623,161800,ON,False,2001-05-30
2001-06-01,6.5,7.010000228881836,6.5,6.940000057220459,1367600,,False,2001-06-01
2001-06-06,6.539999961853027,6.889999866485596,6.400000095367432,6.699999809265137,725100,,False,2001-06-06
2001-06-08,6.699999809265137,6.699999809265137,6.28000020980835,6.389999866485596,205200,,False,2001-06-08
2001-06-11,6.349999904632568,6.5,6.159999847412109,6.230000019073486,78800,ON,False,2001-06-11
2001-06-12,6.21999979019165,6.300000190734863,5.96999979019165,6.0,87100,ON,False,2001-06-12
2001-06-14,6.050000190734863,6.099999904632568,5.599999904632568,5.920000076293945,615200,,False,2001-06-14
2001-06-15,5.579999923706055,5.820000171661377,5.300000190734863,5.349999904632568,301100,ON,False,2001-06-15
2001-06-20,5.090000152587891,5.090000152587891,4.550000190734863,4.800000190734863,670400,,False,2001-06-20
2001-06-21,4.809999942779541,5.150000095367432,4.78000020980835,4.940000057220459,39800,ON,False,2001-06-21
2001-06-25,4.5,4.920000076293945,4.400000095367432,4.920000076293945,230100,,False,2001-06-25
2001-06-26,5.03000020980835,5.199999809265137,5.0,5.0,110100,ON,False,2001-06-26
