Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1997-11-21,23.5,23.5,22.75,23.0,3821400,PLD,False,1997-11-21
1997-11-28,23.0,23.0,22.25,23.0,1192300,,False,1997-11-28
1997-12-02,23.0625,23.125,23.0,23.0,284500,,False,1997-12-02
1997-12-05,23.0625,23.0625,22.875,23.0625,731300,,False,1997-12-05
1997-12-10,23.0625,23.25,23.0625,23.0625,240400,,False,1997-12-10
1997-12-11,23.0,23.125,23.0,23.0625,153600,PLD,False,1997-12-11
1997-12-15,23.0625,23.1875,23.0625,23.1875,84300,,False,1997-12-15
1997-12-16,23.1875,23.75,23.1875,23.625,107900,PLD,False,1997-12-16
1997-12-19,24.125,24.25,24.125,24.125,234000,,False,1997-12-19
1997-12-22,23.9375,24.125,23.875,24.0,34400,PLD,False,1997-12-22
1997-12-23,24.0,24.1875,24.0,24.0,88500,PLD,False,1997-12-23
1997-12-24,23.9375,24.0,23.8125,24.0,63300,PLD,False,1997-12-24
1997-12-26,23.875,23.875,23.5625,23.6875,34600,PLD,False,1997-12-26
1997-12-30,23.875,24.3125,23.75,24.3125,212000,,False,1997-12-30
1998-01-06,24.625,25.125,24.625,24.6875,336900,,False,1998-01-06
1998-01-08,24.6875,24.75,24.375,24.5625,145200,,False,1998-01-08
1998-01-09,24.5,24.5,24.125,24.375,37800,PLD,False,1998-01-09
1998-01-12,24.125,24.4375,23.75,24.4375,24500,PLD,False,1998-01-12
1998-01-15,24.5,24.75,24.5,24.5,431300,,False,1998-01-15
1998-01-16,24.5625,24.5625,24.375,24.5,13600,PLD,False,1998-01-16
1998-01-22,24.625,24.875,24.625,24.6875,253200,,False,1998-01-22
1998-01-23,24.75,24.75,24.4375,24.4375,11200,PLD,False,1998-01-23
1998-01-27,24.3125,24.375,24.0,24.25,67800,,False,1998-01-27
1998-01-29,24.125,24.125,23.75,24.0,136400,,False,1998-01-29
1998-01-30,24.0,24.5,24.0,24.5,33000,PLD,False,1998-01-30
