Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1995-06-02,0.75,0.75,0.65625,0.671875,14915200,RMD,False,1995-06-02
1995-06-06,0.6640629768371582,0.6640629768371582,0.6367189884185791,0.640625,9556800,,False,1995-06-06
1995-06-07,0.640625,0.640625,0.609375,0.640625,4793600,RMD,False,1995-06-07
1995-06-08,0.640625,0.703125,0.625,0.703125,7235200,RMD,False,1995-06-08
1995-07-05,0.75,0.8125,0.75,0.78125,29396800,,False,1995-07-05
1995-07-06,0.78125,0.828125,0.78125,0.828125,691200,RMD,False,1995-07-06
1995-07-07,0.796875,0.890625,0.796875,0.859375,1740800,RMD,False,1995-07-07
1995-07-11,0.875,0.90625,0.859375,0.859375,1500800,,False,1995-07-11
1995-07-13,0.84375,0.875,0.84375,0.875,1046400,,False,1995-07-13
1995-07-18,0.875,0.890625,0.875,0.875,766400,,False,1995-07-18
1995-07-25,0.828125,0.828125,0.78125,0.796875,558400,,False,1995-07-25
1995-07-26,0.828125,0.84375,0.796875,0.84375,187200,RMD,False,1995-07-26
1995-07-27,0.84375,0.890625,0.828125,0.890625,979200,RMD,False,1995-07-27
1995-08-03,0.90625,0.90625,0.90625,0.90625,206400,,False,1995-08-03
1995-08-09,0.859375,0.859375,0.859375,0.859375,424000,,False,1995-08-09
1995-09-07,0.9375,0.984375,0.9375,0.984375,17456000,,False,1995-09-07
1995-09-08,0.984375,1.0,0.96875,1.0,2222400,RMD,False,1995-09-08
1995-09-29,1.078125,1.125,1.078125,1.109375,9699200,,False,1995-09-29
1995-10-03,1.0625,1.109375,1.0625,1.0625,3420800,,False,1995-10-03
1995-10-04,1.0625,1.0703129768371582,1.03125,1.03125,5144000,RMD,False,1995-10-04
1995-10-05,1.03125,1.046875,0.984375,0.984375,334400,RMD,False,1995-10-05
1995-10-09,0.984375,1.015625,0.9375,0.96875,459200,,False,1995-10-09
1995-10-10,0.921875,0.96875,0.890625,0.90625,379200,RMD,False,1995-10-10
1995-10-20,0.875,0.90625,0.859375,0.90625,5112000,,False,1995-10-20
1995-10-23,0.890625,0.9375,0.875,0.9375,30400,RMD,False,1995-10-23
1995-10-24,0.9375,1.0,0.90625,1.0,411200,RMD,False,1995-10-24
1995-10-27,1.0,1.015625,0.96875,0.96875,198400,,False,1995-10-27
1995-10-30,0.953125,0.953125,0.953125,0.953125,11200,RMD,False,1995-10-30
1995-11-02,0.9375,0.9375,0.9375,0.9375,747200,,False,1995-11-02
1995-11-08,1.0,1.0,1.0,1.0,3465600,,False,1995-11-08
1995-11-09,0.9375,0.9375,0.9375,0.9375,3200,RMD,False,1995-11-09
1995-11-10,1.0,1.0,1.0,1.0,3200,RMD,False,1995-11-10
1995-11-15,0.9375,0.9375,0.9375,0.9375,68800,,False,1995-11-15
1995-11-17,1.0,1.0,1.0,1.0,24000,,False,1995-11-17
1995-11-20,0.9375,0.9414060115814208,0.859375,0.921875,974400,RMD,False,1995-11-20
1995-12-06,0.8125,0.8125,0.75,0.8125,10697600,,False,1995-12-06
1995-12-12,0.875,0.875,0.8125,0.84375,883200,,False,1995-12-12
1995-12-20,0.71875,0.71875,0.65625,0.71875,10705600,,False,1995-12-20
1996-01-12,0.859375,0.875,0.859375,0.859375,9612800,,False,1996-01-12
1996-01-17,0.84375,0.859375,0.8125,0.84375,1481600,,False,1996-01-17
1996-02-09,0.875,0.875,0.875,0.875,3352000,,False,1996-02-09
1996-02-12,0.8125,0.8125,0.78125,0.78125,155200,RMD,False,1996-02-12
1996-02-27,0.671875,0.671875,0.625,0.671875,8249600,,False,1996-02-27
1996-03-01,0.6875,0.71875,0.671875,0.671875,4374400,,False,1996-03-01
1996-03-21,0.734375,0.859375,0.734375,0.859375,12520000,,False,1996-03-21
1996-03-28,0.859375,0.890625,0.84375,0.875,5212800,,False,1996-03-28
1996-04-10,0.875,0.875,0.828125,0.875,3075200,,False,1996-04-10
1996-04-11,0.875,0.890625,0.84375,0.890625,1067200,RMD,False,1996-04-11
1996-04-17,0.890625,0.90625,0.8828129768371582,0.8828129768371582,497600,,False,1996-04-17
1996-05-08,0.828125,0.828125,0.78125,0.828125,4065600,,False,1996-05-08
1996-05-09,0.84375,0.84375,0.796875,0.84375,65600,RMD,False,1996-05-09
1996-05-10,0.84375,0.859375,0.828125,0.84375,155200,RMD,False,1996-05-10
1996-05-14,0.890625,0.9375,0.875,0.9375,659200,,False,1996-05-14
1996-05-16,0.9375,1.0,0.9375,1.0,961600,,False,1996-05-16
1996-05-21,1.03125,1.109375,1.03125,1.0390629768371582,1041600,,False,1996-05-21
1996-05-29,1.015625,1.015625,1.015625,1.015625,1419200,,False,1996-05-29
1996-06-04,1.078125,1.078125,1.078125,1.078125,110400,,False,1996-06-04
1996-06-06,1.015625,1.03125,1.015625,1.03125,780800,,False,1996-06-06
1996-06-10,1.0,1.0,0.9375,0.953125,387200,,False,1996-06-10
1996-06-11,0.96875,0.96875,0.90625,0.90625,660800,RMD,False,1996-06-11
1996-06-19,1.015625,1.125,1.015625,1.015625,11144000,,False,1996-06-19
1996-07-01,1.0,1.0,0.96875,1.0,1409600,,False,1996-07-01
1996-07-03,0.984375,1.03125,0.984375,0.984375,102400,,False,1996-07-03
1996-07-09,1.046875,1.0625,1.046875,1.046875,731200,,False,1996-07-09
1996-07-11,1.015625,1.0390629768371582,1.0,1.0390629768371582,532800,,False,1996-07-11
1996-07-19,1.0625,1.0625,1.0625,1.0625,633600,,False,1996-07-19
1996-07-22,1.0,1.046875,1.0,1.046875,67200,RMD,False,1996-07-22
1996-07-23,1.0,1.015625,0.96875,0.96875,64000,RMD,False,1996-07-23
1996-07-25,0.96875,0.96875,0.921875,0.96875,496000,,False,1996-07-25
1996-07-30,0.984375,0.984375,0.984375,0.984375,139200,,False,1996-07-30
1996-08-07,1.0,1.0,1.0,1.0,537600,,False,1996-08-07
1996-08-08,0.9375,0.96875,0.90625,0.90625,200000,RMD,False,1996-08-08
1996-08-12,0.96875,1.03125,0.96875,1.03125,2195200,,False,1996-08-12
1996-08-13,1.0625,1.0625,1.0,1.0625,232000,RMD,False,1996-08-13
1996-08-14,1.0625,1.09375,1.03125,1.078125,443200,RMD,False,1996-08-14
1996-08-15,1.0546879768371582,1.1328129768371582,1.0546879768371582,1.1328129768371582,363200,RMD,False,1996-08-15
1996-08-16,1.125,1.21875,1.125,1.21875,1428800,RMD,False,1996-08-16
1996-08-22,1.234375,1.328125,1.234375,1.25,3281600,,False,1996-08-22
1996-08-29,1.1875,1.1875,1.1875,1.1875,1489600,,False,1996-08-29
1996-09-17,1.265625,1.296875,1.265625,1.265625,2979200,,False,1996-09-17
1996-10-31,1.046875,1.046875,1.0,1.046875,14787200,,False,1996-10-31
1996-11-05,1.015625,1.0625,1.015625,1.015625,2344000,,False,1996-11-05
1996-11-07,1.0625,1.109375,1.0625,1.078125,652800,,False,1996-11-07
1996-11-11,1.140625,1.203125,1.140625,1.1875,633600,,False,1996-11-11
1996-11-13,1.140625,1.140625,1.078125,1.125,334400,,False,1996-11-13
