Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1992-02-13,2.0,2.09375,2.0,2.046875,18506400,ROP,False,1992-02-13
1992-02-18,2.0625,2.28125,2.0625,2.0625,5712800,,False,1992-02-18
1992-02-19,2.09375,2.15625,2.03125,2.15625,2454400,ROP,False,1992-02-19
1992-02-26,2.25,2.34375,2.25,2.34375,4062400,,False,1992-02-26
1992-02-27,2.28125,2.4375,2.28125,2.40625,555200,ROP,False,1992-02-27
1992-02-28,2.4375,2.59375,2.375,2.53125,1108800,ROP,False,1992-02-28
1992-03-02,2.59375,2.609375,2.46875,2.5625,873600,ROP,False,1992-03-02
1992-03-10,2.4375,2.4375,2.34375,2.4375,3008000,,False,1992-03-10
1992-03-17,2.5,2.5625,2.5,2.5,768000,,False,1992-03-17
1992-03-25,2.46875,2.46875,2.4375,2.46875,1076800,,False,1992-03-25
1992-03-26,2.40625,2.421875,2.40625,2.40625,47200,ROP,False,1992-03-26
1992-04-14,2.5,2.5625,2.46875,2.46875,1356000,,False,1992-04-14
1992-04-16,2.46875,2.5,2.4375,2.4375,147200,,False,1992-04-16
1992-04-27,2.375,2.375,2.34375,2.34375,568000,,False,1992-04-27
1992-05-04,2.3125,2.3125,2.25,2.3125,824000,,False,1992-05-04
1992-05-06,2.25,2.25,2.1875,2.1875,516800,,False,1992-05-06
1992-05-08,2.1875,2.1875,2.125,2.15625,580000,,False,1992-05-08
1992-05-13,2.234375,2.34375,2.234375,2.234375,479200,,False,1992-05-13
1992-05-20,2.21875,2.21875,2.15625,2.15625,419200,,False,1992-05-20
1992-05-22,2.09375,2.09375,2.03125,2.0625,228800,,False,1992-05-22
1992-05-26,1.9375,1.9375,1.75,1.921875,1848800,ROP,False,1992-05-26
1992-05-28,1.875,2.0,1.875,1.890625,1781600,,False,1992-05-28
1992-06-05,1.875,1.875,1.8125,1.875,1564800,,False,1992-06-05
1992-06-08,1.90625,1.90625,1.90625,1.90625,1600,ROP,False,1992-06-08
1992-06-12,1.8125,1.875,1.8125,1.8125,1314400,,False,1992-06-12
1992-06-17,1.75,1.75,1.71875,1.734375,668000,,False,1992-06-17
1992-06-19,1.6875,1.703125,1.65625,1.703125,2805600,,False,1992-06-19
1992-06-22,1.75,1.75,1.6875,1.6875,14400,ROP,False,1992-06-22
1992-06-25,1.65625,1.703125,1.625,1.625,1288800,,False,1992-06-25
1992-06-30,1.59375,1.59375,1.46875,1.578125,1803200,,False,1992-06-30
1992-07-07,1.609375,1.6875,1.609375,1.609375,2248000,,False,1992-07-07
1992-07-09,1.5625,1.625,1.46875,1.53125,1876800,,False,1992-07-09
1992-07-13,1.5625,1.65625,1.5625,1.578125,286400,,False,1992-07-13
1992-07-14,1.53125,1.5625,1.53125,1.5625,644000,ROP,False,1992-07-14
1992-07-15,1.609375,1.65625,1.59375,1.640625,330400,ROP,False,1992-07-15
1992-07-16,1.625,1.625,1.546875,1.578125,175200,ROP,False,1992-07-16
1992-07-20,1.5,1.5,1.4375,1.5,704800,,False,1992-07-20
1992-07-23,1.53125,1.5625,1.53125,1.53125,842400,,False,1992-07-23
1992-07-27,1.4375,1.484375,1.4375,1.484375,52000,,False,1992-07-27
1992-08-04,1.625,1.6875,1.625,1.625,2292800,,False,1992-08-04
1992-08-05,1.703125,1.71875,1.6875,1.6875,283200,ROP,False,1992-08-05
1992-08-07,1.625,1.65625,1.625,1.65625,308800,,False,1992-08-07
1992-08-10,1.71875,1.71875,1.703125,1.703125,80000,ROP,False,1992-08-10
1992-08-12,1.671875,1.6875,1.5625,1.625,531200,,False,1992-08-12
1992-08-13,1.5625,1.5625,1.53125,1.546875,480000,ROP,False,1992-08-13
1992-08-18,1.59375,1.59375,1.59375,1.59375,725600,,False,1992-08-18
1992-08-27,1.515625,1.515625,1.46875,1.484375,3298400,,False,1992-08-27
1992-08-31,1.53125,1.5625,1.53125,1.53125,18400,,False,1992-08-31
1992-09-02,1.46875,1.46875,1.46875,1.46875,158400,,False,1992-09-02
1992-09-09,1.5625,1.59375,1.5,1.578125,1566400,,False,1992-09-09
1992-09-10,1.53125,1.625,1.53125,1.53125,26400,ROP,False,1992-09-10
1992-09-11,1.65625,1.75,1.625,1.6875,232800,ROP,False,1992-09-11
1992-09-18,2.0,2.25,2.0,2.0,3177600,,False,1992-09-18
1992-09-25,2.0,2.0,1.921875,2.0,2199200,,False,1992-09-25
1992-09-28,1.9375,2.03125,1.9375,1.953125,144800,ROP,False,1992-09-28
1992-09-29,2.0,2.0625,1.953125,2.0625,18400,ROP,False,1992-09-29
1992-09-30,1.9375,1.9375,1.9375,1.9375,3200,ROP,False,1992-09-30
1992-10-02,2.0625,2.078125,2.0625,2.0625,144000,,False,1992-10-02
1992-10-08,1.953125,1.984375,1.9375,1.984375,733600,,False,1992-10-08
1992-10-14,2.0625,2.15625,2.0625,2.109375,388800,,False,1992-10-14
1992-10-19,2.03125,2.125,2.03125,2.09375,593600,,False,1992-10-19
1992-10-26,2.125,2.1875,2.125,2.15625,822400,,False,1992-10-26
1992-11-12,2.4375,2.53125,2.4375,2.53125,1828000,,False,1992-11-12
1992-11-16,2.40625,2.40625,2.28125,2.28125,281600,,False,1992-11-16
1992-11-17,2.328125,2.359375,2.125,2.125,285600,ROP,False,1992-11-17
1992-11-18,2.125,2.140625,2.03125,2.125,566400,ROP,False,1992-11-18
1992-11-19,2.125,2.1875,2.09375,2.15625,196800,ROP,False,1992-11-19
1992-11-23,2.25,2.296875,2.25,2.25,126400,,False,1992-11-23
1992-11-24,2.203125,2.28125,2.15625,2.15625,260800,ROP,False,1992-11-24
1992-12-08,2.28125,2.34375,2.28125,2.34375,948000,,False,1992-12-08
1992-12-15,2.34375,2.46875,2.34375,2.375,191200,,False,1992-12-15
1992-12-30,2.25,2.25,2.1875,2.25,433600,,False,1992-12-30
1993-01-04,2.21875,2.28125,2.21875,2.25,344800,,False,1993-01-04
1993-01-05,2.25,2.375,2.25,2.375,1566400,ROP,False,1993-01-05
