Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1996-12-03,4.375,4.65625,4.375,4.5,24025600,False,1996-12-03,
1996-12-04,4.4375,4.5,4.3125,4.5,299200,False,1996-12-04,STLD
1996-12-05,4.5625,4.5625,4.375,4.4375,568000,False,1996-12-05,STLD
1996-12-06,4.3125,4.46875,4.1875,4.46875,551600,False,1996-12-06,STLD
1996-12-16,4.375,4.5625,4.375,4.375,3786000,False,1996-12-16,
1996-12-17,4.34375,4.53125,4.34375,4.4375,696800,False,1996-12-17,STLD
1996-12-18,4.5625,4.65625,4.46875,4.65625,224000,False,1996-12-18,STLD
1996-12-23,4.8125,5.25,4.8125,4.90625,2877200,False,1996-12-23,
1996-12-24,4.90625,4.90625,4.75,4.8125,64400,False,1996-12-24,STLD
1996-12-26,4.8125,4.8125,4.6875,4.75,166400,False,1996-12-26,STLD
1996-12-30,4.75,4.875,4.75,4.84375,482400,False,1996-12-30,
1997-01-02,4.78125,4.78125,4.6875,4.75,344400,False,1997-01-02,
1997-01-03,4.75,4.9375,4.75,4.875,223600,False,1997-01-03,STLD
1997-01-06,4.90625,5.09375,4.84375,5.0625,296800,False,1997-01-06,STLD
1997-01-09,5.34375,5.65625,5.34375,5.53125,3383200,False,1997-01-09,
1997-01-10,5.625,5.96875,5.5,5.9375,946000,False,1997-01-10,STLD
1997-01-13,5.875,6.03125,5.84375,5.96875,761200,False,1997-01-13,STLD
1997-01-14,6.0,6.0,5.8125,5.875,253200,False,1997-01-14,STLD
1997-01-16,5.78125,5.78125,5.625,5.78125,1004400,False,1997-01-16,
1997-01-17,5.78125,5.84375,5.71875,5.84375,83200,False,1997-01-17,STLD
1997-01-20,5.875,6.125,5.75,6.09375,396000,False,1997-01-20,STLD
1997-01-21,6.1875,6.34375,6.0625,6.15625,768400,False,1997-01-21,STLD
1997-01-22,6.1875,6.1875,5.625,5.8125,508000,False,1997-01-22,STLD
1997-01-23,5.6875,5.8125,5.3125,5.40625,603200,False,1997-01-23,STLD
1997-01-24,5.4375,5.4375,5.1875,5.4375,884800,False,1997-01-24,STLD
1997-02-03,5.5625,5.8125,5.5625,5.65625,2238400,False,1997-02-03,
1997-02-05,5.5625,5.5625,5.4375,5.46875,200000,False,1997-02-05,
1997-02-07,5.625,5.75,5.625,5.6875,555600,False,1997-02-07,
1997-02-10,5.6875,5.6875,5.375,5.4375,195200,False,1997-02-10,STLD
1997-02-11,5.5,5.5,5.1875,5.375,484000,False,1997-02-11,STLD
1997-02-12,5.375,5.625,5.3125,5.5,170400,False,1997-02-12,STLD
1997-02-13,5.5,5.5,5.0,5.03125,955600,False,1997-02-13,STLD
1997-02-14,5.15625,5.15625,4.984375,4.984375,491200,False,1997-02-14,STLD
1997-02-18,5.0,5.09375,4.9375,5.0625,577200,False,1997-02-18,STLD
1997-02-20,5.0,5.0,4.875,4.984375,1592000,False,1997-02-20,
1997-03-03,5.0,5.125,5.0,5.015625,1822400,False,1997-03-03,
1997-03-06,5.0625,5.0625,4.875,4.875,1004400,False,1997-03-06,
1997-03-10,4.9375,4.9375,4.75,4.875,431600,False,1997-03-10,
1997-03-19,4.78125,4.78125,4.59375,4.65625,2010000,False,1997-03-19,
1997-03-24,4.65625,4.65625,4.5,4.5,617600,False,1997-03-24,
1997-03-25,4.53125,4.53125,4.375,4.40625,578800,False,1997-03-25,STLD
1997-04-03,4.34375,4.34375,4.125,4.25,6019200,False,1997-04-03,
1997-04-04,4.21875,4.375,4.21875,4.375,141600,False,1997-04-04,STLD
1997-04-07,4.375,4.4375,4.28125,4.4375,163200,False,1997-04-07,STLD
1997-04-08,4.71875,5.0625,4.5625,5.0,412400,False,1997-04-08,STLD
1997-04-10,5.03125,5.21875,5.03125,5.0625,1756800,False,1997-04-10,
1997-04-14,5.0,5.0,4.84375,4.914062976837158,323600,False,1997-04-14,
1997-04-18,4.65625,4.65625,4.46875,4.59375,1001200,False,1997-04-18,
1997-04-23,4.65625,4.78125,4.65625,4.75,344800,False,1997-04-23,
1997-04-24,4.75,4.8125,4.6875,4.75,162000,False,1997-04-24,STLD
1997-04-28,4.75,4.75,4.625,4.75,284800,False,1997-04-28,
1997-04-29,4.8125,4.84375,4.6875,4.84375,132800,False,1997-04-29,STLD
1997-04-30,4.75,5.0,4.75,4.875,231600,False,1997-04-30,STLD
1997-05-01,5.0,5.0625,4.875,4.984375,438800,False,1997-05-01,STLD
1997-05-02,5.0,5.09375,4.9375,5.0,311600,False,1997-05-02,STLD
1997-05-05,5.1875,5.28125,5.09375,5.25,310800,False,1997-05-05,STLD
1997-05-07,5.25,5.40625,5.21875,5.375,743200,False,1997-05-07,
1997-05-08,5.3125,5.8125,5.3125,5.65625,451200,False,1997-05-08,STLD
1997-05-12,5.75,6.0,5.75,5.8125,698800,False,1997-05-12,
1997-05-13,5.84375,5.84375,5.625,5.625,264000,False,1997-05-13,STLD
1997-05-14,5.625,5.75,5.5,5.5,297200,False,1997-05-14,STLD
1997-05-15,5.5,5.625,5.15625,5.21875,302000,False,1997-05-15,STLD
1997-05-21,5.15625,5.15625,4.8125,5.15625,1809200,False,1997-05-21,
1997-05-22,5.15625,5.53125,5.125,5.5,228400,False,1997-05-22,STLD
1997-05-23,5.5625,5.71875,5.5,5.65625,264400,False,1997-05-23,STLD
1997-05-27,5.75,5.75,5.625,5.65625,782800,False,1997-05-27,STLD
1997-06-03,5.65625,5.65625,5.5,5.65625,911200,False,1997-06-03,
1997-06-04,5.625,5.75,5.5625,5.71875,674400,False,1997-06-04,STLD
1997-06-06,5.75,5.78125,5.71875,5.78125,360800,False,1997-06-06,
1997-06-09,5.78125,5.9375,5.75,5.84375,101600,False,1997-06-09,STLD
1997-06-11,5.875,6.0,5.875,5.9375,1456000,False,1997-06-11,
1997-06-16,5.8125,5.8125,5.59375,5.6875,500400,False,1997-06-16,
1997-06-18,5.53125,5.53125,5.25,5.5,1386000,False,1997-06-18,
1997-06-20,5.5625,5.6875,5.53125,5.6875,568400,False,1997-06-20,
1997-06-24,5.78125,6.0625,5.625,6.0,470800,False,1997-06-24,
1997-06-26,6.03125,6.125,6.03125,6.125,614400,False,1997-06-26,
1997-07-03,6.375,6.59375,6.375,6.40625,3183200,False,1997-07-03,
1997-07-07,6.375,6.4375,6.1875,6.4375,978400,False,1997-07-07,STLD
1997-07-08,6.4375,6.875,6.375,6.65625,1238400,False,1997-07-08,STLD
1997-07-09,6.71875,6.9375,6.59375,6.9375,556800,False,1997-07-09,STLD
1997-07-11,6.9375,7.1875,6.90625,6.96875,1870000,False,1997-07-11,
1997-07-14,6.84375,6.96875,6.6875,6.71875,246800,False,1997-07-14,STLD
1997-07-16,6.59375,6.59375,6.3125,6.5625,983200,False,1997-07-16,
1997-07-17,6.59375,6.65625,6.5,6.59375,131600,False,1997-07-17,STLD
1997-07-21,6.5625,6.5625,6.4375,6.5625,345200,False,1997-07-21,
1997-07-30,6.4375,6.4375,6.1875,6.4375,1560000,False,1997-07-30,
1997-08-01,6.4375,6.625,6.3125,6.4375,851200,False,1997-08-01,
1997-08-05,6.25,6.25,5.8125,6.1875,980400,False,1997-08-05,
1997-08-06,6.125,6.375,6.125,6.375,218000,False,1997-08-06,STLD
