Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1980-03-17,5.25,5.4375,5.25,5.25,70800,SWK,False,1980-03-17
1980-03-18,5.208333015441895,5.208333015441895,5.083333015441895,5.208333015441895,100200,SWK,False,1980-03-18
1980-03-21,5.25,5.2916669845581055,5.25,5.2916669845581055,412800,,False,1980-03-21
1980-03-24,5.270833015441895,5.270833015441895,5.125,5.125,72600,SWK,False,1980-03-24
1980-03-25,5.125,5.1666669845581055,5.083333015441895,5.083333015441895,82200,SWK,False,1980-03-25
1980-03-26,5.083333015441895,5.125,5.020833015441895,5.020833015441895,62400,SWK,False,1980-03-26
1980-03-31,4.833333015441895,4.833333015441895,4.5,4.833333015441895,902400,,False,1980-03-31
1980-04-01,4.833333015441895,4.958333015441895,4.833333015441895,4.958333015441895,36600,SWK,False,1980-04-01
1980-04-02,4.9791669845581055,5.208333015441895,4.9791669845581055,5.208333015441895,133200,SWK,False,1980-04-02
1980-04-03,5.25,5.333333015441895,5.25,5.2916669845581055,60000,SWK,False,1980-04-03
1980-04-07,5.1666669845581055,5.1666669845581055,5.083333015441895,5.083333015441895,239400,SWK,False,1980-04-07
1980-04-08,5.083333015441895,5.125,5.0416669845581055,5.0416669845581055,29400,SWK,False,1980-04-08
1980-04-09,5.0416669845581055,5.0416669845581055,4.833333015441895,5.0,423600,SWK,False,1980-04-09
1980-04-11,5.0416669845581055,5.083333015441895,5.0416669845581055,5.0416669845581055,172200,,False,1980-04-11
1980-04-14,4.958333015441895,5.0,4.9166669845581055,4.958333015441895,176400,SWK,False,1980-04-14
1980-04-16,4.9166669845581055,4.9166669845581055,4.833333015441895,4.875,246600,,False,1980-04-16
1980-04-17,4.875,4.875,4.7916669845581055,4.875,97800,SWK,False,1980-04-17
1980-04-18,4.875,4.958333015441895,4.875,4.9166669845581055,45000,SWK,False,1980-04-18
1980-04-21,4.875,4.875,4.75,4.75,55800,SWK,False,1980-04-21
1980-04-22,4.833333015441895,4.958333015441895,4.833333015441895,4.9166669845581055,36600,SWK,False,1980-04-22
1980-04-23,4.9166669845581055,5.0416669845581055,4.875,4.875,38400,SWK,False,1980-04-23
1980-04-24,4.875,4.9166669845581055,4.8125,4.8541669845581055,28200,SWK,False,1980-04-24
1980-04-25,4.8541669845581055,4.8541669845581055,4.7916669845581055,4.8541669845581055,49800,SWK,False,1980-04-25
1980-04-29,4.8541669845581055,4.875,4.833333015441895,4.8541669845581055,115800,,False,1980-04-29
1980-05-01,4.8125,4.8125,4.708333015441895,4.7916669845581055,115800,,False,1980-05-01
1980-05-05,4.7916669845581055,4.833333015441895,4.75,4.8125,252600,,False,1980-05-05
1980-05-07,4.8125,4.8125,4.708333015441895,4.8125,127200,,False,1980-05-07
1980-05-08,4.833333015441895,5.0625,4.833333015441895,5.0416669845581055,176400,SWK,False,1980-05-08
1980-05-09,5.0416669845581055,5.083333015441895,5.020833015441895,5.0416669845581055,19800,SWK,False,1980-05-09
1980-05-12,5.0,5.0,4.833333015441895,4.875,156000,SWK,False,1980-05-12
1980-05-15,4.875,4.875,4.75,4.833333015441895,453600,,False,1980-05-15
1980-05-19,4.895833015441895,5.0,4.895833015441895,5.0,127800,,False,1980-05-19
1980-05-21,5.0,5.0416669845581055,4.958333015441895,5.0416669845581055,255300,,False,1980-05-21
1980-05-22,5.1666669845581055,5.375,5.1666669845581055,5.375,90000,SWK,False,1980-05-22
1980-05-27,5.4166669845581055,5.6666669845581055,5.4166669845581055,5.5,164700,,False,1980-05-27
1980-05-28,5.5,5.583333015441895,5.25,5.333333015441895,69900,SWK,False,1980-05-28
1980-06-02,5.2916669845581055,5.2916669845581055,5.1666669845581055,5.2916669845581055,112200,,False,1980-06-02
1980-06-05,5.333333015441895,5.5,5.333333015441895,5.458333015441895,303600,,False,1980-06-05
1980-06-10,5.333333015441895,5.333333015441895,5.25,5.333333015441895,76200,,False,1980-06-10
1980-06-11,5.375,5.4166669845581055,5.2916669845581055,5.375,36300,SWK,False,1980-06-11
1980-06-12,5.375,5.458333015441895,5.333333015441895,5.4166669845581055,179400,SWK,False,1980-06-12
1980-06-13,5.4166669845581055,5.583333015441895,5.4166669845581055,5.5416669845581055,54900,SWK,False,1980-06-13
1980-06-16,5.5416669845581055,5.708333015441895,5.5416669845581055,5.708333015441895,127200,SWK,False,1980-06-16
1980-06-18,5.708333015441895,5.7916669845581055,5.6666669845581055,5.6666669845581055,100200,,False,1980-06-18
1980-06-19,5.6666669845581055,5.708333015441895,5.625,5.625,30600,SWK,False,1980-06-19
1980-06-20,5.625,5.6666669845581055,5.5416669845581055,5.6666669845581055,78600,SWK,False,1980-06-20
1980-06-23,5.6666669845581055,5.708333015441895,5.583333015441895,5.708333015441895,23100,SWK,False,1980-06-23
1980-06-24,5.708333015441895,6.083333015441895,5.708333015441895,6.083333015441895,75300,SWK,False,1980-06-24
1980-06-25,6.083333015441895,6.1666669845581055,5.9166669845581055,5.9166669845581055,81900,SWK,False,1980-06-25
1980-06-27,5.9166669845581055,5.958333015441895,5.833333015441895,5.833333015441895,33000,,False,1980-06-27
1980-06-30,5.833333015441895,5.833333015441895,5.6666669845581055,5.7916669845581055,70500,SWK,False,1980-06-30
1980-07-02,5.7916669845581055,5.958333015441895,5.75,5.75,82200,,False,1980-07-02
1980-07-07,5.75,5.7916669845581055,5.6666669845581055,5.7916669845581055,84900,,False,1980-07-07
1980-07-08,5.7916669845581055,5.9166669845581055,5.75,5.875,47400,SWK,False,1980-07-08
1980-07-09,5.875,6.0,5.875,5.9166669845581055,141000,SWK,False,1980-07-09
1980-07-11,5.9166669845581055,5.9166669845581055,5.7916669845581055,5.833333015441895,70500,,False,1980-07-11
1980-07-15,5.9166669845581055,6.083333015441895,5.9166669845581055,5.958333015441895,209400,,False,1980-07-15
1980-07-17,5.958333015441895,6.0416669845581055,5.75,6.0,144000,,False,1980-07-17
1980-07-18,6.0,6.083333015441895,5.9166669845581055,5.958333015441895,160200,SWK,False,1980-07-18
1980-07-21,5.958333015441895,6.0416669845581055,5.875,6.0416669845581055,37500,SWK,False,1980-07-21
1980-07-22,6.0416669845581055,6.25,6.0,6.0416669845581055,90900,SWK,False,1980-07-22
1980-07-23,6.0416669845581055,6.083333015441895,5.9166669845581055,6.0,54600,SWK,False,1980-07-23
1980-07-24,6.0,6.125,5.958333015441895,6.125,51900,SWK,False,1980-07-24
1980-07-25,6.125,6.1666669845581055,6.083333015441895,6.083333015441895,137700,SWK,False,1980-07-25
1980-07-29,6.083333015441895,6.083333015441895,6.0,6.0416669845581055,81900,,False,1980-07-29
1980-07-30,6.0416669845581055,6.1666669845581055,6.0416669845581055,6.083333015441895,33600,SWK,False,1980-07-30
1980-08-01,6.083333015441895,6.083333015441895,6.0,6.083333015441895,142200,,False,1980-08-01
1980-08-04,6.25,6.333333015441895,6.25,6.333333015441895,75900,SWK,False,1980-08-04
1980-08-06,6.458333015441895,6.625,6.458333015441895,6.583333015441895,275400,,False,1980-08-06
1980-08-07,6.583333015441895,6.833333015441895,6.5416669845581055,6.5416669845581055,144300,SWK,False,1980-08-07
1980-08-11,6.5,6.5,6.25,6.4166669845581055,207900,,False,1980-08-11
1980-08-12,6.4166669845581055,6.4166669845581055,6.208333015441895,6.208333015441895,36000,SWK,False,1980-08-12
