Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1989-02-16,0.109375,0.1171879991889,0.109375,0.109375,1952000,False,1989-02-16,
1989-02-28,0.1171879991889,0.125,0.1171879991889,0.1171879991889,1964800,False,1989-02-28,
1989-05-25,0.0859379991889,0.0859379991889,0.078125,0.078125,11953600,False,1989-05-25,
1989-10-13,0.1015629991889,0.109375,0.1015629991889,0.1015629991889,19193600,False,1989-10-13,
1989-11-01,0.1015629991889,0.1015629991889,0.09375,0.09375,1846400,False,1989-11-01,
1989-11-13,0.078125,0.078125,0.078125,0.078125,792000,False,1989-11-13,
1990-01-04,0.0859379991889,0.09375,0.0859379991889,0.0859379991889,3836800,False,1990-01-04,
1990-02-07,0.09375,0.1015629991889,0.09375,0.09375,8360000,False,1990-02-07,
1990-03-16,0.1015629991889,0.1132809966802597,0.1015629991889,0.1015629991889,6468800,False,1990-03-16,
1990-03-30,0.0976559966802597,0.1015629991889,0.09375,0.09375,3012800,False,1990-03-30,
1990-04-03,0.0976559966802597,0.1054690033197403,0.0976559966802597,0.0976559966802597,876800,False,1990-04-03,
1990-04-09,0.1015629991889,0.109375,0.1015629991889,0.1015629991889,356800,False,1990-04-09,
1990-04-23,0.1015629991889,0.1015629991889,0.0976559966802597,0.0976559966802597,2948800,False,1990-04-23,
1990-04-24,0.1015629991889,0.109375,0.1015629991889,0.1015629991889,131200,False,1990-04-24,TECH
1990-05-08,0.1171879991889,0.125,0.1171879991889,0.1171879991889,3936000,False,1990-05-08,
1990-05-10,0.125,0.1328130066394806,0.125,0.125,1540800,False,1990-05-10,
1990-05-17,0.125,0.125,0.1171879991889,0.1171879991889,1161600,False,1990-05-17,
1990-05-18,0.125,0.1328130066394806,0.125,0.125,1004800,False,1990-05-18,TECH
1990-05-21,0.1328130066394806,0.140625,0.1328130066394806,0.1328130066394806,755200,False,1990-05-21,TECH
1990-05-24,0.140625,0.1484380066394806,0.140625,0.140625,897600,False,1990-05-24,
1990-05-30,0.1484380066394806,0.15625,0.1484380066394806,0.1484380066394806,873600,False,1990-05-30,
1990-05-31,0.15625,0.171875,0.15625,0.15625,718400,False,1990-05-31,TECH
1990-06-01,0.1640630066394806,0.1796880066394806,0.1640630066394806,0.1640630066394806,1232000,False,1990-06-01,TECH
1990-06-20,0.171875,0.1835940033197403,0.171875,0.171875,5585600,False,1990-06-20,
1990-07-12,0.171875,0.171875,0.1640630066394806,0.1640630066394806,5868800,False,1990-07-12,
1990-07-13,0.171875,0.1875,0.171875,0.171875,486400,False,1990-07-13,TECH
1990-07-16,0.1875,0.203125,0.1875,0.1875,1625600,False,1990-07-16,TECH
1990-07-20,0.203125,0.21875,0.203125,0.203125,3548800,False,1990-07-20,
1990-07-23,0.203125,0.203125,0.1953130066394806,0.1953130066394806,259200,False,1990-07-23,TECH
1990-08-02,0.1953130066394806,0.1953130066394806,0.1875,0.1875,1427200,False,1990-08-02,
1990-08-03,0.1875,0.1875,0.171875,0.171875,113600,False,1990-08-03,TECH
1990-09-24,0.171875,0.171875,0.15625,0.15625,7745600,False,1990-09-24,
1990-10-01,0.15625,0.15625,0.140625,0.140625,1456000,False,1990-10-01,
1990-10-24,0.1640630066394806,0.171875,0.1640630066394806,0.1640630066394806,6145600,False,1990-10-24,
1990-10-30,0.171875,0.1796880066394806,0.171875,0.171875,532800,False,1990-10-30,
1990-11-21,0.15625,0.15625,0.15625,0.15625,3886400,False,1990-11-21,
1990-11-28,0.1640630066394806,0.171875,0.1640630066394806,0.1640630066394806,960000,False,1990-11-28,
1990-12-07,0.1875,0.1953130066394806,0.1875,0.1875,2577600,False,1990-12-07,
1990-12-18,0.1875,0.1875,0.1796880066394806,0.1796880066394806,2284800,False,1990-12-18,
