Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1980-03-19,2.2410480976104736,2.29784893989563,2.2410480976104736,2.2410480976104736,4071688,False,1980-03-19,
1980-03-20,2.230720996856689,2.230720996856689,2.189410924911499,2.189410924911499,624551,False,1980-03-20,TT
1980-03-21,2.1842479705810547,2.1842479705810547,2.1429378986358643,2.1429378986358643,631814,False,1980-03-21,TT
1980-03-24,2.1377739906311035,2.1377739906311035,2.0654819011688232,2.0654819011688232,597923,False,1980-03-24,TT
1980-03-25,2.055155038833618,2.055155038833618,2.0241730213165283,2.0344998836517334,682649,False,1980-03-25,TT
1980-03-26,2.044827938079834,2.0654819011688232,2.044827938079834,2.0499908924102783,220288,False,1980-03-26,TT
1980-03-27,2.0499908924102783,2.055155038833618,1.982862949371338,2.0035181045532227,583399,False,1980-03-27,TT
1980-03-31,2.117119073867798,2.148102045059204,2.117119073867798,2.1429378986358643,2144778,False,1980-03-31,
1980-04-03,2.1067919731140137,2.1067919731140137,2.0654819011688232,2.070646047592163,2270656,False,1980-04-03,
1980-04-07,2.070646047592163,2.075809955596924,2.0499908924102783,2.055155038833618,1730831,False,1980-04-07,TT
1980-04-09,2.055155038833618,2.0913009643554688,2.055155038833618,2.055155038833618,961035,False,1980-04-09,
1980-04-10,2.055155038833618,2.0654819011688232,2.044827938079834,2.0499908924102783,346166,False,1980-04-10,TT
1980-04-11,2.0499908924102783,2.060318946838379,2.0241730213165283,2.0241730213165283,818211,False,1980-04-11,TT
1980-04-14,2.0241730213165283,2.0344998836517334,2.019009113311768,2.0241730213165283,125879,False,1980-04-14,TT
1980-04-16,2.0344998836517334,2.0654819011688232,2.0344998836517334,2.0344998836517334,1483915,False,1980-04-16,
1980-04-18,2.0344998836517334,2.044827938079834,2.013844966888428,2.0293359756469727,1222475,False,1980-04-18,
1980-04-21,2.0293359756469727,2.039664030075073,2.0035181045532227,2.0086820125579834,167031,False,1980-04-21,TT
1980-04-22,2.0086820125579834,2.0344998836517334,1.988026976585388,1.988026976585388,1050602,False,1980-04-22,TT
1980-04-28,1.988026976585388,1.988026976585388,1.9570449590682983,1.9570449590682983,2471577,False,1980-04-28,
1980-04-29,1.9570449590682983,1.967371940612793,1.9467170238494875,1.9467170238494875,162190,False,1980-04-29,TT
1980-04-30,1.9467170238494875,1.9570449590682983,1.936390042304993,1.941552996635437,367953,False,1980-04-30,TT
1980-05-02,1.962208032608032,1.982862949371338,1.962208032608032,1.967371940612793,1069968,False,1980-05-02,
1980-05-06,1.9570449590682983,1.9570449590682983,1.9312260150909424,1.941552996635437,583398,False,1980-05-06,
1980-05-07,1.941552996635437,1.9931910037994385,1.936390042304993,1.9931910037994385,1016712,False,1980-05-07,TT
1980-05-08,1.9931910037994385,2.0293359756469727,1.988026976585388,1.988026976585388,2302126,False,1980-05-08,TT
1980-05-09,1.982862949371338,1.982862949371338,1.9467170238494875,1.9518810510635376,648759,False,1980-05-09,TT
1980-05-12,1.920899033546448,1.920899033546448,1.8950799703598025,1.9157350063323968,624551,False,1980-05-12,TT
1980-05-13,1.9157350063323968,1.941552996635437,1.9157350063323968,1.941552996635437,280806,False,1980-05-13,TT
1980-05-14,1.9518810510635376,1.982862949371338,1.9518810510635376,1.967371940612793,406685,False,1980-05-14,TT
1980-05-16,1.9931910037994385,2.013844966888428,1.9931910037994385,2.0086820125579834,692332,False,1980-05-16,
1980-05-19,2.0086820125579834,2.0344998836517334,2.0035181045532227,2.019009113311768,522880,False,1980-05-19,TT
1980-05-20,2.013844966888428,2.013844966888428,1.9931910037994385,1.9931910037994385,159769,False,1980-05-20,TT
1980-05-21,1.9983539581298828,2.0241730213165283,1.9983539581298828,2.013844966888428,426051,False,1980-05-21,TT
1980-05-22,2.013844966888428,2.117119073867798,2.013844966888428,2.117119073867798,1077230,False,1980-05-22,TT
1980-05-27,2.158428907394409,2.26686692237854,2.158428907394409,2.158428907394409,1844606,False,1980-05-27,
1980-05-28,2.158428907394409,2.1687569618225098,2.1377739906311035,2.148102045059204,503514,False,1980-05-28,TT
1980-05-30,2.1687569618225098,2.2203938961029053,2.1687569618225098,2.210066080093384,677808,False,1980-05-30,
1980-06-02,2.204901933670044,2.204901933670044,2.148102045059204,2.179084062576294,927144,False,1980-06-02,TT
1980-06-04,2.163593053817749,2.163593053817749,2.1377739906311035,2.1532649993896484,1253944,False,1980-06-04,
1980-06-05,2.158428907394409,2.1842479705810547,2.158428907394409,2.1687569618225098,256599,False,1980-06-05,TT
1980-06-06,2.173919916152954,2.194575071334839,2.173919916152954,2.173919916152954,106513,False,1980-06-06,TT
1980-06-09,2.173919916152954,2.1842479705810547,2.158428907394409,2.158428907394409,232391,False,1980-06-09,TT
1980-06-10,2.173919916152954,2.204901933670044,2.173919916152954,2.194575071334839,278385,False,1980-06-10,TT
1980-06-11,2.210066080093384,2.2410480976104736,2.210066080093384,2.2255570888519287,641497,False,1980-06-11,TT
1980-06-13,2.2255570888519287,2.251375913619995,2.2203938961029053,2.2203938961029053,571295,False,1980-06-13,
1980-06-17,2.2203938961029053,2.2255570888519287,2.210066080093384,2.2255570888519287,295331,False,1980-06-17,
1980-06-18,2.2203938961029053,2.2203938961029053,2.163593053817749,2.189410924911499,462362,False,1980-06-18,TT
1980-06-19,2.210066080093384,2.2462120056152344,2.210066080093384,2.210066080093384,1181322,False,1980-06-19,TT
1980-06-20,2.210066080093384,2.2152299880981445,2.204901933670044,2.204901933670044,125879,False,1980-06-20,TT
1980-06-23,2.204901933670044,2.210066080093384,2.194575071334839,2.194575071334839,196080,False,1980-06-23,TT
1980-06-24,2.204901933670044,2.251375913619995,2.204901933670044,2.251375913619995,251757,False,1980-06-24,TT
1980-06-25,2.251375913619995,2.32883095741272,2.251375913619995,2.3081769943237305,450258,False,1980-06-25,TT
1980-06-30,2.375304937362671,2.4062869548797607,2.375304937362671,2.375304937362671,1970484,False,1980-06-30,
1980-07-02,2.37014102935791,2.37014102935791,2.354650020599365,2.3649768829345703,493831,False,1980-07-02,
1980-07-07,2.359813928604126,2.359813928604126,2.33399510383606,2.344322919845581,2304546,False,1980-07-07,
1980-07-11,2.33399510383606,2.33399510383606,2.3081769943237305,2.33399510383606,1963223,False,1980-07-11,
1980-07-14,2.3649768829345703,2.395960092544556,2.3649768829345703,2.390795946121216,370374,False,1980-07-14,TT
1980-07-15,2.390795946121216,2.416614055633545,2.390795946121216,2.4062869548797607,1711465,False,1980-07-15,TT
