Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
1998-01-30,5.1875,6.5625,5.125,6.375,18256800,VRSN,False,1998-01-30
1998-02-03,8.0,9.3125,8.0,8.25,16372000,,False,1998-02-03
1998-02-05,8.21875,8.25,7.625,7.640625,2997600,,False,1998-02-05
1998-02-06,7.671875,7.71875,6.875,6.96875,2846800,VRSN,False,1998-02-06
1998-02-09,6.875,7.0,6.40625,6.75,1944800,VRSN,False,1998-02-09
1998-02-10,6.6875,7.375,6.53125,7.0,1001200,VRSN,False,1998-02-10
1998-02-11,7.03125,7.4375,6.90625,7.4375,842400,VRSN,False,1998-02-11
1998-02-12,7.40625,7.90625,7.28125,7.78125,1111600,VRSN,False,1998-02-12
1998-02-18,7.84375,8.0,7.71875,7.8125,1232400,,False,1998-02-18
1998-02-20,7.875,7.96875,7.6875,7.96875,667600,,False,1998-02-20
1998-02-23,7.6875,7.71875,7.21875,7.25,1409600,VRSN,False,1998-02-23
1998-02-25,7.25,7.25,6.6875,7.25,3742400,,False,1998-02-25
1998-02-27,7.28125,7.28125,7.125,7.15625,1064800,,False,1998-02-27
1998-03-02,7.15625,7.203125,7.09375,7.109375,466400,VRSN,False,1998-03-02
1998-03-04,7.125,7.125,6.8125,6.898437976837158,1020000,,False,1998-03-04
1998-03-05,6.71875,6.875,6.625,6.671875,836800,VRSN,False,1998-03-05
1998-03-06,6.78125,7.125,6.6875,7.078125,454000,VRSN,False,1998-03-06
1998-03-09,6.96875,7.9375,6.96875,7.5625,1732400,VRSN,False,1998-03-09
1998-03-10,7.6875,8.28125,7.5625,8.265625,1844000,VRSN,False,1998-03-10
1998-03-11,8.40625,9.1875,8.34375,8.96875,2708000,VRSN,False,1998-03-11
1998-03-12,9.09375,9.65625,9.0,9.625,1700000,VRSN,False,1998-03-12
1998-03-13,9.6875,9.9375,9.03125,9.46875,1345600,VRSN,False,1998-03-13
1998-03-16,9.5625,11.4375,9.46875,11.1875,3122800,VRSN,False,1998-03-16
1998-03-18,11.125,11.71875,10.65625,10.765625,2707200,,False,1998-03-18
1998-03-19,10.8125,10.984375,10.53125,10.78125,312400,VRSN,False,1998-03-19
1998-03-20,10.65625,10.875,10.140625,10.296875,405200,VRSN,False,1998-03-20
1998-03-23,10.1875,11.21875,10.1875,10.78125,1090800,VRSN,False,1998-03-23
1998-03-24,11.125,11.53125,10.71875,11.125,1063600,VRSN,False,1998-03-24
1998-03-25,11.21875,11.25,10.609375,10.75,441600,VRSN,False,1998-03-25
1998-03-27,10.75,10.875,10.375,10.625,1358000,,False,1998-03-27
1998-03-31,10.8125,11.1875,10.8125,11.0,1582800,,False,1998-03-31
1998-04-01,11.09375,12.125,11.0,12.0,1110000,VRSN,False,1998-04-01
1998-04-02,11.8125,12.25,11.03125,11.0625,1066400,VRSN,False,1998-04-02
1998-04-03,11.4375,11.59375,10.59375,10.625,1367200,VRSN,False,1998-04-03
1998-04-06,10.78125,10.78125,10.21875,10.21875,656000,VRSN,False,1998-04-06
1998-04-07,10.15625,10.1875,9.25,9.734375,1047200,VRSN,False,1998-04-07
1998-04-08,9.71875,10.8125,9.71875,10.1875,977200,VRSN,False,1998-04-08
1998-04-13,10.875,11.5625,10.71875,11.21875,1467200,,False,1998-04-13
1998-04-14,11.375,11.875,10.90625,10.96875,575200,VRSN,False,1998-04-14
1998-04-15,11.15625,11.15625,10.75,10.75,345600,VRSN,False,1998-04-15
1998-04-16,10.84375,10.90625,10.6875,10.75,302400,VRSN,False,1998-04-16
1998-04-20,10.65625,10.65625,10.15625,10.4375,904400,,False,1998-04-20
1998-04-22,10.40625,10.40625,9.625,10.25,1098800,,False,1998-04-22
1998-04-23,9.9375,10.125,9.46875,9.53125,904800,VRSN,False,1998-04-23
1998-04-24,9.65625,10.0,8.5,8.8125,2391200,VRSN,False,1998-04-24
1998-04-27,8.6875,9.3125,8.28125,9.28125,1166800,VRSN,False,1998-04-27
1998-04-28,9.6875,9.6875,8.78125,9.15625,932400,VRSN,False,1998-04-28
1998-04-29,9.0,9.125,8.65625,8.890625,585600,VRSN,False,1998-04-29
1998-04-30,9.28125,9.71875,9.15625,9.59375,626400,VRSN,False,1998-04-30
1998-05-04,9.5625,10.28125,9.5,9.625,854800,,False,1998-05-04
1998-05-05,9.40625,9.625,8.90625,9.015625,580800,VRSN,False,1998-05-05
1998-05-07,9.0,9.0,8.6875,8.8125,693200,,False,1998-05-07
1998-05-08,8.875,9.03125,8.8125,8.875,242000,VRSN,False,1998-05-08
1998-05-12,8.84375,8.84375,8.53125,8.6875,659600,,False,1998-05-12
1998-05-14,9.1875,9.75,9.1875,9.3125,1942000,,False,1998-05-14
1998-05-15,9.3125,9.40625,8.9375,9.015625,511200,VRSN,False,1998-05-15
1998-05-18,8.875,9.03125,8.71875,8.921875,1092000,VRSN,False,1998-05-18
1998-05-20,8.96875,9.15625,8.9375,9.0625,1188400,,False,1998-05-20
1998-05-22,9.3125,9.71875,9.0625,9.0625,2991600,,False,1998-05-22
1998-05-26,9.0,9.21875,8.5,8.625,435600,VRSN,False,1998-05-26
1998-05-28,8.25,8.3125,8.0,8.1875,1258800,,False,1998-05-28
1998-05-29,8.265625,8.265625,7.96875,7.984375,359600,VRSN,False,1998-05-29
1998-06-01,7.90625,7.984375,7.21875,7.25,1269200,VRSN,False,1998-06-01
1998-06-05,7.375,7.375,6.6875,7.25,2247200,,False,1998-06-05
1998-06-09,7.0,7.0,6.5,6.84375,3295200,,False,1998-06-09
1998-06-11,6.75,7.3125,6.6875,6.75,756400,,False,1998-06-11
1998-06-16,6.78125,6.78125,6.53125,6.78125,1349600,,False,1998-06-16
1998-06-17,6.6875,7.25,6.6875,7.15625,1690800,VRSN,False,1998-06-17
1998-06-22,7.4375,8.9375,7.4375,8.75,4550800,,False,1998-06-22
1998-06-23,8.84375,9.609375,8.71875,9.5625,2220400,VRSN,False,1998-06-23
1998-06-24,9.8125,10.78125,9.75,10.4375,2244400,VRSN,False,1998-06-24
1998-06-25,10.5625,10.75,9.625,10.0,1142800,VRSN,False,1998-06-25
1998-06-26,10.0,10.0,9.3125,9.5625,290400,VRSN,False,1998-06-26
1998-06-29,9.5,9.5625,8.8125,9.125,467200,VRSN,False,1998-06-29
1998-06-30,9.078125,9.75,8.90625,9.34375,1189600,VRSN,False,1998-06-30
1998-07-01,9.625,10.375,9.1875,10.375,1542400,VRSN,False,1998-07-01
1998-07-02,10.75,10.875,9.90625,10.375,1378800,VRSN,False,1998-07-02
1998-07-06,10.625,11.0,10.25,10.515625,698800,VRSN,False,1998-07-06
1998-07-08,10.5,10.5625,10.0,10.421875,1694400,,False,1998-07-08
1998-07-09,10.34375,10.875,10.34375,10.75,345600,VRSN,False,1998-07-09
1998-07-10,10.8125,11.21875,10.75,11.0,475200,VRSN,False,1998-07-10
1998-07-14,10.9375,11.0625,10.5,10.6875,822800,,False,1998-07-14
1998-07-17,10.6875,10.78125,10.4375,10.4375,1710400,,False,1998-07-17
1998-07-21,10.46875,10.625,9.875,10.1875,404400,,False,1998-07-21
1998-07-22,9.96875,10.09375,9.59375,9.9375,265600,VRSN,False,1998-07-22
1998-07-24,9.84375,9.875,9.03125,9.8125,562400,,False,1998-07-24
1998-07-27,9.53125,9.75,8.96875,9.0,471600,VRSN,False,1998-07-27
1998-07-29,8.5,8.5,8.125,8.28125,5448000,,False,1998-07-29
1998-07-30,8.28125,8.28125,7.8125,8.0,411200,VRSN,False,1998-07-30
1998-07-31,8.0625,8.125,7.75,7.75,386800,VRSN,False,1998-07-31
1998-08-04,7.59375,7.59375,7.25,7.53125,1302000,,False,1998-08-04
1998-08-06,7.53125,7.53125,7.1875,7.515625,1540800,,False,1998-08-06
1998-08-07,7.53125,8.1875,7.46875,8.15625,1068800,VRSN,False,1998-08-07
1998-08-10,8.15625,8.28125,7.96875,8.125,410400,VRSN,False,1998-08-10
1998-08-13,7.375,7.5625,7.28125,7.53125,1500400,,False,1998-08-13
