Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1991-08-16,4.5625,4.625,4.5625,4.5625,6524400,False,1991-08-16,
1991-08-21,4.4375,4.4375,4.1875,4.4375,147200,False,1991-08-21,
1991-08-26,4.4375,4.5625,4.3125,4.5625,136000,False,1991-08-26,
1991-08-28,4.5625,4.6875,4.5,4.6875,146000,False,1991-08-28,
1991-08-29,4.6875,4.9375,4.5625,4.9375,178000,False,1991-08-29,VRTX
1991-08-30,4.9375,5.1875,4.8125,5.1875,145800,False,1991-08-30,VRTX
1991-09-03,5.1875,5.5,5.125,5.125,326200,False,1991-09-03,VRTX
1991-09-11,5.0625,5.0625,4.875,5.0,551200,False,1991-09-11,
1991-09-12,5.25,5.3125,5.0625,5.1875,729400,False,1991-09-12,VRTX
1991-09-17,5.4375,5.5625,5.4375,5.5,431600,False,1991-09-17,
1991-09-18,5.5625,5.6875,5.5,5.6875,82800,False,1991-09-18,VRTX
1991-09-19,5.5625,6.25,5.5625,6.1875,443200,False,1991-09-19,VRTX
1991-09-25,6.375,7.0,6.375,7.0,917400,False,1991-09-25,
1991-09-27,7.375,7.625,7.375,7.375,507400,False,1991-09-27,
1991-09-30,7.5,7.5,7.1875,7.375,117600,False,1991-09-30,VRTX
1991-10-02,7.6875,7.875,7.6875,7.8125,232200,False,1991-10-02,
1991-10-03,7.8125,7.8125,7.375,7.375,532000,False,1991-10-03,VRTX
1991-10-14,6.875,6.875,6.625,6.875,581800,False,1991-10-14,
1991-10-15,6.875,7.375,6.875,7.25,97600,False,1991-10-15,VRTX
1991-10-18,7.4375,8.0,7.4375,7.625,329200,False,1991-10-18,
1991-10-21,7.625,7.625,7.0,7.25,57000,False,1991-10-21,VRTX
1991-10-22,7.25,7.25,6.75,6.75,64800,False,1991-10-22,VRTX
1991-10-23,6.9375,7.5,6.8125,7.5,503400,False,1991-10-23,VRTX
1991-11-11,7.625,7.875,7.5625,7.5625,1072800,False,1991-11-11,
1991-11-12,7.5,7.6875,7.0625,7.25,218000,False,1991-11-12,VRTX
1991-11-14,7.1875,7.1875,7.0,7.1875,179200,False,1991-11-14,
1991-11-15,6.9375,7.0625,6.4375,6.4375,93400,False,1991-11-15,VRTX
1991-11-18,6.375,6.4375,5.75,6.0,124400,False,1991-11-18,VRTX
1991-11-26,5.75,5.75,5.5625,5.75,531200,False,1991-11-26,
1991-11-29,5.625,5.875,5.625,5.6875,114400,False,1991-11-29,
1991-12-02,5.75,5.75,5.5625,5.75,9600,False,1991-12-02,VRTX
1991-12-03,5.75,5.8125,5.625,5.75,239400,False,1991-12-03,VRTX
1991-12-04,5.8125,6.25,5.75,6.25,255200,False,1991-12-04,VRTX
1991-12-05,6.25,6.8125,6.25,6.625,139600,False,1991-12-05,VRTX
1991-12-11,6.875,7.375,6.875,7.0,2477200,False,1991-12-11,
1991-12-20,7.0,7.0,6.625,6.75,1015800,False,1991-12-20,
1991-12-24,6.75,6.75,6.375,6.75,98200,False,1991-12-24,
1991-12-27,6.75,7.5,6.625,7.5,222400,False,1991-12-27,
1991-12-30,7.625,8.0,7.375,7.5,268200,False,1991-12-30,VRTX
1992-01-03,7.5,7.5,7.25,7.5,426800,False,1992-01-03,
1992-01-07,8.25,8.75,8.0,8.375,288600,False,1992-01-07,
1992-01-08,8.125,8.25,7.875,8.0,260800,False,1992-01-08,VRTX
1992-01-15,8.25,8.375,8.125,8.125,480200,False,1992-01-15,
1992-01-28,7.375,7.375,7.0,7.125,723200,False,1992-01-28,
1992-01-29,7.0,7.25,6.625,6.625,96200,False,1992-01-29,VRTX
1992-02-18,6.5,6.5,6.125,6.5,2789600,False,1992-02-18,
1992-02-28,6.125,6.125,5.875,6.0,1450600,False,1992-02-28,
1992-03-11,6.0,6.0,5.75,6.0,528000,False,1992-03-11,
