Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1995-11-27,3.75,3.8125,3.75,3.75,17430400,False,1995-11-27,
1995-11-29,3.5625,3.5625,3.3125,3.4375,4660400,False,1995-11-29,
1995-12-04,3.53125,3.75,3.53125,3.71875,2684800,False,1995-12-04,
1995-12-05,3.75,3.78125,3.6875,3.75,892800,False,1995-12-05,WAT
1995-12-06,3.78125,3.90625,3.78125,3.8125,521200,False,1995-12-06,WAT
1995-12-07,3.8125,3.8125,3.71875,3.71875,217600,False,1995-12-07,WAT
1995-12-11,3.6875,3.78125,3.59375,3.75,657600,False,1995-12-11,
1995-12-12,3.78125,3.84375,3.71875,3.78125,1363200,False,1995-12-12,WAT
1995-12-13,3.90625,4.09375,3.84375,4.03125,1664000,False,1995-12-13,WAT
1995-12-14,4.0625,4.21875,4.0625,4.1875,1551600,False,1995-12-14,WAT
1995-12-15,4.1875,4.3125,4.15625,4.25,902800,False,1995-12-15,WAT
1995-12-19,4.125,4.125,3.96875,4.125,970800,False,1995-12-19,
1995-12-20,4.125,4.25,4.125,4.15625,274000,False,1995-12-20,WAT
1995-12-29,4.4375,4.5625,4.4375,4.5625,1862800,False,1995-12-29,
1996-01-02,4.5,4.53125,4.28125,4.34375,456800,False,1996-01-02,WAT
1996-01-03,4.28125,4.40625,4.1875,4.40625,147600,False,1996-01-03,WAT
1996-01-04,4.46875,4.6875,4.46875,4.5625,385200,False,1996-01-04,WAT
1996-01-09,4.71875,4.8125,4.71875,4.71875,880800,False,1996-01-09,
1996-01-10,4.71875,4.75,4.59375,4.59375,305600,False,1996-01-10,WAT
1996-01-11,4.625,4.65625,4.5625,4.5625,369600,False,1996-01-11,WAT
1996-01-18,4.4375,4.4375,4.25,4.4375,616000,False,1996-01-18,
1996-01-19,4.46875,4.6875,4.46875,4.6875,1279200,False,1996-01-19,WAT
1996-01-23,4.75,4.96875,4.75,4.78125,1308800,False,1996-01-23,
1996-01-24,4.84375,5.03125,4.8125,5.03125,371200,False,1996-01-24,WAT
1996-01-25,5.0,5.28125,5.0,5.0625,771200,False,1996-01-25,WAT
1996-01-26,5.0625,5.0625,4.8125,4.9375,776400,False,1996-01-26,WAT
