Date,Open,High,Low,Close,Volume,Merged,OriginalDates,Ticker
1980-03-18,2.194443941116333,2.25,2.194443941116333,2.2361109256744385,257400,False,1980-03-18,
1980-03-19,2.2361109256744385,2.277777910232544,2.2361109256744385,2.277777910232544,164700,False,1980-03-19,WEC
1980-03-20,2.277777910232544,2.3333330154418945,2.277777910232544,2.3333330154418945,87300,False,1980-03-20,WEC
1980-03-24,2.3611109256744385,2.375,2.3611109256744385,2.3611109256744385,234000,False,1980-03-24,
1980-03-25,2.263889074325561,2.263889074325561,2.2361109256744385,2.25,299700,False,1980-03-25,WEC
1980-03-27,2.25,2.291666984558105,2.25,2.263889074325561,168300,False,1980-03-27,
1980-03-28,2.25,2.25,2.2083330154418945,2.25,144000,False,1980-03-28,WEC
1980-03-31,2.25,2.263889074325561,2.2361109256744385,2.263889074325561,184500,False,1980-03-31,WEC
1980-04-01,2.263889074325561,2.3333330154418945,2.263889074325561,2.3333330154418945,120600,False,1980-04-01,WEC
1980-04-02,2.3611109256744385,2.430556058883667,2.3611109256744385,2.430556058883667,90900,False,1980-04-02,WEC
1980-04-08,2.527777910232544,2.541666984558105,2.527777910232544,2.541666984558105,127800,False,1980-04-08,
1980-04-09,2.541666984558105,2.625,2.541666984558105,2.6111109256744385,168300,False,1980-04-09,WEC
1980-04-10,2.680556058883667,2.75,2.680556058883667,2.680556058883667,183600,False,1980-04-10,WEC
1980-04-11,2.680556058883667,2.7083330154418945,2.666666984558105,2.666666984558105,174600,False,1980-04-11,WEC
1980-04-14,2.666666984558105,2.680556058883667,2.638889074325561,2.666666984558105,351900,False,1980-04-14,WEC
1980-04-15,2.652777910232544,2.652777910232544,2.5833330154418945,2.5833330154418945,85500,False,1980-04-15,WEC
1980-04-18,2.694443941116333,2.777777910232544,2.694443941116333,2.7083330154418945,679500,False,1980-04-18,
1980-04-21,2.7083330154418945,2.7083330154418945,2.666666984558105,2.666666984558105,44100,False,1980-04-21,WEC
1980-04-22,2.666666984558105,2.680556058883667,2.652777910232544,2.680556058883667,216900,False,1980-04-22,WEC
1980-04-23,2.680556058883667,2.7083330154418945,2.666666984558105,2.694443941116333,579600,False,1980-04-23,WEC
1980-04-24,2.694443941116333,2.694443941116333,2.652777910232544,2.666666984558105,518400,False,1980-04-24,WEC
1980-04-25,2.666666984558105,2.680556058883667,2.638889074325561,2.680556058883667,126000,False,1980-04-25,WEC
1980-04-28,2.680556058883667,2.7083330154418945,2.666666984558105,2.694443941116333,91800,False,1980-04-28,WEC
1980-05-01,2.694443941116333,2.722222089767456,2.694443941116333,2.722222089767456,470700,False,1980-05-01,
1980-05-05,2.652777910232544,2.652777910232544,2.625,2.652777910232544,149400,False,1980-05-05,
1980-05-06,2.652777910232544,2.75,2.652777910232544,2.7083330154418945,88200,False,1980-05-06,WEC
1980-05-07,2.722222089767456,2.777777910232544,2.722222089767456,2.763889074325561,94500,False,1980-05-07,WEC
1980-05-08,2.763889074325561,2.763889074325561,2.694443941116333,2.7083330154418945,836100,False,1980-05-08,WEC
1980-05-12,2.7083330154418945,2.7083330154418945,2.680556058883667,2.694443941116333,123300,False,1980-05-12,
1980-05-19,2.666666984558105,2.666666984558105,2.638889074325561,2.652777910232544,874800,False,1980-05-19,
1980-05-22,2.666666984558105,2.694443941116333,2.666666984558105,2.694443941116333,338400,False,1980-05-22,
1980-05-28,2.694443941116333,2.7361109256744385,2.694443941116333,2.722222089767456,441000,False,1980-05-28,
1980-06-02,2.7361109256744385,2.805556058883667,2.7361109256744385,2.763889074325561,405900,False,1980-06-02,
1980-06-04,2.75,2.75,2.722222089767456,2.75,333900,False,1980-06-04,
1980-06-06,2.763889074325561,2.805556058883667,2.763889074325561,2.805556058883667,233100,False,1980-06-06,
1980-06-13,2.819443941116333,2.8611109256744385,2.819443941116333,2.8611109256744385,1393200,False,1980-06-13,
1980-06-16,2.8611109256744385,2.888889074325561,2.8333330154418945,2.8611109256744385,757800,False,1980-06-16,WEC
1980-06-17,2.8611109256744385,2.916666984558105,2.8611109256744385,2.888889074325561,1425600,False,1980-06-17,WEC
1980-06-19,2.902777910232544,2.9861109256744385,2.902777910232544,2.902777910232544,169200,False,1980-06-19,
1980-06-26,2.902777910232544,2.902777910232544,2.8611109256744385,2.888889074325561,512100,False,1980-06-26,
1980-07-01,2.847222089767456,2.847222089767456,2.805556058883667,2.8333330154418945,501300,False,1980-07-01,
1980-07-02,2.819443941116333,2.819443941116333,2.777777910232544,2.791666984558105,172800,False,1980-07-02,WEC
1980-07-03,2.791666984558105,2.791666984558105,2.763889074325561,2.791666984558105,130500,False,1980-07-03,WEC
1980-07-07,2.777777910232544,2.777777910232544,2.7361109256744385,2.777777910232544,140400,False,1980-07-07,WEC
1980-07-08,2.777777910232544,2.819443941116333,2.777777910232544,2.805556058883667,100800,False,1980-07-08,WEC
1980-07-09,2.805556058883667,2.805556058883667,2.75,2.805556058883667,106200,False,1980-07-09,WEC
1980-07-14,2.805556058883667,2.819443941116333,2.791666984558105,2.805556058883667,212400,False,1980-07-14,
1980-07-18,2.805556058883667,2.805556058883667,2.777777910232544,2.805556058883667,506700,False,1980-07-18,
1980-07-25,2.805556058883667,2.8333330154418945,2.791666984558105,2.819443941116333,873000,False,1980-07-25,
1980-07-30,2.805556058883667,2.805556058883667,2.763889074325561,2.777777910232544,497700,False,1980-07-30,
1980-08-01,2.7083330154418945,2.7083330154418945,2.694443941116333,2.694443941116333,1176300,False,1980-08-01,
1980-08-05,2.638889074325561,2.638889074325561,2.6111109256744385,2.6111109256744385,754200,False,1980-08-05,
1980-08-06,2.6111109256744385,2.625,2.597222089767456,2.597222089767456,112500,False,1980-08-06,WEC
1980-08-08,2.597222089767456,2.597222089767456,2.569443941116333,2.569443941116333,602100,False,1980-08-08,
1980-08-12,2.569443941116333,2.5833330154418945,2.555556058883667,2.5833330154418945,364500,False,1980-08-12,
1980-08-13,2.5833330154418945,2.597222089767456,2.569443941116333,2.597222089767456,143100,False,1980-08-13,WEC
1980-08-19,2.597222089767456,2.6111109256744385,2.597222089767456,2.597222089767456,387900,False,1980-08-19,
1980-08-20,2.5833330154418945,2.597222089767456,2.569443941116333,2.597222089767456,74700,False,1980-08-20,WEC
1980-08-21,2.597222089767456,2.625,2.5833330154418945,2.6111109256744385,181800,False,1980-08-21,WEC
1980-08-22,2.625,2.694443941116333,2.625,2.694443941116333,58500,False,1980-08-22,WEC
1980-08-25,2.694443941116333,2.7083330154418945,2.680556058883667,2.7083330154418945,42300,False,1980-08-25,WEC
1980-08-26,2.7083330154418945,2.763889074325561,2.7083330154418945,2.75,63900,False,1980-08-26,WEC
1980-09-02,2.694443941116333,2.694443941116333,2.666666984558105,2.680556058883667,1759500,False,1980-09-02,
1980-09-05,2.666666984558105,2.666666984558105,2.625,2.625,1053000,False,1980-09-05,
1980-09-09,2.625,2.638889074325561,2.5833330154418945,2.638889074325561,186300,False,1980-09-09,
1980-09-11,2.638889074325561,2.652777910232544,2.625,2.638889074325561,181800,False,1980-09-11,
