Date,Open,High,Low,Close,Volume,Ticker,Merged,OriginalDates
2011-10-13,23.5,24.270000457763672,23.0,24.25,396800,XYL,False,2011-10-13
2011-10-14,24.36000061035156,25.489999771118164,24.36000061035156,25.350000381469727,402600,XYL,False,2011-10-14
2011-10-17,25.5,25.799999237060547,25.15999984741211,25.15999984741211,583400,XYL,False,2011-10-17
2011-10-18,25.059999465942383,25.36000061035156,24.89999961853028,25.239999771118164,423500,XYL,False,2011-10-18
2011-10-19,25.25,25.350000381469727,24.75,24.75,722200,XYL,False,2011-10-19
2011-10-20,24.799999237060547,25.030000686645508,24.32999992370605,24.75,549700,XYL,False,2011-10-20
2011-10-21,25.0,25.75,24.950000762939453,25.540000915527344,1764500,XYL,False,2011-10-21
2011-10-26,25.5,26.09000015258789,25.5,25.5,1575400,,False,2011-10-26
2011-11-01,25.25,25.81999969482422,25.14999961853028,25.81999969482422,22191300,,False,2011-11-01
2011-11-03,27.39999961853028,27.39999961853028,26.3799991607666,26.38999938964844,4091700,,False,2011-11-03
2011-11-04,26.170000076293945,26.59000015258789,24.8799991607666,25.190000534057617,1923300,XYL,False,2011-11-04
2011-11-08,24.90999984741211,25.350000381469727,24.3700008392334,24.940000534057617,4727600,,False,2011-11-08
2011-11-09,24.350000381469727,25.0,23.84000015258789,23.88999938964844,1570900,XYL,False,2011-11-09
2011-11-14,24.09000015258789,24.09000015258789,23.489999771118164,23.93000030517578,3771200,,False,2011-11-14
2011-11-16,23.940000534057617,24.600000381469727,23.81999969482422,24.1200008392334,3462300,,False,2011-11-16
2011-11-18,24.0,24.13999938964844,23.65999984741211,23.93000030517578,2705400,,False,2011-11-18
2011-11-25,23.450000762939453,23.450000762939453,22.670000076293945,23.0,5409300,,False,2011-11-25
2011-11-29,23.65999984741211,24.18000030517578,23.170000076293945,23.270000457763672,2789700,,False,2011-11-29
2011-11-30,24.059999465942383,24.200000762939453,23.32999992370605,23.89999961853028,2320800,XYL,False,2011-11-30
2011-12-01,23.809999465942383,24.36000061035156,23.64999961853028,24.270000457763672,1046700,XYL,False,2011-12-01
2011-12-06,25.479999542236328,25.479999542236328,24.51000022888184,24.82999992370605,2802600,,False,2011-12-06
2011-12-07,24.71999931335449,24.82999992370605,23.86000061035156,24.56999969482422,951200,XYL,False,2011-12-07
