BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1985-08-02,0.6979169845581055,1985-08-07,0.6041669845581055,0.09375,3
2,up,1985-08-07,0.6041669845581055,1985-08-15,0.6875,0.08333301544189453,4
3,down,1985-08-15,0.6875,1985-08-22,0.6041669845581055,0.08333301544189453,3
4,up,1985-08-22,0.6041669845581055,1985-09-03,0.7083330154418945,0.10416603088378906,3
5,down,1985-09-03,0.7083330154418945,1985-10-10,0.5416669845581055,0.16666603088378906,14
6,up,1985-10-10,0.5416669845581055,1985-12-05,1.03125,0.48958301544189453,19
7,down,1985-12-05,1.03125,1985-12-23,0.9479169845581056,0.08333301544189442,7
8,up,1985-12-23,0.9479169845581056,1986-01-02,1.09375,0.14583301544189442,4
9,down,1986-01-02,1.09375,1986-01-14,0.9270830154418944,0.16666698455810558,5
10,up,1986-01-14,0.9270830154418944,1986-02-24,1.28125,0.3541669845581056,16
11,down,1986-02-24,1.28125,1986-04-07,0.96875,0.3125,9
12,up,1986-04-07,0.96875,1986-05-14,1.40625,0.4375,10
13,down,1986-05-14,1.40625,1986-05-30,1.3125,0.09375,6
14,up,1986-05-30,1.3125,1986-06-09,1.5625,0.25,4
15,down,1986-06-09,1.5625,1986-06-24,1.4479169845581057,0.11458301544189431,4
16,up,1986-06-24,1.4479169845581057,1986-07-01,1.6770830154418943,0.22916603088378862,4
17,down,1986-07-01,1.6770830154418943,1986-07-30,0.96875,0.7083330154418943,10
18,up,1986-07-30,0.96875,1986-08-26,1.5104169845581057,0.5416669845581057,11
19,down,1986-08-26,1.5104169845581057,1986-09-16,1.21875,0.2916669845581057,3
20,up,1986-09-16,1.21875,1986-10-30,1.59375,0.375,12
21,down,1986-10-30,1.59375,1986-11-20,1.4895830154418943,0.10416698455810569,8
22,up,1986-11-20,1.4895830154418943,1986-11-28,1.6614580154418943,0.171875,4
23,down,1986-11-28,1.6614580154418943,1986-12-19,1.5364580154418943,0.125,5
24,up,1986-12-19,1.5364580154418943,1987-02-04,2.46875,0.9322919845581057,23
25,down,1987-02-04,2.46875,1987-02-10,2.0364580154418945,0.43229198455810547,4
26,up,1987-02-10,2.0364580154418945,1987-03-06,3.0833330154418945,1.046875,12
27,down,1987-03-06,3.0833330154418945,1987-03-16,2.807291984558105,0.2760410308837895,4
28,up,1987-03-16,2.807291984558105,1987-04-03,4.25,1.442708015441895,10
29,down,1987-04-03,4.25,1987-04-14,3.0,1.25,7
30,up,1987-04-14,3.0,1987-05-01,3.625,0.625,8
31,down,1987-05-01,3.625,1987-05-26,3.0625,0.5625,7
32,up,1987-05-26,3.0625,1987-05-29,3.4375,0.375,3
33,down,1987-05-29,3.4375,1987-06-16,2.875,0.5625,6
34,up,1987-06-16,2.875,1987-06-25,3.375,0.5,4
35,down,1987-06-25,3.375,1987-07-10,2.375,1.0,7
36,up,1987-07-10,2.375,1987-08-25,3.8125,1.4375,15
37,down,1987-08-25,3.8125,1987-09-08,3.125,0.6875,6
38,up,1987-09-08,3.125,1987-09-14,3.71875,0.59375,3
39,down,1987-09-14,3.71875,1987-09-22,3.40625,0.3125,4
40,up,1987-09-22,3.40625,1987-10-05,4.21875,0.8125,6
41,down,1987-10-05,4.21875,1987-10-28,1.5,2.71875,15
42,up,1987-10-28,1.5,1987-11-05,2.375,0.875,5
43,down,1987-11-05,2.375,1987-11-20,1.9375,0.4375,7
44,up,1987-11-20,1.9375,1987-11-27,2.3125,0.375,3
45,down,1987-11-27,2.3125,1987-12-04,2.15625,0.15625,3
46,up,1987-12-04,2.15625,1987-12-21,2.8125,0.65625,6
47,down,1987-12-21,2.8125,1988-01-21,2.0,0.8125,10
48,up,1988-01-21,2.0,1988-03-17,3.28125,1.28125,24
49,down,1988-03-17,3.28125,1988-03-28,2.78125,0.5,5
50,up,1988-03-28,2.78125,1988-04-13,3.5625,0.78125,7
51,down,1988-04-13,3.5625,1988-04-20,3.1875,0.375,4
52,up,1988-04-20,3.1875,1988-05-04,3.78125,0.59375,8
53,down,1988-05-04,3.78125,1988-05-24,3.1875,0.59375,9
54,up,1988-05-24,3.1875,1988-06-10,3.90625,0.71875,8
55,down,1988-06-10,3.90625,1988-06-20,3.4375,0.46875,4
56,up,1988-06-20,3.4375,1988-06-23,3.84375,0.40625,3
57,down,1988-06-23,3.84375,1988-06-30,3.53125,0.3125,3
58,up,1988-06-30,3.53125,1988-07-15,3.75,0.21875,6
59,down,1988-07-15,3.75,1988-08-16,2.90625,0.84375,14
60,up,1988-08-16,2.90625,1988-08-31,3.390625,0.484375,7
61,down,1988-08-31,3.390625,1988-09-08,3.125,0.265625,3
62,up,1988-09-08,3.125,1988-09-22,3.625,0.5,6
63,down,1988-09-22,3.625,1988-10-12,3.21875,0.40625,10
64,up,1988-10-12,3.21875,1988-10-21,3.53125,0.3125,4
65,down,1988-10-21,3.53125,1988-10-27,2.875,0.65625,4
66,up,1988-10-27,2.875,1988-11-10,3.21875,0.34375,5
67,down,1988-11-10,3.21875,1988-11-17,2.84375,0.375,4
68,up,1988-11-17,2.84375,1988-12-06,3.53125,0.6875,8
69,down,1988-12-06,3.53125,1988-12-13,3.28125,0.25,3
70,up,1988-12-13,3.28125,1988-12-20,3.75,0.46875,4
71,down,1988-12-20,3.75,1988-12-29,3.5625,0.1875,5
72,up,1988-12-29,3.5625,1989-02-08,4.21875,0.65625,15
73,down,1989-02-08,4.21875,1989-02-27,3.5,0.71875,9
74,up,1989-02-27,3.5,1989-03-16,3.875,0.375,7
75,down,1989-03-16,3.875,1989-03-27,3.3125,0.5625,6
76,up,1989-03-27,3.3125,1989-05-22,4.9375,1.625,22
77,down,1989-05-22,4.9375,1989-06-19,4.40625,0.53125,13
78,up,1989-06-19,4.40625,1989-06-26,4.6875,0.28125,3
79,down,1989-06-26,4.6875,1989-07-03,4.28125,0.40625,3
80,up,1989-07-03,4.28125,1989-07-12,4.6875,0.40625,4
81,down,1989-07-12,4.6875,1989-07-26,4.28125,0.40625,6
82,up,1989-07-26,4.28125,1989-08-08,5.125,0.84375,6
83,down,1989-08-08,5.125,1989-08-21,4.4375,0.6875,4
84,up,1989-08-21,4.4375,1989-09-13,5.25,0.8125,11
85,down,1989-09-13,5.25,1989-09-22,4.75,0.5,4
86,up,1989-09-22,4.75,1989-10-10,5.4375,0.6875,9
87,down,1989-10-10,5.4375,1989-10-16,4.625,0.8125,4
88,up,1989-10-16,4.625,1989-10-20,5.375,0.75,3
89,down,1989-10-20,5.375,1989-11-06,4.375,1.0,11
90,up,1989-11-06,4.375,1989-11-21,5.09375,0.71875,8
91,down,1989-11-21,5.09375,1989-12-19,4.09375,1.0,8
92,up,1989-12-19,4.09375,1990-01-04,5.25,1.15625,7
93,down,1990-01-04,5.25,1990-01-24,4.375,0.875,11
94,up,1990-01-24,4.375,1990-03-20,6.25,1.875,25
95,down,1990-03-20,6.25,1990-04-09,5.40625,0.84375,11
96,up,1990-04-09,5.40625,1990-04-16,5.9375,0.53125,4
97,down,1990-04-16,5.9375,1990-04-30,5.25,0.6875,6
98,up,1990-04-30,5.25,1990-05-24,6.625,1.375,10
99,down,1990-05-24,6.625,1990-06-05,5.96875,0.65625,5
100,up,1990-06-05,5.96875,1990-06-15,6.90625,0.9375,5
101,down,1990-06-15,6.90625,1990-07-06,6.5,0.40625,8
102,up,1990-07-06,6.5,1990-07-17,7.53125,1.03125,5
103,down,1990-07-17,7.53125,1990-08-21,5.40625,2.125,17
104,up,1990-08-21,5.40625,1990-08-30,6.46875,1.0625,5
105,down,1990-08-30,6.46875,1990-09-24,4.84375,1.625,13
106,up,1990-09-24,4.84375,1990-10-02,5.65625,0.8125,4
107,down,1990-10-02,5.65625,1990-10-11,4.0,1.65625,5
108,up,1990-10-11,4.0,1990-10-23,5.3125,1.3125,6
109,down,1990-10-23,5.3125,1990-10-30,4.5,0.8125,3
110,up,1990-10-30,4.5,1990-11-05,5.40625,0.90625,3
111,down,1990-11-05,5.40625,1990-11-08,5.03125,0.375,3
112,up,1990-11-08,5.03125,1990-11-14,5.84375,0.8125,3
113,down,1990-11-14,5.84375,1990-11-21,5.375,0.46875,3
114,up,1990-11-21,5.375,1990-12-06,6.59375,1.21875,5
115,down,1990-12-06,6.59375,1990-12-12,5.8125,0.78125,3
116,up,1990-12-12,5.8125,1990-12-26,6.59375,0.78125,5
117,down,1990-12-26,6.59375,1991-01-15,5.46875,1.125,8
118,up,1991-01-15,5.46875,1991-01-24,6.75,1.28125,4
119,down,1991-01-24,6.75,1991-02-05,5.28125,1.46875,4
120,up,1991-02-05,5.28125,1991-02-19,6.25,0.96875,7
121,down,1991-02-19,6.25,1991-02-28,5.78125,0.46875,4
122,up,1991-02-28,5.78125,1991-03-08,6.96875,1.1875,3
123,down,1991-03-08,6.96875,1991-03-20,5.578125,1.390625,5
124,up,1991-03-20,5.578125,1991-03-27,6.84375,1.265625,3
125,down,1991-03-27,6.84375,1991-04-09,6.03125,0.8125,4
126,up,1991-04-09,6.03125,1991-04-17,7.46875,1.4375,5
127,down,1991-04-17,7.46875,1991-04-30,5.9375,1.53125,5
128,up,1991-04-30,5.9375,1991-05-13,7.40625,1.46875,6
129,down,1991-05-13,7.40625,1991-05-22,6.703125,0.703125,5
130,up,1991-05-22,6.703125,1991-06-17,7.78125,1.078125,11
131,down,1991-06-17,7.78125,1991-06-28,5.75,2.03125,5
132,up,1991-06-28,5.75,1991-07-15,6.8125,1.0625,6
133,down,1991-07-15,6.8125,1991-07-18,6.28125,0.53125,3
134,up,1991-07-18,6.28125,1991-08-12,7.15625,0.875,13
135,down,1991-08-12,7.15625,1991-08-23,5.703125,1.453125,6
136,up,1991-08-23,5.703125,1991-09-03,6.09375,0.390625,3
137,down,1991-09-03,6.09375,1991-09-16,5.46875,0.625,4
138,up,1991-09-16,5.46875,1991-10-02,6.5,1.03125,8
139,down,1991-10-02,6.5,1991-11-22,3.6875,2.8125,23
140,up,1991-11-22,3.6875,1991-12-03,4.125,0.4375,3
141,down,1991-12-03,4.125,1991-12-10,3.75,0.375,3
142,up,1991-12-10,3.75,1991-12-16,4.5,0.75,3
143,down,1991-12-16,4.5,1991-12-23,3.78125,0.71875,4
144,up,1991-12-23,3.78125,1992-01-17,5.0,1.21875,12
145,down,1992-01-17,5.0,1992-01-23,4.25,0.75,3
146,up,1992-01-23,4.25,1992-01-29,4.8125,0.5625,3
147,down,1992-01-29,4.8125,1992-02-20,2.90625,1.90625,3
148,up,1992-02-20,2.90625,1992-03-24,4.125,1.21875,12
149,down,1992-03-24,4.125,1992-04-03,3.84375,0.28125,4
150,up,1992-04-03,3.84375,1992-04-13,4.5,0.65625,3
151,down,1992-04-13,4.5,1992-04-28,3.46875,1.03125,5
152,up,1992-04-28,3.46875,1992-05-08,4.46875,1.0,6
153,down,1992-05-08,4.46875,1992-05-15,3.71875,0.75,5
154,up,1992-05-15,3.71875,1992-06-04,4.8125,1.09375,7
155,down,1992-06-04,4.8125,1992-06-09,4.09375,0.71875,3
156,up,1992-06-09,4.09375,1992-07-02,5.0,0.90625,12
157,down,1992-07-02,5.0,1992-07-20,4.625,0.375,7
158,up,1992-07-20,4.625,1992-08-04,5.375,0.75,5
159,down,1992-08-04,5.375,1992-08-11,4.828125,0.546875,3
160,up,1992-08-11,4.828125,1992-09-16,6.34375,1.515625,15
161,down,1992-09-16,6.34375,1992-09-28,5.34375,1.0,4
162,up,1992-09-28,5.34375,1992-10-21,6.625,1.28125,12
163,down,1992-10-21,6.625,1992-11-04,6.15625,0.46875,5
164,up,1992-11-04,6.15625,1992-11-12,7.0625,0.90625,3
165,down,1992-11-12,7.0625,1992-11-23,5.78125,1.28125,5
166,up,1992-11-23,5.78125,1992-12-04,6.34375,0.5625,6
167,down,1992-12-04,6.34375,1992-12-11,5.6875,0.65625,4
168,up,1992-12-11,5.6875,1992-12-18,6.09375,0.40625,3
169,down,1992-12-18,6.09375,1992-12-28,5.59375,0.5,4
170,up,1992-12-28,5.59375,1993-01-15,6.59375,1.0,8
171,down,1993-01-15,6.59375,1993-02-18,5.3125,1.28125,15
172,up,1993-02-18,5.3125,1993-02-26,6.09375,0.78125,4
173,down,1993-02-26,6.09375,1993-03-30,4.9375,1.15625,12
174,up,1993-03-30,4.9375,1993-04-07,5.46875,0.53125,4
175,down,1993-04-07,5.46875,1993-04-27,4.84375,0.625,8
176,up,1993-04-27,4.84375,1993-05-21,6.78125,1.9375,14
177,down,1993-05-21,6.78125,1993-06-02,6.0625,0.71875,5
178,up,1993-06-02,6.0625,1993-06-16,7.0,0.9375,6
179,down,1993-06-16,7.0,1993-06-21,6.46875,0.53125,3
180,up,1993-06-21,6.46875,1993-06-30,7.09375,0.625,3
181,down,1993-06-30,7.09375,1993-07-30,4.96875,2.125,12
182,up,1993-07-30,4.96875,1993-08-09,5.90625,0.9375,6
183,down,1993-08-09,5.90625,1993-08-20,4.96875,0.9375,9
184,up,1993-08-20,4.96875,1993-09-01,6.46875,1.5,6
185,down,1993-09-01,6.46875,1993-09-15,5.625,0.84375,7
186,up,1993-09-15,5.625,1993-09-23,6.28125,0.65625,4
187,down,1993-09-23,6.28125,1993-10-08,5.40625,0.875,7
188,up,1993-10-08,5.40625,1993-10-22,6.125,0.71875,7
189,down,1993-10-22,6.125,1993-10-29,5.125,1.0,5
190,up,1993-10-29,5.125,1993-11-04,5.5625,0.4375,3
191,down,1993-11-04,5.5625,1993-11-19,4.9375,0.625,5
192,up,1993-11-19,4.9375,1993-12-03,5.75,0.8125,7
193,down,1993-12-03,5.75,1993-12-15,5.03125,0.71875,7
194,up,1993-12-15,5.03125,1994-01-06,5.875,0.84375,8
195,down,1994-01-06,5.875,1994-01-13,5.28125,0.59375,4
196,up,1994-01-13,5.28125,1994-03-15,7.71875,2.4375,25
197,down,1994-03-15,7.71875,1994-03-30,6.75,0.96875,8
198,up,1994-03-30,6.75,1994-04-08,7.59375,0.84375,3
199,down,1994-04-08,7.59375,1994-05-03,6.28125,1.3125,9
200,up,1994-05-03,6.28125,1994-05-11,6.8125,0.53125,4
201,down,1994-05-11,6.8125,1994-05-20,5.84375,0.96875,5
202,up,1994-05-20,5.84375,1994-06-07,6.53125,0.6875,4
203,down,1994-06-07,6.53125,1994-06-17,5.90625,0.625,6
204,up,1994-06-17,5.90625,1994-07-14,7.0625,1.15625,12
205,down,1994-07-14,7.0625,1994-07-21,6.34375,0.71875,3
206,up,1994-07-21,6.34375,1994-07-26,6.9375,0.59375,3
207,down,1994-07-26,6.9375,1994-08-03,6.28125,0.65625,4
208,up,1994-08-03,6.28125,1994-08-09,6.625,0.34375,3
209,down,1994-08-09,6.625,1994-08-16,6.15625,0.46875,3
210,up,1994-08-16,6.15625,1994-08-29,8.25,2.09375,9
211,down,1994-08-29,8.25,1994-09-06,7.46875,0.78125,4
212,up,1994-09-06,7.46875,1994-10-13,8.75,1.28125,19
213,down,1994-10-13,8.75,1994-11-07,7.6875,1.0625,10
214,up,1994-11-07,7.6875,1994-11-21,10.0,2.3125,5
215,down,1994-11-21,10.0,1994-11-28,8.5625,1.4375,3
216,up,1994-11-28,8.5625,1994-12-05,9.3125,0.75,4
217,down,1994-12-05,9.3125,1994-12-09,8.625,0.6875,3
218,up,1994-12-09,8.625,1994-12-28,10.375,1.75,6
219,down,1994-12-28,10.375,1995-01-31,8.0625,2.3125,14
220,up,1995-01-31,8.0625,1995-02-06,9.1875,1.125,3
221,down,1995-02-06,9.1875,1995-02-13,8.5,0.6875,3
222,up,1995-02-13,8.5,1995-02-16,9.4375,0.9375,3
223,down,1995-02-16,9.4375,1995-02-22,8.6875,0.75,3
224,up,1995-02-22,8.6875,1995-03-30,11.0,2.3125,16
225,down,1995-03-30,11.0,1995-04-05,9.875,1.125,4
226,up,1995-04-05,9.875,1995-04-12,10.6875,0.8125,3
227,down,1995-04-12,10.6875,1995-04-26,8.25,2.4375,6
228,up,1995-04-26,8.25,1995-05-04,9.1875,0.9375,5
229,down,1995-05-04,9.1875,1995-05-11,8.6875,0.5,3
230,up,1995-05-11,8.6875,1995-05-18,10.125,1.4375,4
231,down,1995-05-18,10.125,1995-06-01,9.25,0.875,5
232,up,1995-06-01,9.25,1995-06-23,11.125,1.875,8
233,down,1995-06-23,11.125,1995-06-29,10.375,0.75,3
234,up,1995-06-29,10.375,1995-07-17,12.5625,2.1875,8
235,down,1995-07-17,12.5625,1995-08-01,10.875,1.6875,10
236,up,1995-08-01,10.875,1995-08-17,13.25,2.375,8
237,down,1995-08-17,13.25,1995-08-29,10.375,2.875,5
238,up,1995-08-29,10.375,1995-09-21,12.5,2.125,9
239,down,1995-09-21,12.5,1995-10-10,9.0,3.5,11
240,up,1995-10-10,9.0,1995-10-18,10.0625,1.0625,3
241,down,1995-10-18,10.0625,1995-10-27,8.25,1.8125,5
242,up,1995-10-27,8.25,1995-11-13,9.75,1.5,7
243,down,1995-11-13,9.75,1995-11-28,8.625,1.125,7
