BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1984-06-26,1.71875,1985-02-05,4.875,3.15625,48
2,down,1985-02-05,4.875,1985-02-25,4.5625,0.3125,5
3,up,1985-02-25,4.5625,1985-03-12,4.8125,0.25,3
4,down,1985-03-12,4.8125,1985-04-11,4.5625,0.25,3
5,up,1985-04-11,4.5625,1985-06-07,5.625,1.0625,14
6,down,1985-06-07,5.625,1985-07-01,5.125,0.5,7
7,up,1985-07-01,5.125,1985-07-19,5.25,0.125,4
8,down,1985-07-19,5.25,1985-07-25,4.75,0.5,3
9,up,1985-07-25,4.75,1985-08-06,4.90625,0.15625,4
10,down,1985-08-06,4.90625,1985-08-13,4.84375,0.0625,3
11,up,1985-08-13,4.84375,1985-08-22,4.9375,0.09375,3
12,down,1985-08-22,4.9375,1985-10-01,4.296875,0.640625,14
13,up,1985-10-01,4.296875,1985-11-13,6.25,1.953125,16
14,down,1985-11-13,6.25,1985-11-26,5.8125,0.4375,3
15,up,1985-11-26,5.8125,1985-12-19,6.09375,0.28125,3
16,down,1985-12-19,6.09375,1986-01-03,5.9375,0.15625,3
17,up,1986-01-03,5.9375,1986-02-25,7.125,1.1875,10
18,down,1986-02-25,7.125,1986-03-10,6.375,0.75,5
19,up,1986-03-10,6.375,1986-03-27,7.0625,0.6875,4
20,down,1986-03-27,7.0625,1986-05-21,5.625,1.4375,13
21,up,1986-05-21,5.625,1986-05-29,6.5625,0.9375,4
22,down,1986-05-29,6.5625,1986-06-24,6.125,0.4375,5
23,up,1986-06-24,6.125,1986-08-15,7.625,1.5,11
24,down,1986-08-15,7.625,1986-09-02,7.25,0.375,3
25,up,1986-09-02,7.25,1986-09-08,8.3125,1.0625,3
26,down,1986-09-08,8.3125,1986-09-22,7.0,1.3125,4
27,up,1986-09-22,7.0,1986-10-16,7.75,0.75,5
28,down,1986-10-16,7.75,1986-10-29,7.3125,0.4375,5
29,up,1986-10-29,7.3125,1986-11-13,7.625,0.3125,4
30,down,1986-11-13,7.625,1986-12-23,6.3125,1.3125,12
31,up,1986-12-23,6.3125,1987-01-21,7.75,1.4375,8
32,down,1987-01-21,7.75,1987-02-06,6.25,1.5,9
33,up,1987-02-06,6.25,1987-02-26,7.3125,1.0625,8
34,down,1987-02-26,7.3125,1987-05-11,4.75,2.5625,16
35,up,1987-05-11,4.75,1987-06-19,5.3125,0.5625,3
36,down,1987-06-19,5.3125,1987-07-23,5.0,0.3125,4
