BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1993-06-08,13.8125,1993-07-01,14.75,0.9375,10
2,down,1993-07-01,14.75,1993-07-12,13.9375,0.8125,4
3,up,1993-07-12,13.9375,1993-07-20,15.75,1.8125,6
4,down,1993-07-20,15.75,1993-07-29,15.0,0.75,6
5,up,1993-07-29,15.0,1993-08-04,15.875,0.875,3
6,down,1993-08-04,15.875,1993-08-16,14.8125,1.0625,5
7,up,1993-08-16,14.8125,1993-08-25,16.0625,1.25,5
8,down,1993-08-25,16.0625,1993-08-31,15.4375,0.625,4
9,up,1993-08-31,15.4375,1993-09-07,16.375,0.9375,4
10,down,1993-09-07,16.375,1993-09-21,15.6875,0.6875,4
11,up,1993-09-21,15.6875,1993-10-14,17.125,1.4375,11
12,down,1993-10-14,17.125,1993-11-22,13.8125,3.3125,17
13,up,1993-11-22,13.8125,1993-11-29,15.0625,1.25,4
14,down,1993-11-29,15.0625,1993-12-07,14.0625,1.0,3
15,up,1993-12-07,14.0625,1993-12-30,15.0625,1.0,11
16,down,1993-12-30,15.0625,1994-01-11,14.0625,1.0,6
17,up,1994-01-11,14.0625,1994-01-14,14.9375,0.875,3
18,down,1994-01-14,14.9375,1994-02-02,13.25,1.6875,6
19,up,1994-02-02,13.25,1994-02-09,13.875,0.625,4
20,down,1994-02-09,13.875,1994-03-10,11.6875,2.1875,11
21,up,1994-03-10,11.6875,1994-03-31,12.4375,0.75,9
22,down,1994-03-31,12.4375,1994-04-11,11.4375,1.0,4
23,up,1994-04-11,11.4375,1994-04-18,12.25,0.8125,3
24,down,1994-04-18,12.25,1994-04-21,11.3125,0.9375,3
25,up,1994-04-21,11.3125,1994-05-09,12.75,1.4375,7
26,down,1994-05-09,12.75,1994-05-26,12.0625,0.6875,7
27,up,1994-05-26,12.0625,1994-06-08,13.25,1.1875,4
28,down,1994-06-08,13.25,1994-06-30,11.6875,1.5625,9
29,up,1994-06-30,11.6875,1994-07-22,13.375,1.6875,10
