BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1980-03-20,4.104994773864746,1980-04-08,3.7291860580444336,0.3758087158203125,8
2,up,1980-04-08,3.7291860580444336,1980-04-14,4.235083103179932,0.505897045135498,3
3,down,1980-04-14,4.235083103179932,1980-04-21,3.772548913955689,0.4625341892242427,5
4,up,1980-04-21,3.772548913955689,1980-05-01,4.480804920196533,0.7082560062408443,7
5,down,1980-05-01,4.480804920196533,1980-05-13,3.873728036880493,0.60707688331604,6
6,up,1980-05-13,3.873728036880493,1980-05-27,4.379624843597412,0.505896806716919,4
7,down,1980-05-27,4.379624843597412,1980-06-03,4.191720962524414,0.18790388107299805,3
8,up,1980-06-03,4.191720962524414,1980-06-17,4.639801025390625,0.44808006286621094,7
9,down,1980-06-17,4.639801025390625,1980-06-24,4.379624843597412,0.2601761817932129,4
10,up,1980-06-24,4.379624843597412,1980-07-16,5.160152912139893,0.7805280685424805,12
11,down,1980-07-16,5.160152912139893,1980-07-28,4.596437931060791,0.5637149810791016,5
12,up,1980-07-28,4.596437931060791,1980-08-08,5.29024076461792,0.6938028335571289,7
13,down,1980-08-08,5.29024076461792,1980-08-13,5.13124418258667,0.15899658203125,3
14,up,1980-08-13,5.13124418258667,1980-08-25,5.637142181396484,0.5058979988098145,6
15,down,1980-08-25,5.637142181396484,1980-09-09,5.160152912139893,0.4769892692565918,9
16,up,1980-09-09,5.160152912139893,1980-09-23,6.128584861755371,0.9684319496154785,8
17,down,1980-09-23,6.128584861755371,1980-09-29,5.535962104797363,0.5926227569580078,3
18,up,1980-09-29,5.535962104797363,1980-10-06,6.27312707901001,0.7371649742126465,4
19,down,1980-10-06,6.27312707901001,1980-10-20,5.723866939544678,0.549260139465332,8
20,up,1980-10-20,5.723866939544678,1980-10-30,6.114130020141602,0.39026308059692383,6
21,down,1980-10-30,6.114130020141602,1980-11-10,5.52150821685791,0.5926218032836914,5
22,up,1980-11-10,5.52150821685791,1980-11-18,6.157493114471436,0.6359848976135263,6
23,down,1980-11-18,6.157493114471436,1980-12-19,4.668710231781006,1.4887828826904306,17
24,up,1980-12-19,4.668710231781006,1981-01-06,4.856614112854004,0.18790388107299805,7
25,down,1981-01-06,4.856614112854004,1981-01-09,4.422987937927246,0.4336261749267578,3
26,up,1981-01-09,4.422987937927246,1981-01-27,5.217968940734863,0.7949810028076172,10
27,down,1981-01-27,5.217968940734863,1981-02-03,4.928884983062744,0.28908395767211914,4
28,up,1981-02-03,4.928884983062744,1981-02-10,5.116789817810059,0.18790483474731445,5
29,down,1981-02-10,5.116789817810059,1981-03-13,4.712071895599365,0.40471792221069336,15
30,up,1981-03-13,4.712071895599365,1981-03-24,5.6515960693359375,0.9395241737365723,6
31,down,1981-03-24,5.6515960693359375,1981-04-14,4.972248077392578,0.6793479919433594,10
32,up,1981-04-14,4.972248077392578,1981-04-24,5.391419887542725,0.4191718101501465,7
33,down,1981-04-24,5.391419887542725,1981-06-05,4.813251972198486,0.5781679153442383,20
34,up,1981-06-05,4.813251972198486,1981-06-10,5.20351505279541,0.39026308059692383,3
35,down,1981-06-10,5.20351505279541,1981-07-08,4.422987937927246,0.7805271148681641,12
36,up,1981-07-08,4.422987937927246,1981-07-17,4.726525783538818,0.30353784561157227,4
37,down,1981-07-17,4.726525783538818,1981-07-30,4.249536991119385,0.4769887924194336,6
38,up,1981-07-30,4.249536991119385,1981-08-07,4.639801025390625,0.39026403427124023,5
39,down,1981-08-07,4.639801025390625,1981-09-03,3.9893620014190674,0.6504390239715576,15
40,up,1981-09-03,3.9893620014190674,1981-09-15,4.451896190643311,0.46253418922424405,4
41,down,1981-09-15,4.451896190643311,1981-09-28,3.93154501914978,0.5203511714935316,6
42,up,1981-09-28,3.93154501914978,1981-10-14,4.495258808135986,0.5637137889862065,8
43,down,1981-10-14,4.495258808135986,1981-10-19,4.104994773864746,0.39026403427124023,3
44,up,1981-10-19,4.104994773864746,1981-11-03,4.654254913330078,0.549260139465332,7
45,down,1981-11-03,4.654254913330078,1981-12-01,4.220629215240479,0.4336256980895987,12
46,up,1981-12-01,4.220629215240479,1981-12-14,4.509713172912598,0.28908395767211825,6
47,down,1981-12-14,4.509713172912598,1981-12-22,4.307353973388672,0.20235919952392578,4
48,up,1981-12-22,4.307353973388672,1981-12-31,4.379624843597412,0.07227087020874023,4
49,down,1981-12-31,4.379624843597412,1982-01-21,3.758094072341919,0.6215307712554932,9
50,up,1982-01-21,3.758094072341919,1982-01-29,4.249536991119385,0.4914429187774658,5
51,down,1982-01-29,4.249536991119385,1982-02-24,3.584644079208374,0.6648929119110107,11
52,up,1982-02-24,3.584644079208374,1982-03-25,4.1772661209106445,0.5926220417022705,15
53,down,1982-03-25,4.1772661209106445,1982-04-02,3.9459989070892334,0.23126721382141113,5
54,up,1982-04-02,3.9459989070892334,1982-04-08,4.090540885925293,0.14454197883605957,3
55,down,1982-04-08,4.090540885925293,1982-04-14,3.974906921386719,0.11563396453857377,3
56,up,1982-04-14,3.974906921386719,1982-04-26,4.321808815002441,0.3469018936157222,6
57,down,1982-04-26,4.321808815002441,1982-04-30,3.974906921386719,0.3469018936157222,3
58,up,1982-04-30,3.974906921386719,1982-05-14,4.14835786819458,0.17345094680786088,6
