BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,2001-08-21,15.199999809265137,2001-09-06,18.600000381469727,3.40000057220459,8
2,down,2001-09-06,18.600000381469727,2001-09-21,15.050000190734863,3.5500001907348633,6
3,up,2001-09-21,15.050000190734863,2001-10-04,18.25,3.1999998092651367,5
4,down,2001-10-04,18.25,2001-10-16,15.739999771118164,2.510000228881836,4
5,up,2001-10-16,15.739999771118164,2001-11-09,19.59000015258789,3.8500003814697266,8
6,down,2001-11-09,19.59000015258789,2001-11-14,17.809999465942383,1.7800006866455078,3
7,up,2001-11-14,17.809999465942383,2001-12-11,24.89999961853028,7.090000152587898,14
8,down,2001-12-11,24.89999961853028,2001-12-21,21.25,3.6499996185302805,4
9,up,2001-12-21,21.25,2002-01-04,24.0,2.75,4
10,down,2002-01-04,24.0,2002-01-09,20.75,3.25,3
11,up,2002-01-09,20.75,2002-01-17,23.84000015258789,3.0900001525878906,5
12,down,2002-01-17,23.84000015258789,2002-02-01,18.5,5.340000152587891,5
13,up,2002-02-01,18.5,2002-02-13,20.18000030517578,1.6800003051757812,4
14,down,2002-02-13,20.18000030517578,2002-03-01,19.100000381469727,1.0799999237060547,8
15,up,2002-03-01,19.100000381469727,2002-04-02,22.0,2.8999996185302734,15
16,down,2002-04-02,22.0,2002-04-09,21.700000762939453,0.2999992370605469,4
17,up,2002-04-09,21.700000762939453,2002-04-18,24.299999237060547,2.5999984741210938,7
18,down,2002-04-18,24.299999237060547,2002-05-08,20.0,4.299999237060547,8
19,up,2002-05-08,20.0,2002-05-20,22.100000381469727,2.1000003814697266,6
20,down,2002-05-20,22.100000381469727,2002-05-30,21.21999931335449,0.8800010681152379,5
21,up,2002-05-30,21.21999931335449,2002-06-11,23.190000534057617,1.9700012207031286,7
22,down,2002-06-11,23.190000534057617,2002-06-21,19.39999961853028,3.7900009155273366,6
23,up,2002-06-21,19.39999961853028,2002-06-28,21.96999931335449,2.569999694824208,4
24,down,2002-06-28,21.96999931335449,2002-07-17,16.979999542236328,4.9899997711181605,9
25,up,2002-07-17,16.979999542236328,2002-08-13,21.75,4.770000457763672,11
26,down,2002-08-13,21.75,2002-08-21,19.14999961853028,2.6000003814697195,5
27,up,2002-08-21,19.14999961853028,2002-09-04,21.600000381469727,2.450000762939446,4
28,down,2002-09-04,21.600000381469727,2002-09-12,20.13999938964844,1.4600009918212855,5
29,up,2002-09-12,20.13999938964844,2002-10-04,25.18000030517578,5.04000091552734,11
30,down,2002-10-04,25.18000030517578,2002-10-18,22.049999237060547,3.1300010681152344,3
31,up,2002-10-18,22.049999237060547,2002-11-05,26.31999969482422,4.270000457763672,9
32,down,2002-11-05,26.31999969482422,2002-11-08,24.559999465942383,1.760000228881836,3
33,up,2002-11-08,24.559999465942383,2002-11-15,25.940000534057617,1.3800010681152344,3
34,down,2002-11-15,25.940000534057617,2002-12-11,21.64999961853028,4.290000915527337,11
35,up,2002-12-11,21.64999961853028,2002-12-17,23.479999542236328,1.8299999237060476,3
36,down,2002-12-17,23.479999542236328,2002-12-23,22.280000686645508,1.1999988555908203,4
37,up,2002-12-23,22.280000686645508,2003-01-21,27.459999084472656,5.179998397827148,12
38,down,2003-01-21,27.459999084472656,2003-02-10,25.0,2.4599990844726562,12
39,up,2003-02-10,25.0,2003-02-18,26.5,1.5,3
40,down,2003-02-18,26.5,2003-03-12,24.38999938964844,2.110000610351559,8
41,up,2003-03-12,24.38999938964844,2003-04-15,27.5,3.110000610351559,14
42,down,2003-04-15,27.5,2003-04-25,26.5,1.0,7
43,up,2003-04-25,26.5,2003-05-07,28.200000762939453,1.7000007629394531,5
44,down,2003-05-07,28.200000762939453,2003-05-21,26.82999992370605,1.370000839233402,9
45,up,2003-05-21,26.82999992370605,2003-06-06,30.59000015258789,3.7600002288818395,6
