BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1973-05-04,2.0286459922790527,1973-06-06,1.4765629768371582,0.5520830154418945,18
2,up,1973-06-06,1.4765629768371582,1973-06-13,1.828125,0.3515620231628418,3
3,down,1973-06-13,1.828125,1973-06-18,1.625,0.203125,3
4,up,1973-06-18,1.625,1973-07-31,2.195312976837158,0.5703129768371582,19
5,down,1973-07-31,2.195312976837158,1973-08-24,1.8515629768371584,0.3437499999999998,13
6,up,1973-08-24,1.8515629768371584,1973-09-04,2.09375,0.24218702316284157,3
7,down,1973-09-04,2.09375,1973-09-11,1.9453129768371584,0.14843702316284157,4
8,up,1973-09-11,1.9453129768371584,1973-10-15,2.195312976837158,0.24999999999999978,14
9,down,1973-10-15,2.195312976837158,1973-11-05,1.875,0.3203129768371582,10
10,up,1973-11-05,1.875,1973-11-16,2.03125,0.15625,7
11,down,1973-11-16,2.03125,1973-12-26,1.3125,0.71875,20
12,up,1973-12-26,1.3125,1974-01-25,1.625,0.3125,15
13,down,1974-01-25,1.625,1974-02-05,1.453125,0.171875,6
14,up,1974-02-05,1.453125,1974-02-13,1.546875,0.09375,4
15,down,1974-02-13,1.546875,1974-02-26,1.4609379768371582,0.0859370231628418,6
16,up,1974-02-26,1.4609379768371582,1974-03-14,1.8515629768371584,0.3906250000000002,8
17,down,1974-03-14,1.8515629768371584,1974-04-02,1.5625,0.2890629768371584,8
18,up,1974-04-02,1.5625,1974-04-17,1.75,0.1875,7
19,down,1974-04-17,1.75,1974-04-24,1.546875,0.203125,5
20,up,1974-04-24,1.546875,1974-05-10,1.7265629768371582,0.1796879768371582,6
21,down,1974-05-10,1.7265629768371582,1974-05-23,1.578125,0.1484379768371582,6
22,up,1974-05-23,1.578125,1974-06-10,1.875,0.296875,7
23,down,1974-06-10,1.875,1974-07-11,1.5234379768371582,0.3515620231628418,15
24,up,1974-07-11,1.5234379768371582,1974-07-23,1.6796879768371582,0.15625,6
25,down,1974-07-23,1.6796879768371582,1974-07-31,1.4453129768371582,0.234375,3
26,up,1974-07-31,1.4453129768371582,1974-08-07,1.53125,0.0859370231628418,3
27,down,1974-08-07,1.53125,1974-08-29,1.203125,0.328125,12
28,up,1974-08-29,1.203125,1974-09-05,1.34375,0.140625,4
29,down,1974-09-05,1.34375,1974-09-16,1.0078129768371582,0.3359370231628418,6
30,up,1974-09-16,1.0078129768371582,1974-09-20,1.265625,0.2578120231628418,4
31,down,1974-09-20,1.265625,1974-10-01,0.984375,0.28125,6
32,up,1974-10-01,0.984375,1974-10-18,1.6015629768371582,0.6171879768371582,7
33,down,1974-10-18,1.6015629768371582,1974-10-28,1.359375,0.2421879768371582,3
34,up,1974-10-28,1.359375,1974-11-06,1.6171879768371582,0.2578129768371582,5
35,down,1974-11-06,1.6171879768371582,1974-11-20,1.3359379768371582,0.28125,8
36,up,1974-11-20,1.3359379768371582,1974-11-29,1.5625,0.2265620231628418,4
37,down,1974-11-29,1.5625,1974-12-17,1.2421879768371582,0.3203120231628418,7
38,up,1974-12-17,1.2421879768371582,1975-01-06,1.5859379768371582,0.34375,9
39,down,1975-01-06,1.5859379768371582,1975-01-27,1.375,0.2109379768371582,9
40,up,1975-01-27,1.375,1975-02-14,1.7734379768371582,0.3984379768371582,10
41,down,1975-02-14,1.7734379768371582,1975-02-20,1.609375,0.1640629768371582,3
42,up,1975-02-20,1.609375,1975-03-04,1.8828129768371584,0.2734379768371584,7
43,down,1975-03-04,1.8828129768371584,1975-03-13,1.765625,0.11718797683715843,4
44,up,1975-03-13,1.765625,1975-03-18,1.890625,0.125,3
45,down,1975-03-18,1.890625,1975-04-08,1.6875,0.203125,8
46,up,1975-04-08,1.6875,1975-04-16,1.9296879768371584,0.24218797683715843,5
47,down,1975-04-16,1.9296879768371584,1975-04-30,1.703125,0.22656297683715843,8
48,up,1975-04-30,1.703125,1975-05-14,2.070312976837158,0.3671879768371582,10
49,down,1975-05-14,2.070312976837158,1975-05-22,1.9765629768371584,0.09374999999999978,4
50,up,1975-05-22,1.9765629768371584,1975-06-03,2.179687976837158,0.20312499999999978,6
51,down,1975-06-03,2.179687976837158,1975-06-10,1.8515629768371584,0.3281249999999998,5
52,up,1975-06-10,1.8515629768371584,1975-06-24,2.148437976837158,0.2968749999999998,10
53,down,1975-06-24,2.148437976837158,1975-07-09,1.9453129768371584,0.20312499999999978,7
54,up,1975-07-09,1.9453129768371584,1975-07-15,2.03125,0.08593702316284157,4
55,down,1975-07-15,2.03125,1975-08-06,1.71875,0.3125,9
56,up,1975-08-06,1.71875,1975-08-13,1.8203129768371584,0.10156297683715843,3
57,down,1975-08-13,1.8203129768371584,1975-08-22,1.609375,0.21093797683715843,3
58,up,1975-08-22,1.609375,1975-08-29,1.7265629768371582,0.1171879768371582,4
59,down,1975-08-29,1.7265629768371582,1975-09-17,1.5234379768371582,0.203125,9
60,up,1975-09-17,1.5234379768371582,1975-10-14,1.9296879768371584,0.4062500000000002,18
61,down,1975-10-14,1.9296879768371584,1975-10-24,1.7265629768371582,0.20312500000000022,3
62,up,1975-10-24,1.7265629768371582,1975-10-31,1.828125,0.1015620231628418,3
63,down,1975-10-31,1.828125,1975-11-10,1.703125,0.125,3
64,up,1975-11-10,1.703125,1975-11-13,1.859375,0.15625,3
65,down,1975-11-13,1.859375,1975-12-04,1.6484379768371582,0.2109370231628418,7
66,up,1975-12-04,1.6484379768371582,1975-12-17,1.8671879768371584,0.21875000000000022,9
67,down,1975-12-17,1.8671879768371584,1975-12-23,1.7578129768371582,0.10937500000000022,3
68,up,1975-12-23,1.7578129768371582,1976-01-16,1.953125,0.1953120231628418,10
69,down,1976-01-16,1.953125,1976-02-06,1.6484379768371582,0.3046870231628418,9
70,up,1976-02-06,1.6484379768371582,1976-02-26,1.8671879768371584,0.21875000000000022,6
71,down,1976-02-26,1.8671879768371584,1976-04-12,1.6171879768371582,0.2500000000000002,12
72,up,1976-04-12,1.6171879768371582,1976-04-21,1.7109379768371582,0.09375,3
73,down,1976-04-21,1.7109379768371582,1976-05-25,1.4609379768371582,0.25,14
74,up,1976-05-25,1.4609379768371582,1976-06-22,1.7109379768371582,0.25,10
75,down,1976-06-22,1.7109379768371582,1976-06-28,1.6328129768371582,0.078125,3
76,up,1976-06-28,1.6328129768371582,1976-07-12,1.828125,0.1953120231628418,8
77,down,1976-07-12,1.828125,1976-07-21,1.703125,0.125,5
78,up,1976-07-21,1.703125,1976-08-18,1.8125,0.109375,13
79,down,1976-08-18,1.8125,1976-08-31,1.6953129768371582,0.1171870231628418,4
80,up,1976-08-31,1.6953129768371582,1976-09-09,1.78125,0.0859370231628418,3
81,down,1976-09-09,1.78125,1976-09-15,1.6875,0.09375,3
82,up,1976-09-15,1.6875,1976-09-23,1.8125,0.125,4
83,down,1976-09-23,1.8125,1976-10-15,1.53125,0.28125,8
84,up,1976-10-15,1.53125,1976-11-01,1.6640629768371582,0.1328129768371582,9
85,down,1976-11-01,1.6640629768371582,1976-11-15,1.5625,0.1015629768371582,5
86,up,1976-11-15,1.5625,1976-11-29,1.703125,0.140625,3
87,down,1976-11-29,1.703125,1976-12-21,1.625,0.078125,5
88,up,1976-12-21,1.625,1977-01-03,1.734375,0.109375,3
89,down,1977-01-03,1.734375,1977-01-31,1.4609379768371582,0.2734370231628418,14
90,up,1977-01-31,1.4609379768371582,1977-03-02,1.609375,0.1484370231628418,13
91,down,1977-03-02,1.609375,1977-03-24,1.5234379768371582,0.0859370231628418,6
92,up,1977-03-24,1.5234379768371582,1977-04-12,1.59375,0.0703120231628418,6
93,down,1977-04-12,1.59375,1977-04-27,1.4921879768371582,0.1015620231628418,6
94,up,1977-04-27,1.4921879768371582,1977-05-19,1.609375,0.1171870231628418,7
95,down,1977-05-19,1.609375,1977-05-27,1.4921879768371582,0.1171870231628418,4
96,up,1977-05-27,1.4921879768371582,1977-06-15,1.5859379768371582,0.09375,6
97,down,1977-06-15,1.5859379768371582,1977-07-11,1.515625,0.0703129768371582,4
98,up,1977-07-11,1.515625,1977-07-26,1.6328129768371582,0.1171879768371582,5
99,down,1977-07-26,1.6328129768371582,1977-09-02,1.5,0.1328129768371582,17
100,up,1977-09-02,1.5,1977-09-13,1.546875,0.046875,3
101,down,1977-09-13,1.546875,1977-09-27,1.4296879768371582,0.1171870231628418,6
102,up,1977-09-27,1.4296879768371582,1977-10-04,1.5234379768371582,0.09375,3
103,down,1977-10-04,1.5234379768371582,1977-10-25,1.2734379768371582,0.25,12
104,up,1977-10-25,1.2734379768371582,1977-11-28,1.515625,0.2421870231628418,14
105,down,1977-11-28,1.515625,1977-12-23,1.3046879768371582,0.2109370231628418,14
106,up,1977-12-23,1.3046879768371582,1978-01-05,1.359375,0.0546870231628418,4
107,down,1978-01-05,1.359375,1978-01-16,1.234375,0.125,4
108,up,1978-01-16,1.234375,1978-01-24,1.3515629768371582,0.1171879768371582,4
109,down,1978-01-24,1.3515629768371582,1978-01-30,1.21875,0.1328129768371582,3
110,up,1978-01-30,1.21875,1978-02-02,1.2578129768371582,0.0390629768371582,3
111,down,1978-02-02,1.2578129768371582,1978-02-07,1.1875,0.0703129768371582,3
112,up,1978-02-07,1.1875,1978-02-27,1.2734379768371582,0.0859379768371582,5
113,down,1978-02-27,1.2734379768371582,1978-03-07,1.203125,0.0703129768371582,3
114,up,1978-03-07,1.203125,1978-03-22,1.2890629768371582,0.0859379768371582,5
115,down,1978-03-22,1.2890629768371582,1978-03-31,1.2265629768371582,0.0625,3
116,up,1978-03-31,1.2265629768371582,1978-04-17,1.3515629768371582,0.125,7
117,down,1978-04-17,1.3515629768371582,1978-05-02,1.25,0.1015629768371582,10
118,up,1978-05-02,1.25,1978-06-09,1.453125,0.203125,15
119,down,1978-06-09,1.453125,1978-07-05,1.25,0.203125,12
120,up,1978-07-05,1.25,1978-08-09,1.34375,0.09375,12
121,down,1978-08-09,1.34375,1978-08-23,1.2578129768371582,0.0859370231628418,6
122,up,1978-08-23,1.2578129768371582,1978-09-11,1.34375,0.0859370231628418,10
123,down,1978-09-11,1.34375,1978-09-29,1.2578129768371582,0.0859370231628418,7
124,up,1978-09-29,1.2578129768371582,1978-10-05,1.296875,0.0390620231628418,3
125,down,1978-10-05,1.296875,1978-10-31,1.0625,0.234375,9
126,up,1978-10-31,1.0625,1978-11-27,1.1015629768371582,0.0390629768371582,8
127,down,1978-11-27,1.1015629768371582,1978-12-21,1.0,0.1015629768371582,6
128,up,1978-12-21,1.0,1979-01-26,1.2265629768371582,0.2265629768371582,12
129,down,1979-01-26,1.2265629768371582,1979-02-23,1.046875,0.1796879768371582,13
130,up,1979-02-23,1.046875,1979-03-09,1.109375,0.0625,4
131,down,1979-03-09,1.109375,1979-04-02,1.03125,0.078125,8
132,up,1979-04-02,1.03125,1979-04-26,1.171875,0.140625,7
133,down,1979-04-26,1.171875,1979-05-15,1.03125,0.140625,7
134,up,1979-05-15,1.03125,1979-05-23,1.0625,0.03125,3
135,down,1979-05-23,1.0625,1979-06-04,1.0,0.0625,3
136,up,1979-06-04,1.0,1979-06-13,1.046875,0.046875,3
137,down,1979-06-13,1.046875,1979-07-02,0.984375,0.0625,5
138,up,1979-07-02,0.984375,1979-07-10,1.0625,0.078125,4
139,down,1979-07-10,1.0625,1979-07-19,1.0078129768371582,0.0546870231628418,3
140,up,1979-07-19,1.0078129768371582,1979-08-22,1.171875,0.1640620231628418,8
141,down,1979-08-22,1.171875,1979-10-02,1.0,0.171875,14
142,up,1979-10-02,1.0,1979-10-12,1.03125,0.03125,5
143,down,1979-10-12,1.03125,1979-11-15,0.859375,0.171875,10
144,up,1979-11-15,0.859375,1979-12-04,0.9453129768371582,0.0859379768371582,6
145,down,1979-12-04,0.9453129768371582,1980-01-18,0.828125,0.1171879768371582,16
146,up,1980-01-18,0.828125,1980-02-07,0.9296879768371582,0.1015629768371582,7
147,down,1980-02-07,0.9296879768371582,1980-02-26,0.78125,0.1484379768371582,4
148,up,1980-02-26,0.78125,1980-03-03,0.84375,0.0625,3
149,down,1980-03-03,0.84375,1980-03-25,0.6875,0.15625,7
150,up,1980-03-25,0.6875,1980-04-15,0.828125,0.140625,8
151,down,1980-04-15,0.828125,1980-04-21,0.7421879768371582,0.0859370231628418,3
152,up,1980-04-21,0.7421879768371582,1980-05-19,0.9375,0.1953120231628418,13
153,down,1980-05-19,0.9375,1980-06-20,0.8203129768371582,0.1171870231628418,15
154,up,1980-06-20,0.8203129768371582,1980-07-21,0.9921879768371582,0.171875,9
155,down,1980-07-21,0.9921879768371582,1980-07-31,0.8984379768371582,0.09375,4
156,up,1980-07-31,0.8984379768371582,1980-08-26,1.0,0.1015620231628418,8
157,down,1980-08-26,1.0,1980-09-09,0.9375,0.0625,4
158,up,1980-09-09,0.9375,1980-09-12,1.1015629768371582,0.1640629768371582,3
159,down,1980-09-12,1.1015629768371582,1980-11-07,0.84375,0.2578129768371582,22
160,up,1980-11-07,0.84375,1980-11-19,0.96875,0.125,6
161,down,1980-11-19,0.96875,1980-12-16,0.796875,0.171875,14
162,up,1980-12-16,0.796875,1981-01-06,1.0078129768371582,0.2109379768371582,9
163,down,1981-01-06,1.0078129768371582,1981-01-23,0.890625,0.1171879768371582,6
164,up,1981-01-23,0.890625,1981-02-06,0.9375,0.046875,4
165,down,1981-02-06,0.9375,1981-02-23,0.8828129768371582,0.0546870231628418,5
166,up,1981-02-23,0.8828129768371582,1981-03-06,1.0546879768371582,0.171875,5
167,down,1981-03-06,1.0546879768371582,1981-03-11,0.96875,0.0859379768371582,3
168,up,1981-03-11,0.96875,1981-03-24,1.0859379768371582,0.1171879768371582,4
169,down,1981-03-24,1.0859379768371582,1981-04-07,0.9765629768371582,0.109375,6
