BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1995-05-23,2.59375,1995-06-07,3.0625,0.46875,3
2,down,1995-06-07,3.0625,1995-08-15,2.46875,0.59375,13
3,up,1995-08-15,2.46875,1995-09-22,3.46875,1.0,8
4,down,1995-09-22,3.46875,1995-10-23,3.15625,0.3125,4
5,up,1995-10-23,3.15625,1995-12-13,4.21875,1.0625,16
6,down,1995-12-13,4.21875,1996-03-04,3.5,0.71875,8
7,up,1996-03-04,3.5,1996-03-25,4.25,0.75,9
8,down,1996-03-25,4.25,1996-04-08,4.125,0.125,3
9,up,1996-04-08,4.125,1996-04-29,4.6875,0.5625,3
10,down,1996-04-29,4.6875,1996-05-29,4.125,0.5625,7
11,up,1996-05-29,4.125,1996-06-05,4.5625,0.4375,4
12,down,1996-06-05,4.5625,1996-06-20,3.953125,0.609375,6
13,up,1996-06-20,3.953125,1996-06-28,4.15625,0.203125,5
14,down,1996-06-28,4.15625,1996-07-17,3.484375,0.671875,8
15,up,1996-07-17,3.484375,1996-10-01,5.71875,2.234375,31
16,down,1996-10-01,5.71875,1996-10-16,5.015625,0.703125,6
17,up,1996-10-16,5.015625,1996-10-23,5.484375,0.46875,4
18,down,1996-10-23,5.484375,1996-10-29,5.109375,0.375,3
19,up,1996-10-29,5.109375,1996-11-06,5.28125,0.171875,5
20,down,1996-11-06,5.28125,1996-11-26,4.703125,0.578125,9
21,up,1996-11-26,4.703125,1997-01-02,6.03125,1.328125,15
22,down,1997-01-02,6.03125,1997-01-15,5.3125,0.71875,6
23,up,1997-01-15,5.3125,1997-02-06,6.46875,1.15625,11
24,down,1997-02-06,6.46875,1997-02-20,5.75,0.71875,8
25,up,1997-02-20,5.75,1997-03-10,6.625,0.875,7
26,down,1997-03-10,6.625,1997-04-01,5.453125,1.171875,10
27,up,1997-04-01,5.453125,1997-04-16,5.8125,0.359375,8
28,down,1997-04-16,5.8125,1997-05-01,5.515625,0.296875,8
29,up,1997-05-01,5.515625,1997-05-06,5.765625,0.25,3
30,down,1997-05-06,5.765625,1997-05-29,5.15625,0.609375,10
31,up,1997-05-29,5.15625,1997-06-19,6.359375,1.203125,13
32,down,1997-06-19,6.359375,1997-06-27,5.671875,0.6875,6
33,up,1997-06-27,5.671875,1997-07-15,6.1875,0.515625,6
34,down,1997-07-15,6.1875,1997-07-23,5.640625,0.546875,4
35,up,1997-07-23,5.640625,1997-08-05,6.21875,0.578125,6
36,down,1997-08-05,6.21875,1997-08-11,5.773437976837158,0.4453120231628418,3
37,up,1997-08-11,5.773437976837158,1997-09-23,8.15625,2.382812023162842,17
