BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1973-02-23,1.703125,1973-03-05,1.65625,0.046875,6
2,up,1973-03-05,1.65625,1973-03-20,1.796875,0.140625,11
3,down,1973-03-20,1.796875,1973-03-26,1.6796879768371582,0.1171870231628418,3
4,up,1973-03-26,1.6796879768371582,1973-03-30,1.765625,0.0859370231628418,4
5,down,1973-03-30,1.765625,1973-04-05,1.6328129768371582,0.1328120231628418,4
6,up,1973-04-05,1.6328129768371582,1973-04-16,1.8046879768371584,0.17187500000000022,6
7,down,1973-04-16,1.8046879768371584,1973-04-25,1.515625,0.2890629768371584,6
8,up,1973-04-25,1.515625,1973-05-10,1.78125,0.265625,7
9,down,1973-05-10,1.78125,1973-06-26,1.1875,0.59375,24
10,up,1973-06-26,1.1875,1973-08-06,1.609375,0.421875,17
11,down,1973-08-06,1.609375,1973-08-24,1.3359379768371582,0.2734370231628418,7
12,up,1973-08-24,1.3359379768371582,1973-09-05,1.515625,0.1796870231628418,5
13,down,1973-09-05,1.515625,1973-09-18,1.328125,0.1875,6
14,up,1973-09-18,1.328125,1973-09-27,1.6953129768371582,0.3671879768371582,5
15,down,1973-09-27,1.6953129768371582,1973-10-05,1.5078129768371582,0.1875,3
16,up,1973-10-05,1.5078129768371582,1973-10-12,1.5703129768371582,0.0625,4
17,down,1973-10-12,1.5703129768371582,1973-12-18,0.5625,1.0078129768371582,34
18,up,1973-12-18,0.5625,1973-12-26,0.75,0.1875,4
19,down,1973-12-26,0.75,1974-01-10,0.625,0.125,7
20,up,1974-01-10,0.625,1974-01-24,0.7265629768371582,0.1015629768371582,6
21,down,1974-01-24,0.7265629768371582,1974-02-14,0.5625,0.1640629768371582,8
22,up,1974-02-14,0.5625,1974-02-27,0.703125,0.140625,7
23,down,1974-02-27,0.703125,1974-03-05,0.6328129768371582,0.0703120231628418,3
24,up,1974-03-05,0.6328129768371582,1974-03-13,0.7109379768371582,0.078125,4
25,down,1974-03-13,0.7109379768371582,1974-03-29,0.5625,0.1484379768371582,8
26,up,1974-03-29,0.5625,1974-04-09,0.609375,0.046875,3
27,down,1974-04-09,0.609375,1974-05-24,0.375,0.234375,15
28,up,1974-05-24,0.375,1974-06-11,0.609375,0.234375,7
29,down,1974-06-11,0.609375,1974-07-02,0.3984380066394806,0.2109369933605194,8
30,up,1974-07-02,0.3984380066394806,1974-07-24,0.4921880066394806,0.09375,9
31,down,1974-07-24,0.4921880066394806,1974-08-12,0.4296880066394806,0.0625,5
32,up,1974-08-12,0.4296880066394806,1974-08-23,0.59375,0.1640619933605194,7
33,down,1974-08-23,0.59375,1974-09-05,0.4609380066394806,0.1328119933605194,5
34,up,1974-09-05,0.4609380066394806,1974-09-19,0.5234379768371582,0.06249997019767761,3
35,down,1974-09-19,0.5234379768371582,1974-10-01,0.4296880066394806,0.09374997019767761,3
36,up,1974-10-01,0.4296880066394806,1974-10-15,0.546875,0.11718699336051941,7
37,down,1974-10-15,0.546875,1974-10-30,0.390625,0.15625,6
38,up,1974-10-30,0.390625,1974-11-06,0.4296880066394806,0.03906300663948059,3
39,down,1974-11-06,0.4296880066394806,1974-12-24,0.296875,0.1328130066394806,19
40,up,1974-12-24,0.296875,1975-02-07,0.671875,0.375,15
41,down,1975-02-07,0.671875,1975-02-20,0.546875,0.125,5
42,up,1975-02-20,0.546875,1975-03-31,0.9140629768371582,0.3671879768371582,18
43,down,1975-03-31,0.9140629768371582,1975-04-07,0.8203129768371582,0.09375,4
44,up,1975-04-07,0.8203129768371582,1975-04-28,0.96875,0.1484370231628418,10
45,down,1975-04-28,0.96875,1975-05-07,0.9140629768371582,0.0546870231628418,7
46,up,1975-05-07,0.9140629768371582,1975-05-16,1.078125,0.1640620231628418,3
47,down,1975-05-16,1.078125,1975-05-27,0.9375,0.140625,3
48,up,1975-05-27,0.9375,1975-06-06,1.0390629768371582,0.1015629768371582,4
49,down,1975-06-06,1.0390629768371582,1975-06-16,0.921875,0.1171879768371582,4
50,up,1975-06-16,0.921875,1975-07-16,1.0703129768371582,0.1484379768371582,7
51,down,1975-07-16,1.0703129768371582,1975-08-06,0.8359379768371582,0.234375,8
52,up,1975-08-06,0.8359379768371582,1975-08-13,0.875,0.0390620231628418,4
53,down,1975-08-13,0.875,1975-08-21,0.7421879768371582,0.1328120231628418,5
54,up,1975-08-21,0.7421879768371582,1975-08-29,0.9921879768371582,0.25,5
55,down,1975-08-29,0.9921879768371582,1975-09-11,0.8828129768371582,0.109375,6
56,up,1975-09-11,0.8828129768371582,1975-10-23,1.234375,0.3515620231628418,17
57,down,1975-10-23,1.234375,1975-11-04,1.09375,0.140625,7
58,up,1975-11-04,1.09375,1975-11-12,1.2109379768371582,0.1171879768371582,3
59,down,1975-11-12,1.2109379768371582,1975-12-09,1.0,0.2109379768371582,11
60,up,1975-12-09,1.0,1975-12-17,1.1640629768371582,0.1640629768371582,4
61,down,1975-12-17,1.1640629768371582,1976-01-05,1.1015629768371582,0.0625,7
62,up,1976-01-05,1.1015629768371582,1976-01-29,1.4609379768371582,0.359375,11
63,down,1976-01-29,1.4609379768371582,1976-02-06,1.3046879768371582,0.15625,3
64,up,1976-02-06,1.3046879768371582,1976-02-20,1.4609379768371582,0.15625,7
65,down,1976-02-20,1.4609379768371582,1976-03-01,1.3515629768371582,0.109375,3
