BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1972-06-06,2.734375,1972-06-26,2.447916984558105,0.286458015441895,10
2,up,1972-06-26,2.447916984558105,1972-07-20,2.609375,0.16145801544189498,12
3,down,1972-07-20,2.609375,1972-08-02,2.494791984558105,0.11458301544189498,7
4,up,1972-08-02,2.494791984558105,1972-09-01,3.28125,0.786458015441895,21
5,down,1972-09-01,3.28125,1972-09-25,2.916666984558105,0.364583015441895,8
6,up,1972-09-25,2.916666984558105,1972-09-29,3.5,0.583333015441895,4
7,down,1972-09-29,3.5,1972-10-06,3.2083330154418945,0.29166698455810547,4
8,up,1972-10-06,3.2083330154418945,1972-11-10,3.7916669845581055,0.5833339691162109,20
9,down,1972-11-10,3.7916669845581055,1972-11-16,3.5833330154418945,0.20833396911621094,3
10,up,1972-11-16,3.5833330154418945,1972-12-01,4.0,0.41666698455810547,8
11,down,1972-12-01,4.0,1972-12-18,3.645833015441896,0.35416698455810414,9
12,up,1972-12-18,3.645833015441896,1973-01-02,3.8229169845581055,0.1770839691162096,7
13,down,1973-01-02,3.8229169845581055,1973-01-22,3.3645830154418945,0.45833396911621094,10
14,up,1973-01-22,3.3645830154418945,1973-02-21,4.125,0.7604169845581055,13
15,down,1973-02-21,4.125,1973-02-28,3.6354169845581055,0.48958301544189453,3
16,up,1973-02-28,3.6354169845581055,1973-03-07,4.114583015441895,0.47916603088378995,3
17,down,1973-03-07,4.114583015441895,1973-03-22,3.6666669845581055,0.44791603088378995,6
18,up,1973-03-22,3.6666669845581055,1973-03-29,3.770833015441896,0.1041660308837904,4
19,down,1973-03-29,3.770833015441896,1973-04-05,3.354166984558105,0.41666603088379084,4
20,up,1973-04-05,3.354166984558105,1973-04-10,3.708333015441896,0.35416603088379084,3
21,down,1973-04-10,3.708333015441896,1973-04-30,3.03125,0.6770830154418959,10
22,up,1973-04-30,3.03125,1973-05-04,3.625,0.59375,4
23,down,1973-05-04,3.625,1973-05-21,3.104166984558105,0.520833015441895,8
24,up,1973-05-21,3.104166984558105,1973-06-13,3.46875,0.364583015441895,10
25,down,1973-06-13,3.46875,1973-06-21,2.96875,0.5,4
26,up,1973-06-21,2.96875,1973-06-27,3.34375,0.375,4
27,down,1973-06-27,3.34375,1973-07-09,3.09375,0.25,5
28,up,1973-07-09,3.09375,1973-08-30,4.6875,1.59375,30
29,down,1973-08-30,4.6875,1973-09-05,4.5,0.1875,3
30,up,1973-09-05,4.5,1973-09-24,5.0,0.5,7
31,down,1973-09-24,5.0,1973-10-02,4.875,0.125,3
32,up,1973-10-02,4.875,1973-10-09,5.4479169845581055,0.5729169845581055,3
33,down,1973-10-09,5.4479169845581055,1973-10-16,5.1041669845581055,0.34375,4
34,up,1973-10-16,5.1041669845581055,1973-10-25,5.40625,0.30208301544189453,6
35,down,1973-10-25,5.40625,1973-11-05,4.489583015441895,0.9166669845581046,6
36,up,1973-11-05,4.489583015441895,1973-11-08,4.8541669845581055,0.36458396911621005,3
37,down,1973-11-08,4.8541669845581055,1973-11-13,4.270833015441895,0.58333396911621,3
38,up,1973-11-13,4.270833015441895,1973-11-23,4.583333015441895,0.3125,6
39,down,1973-11-23,4.583333015441895,1973-12-03,3.833333015441896,0.7499999999999996,5
40,up,1973-12-03,3.833333015441896,1973-12-11,4.489583015441895,0.6562499999999996,4
41,down,1973-12-11,4.489583015441895,1973-12-18,4.0416669845581055,0.44791603088378995,3
42,up,1973-12-18,4.0416669845581055,1973-12-27,4.520833015441895,0.47916603088378995,3
43,down,1973-12-27,4.520833015441895,1974-01-11,3.5625,0.9583330154418954,7
44,up,1974-01-11,3.5625,1974-01-23,3.989583015441896,0.42708301544189586,6
45,down,1974-01-23,3.989583015441896,1974-02-12,3.375,0.6145830154418959,8
46,up,1974-02-12,3.375,1974-02-27,4.0,0.625,8
47,down,1974-02-27,4.0,1974-04-03,3.1875,0.8125,17
48,up,1974-04-03,3.1875,1974-04-22,3.4270830154418945,0.23958301544189453,7
49,down,1974-04-22,3.4270830154418945,1974-05-03,3.104166984558105,0.3229160308837895,6
