BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1995-04-06,1.497941970825195,1995-04-26,1.3333330154418943,0.16460895538330078,4
2,up,1995-04-26,1.3333330154418943,1995-05-17,1.711933970451355,0.37860095500946067,6
3,down,1995-05-17,1.711933970451355,1995-06-23,1.5473250150680542,0.16460895538330078,6
4,up,1995-06-23,1.5473250150680542,1995-07-18,2.024691104888916,0.4773660898208618,7
5,down,1995-07-18,2.024691104888916,1995-08-17,1.7777780294418335,0.24691307544708252,6
6,up,1995-08-17,1.7777780294418335,1995-09-21,2.386831045150757,0.6090530157089233,9
7,down,1995-09-21,2.386831045150757,1995-09-27,1.9259259700775144,0.4609050750732424,3
8,up,1995-09-27,1.9259259700775144,1995-10-02,2.255143880844116,0.3292179107666018,3
9,down,1995-10-02,2.255143880844116,1995-11-01,1.6296299695968628,0.6255139112472534,10
10,up,1995-11-01,1.6296299695968628,1995-12-07,2.057612895965576,0.4279829263687134,9
11,down,1995-12-07,2.057612895965576,1995-12-26,1.4485599994659424,0.6090528964996338,5
12,up,1995-12-26,1.4485599994659424,1996-01-25,2.469135999679565,1.0205760002136226,13
13,down,1996-01-25,2.469135999679565,1996-02-05,2.189300060272217,0.2798359394073482,4
14,up,1996-02-05,2.189300060272217,1996-02-12,2.386831045150757,0.19753098487854004,5
15,down,1996-02-12,2.386831045150757,1996-02-28,2.2716050148010254,0.11522603034973145,3
16,up,1996-02-28,2.2716050148010254,1996-03-19,3.045267105102539,0.7736620903015137,11
17,down,1996-03-19,3.045267105102539,1996-03-26,2.864197969436645,0.181069135665894,4
18,up,1996-03-26,2.864197969436645,1996-04-26,3.728394985198975,0.86419701576233,12
19,down,1996-04-26,3.728394985198975,1996-05-20,3.456789970397949,0.27160501480102583,5
20,up,1996-05-20,3.456789970397949,1996-06-03,4.444444179534912,0.9876542091369629,4
21,down,1996-06-03,4.444444179534912,1996-07-16,2.2716050148010254,2.1728391647338867,16
22,up,1996-07-16,2.2716050148010254,1996-08-20,3.59259295463562,1.3209879398345947,11
23,down,1996-08-20,3.59259295463562,1996-09-04,2.938271999359131,0.6543209552764893,8
24,up,1996-09-04,2.938271999359131,1996-09-27,4.148148059844971,1.2098760604858398,12
25,down,1996-09-27,4.148148059844971,1996-10-17,3.358025074005127,0.7901229858398438,6
26,up,1996-10-17,3.358025074005127,1996-10-28,4.222221851348877,0.86419677734375,4
27,down,1996-10-28,4.222221851348877,1996-11-08,3.80246901512146,0.419752836227417,5
28,up,1996-11-08,3.80246901512146,1996-11-13,4.246913909912109,0.4444448947906494,3
29,down,1996-11-13,4.246913909912109,1996-12-11,3.037036895751953,1.2098770141601562,10
