BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1962-01-08,24.680850982666016,1962-01-12,25.478723526000977,0.7978725433349609,3
2,down,1962-01-12,25.478723526000977,1962-01-31,23.93617057800293,1.5425529479980469,9
3,up,1962-01-31,23.93617057800293,1962-02-13,25.79787254333496,1.8617019653320312,6
4,down,1962-02-13,25.79787254333496,1962-03-14,24.94680976867676,0.8510627746581996,7
5,up,1962-03-14,24.94680976867676,1962-03-23,25.63829803466797,0.6914882659912074,4
6,down,1962-03-23,25.63829803466797,1962-04-10,24.09574508666992,1.5425529479980504,9
7,up,1962-04-10,24.09574508666992,1962-04-30,25.4255313873291,1.3297863006591832,10
8,down,1962-04-30,25.4255313873291,1962-05-29,19.36170196533203,6.06382942199707,10
9,up,1962-05-29,19.36170196533203,1962-06-11,23.19148826599121,3.8297863006591797,6
10,down,1962-06-11,23.19148826599121,1962-06-27,20.212766647338867,2.9787216186523438,7
11,up,1962-06-27,20.212766647338867,1962-07-13,23.085105895996094,2.8723392486572266,7
12,down,1962-07-13,23.085105895996094,1962-07-18,22.021276473999023,1.0638294219970703,3
13,up,1962-07-18,22.021276473999023,1962-08-10,23.24468040466309,1.223403930664066,7
14,down,1962-08-10,23.24468040466309,1962-08-17,22.978723526000977,0.2659568786621129,3
15,up,1962-08-17,22.978723526000977,1962-08-27,23.67021369934082,0.6914901733398438,3
16,down,1962-08-27,23.67021369934082,1962-09-04,22.9255313873291,0.7446823120117188,3
17,up,1962-09-04,22.9255313873291,1962-09-21,26.17021369934082,3.2446823120117188,8
18,down,1962-09-21,26.17021369934082,1962-10-02,24.36170196533203,1.808511734008789,5
19,up,1962-10-02,24.36170196533203,1962-10-11,25.53191566467285,1.1702136993408203,3
20,down,1962-10-11,25.53191566467285,1962-10-26,23.617021560668945,1.9148941040039062,5
21,up,1962-10-26,23.617021560668945,1962-12-13,27.127660751342773,3.510639190673828,14
22,down,1962-12-13,27.127660751342773,1962-12-28,26.06382942199707,1.0638313293457031,6
23,up,1962-12-28,26.06382942199707,1963-01-30,29.680850982666016,3.6170215606689453,10
24,down,1963-01-30,29.680850982666016,1963-02-28,26.914894104003903,2.765956878662113,7
25,up,1963-02-28,26.914894104003903,1963-03-18,28.82978630065918,1.914892196655277,5
26,down,1963-03-18,28.82978630065918,1963-05-09,27.44680976867676,1.3829765319824183,10
27,up,1963-05-09,27.44680976867676,1963-05-27,28.085105895996094,0.6382961273193324,5
28,down,1963-05-27,28.085105895996094,1963-06-26,27.127660751342773,0.9574451446533203,7
29,up,1963-06-26,27.127660751342773,1963-09-17,30.4255313873291,3.297870635986328,22
30,down,1963-09-17,30.4255313873291,1963-11-08,27.23404312133789,3.191488265991211,15
31,up,1963-11-08,27.23404312133789,1963-12-12,27.978723526000977,0.7446804046630859,6
32,down,1963-12-12,27.978723526000977,1963-12-24,27.23404312133789,0.7446804046630859,3
33,up,1963-12-24,27.23404312133789,1964-01-15,27.978723526000977,0.7446804046630859,5
34,down,1964-01-15,27.978723526000977,1964-02-19,27.340425491333008,0.6382980346679688,6
35,up,1964-02-19,27.340425491333008,1964-03-04,27.872339248657227,0.5319137573242188,4
36,down,1964-03-04,27.872339248657227,1964-03-24,27.23404312133789,0.6382961273193359,6
37,up,1964-03-24,27.23404312133789,1964-05-06,27.872339248657227,0.6382961273193359,5
38,down,1964-05-06,27.872339248657227,1964-06-26,27.23404312133789,0.6382961273193359,11
39,up,1964-06-26,27.23404312133789,1964-08-03,30.4255313873291,3.191488265991211,16
40,down,1964-08-03,30.4255313873291,1964-08-21,29.042552947998047,1.3829784393310547,5
41,up,1964-08-21,29.042552947998047,1964-09-23,30.319149017333984,1.2765960693359375,7
42,down,1964-09-23,30.319149017333984,1964-10-05,29.46808433532715,0.8510646820068359,5
43,up,1964-10-05,29.46808433532715,1964-10-29,32.12765884399414,2.659574508666992,5
44,down,1964-10-29,32.12765884399414,1964-12-03,30.4255313873291,1.702127456665039,6
45,up,1964-12-03,30.4255313873291,1964-12-17,31.38297843933105,0.9574470520019496,4
46,down,1964-12-17,31.38297843933105,1964-12-30,30.10638236999512,1.2765960693359304,6
47,up,1964-12-30,30.10638236999512,1965-02-05,32.87234115600586,2.7659587860107386,14
48,down,1965-02-05,32.87234115600586,1965-03-22,30.74468040466309,2.12766075134277,14
49,up,1965-03-22,30.74468040466309,1965-03-31,31.70212745666504,0.9574470520019496,4
50,down,1965-03-31,31.70212745666504,1965-04-09,31.06382942199707,0.6382980346679688,3
51,up,1965-04-09,31.06382942199707,1965-04-27,32.34042739868164,1.2765979766845703,3
52,down,1965-04-27,32.34042739868164,1965-05-17,31.17021369934082,1.1702136993408203,6
53,up,1965-05-17,31.17021369934082,1965-05-20,31.70212745666504,0.5319137573242188,3
54,down,1965-05-20,31.70212745666504,1965-06-29,29.680850982666016,2.0212764739990234,13
55,up,1965-06-29,29.680850982666016,1965-08-09,30.63829803466797,0.9574470520019531,11
56,down,1965-08-09,30.63829803466797,1965-08-26,29.893617630004883,0.7446804046630859,8
57,up,1965-08-26,29.893617630004883,1965-09-21,32.23404312133789,2.340425491333008,7
58,down,1965-09-21,32.23404312133789,1965-10-14,31.59574508666992,0.6382980346679723,4
59,up,1965-10-14,31.59574508666992,1965-11-18,32.34042739868164,0.7446823120117223,10
60,down,1965-11-18,32.34042739868164,1965-12-15,30.63829803466797,1.7021293640136719,7
61,up,1965-12-15,30.63829803466797,1965-12-22,31.914894104003903,1.276596069335934,3
62,down,1965-12-22,31.914894104003903,1966-03-04,27.55319023132324,4.361703872680664,29
63,up,1966-03-04,27.55319023132324,1966-03-10,29.042552947998047,1.4893627166748082,3
64,down,1966-03-10,29.042552947998047,1966-03-31,27.340425491333008,1.702127456665039,8
65,up,1966-03-31,27.340425491333008,1966-04-06,28.085105895996094,0.7446804046630859,3
66,down,1966-04-06,28.085105895996094,1966-04-15,27.44680976867676,0.6382961273193324,3
67,up,1966-04-15,27.44680976867676,1966-04-21,28.40425491333008,0.9574451446533203,3
68,down,1966-04-21,28.40425491333008,1966-05-18,27.127660751342773,1.2765941619873082,6
69,up,1966-05-18,27.127660751342773,1966-05-27,27.76595687866211,0.6382961273193359,4
70,down,1966-05-27,27.76595687866211,1966-07-01,25.95744705200196,1.8085098266601491,9
71,up,1966-07-01,25.95744705200196,1966-07-18,26.70212745666504,0.7446804046630788,3
72,down,1966-07-18,26.70212745666504,1966-08-31,23.93617057800293,2.7659568786621094,13
73,up,1966-08-31,23.93617057800293,1966-09-15,26.59574508666992,2.6595745086669886,7
74,down,1966-09-15,26.59574508666992,1966-10-13,24.46808433532715,2.12766075134277,8
75,up,1966-10-13,24.46808433532715,1966-11-03,28.617021560668945,4.148937225341797,9
76,down,1966-11-03,28.617021560668945,1966-11-25,27.127660751342773,1.4893608093261719,7
77,up,1966-11-25,27.127660751342773,1966-12-15,29.25531959533692,2.1276588439941477,8
78,down,1966-12-15,29.25531959533692,1967-01-05,27.659574508666992,1.595745086669929,6
79,up,1967-01-05,27.659574508666992,1967-01-31,29.148935317993164,1.4893608093261719,6
80,down,1967-01-31,29.148935317993164,1967-02-21,26.59574508666992,2.5531902313232457,6
81,up,1967-02-21,26.59574508666992,1967-03-02,27.44680976867676,0.851064682006843,4
82,down,1967-03-02,27.44680976867676,1967-03-28,26.06382942199707,1.382980346679691,10
