BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1973-02-22,15.875,1973-03-05,14.625,1.25,5
2,up,1973-03-05,14.625,1973-03-16,15.25,0.625,5
3,down,1973-03-16,15.25,1973-03-26,14.375,0.875,3
4,up,1973-03-26,14.375,1973-04-16,15.125,0.75,5
5,down,1973-04-16,15.125,1973-05-22,14.0,1.125,4
6,up,1973-05-22,14.0,1973-05-31,14.5,0.5,3
7,down,1973-05-31,14.5,1973-08-28,12.875,1.625,11
8,up,1973-08-28,12.875,1973-10-08,13.75,0.875,8
9,down,1973-10-08,13.75,1973-12-06,10.375,3.375,14
10,up,1973-12-06,10.375,1974-01-07,12.125,1.75,12
11,down,1974-01-07,12.125,1974-01-16,11.375,0.75,5
12,up,1974-01-16,11.375,1974-02-22,12.5,1.125,6
13,down,1974-02-22,12.5,1974-05-15,7.5,5.0,12
14,up,1974-05-15,7.5,1974-05-23,8.375,0.875,3
15,down,1974-05-23,8.375,1974-06-28,6.5,1.875,11
16,up,1974-06-28,6.5,1974-07-19,7.375,0.875,3
17,down,1974-07-19,7.375,1974-08-05,6.875,0.5,4
18,up,1974-08-05,6.875,1974-08-12,7.875,1.0,3
19,down,1974-08-12,7.875,1974-09-17,5.5,2.375,7
20,up,1974-09-17,5.5,1974-09-23,6.75,1.25,4
21,down,1974-09-23,6.75,1974-10-04,5.75,1.0,4
22,up,1974-10-04,5.75,1974-10-15,7.75,2.0,5
23,down,1974-10-15,7.75,1974-12-09,5.75,2.0,9
24,up,1974-12-09,5.75,1975-01-13,7.625,1.875,8
25,down,1975-01-13,7.625,1975-01-22,7.0,0.625,3
26,up,1975-01-22,7.0,1975-02-21,9.0,2.0,8
27,down,1975-02-21,9.0,1975-02-28,7.75,1.25,3
28,up,1975-02-28,7.75,1975-03-18,8.25,0.5,4
29,down,1975-03-18,8.25,1975-04-11,7.75,0.5,3
30,up,1975-04-11,7.75,1975-05-14,9.125,1.375,4
31,down,1975-05-14,9.125,1975-06-02,8.0,1.125,5
32,up,1975-06-02,8.0,1975-07-01,10.0,2.0,3
33,down,1975-07-01,10.0,1975-08-27,8.875,1.125,5
34,up,1975-08-27,8.875,1975-11-21,10.625,1.75,16
35,down,1975-11-21,10.625,1975-12-11,9.5,1.125,6
36,up,1975-12-11,9.5,1976-01-12,11.0,1.5,5
37,down,1976-01-12,11.0,1976-03-04,10.0,1.0,7
38,up,1976-03-04,10.0,1976-04-22,10.75,0.75,6
39,down,1976-04-22,10.75,1976-06-04,9.875,0.875,8
40,up,1976-06-04,9.875,1976-10-05,11.5,1.625,23
41,down,1976-10-05,11.5,1976-11-30,10.0,1.5,10
42,up,1976-11-30,10.0,1976-12-13,11.125,1.125,3
43,down,1976-12-13,11.125,1976-12-27,10.0,1.125,4
44,up,1976-12-27,10.0,1977-02-04,11.75,1.75,6
45,down,1977-02-04,11.75,1977-02-28,10.75,1.0,5
46,up,1977-02-28,10.75,1977-03-16,11.375,0.625,5
47,down,1977-03-16,11.375,1977-05-04,10.875,0.5,3
48,up,1977-05-04,10.875,1977-05-24,11.5,0.625,5
49,down,1977-05-24,11.5,1977-06-13,10.875,0.625,3
50,up,1977-06-13,10.875,1977-07-29,12.375,1.5,3
51,down,1977-07-29,12.375,1977-08-10,11.875,0.5,3
52,up,1977-08-10,11.875,1977-08-25,12.25,0.375,3
53,down,1977-08-25,12.25,1977-09-02,11.25,1.0,3
54,up,1977-09-02,11.25,1977-10-12,11.75,0.5,6
55,down,1977-10-12,11.75,1977-12-20,10.25,1.5,11
56,up,1977-12-20,10.25,1978-01-23,10.875,0.625,4
57,down,1978-01-23,10.875,1978-03-30,10.0,0.875,7
58,up,1978-03-30,10.0,1978-04-26,10.5,0.5,3
59,down,1978-04-26,10.5,1978-06-12,9.5,1.0,10
60,up,1978-06-12,9.5,1978-08-14,10.75,1.25,11
61,down,1978-08-14,10.75,1978-09-01,9.875,0.875,4
62,up,1978-09-01,9.875,1978-09-18,10.5,0.625,5
63,down,1978-09-18,10.5,1978-11-08,9.5,1.0,5
64,up,1978-11-08,9.5,1978-11-24,10.0,0.5,3
65,down,1978-11-24,10.0,1978-12-29,9.0,1.0,4
66,up,1978-12-29,9.0,1979-01-11,9.875,0.875,5
67,down,1979-01-11,9.875,1979-02-23,9.125,0.75,8
68,up,1979-02-23,9.125,1979-03-23,9.625,0.5,6
69,down,1979-03-23,9.625,1979-05-16,8.625,1.0,5
