BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1999-06-09,10.59375,1999-06-14,7.25,3.34375,3
2,up,1999-06-14,7.25,1999-07-16,42.5,35.25,21
3,down,1999-07-16,42.5,1999-08-05,13.875,28.625,10
4,up,1999-08-05,13.875,1999-08-25,35.0625,21.1875,14
5,down,1999-08-25,35.0625,1999-09-02,29.75,5.3125,6
6,up,1999-09-02,29.75,1999-09-13,41.75,12.0,4
7,down,1999-09-13,41.75,1999-09-21,30.0625,11.6875,4
8,up,1999-09-21,30.0625,1999-10-12,48.6875,18.625,11
9,down,1999-10-12,48.6875,1999-10-18,34.875,13.8125,3
10,up,1999-10-18,34.875,1999-11-03,80.25,45.375,8
11,down,1999-11-03,80.25,1999-11-08,60.53125,19.71875,3
12,up,1999-11-08,60.53125,1999-11-18,79.0,18.46875,7
13,down,1999-11-18,79.0,1999-11-30,56.5,22.5,6
14,up,1999-11-30,56.5,1999-12-08,75.0,18.5,5
15,down,1999-12-08,75.0,1999-12-23,50.0,25.0,6
16,up,1999-12-23,50.0,2000-01-04,65.0,15.0,5
17,down,2000-01-04,65.0,2000-01-13,44.625,20.375,6
18,up,2000-01-13,44.625,2000-01-24,71.0625,26.4375,6
19,down,2000-01-24,71.0625,2000-02-01,42.875,28.1875,5
20,up,2000-02-01,42.875,2000-02-14,53.375,10.5,7
21,down,2000-02-14,53.375,2000-02-22,45.3125,8.0625,3
22,up,2000-02-22,45.3125,2000-02-25,49.5,4.1875,3
23,down,2000-02-25,49.5,2000-03-01,43.46875,6.03125,3
24,up,2000-03-01,43.46875,2000-03-07,59.5,16.03125,4
25,down,2000-03-07,59.5,2000-04-17,18.5,41.0,24
26,up,2000-04-17,18.5,2000-04-25,29.625,11.125,5
27,down,2000-04-25,29.625,2000-05-11,14.1875,15.4375,8
28,up,2000-05-11,14.1875,2000-05-17,21.875,7.6875,4
29,down,2000-05-17,21.875,2000-05-24,14.90625,6.96875,5
30,up,2000-05-24,14.90625,2000-06-09,25.0,10.09375,10
31,down,2000-06-09,25.0,2000-06-19,20.25,4.75,6
32,up,2000-06-19,20.25,2000-06-30,28.875,8.625,6
33,down,2000-06-30,28.875,2000-07-10,21.625,7.25,4
34,up,2000-07-10,21.625,2000-07-17,28.25,6.625,3
35,down,2000-07-17,28.25,2000-07-26,19.125,9.125,5
36,up,2000-07-26,19.125,2000-08-01,24.5625,5.4375,3
37,down,2000-08-01,24.5625,2000-08-11,22.3125,2.25,7
38,up,2000-08-11,22.3125,2000-08-22,27.625,5.3125,4
39,down,2000-08-22,27.625,2000-08-25,23.9375,3.6875,3
40,up,2000-08-25,23.9375,2000-09-05,30.75,6.8125,3
41,down,2000-09-05,30.75,2000-09-19,19.125,11.625,8
42,up,2000-09-19,19.125,2000-09-25,20.875,1.75,3
43,down,2000-09-25,20.875,2000-10-03,13.09375,7.78125,4
44,up,2000-10-03,13.09375,2000-10-10,16.8125,3.71875,4
45,down,2000-10-10,16.8125,2000-10-18,11.1875,5.625,6
46,up,2000-10-18,11.1875,2000-11-03,20.46875,9.28125,10
47,down,2000-11-03,20.46875,2000-11-30,11.5625,8.90625,14
48,up,2000-11-30,11.5625,2000-12-06,15.34375,3.78125,4
49,down,2000-12-06,15.34375,2001-01-02,4.71875,10.625,13
50,up,2001-01-02,4.71875,2001-01-31,8.90625,4.1875,14
51,down,2001-01-31,8.90625,2001-03-01,3.125,5.78125,19
52,up,2001-03-01,3.125,2001-03-07,4.0,0.875,4
53,down,2001-03-07,4.0,2001-03-19,2.5,1.5,7
54,up,2001-03-19,2.5,2001-03-23,4.0,1.5,3
55,down,2001-03-23,4.0,2001-04-04,1.875,2.125,6
56,up,2001-04-04,1.875,2001-04-20,4.585000038146973,2.7100000381469727,8
57,down,2001-04-20,4.585000038146973,2001-04-27,3.400000095367432,1.1849999427795406,3
58,up,2001-04-27,3.400000095367432,2001-05-10,6.425000190734863,3.025000095367431,8
59,down,2001-05-10,6.425000190734863,2001-05-15,4.929999828338623,1.4950003623962402,3
60,up,2001-05-15,4.929999828338623,2001-05-23,7.099999904632568,2.1700000762939453,3
