BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1980-07-07,0.4747239947319031,1981-06-23,0.6307979822158813,0.15607398748397827,42
2,down,1981-06-23,0.6307979822158813,1981-07-21,0.6047859787940979,0.026012003421783447,4
3,up,1981-07-21,0.6047859787940979,1981-09-17,0.6698169708251953,0.06503099203109741,9
4,down,1981-09-17,0.6698169708251953,1981-10-02,0.6210439801216125,0.048772990703582764,4
5,up,1981-10-02,0.6210439801216125,1981-12-23,0.6600620150566101,0.03901803493499756,9
6,down,1981-12-23,0.6600620150566101,1982-01-14,0.647055983543396,0.013006031513214111,3
7,up,1982-01-14,0.647055983543396,1982-02-11,0.7706140279769897,0.12355804443359375,7
8,down,1982-02-11,0.7706140279769897,1982-02-24,0.7120869755744934,0.05852705240249634,5
9,up,1982-02-24,0.7120869755744934,1982-04-01,0.7348470091819763,0.02276003360748291,8
10,down,1982-04-01,0.7348470091819763,1982-06-29,0.6828230023384094,0.052024006843566895,6
11,up,1982-06-29,0.6828230023384094,1982-11-18,0.8681600093841553,0.18533700704574585,26
12,down,1982-11-18,0.8681600093841553,1982-12-20,0.8031299710273743,0.065030038356781,9
13,up,1982-12-20,0.8031299710273743,1983-03-18,1.060001015663147,0.2568710446357727,27
14,down,1983-03-18,1.060001015663147,1983-04-12,0.98846697807312,0.07153403759002697,3
15,up,1983-04-12,0.98846697807312,1983-05-09,1.3266270160675049,0.3381600379943849,13
16,down,1983-05-09,1.3266270160675049,1983-07-06,1.027485966682434,0.2991410493850708,18
17,up,1983-07-06,1.027485966682434,1983-09-23,1.4827009439468384,0.4552149772644043,20
18,down,1983-09-23,1.4827009439468384,1983-11-25,1.1965659856796265,0.2861349582672119,12
19,up,1983-11-25,1.1965659856796265,1984-02-03,1.3656450510025024,0.16907906532287598,8
20,down,1984-02-03,1.3656450510025024,1984-03-15,1.2485899925231934,0.11705505847930908,7
21,up,1984-03-15,1.2485899925231934,1984-07-05,1.3656450510025024,0.11705505847930908,8
22,down,1984-07-05,1.3656450510025024,1984-08-10,1.2615959644317627,0.10404908657073975,4
23,up,1984-08-10,1.2615959644317627,1984-09-28,1.3266270160675049,0.06503105163574219,9
24,down,1984-09-28,1.3266270160675049,1984-10-11,1.294111967086792,0.03251504898071289,4
25,up,1984-10-11,1.294111967086792,1985-03-20,1.6907989978790283,0.39668703079223633,42
26,down,1985-03-20,1.6907989978790283,1985-03-26,1.677793025970459,0.013005971908569336,3
27,up,1985-03-26,1.677793025970459,1985-07-10,2.185033082962036,0.5072400569915771,26
28,down,1985-07-10,2.185033082962036,1985-07-30,1.970430970191956,0.21460211277008012,7
29,up,1985-07-30,1.970430970191956,1985-08-13,2.1069960594177246,0.1365650892257686,4
30,down,1985-08-13,2.1069960594177246,1985-08-23,2.028959035873413,0.07803702354431152,4
31,up,1985-08-23,2.028959035873413,1985-09-10,2.067976951599121,0.03901791572570801,3
32,down,1985-09-10,2.067976951599121,1985-09-20,2.009449958801269,0.05852699279785201,3
33,up,1985-09-20,2.009449958801269,1985-10-28,2.243560075759888,0.23411011695861905,13
34,down,1985-10-28,2.243560075759888,1985-11-06,2.2045419216156006,0.03901815414428755,4
35,up,1985-11-06,2.2045419216156006,1985-11-19,2.5557079315185547,0.3511660099029541,6
36,down,1985-11-19,2.5557079315185547,1986-01-06,2.4874260425567627,0.06828188896179199,5
37,up,1986-01-06,2.4874260425567627,1986-02-13,2.848345994949341,0.3609199523925781,15
38,down,1986-02-13,2.848345994949341,1986-03-05,2.7995729446411133,0.04877305030822754,5
39,up,1986-03-05,2.7995729446411133,1986-04-03,3.2482850551605225,0.4487121105194092,12
40,down,1986-04-03,3.2482850551605225,1986-05-06,3.131230115890503,0.11705493927001953,8
41,up,1986-05-06,3.131230115890503,1986-05-12,3.2482850551605225,0.11705493927001953,3
42,down,1986-05-12,3.2482850551605225,1986-06-05,3.175126075744629,0.07315897941589355,3
43,up,1986-06-05,3.175126075744629,1986-07-23,3.804297924041748,0.6291718482971191,15
44,down,1986-07-23,3.804297924041748,1986-08-20,3.3653409481048584,0.43895697593688965,7
45,up,1986-08-20,3.3653409481048584,1986-08-27,3.511660099029541,0.14631915092468262,3
46,down,1986-08-27,3.511660099029541,1986-10-09,2.809328079223633,0.7023320198059082,16
47,up,1986-10-09,2.809328079223633,1986-11-06,3.0141749382019043,0.20484685897827148,8
48,down,1986-11-06,3.0141749382019043,1986-12-29,2.5752170085906982,0.43895792961120605,16
49,up,1986-12-29,2.5752170085906982,1987-01-14,3.10196590423584,0.5267488956451416,10
50,down,1987-01-14,3.10196590423584,1987-01-22,2.9556469917297363,0.14631891250610352,4
51,up,1987-01-22,2.9556469917297363,1987-02-09,3.087333917617798,0.13168692588806152,5
52,down,1987-02-09,3.087333917617798,1987-02-24,2.9702789783477783,0.11705493927001953,5
53,up,1987-02-24,2.9702789783477783,1987-03-18,3.453131914138794,0.4828529357910156,8
54,down,1987-03-18,3.453131914138794,1987-04-01,3.2921810150146484,0.1609508991241455,6
55,up,1987-04-01,3.2921810150146484,1987-04-07,3.42386794090271,0.13168692588806152,3
56,down,1987-04-07,3.42386794090271,1987-04-27,2.867856025695801,0.5560119152069092,10
57,up,1987-04-27,2.867856025695801,1987-05-11,3.2336530685424805,0.3657970428466797,5
58,down,1987-05-11,3.2336530685424805,1987-05-22,2.8824870586395264,0.3511660099029541,6
59,up,1987-05-22,2.8824870586395264,1987-06-18,3.2482850551605225,0.3657979965209961,7
60,down,1987-06-18,3.2482850551605225,1987-07-30,3.116597890853882,0.13168716430664062,4
61,up,1987-07-30,3.116597890853882,1987-08-21,3.394603967666626,0.27800607681274414,7
62,down,1987-08-21,3.394603967666626,1987-09-09,3.2190210819244385,0.1755828857421875,5
63,up,1987-09-09,3.2190210819244385,1987-10-05,3.687242984771729,0.4682219028472905,8
64,down,1987-10-05,3.687242984771729,1987-10-29,2.809328079223633,0.8779149055480961,12
65,up,1987-10-29,2.809328079223633,1987-11-09,3.072701930999756,0.26337385177612305,6
66,down,1987-11-09,3.072701930999756,1987-12-14,2.7873799800872803,0.2853219509124756,9
67,up,1987-12-14,2.7873799800872803,1988-01-06,3.0946500301361084,0.3072700500488281,8
