BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,2006-11-30,28.950000762939453,2006-12-13,26.5,2.450000762939453,7
2,up,2006-12-13,26.5,2006-12-18,29.8700008392334,3.3700008392333984,3
3,down,2006-12-18,29.8700008392334,2006-12-22,26.65999984741211,3.210000991821289,3
4,up,2006-12-22,26.65999984741211,2007-01-03,30.290000915527344,3.6300010681152344,4
5,down,2007-01-03,30.290000915527344,2007-01-22,27.540000915527344,2.75,9
6,up,2007-01-22,27.540000915527344,2007-02-26,52.70000076293945,25.15999984741211,17
7,down,2007-02-26,52.70000076293945,2007-03-05,42.59999847412109,10.100002288818366,4
8,up,2007-03-05,42.59999847412109,2007-03-13,57.93999862670898,15.34000015258789,4
9,down,2007-03-13,57.93999862670898,2007-03-16,50.22999954223633,7.709999084472649,3
10,up,2007-03-16,50.22999954223633,2007-03-23,59.880001068115234,9.650001525878906,3
11,down,2007-03-23,59.880001068115234,2007-03-30,51.5,8.380001068115234,4
12,up,2007-03-30,51.5,2007-05-10,72.4800033569336,20.980003356933594,23
13,down,2007-05-10,72.4800033569336,2007-05-22,61.43000030517578,11.050003051757812,7
14,up,2007-05-22,61.43000030517578,2007-06-06,73.26000213623047,11.830001831054688,7
15,down,2007-06-06,73.26000213623047,2007-06-12,68.3499984741211,4.910003662109375,3
16,up,2007-06-12,68.3499984741211,2007-07-10,119.8499984741211,51.5,14
17,down,2007-07-10,119.8499984741211,2007-07-18,105.5,14.349998474121094,6
18,up,2007-07-18,105.5,2007-07-31,123.20999908447266,17.709999084472656,6
19,down,2007-07-31,123.20999908447266,2007-08-17,74.7699966430664,48.44000244140625,10
20,up,2007-08-17,74.7699966430664,2007-08-23,99.8499984741211,25.080001831054688,4
21,down,2007-08-23,99.8499984741211,2007-08-28,90.77999877929688,9.069999694824219,3
22,up,2007-08-28,90.77999877929688,2007-10-09,141.97999572753906,51.19999694824219,23
23,down,2007-10-09,141.97999572753906,2007-10-22,124.95999908447266,17.019996643066406,6
24,up,2007-10-22,124.95999908447266,2007-10-29,159.77999877929688,34.81999969482422,3
25,down,2007-10-29,159.77999877929688,2007-11-05,141.49000549316406,18.289993286132812,4
26,up,2007-11-05,141.49000549316406,2007-11-30,252.38999938964844,110.89999389648438,13
27,down,2007-11-30,252.38999938964844,2007-12-06,211.0,41.38999938964844,3
