BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,2024-04-02,152.47999572753906,2024-04-05,119.0,33.47999572753906,3
2,up,2024-04-05,119.0,2024-04-11,139.92999267578125,20.92999267578125,3
3,down,2024-04-11,139.92999267578125,2024-04-16,128.25,11.67999267578125,3
4,up,2024-04-16,128.25,2024-05-07,173.5,45.25,11
5,down,2024-05-07,173.5,2024-05-14,158.86000061035156,14.639999389648438,5
6,up,2024-05-14,158.86000061035156,2024-05-28,182.77999877929688,23.919998168945312,6
7,down,2024-05-28,182.77999877929688,2024-06-06,155.5,27.279998779296875,4
8,up,2024-06-06,155.5,2024-06-20,185.5,30.0,8
9,down,2024-06-20,185.5,2024-07-01,165.1199951171875,20.3800048828125,7
10,up,2024-07-01,165.1199951171875,2024-07-12,184.3309936523437,19.210998535156193,7
11,down,2024-07-12,184.3309936523437,2024-07-25,156.41000366210938,27.920989990234318,8
12,up,2024-07-25,156.41000366210938,2024-08-15,190.8000030517578,34.38999938964844,14
13,down,2024-08-15,190.8000030517578,2024-08-26,173.07000732421875,17.729995727539062,4
14,up,2024-08-26,173.07000732421875,2024-09-26,258.6400146484375,85.57000732421875,16
15,down,2024-09-26,258.6400146484375,2024-10-03,248.5,10.1400146484375,3
16,up,2024-10-03,248.5,2024-11-11,349.7900085449219,101.29000854492188,21
17,down,2024-11-11,349.7900085449219,2024-11-19,317.54998779296875,32.240020751953125,3
18,up,2024-11-19,317.54998779296875,2024-12-05,354.69000244140625,37.1400146484375,7
19,down,2024-12-05,354.69000244140625,2024-12-10,322.3309936523437,32.35900878906256,3
20,up,2024-12-10,322.3309936523437,2024-12-24,348.989990234375,26.658996582031307,9
21,down,2024-12-24,348.989990234375,2024-12-31,323.0,25.989990234375,3
22,up,2024-12-31,323.0,2025-01-23,447.5,124.5,12
23,down,2025-01-23,447.5,2025-02-04,348.95001220703125,98.54998779296875,5
24,up,2025-02-04,348.95001220703125,2025-02-07,389.8900146484375,40.94000244140625,3
25,down,2025-02-07,389.8900146484375,2025-03-10,266.4700012207031,123.42001342773438,15
26,up,2025-03-10,266.4700012207031,2025-03-24,349.6199951171875,83.14999389648438,8
27,down,2025-03-24,349.6199951171875,2025-04-04,252.25,97.3699951171875,9
28,up,2025-04-04,252.25,2025-06-04,500.7200012207031,248.47000122070312,31
29,down,2025-06-04,500.7200012207031,2025-06-10,458.64599609375,42.074005126953125,4
30,up,2025-06-10,458.64599609375,2025-07-31,677.2899780273438,218.64398193359375,25
31,down,2025-07-31,677.2899780273438,2025-08-20,581.22998046875,96.05999755859375,12
32,up,2025-08-20,581.22998046875,2025-08-28,646.9500122070312,65.72003173828125,5
33,down,2025-08-28,646.9500122070312,2025-09-03,565.4299926757812,81.52001953125,3
34,up,2025-09-03,565.4299926757812,2025-09-12,653.5,88.07000732421875,4
