BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1973-02-26,4.734375,1973-03-12,4.25,0.484375,9
2,up,1973-03-12,4.25,1973-03-19,4.265625,0.015625,4
3,down,1973-03-19,4.265625,1973-03-26,3.78125,0.484375,5
4,up,1973-03-26,3.78125,1973-03-30,4.375,0.59375,3
5,down,1973-03-30,4.375,1973-04-06,3.90625,0.46875,5
6,up,1973-04-06,3.90625,1973-04-23,4.125,0.21875,7
7,down,1973-04-23,4.125,1973-05-01,3.8125,0.3125,5
8,up,1973-05-01,3.8125,1973-05-07,4.171875,0.359375,3
9,down,1973-05-07,4.171875,1973-05-21,3.375,0.796875,8
10,up,1973-05-21,3.375,1973-05-29,3.921875,0.546875,4
11,down,1973-05-29,3.921875,1973-06-04,3.46875,0.453125,3
12,up,1973-06-04,3.46875,1973-06-15,3.890625,0.421875,3
13,down,1973-06-15,3.890625,1973-06-26,3.4375,0.453125,5
14,up,1973-06-26,3.4375,1973-07-31,4.75,1.3125,16
15,down,1973-07-31,4.75,1973-08-24,4.3125,0.4375,8
16,up,1973-08-24,4.3125,1973-09-10,4.6875,0.375,5
17,down,1973-09-10,4.6875,1973-09-17,4.46875,0.21875,3
18,up,1973-09-17,4.46875,1973-11-02,5.625,1.15625,21
19,down,1973-11-02,5.625,1973-11-27,4.328125,1.296875,12
20,up,1973-11-27,4.328125,1973-11-30,4.5,0.171875,3
21,down,1973-11-30,4.5,1973-12-05,3.90625,0.59375,3
22,up,1973-12-05,3.90625,1973-12-26,4.59375,0.6875,10
23,down,1973-12-26,4.59375,1974-01-11,4.0,0.59375,7
24,up,1974-01-11,4.0,1974-01-16,4.375,0.375,3
25,down,1974-01-16,4.375,1974-01-22,3.9375,0.4375,3
26,up,1974-01-22,3.9375,1974-02-28,4.609375,0.671875,13
27,down,1974-02-28,4.609375,1974-03-08,4.25,0.359375,3
28,up,1974-03-08,4.25,1974-03-19,4.484375,0.234375,4
29,down,1974-03-19,4.484375,1974-04-09,3.59375,0.890625,10
30,up,1974-04-09,3.59375,1974-04-19,4.3125,0.71875,3
31,down,1974-04-19,4.3125,1974-05-08,4.15625,0.15625,5
32,up,1974-05-08,4.15625,1974-05-29,4.53125,0.375,8
33,down,1974-05-29,4.53125,1974-06-10,4.4375,0.09375,5
34,up,1974-06-10,4.4375,1974-06-13,4.6875,0.25,3
35,down,1974-06-13,4.6875,1974-07-11,3.71875,0.96875,16
36,up,1974-07-11,3.71875,1974-07-19,3.9375,0.21875,4
37,down,1974-07-19,3.9375,1974-07-24,3.90625,0.03125,3
38,up,1974-07-24,3.90625,1974-08-12,4.25,0.34375,9
39,down,1974-08-12,4.25,1974-08-29,2.96875,1.28125,11
40,up,1974-08-29,2.96875,1974-09-09,3.15625,0.1875,4
41,down,1974-09-09,3.15625,1974-09-18,2.75,0.40625,5
42,up,1974-09-18,2.75,1974-09-27,3.109375,0.359375,4
43,down,1974-09-27,3.109375,1974-10-09,2.34375,0.765625,5
44,up,1974-10-09,2.34375,1974-10-14,2.734375,0.390625,3
45,down,1974-10-14,2.734375,1974-10-29,2.09375,0.640625,5
46,up,1974-10-29,2.09375,1974-11-12,2.625,0.53125,7
47,down,1974-11-12,2.625,1974-12-06,1.9375,0.6875,11
48,up,1974-12-06,1.9375,1975-01-06,2.40625,0.46875,12
49,down,1975-01-06,2.40625,1975-01-10,2.15625,0.25,3
50,up,1975-01-10,2.15625,1975-02-10,3.296875,1.140625,12
51,down,1975-02-10,3.296875,1975-02-19,2.546875,0.75,3
52,up,1975-02-19,2.546875,1975-02-28,2.984375,0.4375,5
53,down,1975-02-28,2.984375,1975-03-10,2.546875,0.4375,6
54,up,1975-03-10,2.546875,1975-03-18,3.265625,0.71875,4
55,down,1975-03-18,3.265625,1975-03-25,2.78125,0.484375,4
56,up,1975-03-25,2.78125,1975-04-02,3.203125,0.421875,5
57,down,1975-04-02,3.203125,1975-04-24,2.46875,0.734375,8
58,up,1975-04-24,2.46875,1975-05-05,3.296875,0.828125,6
59,down,1975-05-05,3.296875,1975-05-14,2.84375,0.453125,5
60,up,1975-05-14,2.84375,1975-06-09,3.3125,0.46875,8
61,down,1975-06-09,3.3125,1975-06-23,3.0,0.3125,6
62,up,1975-06-23,3.0,1975-07-01,3.703125,0.703125,4
63,down,1975-07-01,3.703125,1975-07-10,3.21875,0.484375,3
64,up,1975-07-10,3.21875,1975-07-21,3.5,0.28125,5
65,down,1975-07-21,3.5,1975-07-28,3.25,0.25,4
66,up,1975-07-28,3.25,1975-08-05,3.34375,0.09375,3
67,down,1975-08-05,3.34375,1975-09-18,2.5,0.84375,23
68,up,1975-09-18,2.5,1975-10-31,3.40625,0.90625,16
69,down,1975-10-31,3.40625,1975-11-07,3.140625,0.265625,3
70,up,1975-11-07,3.140625,1975-11-19,3.5,0.359375,6
71,down,1975-11-19,3.5,1975-12-12,3.1875,0.3125,9
72,up,1975-12-12,3.1875,1975-12-19,3.421875,0.234375,4
73,down,1975-12-19,3.421875,1976-01-02,3.078125,0.34375,5
74,up,1976-01-02,3.078125,1976-01-22,3.734375,0.65625,8
75,down,1976-01-22,3.734375,1976-01-29,3.453125,0.28125,3
76,up,1976-01-29,3.453125,1976-02-26,4.125,0.671875,11
77,down,1976-02-26,4.125,1976-03-03,4.015625,0.109375,4
78,up,1976-03-03,4.015625,1976-03-18,4.21875,0.203125,4
79,down,1976-03-18,4.21875,1976-03-31,3.6875,0.53125,5
80,up,1976-03-31,3.6875,1976-04-22,4.140625,0.453125,11
81,down,1976-04-22,4.140625,1976-05-07,3.875,0.265625,8
82,up,1976-05-07,3.875,1976-05-17,4.140625,0.265625,5
83,down,1976-05-17,4.140625,1976-05-24,4.046875,0.09375,3
84,up,1976-05-24,4.046875,1976-06-10,4.265625,0.21875,5
85,down,1976-06-10,4.265625,1976-06-17,4.0625,0.203125,3
86,up,1976-06-17,4.0625,1976-06-29,4.234375,0.171875,4
87,down,1976-06-29,4.234375,1976-07-15,3.8125,0.421875,7
88,up,1976-07-15,3.8125,1976-07-30,4.109375,0.296875,6
89,down,1976-07-30,4.109375,1976-09-01,3.90625,0.203125,9
90,up,1976-09-01,3.90625,1976-09-22,4.234375,0.328125,7
91,down,1976-09-22,4.234375,1976-11-04,3.453125,0.78125,20
92,up,1976-11-04,3.453125,1976-12-06,4.125,0.671875,16
93,down,1976-12-06,4.125,1976-12-23,3.65625,0.46875,11
94,up,1976-12-23,3.65625,1977-01-03,3.78125,0.125,3
95,down,1977-01-03,3.78125,1977-02-07,3.3125,0.46875,13
96,up,1977-02-07,3.3125,1977-02-17,3.65625,0.34375,5
97,down,1977-02-17,3.65625,1977-03-14,3.4375,0.21875,10
98,up,1977-03-14,3.4375,1977-03-22,3.703125,0.265625,5
99,down,1977-03-22,3.703125,1977-04-01,3.53125,0.171875,3
100,up,1977-04-01,3.53125,1977-04-18,3.625,0.09375,5
101,down,1977-04-18,3.625,1977-05-02,3.5,0.125,5
102,up,1977-05-02,3.5,1977-05-27,3.75,0.25,6
103,down,1977-05-27,3.75,1977-06-15,3.453125,0.296875,5
104,up,1977-06-15,3.453125,1977-07-01,3.671875,0.21875,5
105,down,1977-07-01,3.671875,1977-07-12,3.546875,0.125,4
106,up,1977-07-12,3.546875,1977-07-25,3.796875,0.25,4
107,down,1977-07-25,3.796875,1977-08-26,3.515625,0.28125,12
108,up,1977-08-26,3.515625,1977-09-06,3.640625,0.125,3
109,down,1977-09-06,3.640625,1977-09-20,3.578125,0.0625,5
110,up,1977-09-20,3.578125,1977-09-29,3.65625,0.078125,3
111,down,1977-09-29,3.65625,1977-10-17,3.34375,0.3125,8
112,up,1977-10-17,3.34375,1977-10-24,3.53125,0.1875,3
113,down,1977-10-24,3.53125,1977-10-31,3.421875,0.109375,4
114,up,1977-10-31,3.421875,1978-01-06,3.984375,0.5625,23
115,down,1978-01-06,3.984375,1978-01-17,3.4375,0.546875,6
116,up,1978-01-17,3.4375,1978-02-02,3.6875,0.25,5
117,down,1978-02-02,3.6875,1978-02-22,3.3125,0.375,7
118,up,1978-02-22,3.3125,1978-04-17,3.890625,0.578125,19
119,down,1978-04-17,3.890625,1978-04-24,3.59375,0.296875,3
120,up,1978-04-24,3.59375,1978-05-16,4.125,0.53125,11
121,down,1978-05-16,4.125,1978-05-26,3.78125,0.34375,6
