BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1990-03-15,2.15625,1990-03-26,2.34375,0.1875,3
2,down,1990-03-26,2.34375,1990-04-11,2.0625,0.28125,5
3,up,1990-04-11,2.0625,1990-05-23,3.25,1.1875,19
4,down,1990-05-23,3.25,1990-06-05,2.515625,0.734375,7
5,up,1990-06-05,2.515625,1990-07-16,3.875,1.359375,11
6,down,1990-07-16,3.875,1990-08-07,2.21875,1.65625,12
7,up,1990-08-07,2.21875,1990-09-05,2.90625,0.6875,10
8,down,1990-09-05,2.90625,1990-09-25,1.8125,1.09375,7
9,up,1990-09-25,1.8125,1990-10-02,2.5,0.6875,4
10,down,1990-10-02,2.5,1990-10-12,2.0,0.5,5
11,up,1990-10-12,2.0,1990-10-26,2.28125,0.28125,3
12,down,1990-10-26,2.28125,1990-11-01,1.59375,0.6875,3
13,up,1990-11-01,1.59375,1990-11-06,2.078125,0.484375,3
14,down,1990-11-06,2.078125,1990-11-26,0.90625,1.171875,7
15,up,1990-11-26,0.90625,1990-12-11,1.21875,0.3125,6
16,down,1990-12-11,1.21875,1991-01-16,0.59375,0.625,11
17,up,1991-01-16,0.59375,1991-03-08,1.53125,0.9375,20
18,down,1991-03-08,1.53125,1991-03-25,1.09375,0.4375,7
19,up,1991-03-25,1.09375,1991-04-18,1.40625,0.3125,7
20,down,1991-04-18,1.40625,1991-06-28,0.8125,0.59375,17
21,up,1991-06-28,0.8125,1991-07-19,1.09375,0.28125,6
22,down,1991-07-19,1.09375,1991-10-25,0.6875,0.40625,17
23,up,1991-10-25,0.6875,1991-11-01,1.21875,0.53125,4
24,down,1991-11-01,1.21875,1991-11-18,1.0,0.21875,4
25,up,1991-11-18,1.0,1991-12-02,1.25,0.25,4
26,down,1991-12-02,1.25,1991-12-12,0.9375,0.3125,4
27,up,1991-12-12,0.9375,1992-02-10,1.78125,0.84375,19
28,down,1992-02-10,1.78125,1992-03-09,1.1875,0.59375,7
29,up,1992-03-09,1.1875,1992-03-23,1.40625,0.21875,4
30,down,1992-03-23,1.40625,1992-04-29,0.921875,0.484375,6
31,up,1992-04-29,0.921875,1992-05-07,1.25,0.328125,3
32,down,1992-05-07,1.25,1992-05-12,0.96875,0.28125,3
33,up,1992-05-12,0.96875,1992-05-18,1.09375,0.125,3
34,down,1992-05-18,1.09375,1992-06-18,0.78125,0.3125,5
35,up,1992-06-18,0.78125,1992-07-16,1.234375,0.453125,10
36,down,1992-07-16,1.234375,1992-07-28,1.03125,0.203125,5
37,up,1992-07-28,1.03125,1992-08-03,1.125,0.09375,3
38,down,1992-08-03,1.125,1992-08-14,0.796875,0.328125,3
39,up,1992-08-14,0.796875,1992-09-14,0.90625,0.109375,9
40,down,1992-09-14,0.90625,1992-09-30,0.71875,0.1875,5
41,up,1992-09-30,0.71875,1992-10-14,0.84375,0.125,4
42,down,1992-10-14,0.84375,1992-11-06,0.546875,0.296875,5
43,up,1992-11-06,0.546875,1992-11-24,0.78125,0.234375,5
44,down,1992-11-24,0.78125,1992-12-22,0.578125,0.203125,6
45,up,1992-12-22,0.578125,1993-01-12,0.78125,0.203125,7
46,down,1993-01-12,0.78125,1993-02-16,0.53125,0.25,12
47,up,1993-02-16,0.53125,1993-03-17,0.78125,0.25,11
48,down,1993-03-17,0.78125,1993-05-26,0.484375,0.296875,18
49,up,1993-05-26,0.484375,1993-06-15,0.578125,0.09375,5
50,down,1993-06-15,0.578125,1993-07-08,0.484375,0.09375,5
51,up,1993-07-08,0.484375,1993-08-04,0.609375,0.125,4
52,down,1993-08-04,0.609375,1993-10-13,0.4375,0.171875,11
53,up,1993-10-13,0.4375,1993-11-15,0.53125,0.09375,5
54,down,1993-11-15,0.53125,1993-12-28,0.421875,0.109375,6
55,up,1993-12-28,0.421875,1994-01-04,0.578125,0.15625,3
56,down,1994-01-04,0.578125,1994-01-11,0.515625,0.0625,3
57,up,1994-01-11,0.515625,1994-03-01,0.921875,0.40625,11
58,down,1994-03-01,0.921875,1994-03-18,0.796875,0.125,4
59,up,1994-03-18,0.796875,1994-04-12,1.03125,0.234375,6
60,down,1994-04-12,1.03125,1994-04-28,0.890625,0.140625,5
61,up,1994-04-28,0.890625,1994-05-11,1.328125,0.4375,5
62,down,1994-05-11,1.328125,1994-05-31,1.203125,0.125,6
63,up,1994-05-31,1.203125,1994-06-16,1.546875,0.34375,8
64,down,1994-06-16,1.546875,1994-07-21,1.21875,0.328125,5
65,up,1994-07-21,1.21875,1994-08-10,1.765625,0.546875,5
66,down,1994-08-10,1.765625,1994-08-17,1.4375,0.328125,4
67,up,1994-08-17,1.4375,1994-09-06,2.25,0.8125,8
68,down,1994-09-06,2.25,1994-09-27,1.5,0.75,7
69,up,1994-09-27,1.5,1994-10-21,2.265625,0.765625,9
70,down,1994-10-21,2.265625,1994-11-03,1.796875,0.46875,7
71,up,1994-11-03,1.796875,1994-11-11,1.9375,0.140625,3
72,down,1994-11-11,1.9375,1994-11-16,1.53125,0.40625,3
73,up,1994-11-16,1.53125,1994-11-21,1.875,0.34375,3
74,down,1994-11-21,1.875,1994-12-13,1.625,0.25,8
75,up,1994-12-13,1.625,1994-12-22,1.859375,0.234375,3
76,down,1994-12-22,1.859375,1995-01-09,1.65625,0.203125,5
77,up,1995-01-09,1.65625,1995-02-09,2.125,0.46875,10
78,down,1995-02-09,2.125,1995-02-15,1.84375,0.28125,3
79,up,1995-02-15,1.84375,1995-03-01,2.34375,0.5,6
80,down,1995-03-01,2.34375,1995-04-03,1.421875,0.921875,13
81,up,1995-04-03,1.421875,1995-04-10,1.71875,0.296875,3
82,down,1995-04-10,1.71875,1995-05-05,1.125,0.59375,5
83,up,1995-05-05,1.125,1995-06-09,1.96875,0.84375,12
84,down,1995-06-09,1.96875,1995-06-14,1.78125,0.1875,3
85,up,1995-06-14,1.78125,1995-07-05,2.28125,0.5,9
86,down,1995-07-05,2.28125,1995-07-25,1.921875,0.359375,7
87,up,1995-07-25,1.921875,1995-08-01,2.21875,0.296875,3
88,down,1995-08-01,2.21875,1995-08-24,1.984375,0.234375,5
89,up,1995-08-24,1.984375,1995-09-26,3.140625,1.15625,14
90,down,1995-09-26,3.140625,1995-10-05,2.59375,0.546875,3
91,up,1995-10-05,2.59375,1995-10-13,3.453125,0.859375,4
92,down,1995-10-13,3.453125,1995-10-27,3.1875,0.265625,6
93,up,1995-10-27,3.1875,1995-12-07,5.6875,2.5,18
94,down,1995-12-07,5.6875,1995-12-19,3.875,1.8125,5
95,up,1995-12-19,3.875,1996-01-02,5.125,1.25,4
96,down,1996-01-02,5.125,1996-01-10,4.3125,0.8125,4
97,up,1996-01-10,4.3125,1996-02-09,6.28125,1.96875,14
98,down,1996-02-09,6.28125,1996-02-20,5.09375,1.1875,5
99,up,1996-02-20,5.09375,1996-03-21,6.6875,1.59375,8
100,down,1996-03-21,6.6875,1996-04-02,5.25,1.4375,4
101,up,1996-04-02,5.25,1996-05-22,11.5,6.25,23
102,down,1996-05-22,11.5,1996-05-30,9.0,2.5,4
103,up,1996-05-30,9.0,1996-06-13,12.375,3.375,6
104,down,1996-06-13,12.375,1996-06-20,10.375,2.0,4
105,up,1996-06-20,10.375,1996-06-26,12.25,1.875,3
106,down,1996-06-26,12.25,1996-07-16,6.875,5.375,11
107,up,1996-07-16,6.875,1996-08-02,10.125,3.25,11
108,down,1996-08-02,10.125,1996-08-13,9.5625,0.5625,4
109,up,1996-08-13,9.5625,1996-08-19,11.125,1.5625,4
110,down,1996-08-19,11.125,1996-09-09,9.125,2.0,8
111,up,1996-09-09,9.125,1996-09-17,10.3125,1.1875,5
112,down,1996-09-17,10.3125,1996-10-25,4.5,5.8125,13
113,up,1996-10-25,4.5,1996-11-08,6.6875,2.1875,7
114,down,1996-11-08,6.6875,1996-11-14,5.6875,1.0,3
115,up,1996-11-14,5.6875,1996-11-26,6.625,0.9375,5
116,down,1996-11-26,6.625,1996-12-11,5.5,1.125,5
117,up,1996-12-11,5.5,1997-01-20,7.9375,2.4375,15
118,down,1997-01-20,7.9375,1997-02-11,6.34375,1.59375,8
119,up,1997-02-11,6.34375,1997-02-25,7.125,0.78125,3
120,down,1997-02-25,7.125,1997-04-01,5.3125,1.8125,16
121,up,1997-04-01,5.3125,1997-04-11,6.375,1.0625,6
122,down,1997-04-11,6.375,1997-04-23,4.625,1.75,4
123,up,1997-04-23,4.625,1997-06-10,7.09375,2.46875,21
124,down,1997-06-10,7.09375,1997-06-20,6.4375,0.65625,7
125,up,1997-06-20,6.4375,1997-07-01,6.75,0.3125,5
126,down,1997-07-01,6.75,1997-07-10,5.0,1.75,3
127,up,1997-07-10,5.0,1997-07-28,6.59375,1.59375,8
128,down,1997-07-28,6.59375,1997-08-04,4.625,1.96875,3
129,up,1997-08-04,4.625,1997-09-16,7.4375,2.8125,18
130,down,1997-09-16,7.4375,1997-09-26,6.40625,1.03125,5
131,up,1997-09-26,6.40625,1997-10-07,7.28125,0.875,4
132,down,1997-10-07,7.28125,1997-10-28,5.84375,1.4375,14
133,up,1997-10-28,5.84375,1997-11-06,7.3125,1.46875,5
134,down,1997-11-06,7.3125,1997-11-14,6.125,1.1875,4
135,up,1997-11-14,6.125,1997-12-16,7.171875,1.046875,10
136,down,1997-12-16,7.171875,1997-12-30,5.0625,2.109375,6
137,up,1997-12-30,5.0625,1998-01-06,5.4375,0.375,3
138,down,1998-01-06,5.4375,1998-01-12,4.71875,0.71875,4
139,up,1998-01-12,4.71875,1998-01-27,5.25,0.53125,5
140,down,1998-01-27,5.25,1998-02-02,4.6875,0.5625,4
141,up,1998-02-02,4.6875,1998-02-13,6.28125,1.59375,5
142,down,1998-02-13,6.28125,1998-03-05,5.28125,1.0,8
143,up,1998-03-05,5.28125,1998-03-16,7.6875,2.40625,4
144,down,1998-03-16,7.6875,1998-04-30,5.40625,2.28125,23
145,up,1998-04-30,5.40625,1998-05-11,6.25,0.84375,4
146,down,1998-05-11,6.25,1998-06-15,4.34375,1.90625,15
147,up,1998-06-15,4.34375,1998-06-26,4.71875,0.375,6
148,down,1998-06-26,4.71875,1998-08-13,3.65625,1.0625,13
149,up,1998-08-13,3.65625,1998-08-24,4.0,0.34375,4
150,down,1998-08-24,4.0,1998-09-15,2.46875,1.53125,7
151,up,1998-09-15,2.46875,1998-09-24,3.40625,0.9375,3
152,down,1998-09-24,3.40625,1998-10-09,2.5,0.90625,7
153,up,1998-10-09,2.5,1998-10-26,3.9375,1.4375,6
154,down,1998-10-26,3.9375,1998-11-11,2.46875,1.46875,7
155,up,1998-11-11,2.46875,1998-11-20,3.5625,1.09375,3
156,down,1998-11-20,3.5625,1998-12-15,2.625,0.9375,6
157,up,1998-12-15,2.625,1998-12-21,3.25,0.625,4
158,down,1998-12-21,3.25,1999-01-07,2.828125,0.421875,6
159,up,1999-01-07,2.828125,1999-01-21,3.34375,0.515625,3
160,down,1999-01-21,3.34375,1999-03-04,2.140625,1.203125,12
161,up,1999-03-04,2.140625,1999-04-01,2.78125,0.640625,8
162,down,1999-04-01,2.78125,1999-04-13,1.9375,0.84375,5
163,up,1999-04-13,1.9375,1999-04-26,2.4375,0.5,6
164,down,1999-04-26,2.4375,1999-05-03,1.609375,0.828125,3
165,up,1999-05-03,1.609375,1999-05-25,2.0,0.390625,9
166,down,1999-05-25,2.0,1999-08-19,0.984375,1.015625,25
167,up,1999-08-19,0.984375,1999-08-26,1.375,0.390625,3
168,down,1999-08-26,1.375,1999-10-22,0.75,0.625,14
169,up,1999-10-22,0.75,1999-12-06,1.8125,1.0625,21
170,down,1999-12-06,1.8125,1999-12-10,1.3125,0.5,3
171,up,1999-12-10,1.3125,2000-01-26,2.296875,0.984375,19
172,down,2000-01-26,2.296875,2000-02-11,1.53125,0.765625,8
173,up,2000-02-11,1.53125,2000-03-08,2.640625,1.109375,10
174,down,2000-03-08,2.640625,2000-04-17,1.375,1.265625,15
175,up,2000-04-17,1.375,2000-04-20,1.78125,0.40625,3
176,down,2000-04-20,1.78125,2000-04-27,1.53125,0.25,3
177,up,2000-04-27,1.53125,2000-05-16,1.765625,0.234375,5
178,down,2000-05-16,1.765625,2000-06-01,1.28125,0.484375,7
179,up,2000-06-01,1.28125,2000-06-15,1.828125,0.546875,6
180,down,2000-06-15,1.828125,2000-06-27,1.625,0.203125,5
181,up,2000-06-27,1.625,2000-07-19,1.9921879768371584,0.3671879768371584,6
182,down,2000-07-19,1.9921879768371584,2000-07-27,1.46875,0.5234379768371584,3
183,up,2000-07-27,1.46875,2000-08-11,2.28125,0.8125,9
184,down,2000-08-11,2.28125,2000-08-21,1.8125,0.46875,3
185,up,2000-08-21,1.8125,2000-09-07,2.25,0.4375,8
186,down,2000-09-07,2.25,2000-10-20,1.140625,1.109375,14
187,up,2000-10-20,1.140625,2000-11-08,1.78125,0.640625,9
188,down,2000-11-08,1.78125,2000-11-30,1.125,0.65625,9
189,up,2000-11-30,1.125,2000-12-19,1.46875,0.34375,6
190,down,2000-12-19,1.46875,2001-01-04,1.1875,0.28125,4
191,up,2001-01-04,1.1875,2001-01-22,1.875,0.6875,5
192,down,2001-01-22,1.875,2001-01-29,1.65625,0.21875,3
193,up,2001-01-29,1.65625,2001-02-02,1.84375,0.1875,3
194,down,2001-02-02,1.84375,2001-04-05,0.984375,0.859375,26
195,up,2001-04-05,0.984375,2001-05-03,1.662500023841858,0.6781250238418579,13
196,down,2001-05-03,1.662500023841858,2001-05-09,1.2699999809265137,0.39250004291534424,3
197,up,2001-05-09,1.2699999809265137,2001-05-29,1.524999976158142,0.2549999952316284,5
198,down,2001-05-29,1.524999976158142,2001-06-01,1.252500057220459,0.2724999189376831,3
199,up,2001-06-01,1.252500057220459,2001-06-08,1.590000033378601,0.3374999761581421,3
200,down,2001-06-08,1.590000033378601,2001-06-22,1.4075000286102295,0.18250000476837158,3
201,up,2001-06-22,1.4075000286102295,2001-06-29,1.7599999904632568,0.35249996185302734,3
202,down,2001-06-29,1.7599999904632568,2001-07-26,1.350000023841858,0.4099999666213989,7
