BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,2015-11-05,7.625436782836914,2015-12-02,9.229567527770996,1.604130744934082,14
2,down,2015-12-02,9.229567527770996,2015-12-22,8.061342239379883,1.1682252883911133,10
3,up,2015-12-22,8.061342239379883,2015-12-30,8.997084617614746,0.9357423782348633,4
4,down,2015-12-30,8.997084617614746,2016-01-20,6.756532192230225,2.2405524253845215,11
5,up,2016-01-20,6.756532192230225,2016-02-02,8.119462966918945,1.3629307746887207,7
6,down,2016-02-02,8.119462966918945,2016-02-11,6.983202934265137,1.1362600326538086,7
7,up,2016-02-11,6.983202934265137,2016-02-22,8.067153930664062,1.0839509963989258,5
8,down,2016-02-22,8.067153930664062,2016-03-01,7.607999801635742,0.4591541290283203,5
9,up,2016-03-01,7.607999801635742,2016-04-04,10.778485298156738,3.170485496520996,17
10,down,2016-04-04,10.778485298156738,2016-05-06,9.04358196258545,1.734903335571289,19
11,up,2016-05-06,9.04358196258545,2016-05-11,9.50564193725586,0.46205997467041016,3
12,down,2016-05-11,9.50564193725586,2016-05-19,8.93896484375,0.5666770935058594,4
13,up,2016-05-19,8.93896484375,2016-06-09,11.420719146728516,2.4817543029785156,10
14,down,2016-06-09,11.420719146728516,2016-06-14,10.586687088012695,0.8340320587158203,3
15,up,2016-06-14,10.586687088012695,2016-06-21,11.536959648132324,0.9502725601196289,4
16,down,2016-06-21,11.536959648132324,2016-06-28,9.860177993774414,1.6767816543579102,3
17,up,2016-06-28,9.860177993774414,2016-08-05,12.902796745300291,3.042618751525877,20
18,down,2016-08-05,12.902796745300291,2016-09-13,11.990302085876465,0.9124946594238263,17
19,up,2016-09-13,11.990302085876465,2016-09-22,13.67580223083496,1.6855001449584943,5
20,down,2016-09-22,13.67580223083496,2016-10-18,12.263468742370604,1.4123334884643555,13
21,up,2016-10-18,12.263468742370604,2016-12-08,14.408123016357422,2.144654273986818,19
22,down,2016-12-08,14.408123016357422,2016-12-16,13.588621139526367,0.8195018768310547,5
23,up,2016-12-16,13.588621139526367,2016-12-21,13.972217559814451,0.38359642028808416,3
24,down,2016-12-21,13.972217559814451,2017-01-12,13.024849891662598,0.9473676681518537,7
25,up,2017-01-12,13.024849891662598,2017-01-25,13.44913101196289,0.42428112030029297,5
26,down,2017-01-25,13.44913101196289,2017-01-31,12.693561553955078,0.7555694580078125,3
27,up,2017-01-31,12.693561553955078,2017-02-23,14.460432052612305,1.7668704986572266,14
28,down,2017-02-23,14.460432052612305,2017-03-14,12.798179626464844,1.662252426147461,9
29,up,2017-03-14,12.798179626464844,2017-04-10,14.35996913909912,1.5617895126342756,14
30,down,2017-04-10,14.35996913909912,2017-04-21,13.979828834533691,0.3801403045654279,6
31,up,2017-04-21,13.979828834533691,2017-05-16,14.864235877990724,0.884407043457033,11
32,down,2017-05-16,14.864235877990724,2017-06-16,12.754073143005373,2.1101627349853516,16
33,up,2017-06-16,12.754073143005373,2017-06-26,13.188517570495604,0.4344444274902308,5
34,down,2017-06-26,13.188517570495604,2017-07-07,12.723040580749512,0.465476989746092,6
35,up,2017-07-07,12.723040580749512,2017-07-24,14.041893005371094,1.318852424621582,9
36,down,2017-07-24,14.041893005371094,2017-08-03,13.312644958496094,0.729248046875,7
37,up,2017-08-03,13.312644958496094,2017-08-16,13.863459587097168,0.5508146286010742,5
38,down,2017-08-16,13.863459587097168,2017-08-21,13.250581741333008,0.6128778457641602,3
39,up,2017-08-21,13.250581741333008,2017-09-05,14.399999618530272,1.1494178771972638,8
40,down,2017-09-05,14.399999618530272,2017-09-13,12.970000267028809,1.429999351501463,6
41,up,2017-09-13,12.970000267028809,2017-09-27,15.119999885559082,2.1499996185302734,10
42,down,2017-09-27,15.119999885559082,2017-10-04,14.550000190734863,0.5699996948242188,5
43,up,2017-10-04,14.550000190734863,2017-10-11,15.039999961853027,0.48999977111816406,5
44,down,2017-10-11,15.039999961853027,2017-10-20,13.800000190734863,1.239999771118164,4
45,up,2017-10-20,13.800000190734863,2017-10-27,14.34000015258789,0.5399999618530273,5
46,down,2017-10-27,14.34000015258789,2017-11-06,13.239999771118164,1.1000003814697266,4
47,up,2017-11-06,13.239999771118164,2017-11-10,13.75,0.5100002288818359,3
48,down,2017-11-10,13.75,2017-11-15,13.100000381469728,0.6499996185302717,3
49,up,2017-11-15,13.100000381469728,2017-12-19,14.93000030517578,1.8299999237060511,16
50,down,2017-12-19,14.93000030517578,2018-01-02,14.359999656677246,0.5700006484985334,6
51,up,2018-01-02,14.359999656677246,2018-01-29,17.065000534057617,2.705000877380371,15
52,down,2018-01-29,17.065000534057617,2018-02-09,14.654999732971191,2.410000801086426,7
53,up,2018-02-09,14.654999732971191,2018-03-06,19.475000381469727,4.820000648498535,13
54,down,2018-03-06,19.475000381469727,2018-04-09,16.610000610351562,2.864999771118164,15
55,up,2018-04-09,16.610000610351562,2018-04-17,17.8799991607666,1.269998550415039,5
56,down,2018-04-17,17.8799991607666,2018-05-03,16.75,1.1299991607666016,10
57,up,2018-05-03,16.75,2018-05-14,17.81999969482422,1.0699996948242188,5
58,down,2018-05-14,17.81999969482422,2018-05-24,15.15999984741211,2.6599998474121094,6
59,up,2018-05-24,15.15999984741211,2018-06-11,16.18000030517578,1.0200004577636719,8
60,down,2018-06-11,16.18000030517578,2018-07-02,14.460000038146973,1.7200002670288086,13
61,up,2018-07-02,14.460000038146973,2018-07-19,16.155000686645508,1.6950006484985352,11
62,down,2018-07-19,16.155000686645508,2018-07-25,15.229999542236328,0.9250011444091797,3
63,up,2018-07-25,15.229999542236328,2018-08-08,16.290000915527344,1.0600013732910156,9
64,down,2018-08-08,16.290000915527344,2018-08-13,15.65999984741211,0.6300010681152344,3
65,up,2018-08-13,15.65999984741211,2018-08-30,17.59000015258789,1.9300003051757812,11
66,down,2018-08-30,17.59000015258789,2018-09-12,16.15999984741211,1.4300003051757812,5
67,up,2018-09-12,16.15999984741211,2018-09-21,17.270000457763672,1.1100006103515625,5
68,down,2018-09-21,17.270000457763672,2018-10-01,16.1299991607666,1.1400012969970703,5
69,up,2018-10-01,16.1299991607666,2018-10-05,17.020000457763672,0.8900012969970703,3
70,down,2018-10-05,17.020000457763672,2018-10-11,14.550000190734863,2.4700002670288086,4
71,up,2018-10-11,14.550000190734863,2018-11-08,16.518999099731445,1.968998908996582,16
72,down,2018-11-08,16.518999099731445,2018-11-20,14.404999732971191,2.113999366760254,6
73,up,2018-11-20,14.404999732971191,2018-12-06,16.260000228881836,1.8550004959106445,7
74,down,2018-12-06,16.260000228881836,2018-12-26,12.086999893188477,4.173000335693359,11
75,up,2018-12-26,12.086999893188477,2019-02-13,16.239999771118164,4.1529998779296875,24
76,down,2019-02-13,16.239999771118164,2019-02-19,15.979999542236328,0.26000022888183594,3
77,up,2019-02-19,15.979999542236328,2019-02-26,16.969999313354492,0.9899997711181641,3
78,down,2019-02-26,16.969999313354492,2019-03-12,15.130000114440918,1.8399991989135742,9
79,up,2019-03-12,15.130000114440918,2019-03-21,16.1200008392334,0.9900007247924805,6
80,down,2019-03-21,16.1200008392334,2019-03-27,15.170000076293944,0.9500007629394549,4
81,up,2019-03-27,15.170000076293944,2019-04-22,16.709999084472656,1.5399990081787127,14
82,down,2019-04-22,16.709999084472656,2019-05-15,14.050000190734863,2.659998893737793,13
83,up,2019-05-15,14.050000190734863,2019-05-21,15.3100004196167,1.260000228881836,4
84,down,2019-05-21,15.3100004196167,2019-06-03,13.550000190734863,1.760000228881836,8
85,up,2019-06-03,13.550000190734863,2019-06-11,14.409000396728516,0.8590002059936523,5
86,down,2019-06-11,14.409000396728516,2019-06-14,14.050000190734863,0.35900020599365234,3
87,up,2019-06-14,14.050000190734863,2019-07-01,15.484999656677246,1.4349994659423828,10
88,down,2019-07-01,15.484999656677246,2019-07-11,14.479999542236328,1.005000114440918,7
89,up,2019-07-11,14.479999542236328,2019-07-19,14.960000038146973,0.48000049591064453,6
90,down,2019-07-19,14.960000038146973,2019-08-05,12.611000061035156,2.3489999771118164,8
91,up,2019-08-05,12.611000061035156,2019-08-13,13.68000030517578,1.0690002441406232,5
92,down,2019-08-13,13.68000030517578,2019-08-26,12.6899995803833,0.9900007247924787,7
93,up,2019-08-26,12.6899995803833,2019-09-13,15.454999923706056,2.7650003433227557,11
94,down,2019-09-13,15.454999923706056,2019-09-24,14.140000343322754,1.3149995803833026,5
95,up,2019-09-24,14.140000343322754,2019-10-01,15.395000457763672,1.255000114440918,4
96,down,2019-10-01,15.395000457763672,2019-10-08,13.81999969482422,1.5750007629394513,5
97,up,2019-10-08,13.81999969482422,2019-11-11,17.59000015258789,3.77000045776367,17
98,down,2019-11-11,17.59000015258789,2019-11-14,16.979999542236328,0.6100006103515625,3
99,up,2019-11-14,16.979999542236328,2019-11-19,17.579999923706055,0.6000003814697266,3
