BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1980-03-20,3.5325989723205566,1980-03-27,3.205507040023804,0.3270919322967525,4
2,up,1980-03-27,3.205507040023804,1980-04-11,3.358150005340576,0.15264296531677202,5
3,down,1980-04-11,3.358150005340576,1980-04-21,3.009251117706299,0.34889888763427734,3
4,up,1980-04-21,3.009251117706299,1980-05-21,3.707047939300537,0.6977968215942383,14
5,down,1980-05-21,3.707047939300537,1980-05-30,3.5325989723205566,0.17444896697998047,4
6,up,1980-05-30,3.5325989723205566,1980-08-05,4.775550842285156,1.2429518699645996,15
7,down,1980-08-05,4.775550842285156,1980-09-02,4.383039951324463,0.39251089096069336,11
8,up,1980-09-02,4.383039951324463,1980-09-12,5.386123180389404,1.0030832290649414,6
9,down,1980-09-12,5.386123180389404,1980-10-02,4.731937885284424,0.6541852951049805,9
10,up,1980-10-02,4.731937885284424,1980-10-23,6.454626083374023,1.7226881980895996,12
11,down,1980-10-23,6.454626083374023,1980-11-10,5.604185104370117,0.8504409790039062,7
12,up,1980-11-10,5.604185104370117,1980-11-13,6.192952156066895,0.5887670516967782,3
13,down,1980-11-13,6.192952156066895,1980-12-09,4.862774848937988,1.3301773071289071,13
14,up,1980-12-09,4.862774848937988,1980-12-29,5.931278228759766,1.0685033798217773,9
15,down,1980-12-29,5.931278228759766,1981-01-07,5.233479976654053,0.6977982521057129,5
16,up,1981-01-07,5.233479976654053,1981-01-30,5.909471035003662,0.6759910583496094,7
17,down,1981-01-30,5.909471035003662,1981-02-23,5.189867973327637,0.7196030616760254,8
18,up,1981-02-23,5.189867973327637,1981-04-21,6.716300010681152,1.5264320373535156,23
19,down,1981-04-21,6.716300010681152,1981-05-06,5.800440788269043,0.9158592224121094,7
20,up,1981-05-06,5.800440788269043,1981-06-16,8.199118614196777,2.3986778259277344,16
21,down,1981-06-16,8.199118614196777,1981-06-24,6.977973937988281,1.221144676208496,6
22,up,1981-06-24,6.977973937988281,1981-07-14,7.457708835601807,0.4797348976135254,7
23,down,1981-07-14,7.457708835601807,1981-07-28,6.411013126373291,1.0466957092285156,9
24,up,1981-07-28,6.411013126373291,1981-08-11,6.890748977661133,0.4797358512878418,7
25,down,1981-08-11,6.890748977661133,1981-08-18,6.389206886291504,0.5015420913696289,4
26,up,1981-08-18,6.389206886291504,1981-08-26,6.541850090026856,0.15264320373535245,3
27,down,1981-08-26,6.541850090026856,1981-09-28,5.516960144042969,1.0248899459838876,11
28,up,1981-09-28,5.516960144042969,1981-10-09,6.040307998657227,0.5233478546142578,6
29,down,1981-10-09,6.040307998657227,1981-10-16,5.865859031677246,0.17444896697998047,3
30,up,1981-10-16,5.865859031677246,1981-10-22,6.083920955657959,0.2180619239807129,3
31,down,1981-10-22,6.083920955657959,1981-11-02,5.844052791595459,0.2398681640625,5
32,up,1981-11-02,5.844052791595459,1981-11-05,6.323789119720459,0.479736328125,3
33,down,1981-11-05,6.323789119720459,1981-11-23,5.625990867614746,0.6977982521057129,5
34,up,1981-11-23,5.625990867614746,1981-12-15,6.738105773925781,1.1121149063110352,12
35,down,1981-12-15,6.738105773925781,1982-01-25,5.800440788269043,0.9376649856567383,14
36,up,1982-01-25,5.800440788269043,1982-02-03,6.803524017333984,1.0030832290649414,7
37,down,1982-02-03,6.803524017333984,1982-02-10,6.280176162719727,0.5233478546142578,4
