BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,2016-11-09,12.845091819763184,2016-11-25,15.83588981628418,2.990797996520996,8
2,down,2016-11-25,15.83588981628418,2016-12-02,14.762269973754885,1.073619842529295,3
3,up,2016-12-02,14.762269973754885,2016-12-12,17.024539947509766,2.262269973754881,6
4,down,2016-12-12,17.024539947509766,2016-12-30,14.16411018371582,2.8604297637939453,12
5,up,2016-12-30,14.16411018371582,2017-02-23,23.535276412963867,9.371166229248047,30
6,down,2017-02-23,23.535276412963867,2017-03-10,20.14570617675781,3.3895702362060582,9
7,up,2017-03-10,20.14570617675781,2017-03-20,21.610429763793945,1.4647235870361364,6
8,down,2017-03-20,21.610429763793945,2017-04-18,18.86503028869629,2.7453994750976562,13
9,up,2017-04-18,18.86503028869629,2017-04-26,21.464723587036133,2.5996932983398438,4
10,down,2017-04-26,21.464723587036133,2017-05-04,20.13036727905273,1.334356307983402,3
11,up,2017-05-04,20.13036727905273,2017-05-15,21.70245361328125,1.5720863342285192,5
12,down,2017-05-15,21.70245361328125,2017-05-18,20.360429763793945,1.3420238494873047,3
13,up,2017-05-18,20.360429763793945,2017-06-02,21.71012306213379,1.3496932983398438,8
14,down,2017-06-02,21.71012306213379,2017-06-30,16.687116622924805,5.023006439208984,12
15,up,2017-06-30,16.687116622924805,2017-07-26,20.015336990356445,3.3282203674316406,12
16,down,2017-07-26,20.015336990356445,2017-08-11,18.32822036743164,1.6871166229248047,9
17,up,2017-08-11,18.32822036743164,2017-08-24,19.87730026245117,1.5490798950195277,8
18,down,2017-08-24,19.87730026245117,2017-08-29,18.803680419921875,1.0736198425292933,3
19,up,2017-08-29,18.803680419921875,2017-09-22,20.582822799682617,1.7791423797607422,11
20,down,2017-09-22,20.582822799682617,2017-10-02,18.82668685913086,1.7561359405517578,4
21,up,2017-10-02,18.82668685913086,2017-10-10,21.357362747192383,2.5306758880615234,5
22,down,2017-10-10,21.357362747192383,2017-10-25,18.351226806640625,3.006135940551758,9
23,up,2017-10-25,18.351226806640625,2017-11-06,19.762269973754883,1.4110431671142578,7
24,down,2017-11-06,19.762269973754883,2017-11-15,17.438650131225586,2.323619842529297,6
25,up,2017-11-15,17.438650131225586,2017-12-04,19.37883377075196,1.9401836395263743,7
26,down,2017-12-04,19.37883377075196,2017-12-11,18.512269973754883,0.8665637969970774,4
27,up,2017-12-11,18.512269973754883,2018-01-16,23.90337371826172,5.391103744506836,19
28,down,2018-01-16,23.90337371826172,2018-02-09,17.88343620300293,6.019937515258789,14
29,up,2018-02-09,17.88343620300293,2018-02-16,19.838956832885746,1.955520629882816,5
30,down,2018-02-16,19.838956832885746,2018-03-02,17.94478416442871,1.8941726684570348,8
31,up,2018-03-02,17.94478416442871,2018-03-13,19.35582733154297,1.4110431671142578,5
