BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1993-05-05,0.90625,1993-05-10,1.097656011581421,0.1914060115814209,3
2,down,1993-05-10,1.097656011581421,1993-06-03,0.78125,0.3164060115814209,9
3,up,1993-06-03,0.78125,1993-07-06,1.25,0.46875,7
4,down,1993-07-06,1.25,1993-08-04,0.75,0.5,9
5,up,1993-08-04,0.75,1993-10-06,1.125,0.375,10
6,down,1993-10-06,1.125,1993-10-28,0.875,0.25,6
7,up,1993-10-28,0.875,1993-11-11,1.03125,0.15625,4
8,down,1993-11-11,1.03125,1993-12-22,0.71875,0.3125,9
9,up,1993-12-22,0.71875,1994-01-20,1.09375,0.375,6
10,down,1994-01-20,1.09375,1994-01-27,0.84375,0.25,3
11,up,1994-01-27,0.84375,1994-02-07,1.03125,0.1875,3
12,down,1994-02-07,1.03125,1994-02-28,0.90625,0.125,3
13,up,1994-02-28,0.90625,1994-03-17,1.171875,0.265625,4
14,down,1994-03-17,1.171875,1994-04-20,0.84375,0.328125,5
15,up,1994-04-20,0.84375,1994-05-13,0.9375,0.09375,3
16,down,1994-05-13,0.9375,1994-06-08,0.71875,0.21875,6
17,up,1994-06-08,0.71875,1994-06-23,0.78125,0.0625,6
18,down,1994-06-23,0.78125,1994-08-03,0.671875,0.109375,6
19,up,1994-08-03,0.671875,1994-08-29,0.90625,0.234375,6
20,down,1994-08-29,0.90625,1994-09-23,0.6875,0.21875,4
21,up,1994-09-23,0.6875,1994-10-13,0.8125,0.125,3
22,down,1994-10-13,0.8125,1994-11-29,0.5,0.3125,6
23,up,1994-11-29,0.5,1994-12-07,0.59375,0.09375,4
24,down,1994-12-07,0.59375,1995-01-04,0.46875,0.125,4
25,up,1995-01-04,0.46875,1995-02-16,0.75,0.28125,8
26,down,1995-02-16,0.75,1995-03-03,0.59375,0.15625,4
27,up,1995-03-03,0.59375,1995-04-06,0.8125,0.21875,8
28,down,1995-04-06,0.8125,1995-04-25,0.703125,0.109375,3
29,up,1995-04-25,0.703125,1995-05-24,0.875,0.171875,7
30,down,1995-05-24,0.875,1995-06-13,0.75,0.125,3
31,up,1995-06-13,0.75,1995-06-27,1.0625,0.3125,5
32,down,1995-06-27,1.0625,1995-07-07,0.90625,0.15625,3
33,up,1995-07-07,0.90625,1995-08-24,1.828125,0.921875,22
34,down,1995-08-24,1.828125,1995-09-06,1.53125,0.296875,4
35,up,1995-09-06,1.53125,1995-10-04,1.90625,0.375,9
36,down,1995-10-04,1.90625,1995-10-10,1.71875,0.1875,3
37,up,1995-10-10,1.71875,1995-10-20,2.078125,0.359375,4
38,down,1995-10-20,2.078125,1995-10-26,1.78125,0.296875,3
39,up,1995-10-26,1.78125,1995-11-03,2.453125,0.671875,5
40,down,1995-11-03,2.453125,1995-11-15,2.3125,0.140625,4
41,up,1995-11-15,2.3125,1995-11-28,2.765625,0.453125,3
42,down,1995-11-28,2.765625,1995-12-07,2.34375,0.421875,4
43,up,1995-12-07,2.34375,1995-12-14,2.875,0.53125,3
44,down,1995-12-14,2.875,1996-01-19,0.953125,1.921875,14
45,up,1996-01-19,0.953125,1996-01-30,1.21875,0.265625,5
