BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1980-03-27,1.12043297290802,1980-04-10,1.447638988494873,0.327206015586853,6
2,down,1980-04-10,1.447638988494873,1980-04-17,1.3088250160217283,0.13881397247314475,3
3,up,1980-04-17,1.3088250160217283,1980-04-24,1.546792984008789,0.23796796798706077,4
4,down,1980-04-24,1.546792984008789,1980-05-06,1.4278090000152588,0.11898398399353027,6
5,up,1980-05-06,1.4278090000152588,1980-06-03,1.923575043678284,0.4957660436630251,12
6,down,1980-06-03,1.923575043678284,1980-06-11,1.7054380178451538,0.2181370258331301,4
7,up,1980-06-11,1.7054380178451538,1980-07-23,2.696971893310547,0.9915338754653931,16
8,down,1980-07-23,2.696971893310547,1980-08-20,2.250782012939453,0.44618988037109375,12
9,up,1980-08-20,2.250782012939453,1980-09-05,2.538326025009156,0.28754401206970304,7
10,down,1980-09-05,2.538326025009156,1980-09-16,2.2805280685424805,0.2577979564666757,3
11,up,1980-09-16,2.2805280685424805,1980-09-22,2.4887499809265137,0.2082219123840332,3
12,down,1980-09-22,2.4887499809265137,1980-09-29,2.0028979778289795,0.4858520030975342,5
13,up,1980-09-29,2.0028979778289795,1980-10-08,2.806040048599243,0.8031420707702637,5
14,down,1980-10-08,2.806040048599243,1980-10-17,2.538326025009156,0.267714023590087,4
15,up,1980-10-17,2.538326025009156,1980-10-24,2.677140951156616,0.13881492614746005,4
16,down,1980-10-24,2.677140951156616,1980-10-31,2.439172983169556,0.2379679679870601,3
17,up,1980-10-31,2.439172983169556,1980-11-14,3.2918920516967773,0.8527190685272212,8
18,down,1980-11-14,3.2918920516967773,1980-11-26,2.9349400997161865,0.3569519519805908,4
19,up,1980-11-26,2.9349400997161865,1980-12-04,3.0935850143432617,0.1586449146270752,3
20,down,1980-12-04,3.0935850143432617,1980-12-11,2.6176490783691406,0.4759359359741211,5
21,up,1980-12-11,2.6176490783691406,1980-12-23,3.688504934310913,1.0708558559417725,5
22,down,1980-12-23,3.688504934310913,1981-01-09,3.0935850143432617,0.5949199199676514,7
23,up,1981-01-09,3.0935850143432617,1981-01-20,3.589351892471313,0.4957668781280513,4
24,down,1981-01-20,3.589351892471313,1981-02-03,3.053924083709717,0.5354278087615962,5
25,up,1981-02-03,3.053924083709717,1981-03-23,4.24376392364502,1.1898398399353036,20
26,down,1981-03-23,4.24376392364502,1981-05-12,2.855617046356201,1.3881468772888192,24
27,up,1981-05-12,2.855617046356201,1981-06-01,3.470367908477783,0.614750862121582,7
28,down,1981-06-01,3.470367908477783,1981-07-21,2.3995120525360107,1.0708558559417725,21
29,up,1981-07-21,2.3995120525360107,1981-08-03,2.6176490783691406,0.21813702583312988,4
30,down,1981-08-03,2.6176490783691406,1981-08-25,2.0028979778289795,0.6147511005401611,11
31,up,1981-08-25,2.0028979778289795,1981-09-02,2.2805280685424805,0.277630090713501,3
32,down,1981-09-02,2.2805280685424805,1981-10-01,1.7054380178451538,0.5750900506973267,11
33,up,1981-10-01,1.7054380178451538,1981-10-12,2.2606968879699707,0.5552588701248169,3
34,down,1981-10-12,2.2606968879699707,1981-10-28,1.7450989484786987,0.515597939491272,7
