BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,2004-12-20,53.97999954223633,2004-12-29,46.5,7.479999542236328,4
2,up,2004-12-29,46.5,2005-01-05,49.900001525878906,3.4000015258789062,5
3,down,2005-01-05,49.900001525878906,2005-01-13,41.40999984741211,8.490001678466797,6
4,up,2005-01-13,41.40999984741211,2005-02-07,49.4900016784668,8.080001831054688,11
5,down,2005-02-07,49.4900016784668,2005-02-24,45.95000076293945,3.5400009155273438,11
6,up,2005-02-24,45.95000076293945,2005-03-02,50.970001220703125,5.020000457763672,4
7,down,2005-03-02,50.970001220703125,2005-03-10,44.25,6.720001220703125,5
8,up,2005-03-10,44.25,2005-03-17,49.79999923706055,5.549999237060547,3
9,down,2005-03-17,49.79999923706055,2005-04-05,42.09999847412109,7.70000076293946,9
10,up,2005-04-05,42.09999847412109,2005-04-13,44.84999847412109,2.75,5
11,down,2005-04-13,44.84999847412109,2005-05-16,33.099998474121094,11.749999999999993,15
12,up,2005-05-16,33.099998474121094,2005-05-23,37.869998931884766,4.770000457763672,3
13,down,2005-05-23,37.869998931884766,2005-05-31,36.2599983215332,1.6100006103515625,4
14,up,2005-05-31,36.2599983215332,2005-06-03,39.93999862670898,3.680000305175774,3
15,down,2005-06-03,39.93999862670898,2005-06-09,36.20000076293945,3.739997863769524,4
16,up,2005-06-09,36.20000076293945,2005-06-20,39.95000076293945,3.75,5
17,down,2005-06-20,39.95000076293945,2005-07-01,35.2400016784668,4.709999084472656,7
18,up,2005-07-01,35.2400016784668,2005-07-22,40.47999954223633,5.239997863769531,9
19,down,2005-07-22,40.47999954223633,2005-07-27,37.29999923706055,3.1800003051757812,3
20,up,2005-07-27,37.29999923706055,2005-08-02,40.72999954223633,3.4300003051757812,3
21,down,2005-08-02,40.72999954223633,2005-08-25,34.810001373291016,5.9199981689453125,8
22,up,2005-08-25,34.810001373291016,2005-09-08,38.95000076293945,4.1399993896484375,5
23,down,2005-09-08,38.95000076293945,2005-09-22,30.8700008392334,8.079999923706055,9
24,up,2005-09-22,30.8700008392334,2005-10-04,33.939998626708984,3.069997787475586,6
25,down,2005-10-04,33.939998626708984,2005-10-19,29.07999992370605,4.859998703002933,8
26,up,2005-10-19,29.07999992370605,2005-11-25,46.43999862670898,17.359998703002926,22
27,down,2005-11-25,46.43999862670898,2005-12-05,39.34999847412109,7.090000152587891,6
28,up,2005-12-05,39.34999847412109,2005-12-08,41.70000076293945,2.3500022888183665,3
29,down,2005-12-08,41.70000076293945,2005-12-16,38.06999969482422,3.6300010681152344,5
30,up,2005-12-16,38.06999969482422,2005-12-23,41.0,2.9300003051757812,4
31,down,2005-12-23,41.0,2006-01-03,38.43999862670898,2.5600013732910227,4
32,up,2006-01-03,38.43999862670898,2006-01-31,51.59000015258789,13.150001525878913,13
33,down,2006-01-31,51.59000015258789,2006-02-08,46.15999984741211,5.430000305175781,5
34,up,2006-02-08,46.15999984741211,2006-03-07,58.02999877929688,11.869998931884773,13
35,down,2006-03-07,58.02999877929688,2006-03-14,49.25,8.779998779296882,5
36,up,2006-03-14,49.25,2006-04-17,66.93000030517578,17.68000030517578,19
37,down,2006-04-17,66.93000030517578,2006-04-26,60.75,6.180000305175781,5
38,up,2006-04-26,60.75,2006-05-11,73.13999938964844,12.389999389648438,7
39,down,2006-05-11,73.13999938964844,2006-05-25,58.0,15.139999389648438,8
40,up,2006-05-25,58.0,2006-06-02,72.06999969482422,14.069999694824219,5
41,down,2006-06-02,72.06999969482422,2006-06-13,60.630001068115234,11.439998626708984,6
42,up,2006-06-13,60.630001068115234,2006-06-19,69.19000244140625,8.560001373291016,3
43,down,2006-06-19,69.19000244140625,2006-06-23,65.45999908447266,3.7300033569335938,3
44,up,2006-06-23,65.45999908447266,2006-07-03,78.9000015258789,13.44000244140625,5
45,down,2006-07-03,78.9000015258789,2006-07-28,57.68000030517578,21.220001220703125,13
46,up,2006-07-28,57.68000030517578,2006-08-02,65.76000213623047,8.080001831054688,3
47,down,2006-08-02,65.76000213623047,2006-08-10,59.02000045776367,6.740001678466797,4
48,up,2006-08-10,59.02000045776367,2006-08-18,68.26000213623047,9.240001678466797,6
49,down,2006-08-18,68.26000213623047,2006-08-23,64.9000015258789,3.3600006103515625,3
50,up,2006-08-23,64.9000015258789,2006-08-31,71.87999725341797,6.9799957275390625,5
51,down,2006-08-31,71.87999725341797,2006-09-07,66.66000366210938,5.219993591308594,3
52,up,2006-09-07,66.66000366210938,2006-09-13,72.7699966430664,6.109992980957031,3
53,down,2006-09-13,72.7699966430664,2006-09-25,63.68000030517578,9.089996337890625,7
54,up,2006-09-25,63.68000030517578,2006-10-19,78.87999725341797,15.199996948242188,13
55,down,2006-10-19,78.87999725341797,2006-11-03,71.1500015258789,7.7299957275390625,8
56,up,2006-11-03,71.1500015258789,2006-11-27,96.9000015258789,25.75,11
57,down,2006-11-27,96.9000015258789,2006-12-26,88.26000213623047,8.639999389648438,12
58,up,2006-12-26,88.26000213623047,2007-01-25,109.4499969482422,21.189994812011733,14
59,down,2007-01-25,109.4499969482422,2007-02-13,90.33999633789062,19.110000610351577,6
60,up,2007-02-13,90.33999633789062,2007-02-22,94.16000366210938,3.82000732421875,4
61,down,2007-02-22,94.16000366210938,2007-03-05,81.0,13.160003662109375,4
62,up,2007-03-05,81.0,2007-03-09,88.30000305175781,7.3000030517578125,3
63,down,2007-03-09,88.30000305175781,2007-03-14,81.5999984741211,6.700004577636719,3
64,up,2007-03-14,81.5999984741211,2007-03-22,93.16000366210938,11.560005187988281,5
65,down,2007-03-22,93.16000366210938,2007-04-12,84.6500015258789,8.510002136230469,9
66,up,2007-04-12,84.6500015258789,2007-04-23,91.93000030517578,7.279998779296875,3
67,down,2007-04-23,91.93000030517578,2007-05-25,75.16999816894531,16.76000213623047,21
68,up,2007-05-25,75.16999816894531,2007-06-05,82.62999725341797,7.459999084472656,6
69,down,2007-06-05,82.62999725341797,2007-06-27,71.23999786376953,11.389999389648438,10
70,up,2007-06-27,71.23999786376953,2007-07-19,85.2699966430664,14.029998779296875,13
71,down,2007-07-19,85.2699966430664,2007-07-27,80.76000213623047,4.5099945068359375,5
72,up,2007-07-27,80.76000213623047,2007-08-09,110.0,29.23999786376953,8
73,down,2007-08-09,110.0,2007-08-16,87.05999755859375,22.94000244140625,5
74,up,2007-08-16,87.05999755859375,2007-10-02,145.57000732421875,58.510009765625,25
75,down,2007-10-02,145.57000732421875,2007-10-22,123.0199966430664,22.550010681152344,9
76,up,2007-10-22,123.0199966430664,2007-10-29,148.75999450683594,25.73999786376953,4
77,down,2007-10-29,148.75999450683594,2007-11-08,105.12000274658205,43.63999176025389,6
78,up,2007-11-08,105.12000274658205,2007-11-16,118.76000213623048,13.639999389648438,4
79,down,2007-11-16,118.76000213623048,2007-11-27,106.08000183105467,12.68000030517581,4
80,up,2007-11-27,106.08000183105467,2007-12-10,122.95999908447266,16.879997253417983,8
81,down,2007-12-10,122.95999908447266,2008-01-22,70.69999694824219,52.26000213623047,21
82,up,2008-01-22,70.69999694824219,2008-02-12,95.26000213623048,24.560005187988295,10
83,down,2008-02-12,95.26000213623048,2008-02-21,84.18000030517578,11.080001831054702,4
84,up,2008-02-21,84.18000030517578,2008-02-26,90.27999877929688,6.099998474121094,3
85,down,2008-02-26,90.27999877929688,2008-03-17,70.0,20.279998779296875,13
86,up,2008-03-17,70.0,2008-03-26,84.29000091552734,14.290000915527344,4
87,down,2008-03-26,84.29000091552734,2008-03-31,72.18000030517578,12.110000610351562,3
88,up,2008-03-31,72.18000030517578,2008-04-09,83.12999725341797,10.949996948242188,4
89,down,2008-04-09,83.12999725341797,2008-04-21,64.87000274658203,18.259994506835938,8
90,up,2008-04-21,64.87000274658203,2008-04-30,77.0,12.129997253417969,5
91,down,2008-04-30,77.0,2008-07-15,30.559999465942383,46.44000053405762,44
92,up,2008-07-15,30.559999465942383,2008-07-23,56.66999816894531,26.10999870300293,6
93,down,2008-07-23,56.66999816894531,2008-07-28,41.27000045776367,15.39999771118164,3
94,up,2008-07-28,41.27000045776367,2008-08-15,59.16999816894531,17.89999771118164,11
95,down,2008-08-15,59.16999816894531,2008-08-22,39.34999847412109,19.819999694824226,5
96,up,2008-08-22,39.34999847412109,2008-09-02,51.65999984741211,12.310001373291023,5
97,down,2008-09-02,51.65999984741211,2008-09-17,30.8799991607666,20.780000686645508,8
98,up,2008-09-17,30.8799991607666,2008-09-29,39.880001068115234,9.000001907348633,7
99,down,2008-09-29,39.880001068115234,2008-10-28,4.320000171661377,35.56000089645386,19
100,up,2008-10-28,4.320000171661377,2008-11-03,16.809999465942383,12.489999294281006,4
101,down,2008-11-03,16.809999465942383,2008-11-12,4.829999923706055,11.979999542236328,6
102,up,2008-11-12,4.829999923706055,2008-11-17,7.25,2.4200000762939453,3
103,down,2008-11-17,7.25,2008-11-24,2.890000104904175,4.359999895095825,4
104,up,2008-11-24,2.890000104904175,2009-01-06,9.149999618530272,6.259999513626097,20
105,down,2009-01-06,9.149999618530272,2009-01-21,5.0,4.149999618530272,8
106,up,2009-01-21,5.0,2009-01-26,6.400000095367432,1.4000000953674316,3
107,down,2009-01-26,6.400000095367432,2009-02-25,2.130000114440918,4.269999980926514,18
