BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1994-12-12,15.0625,1995-01-06,16.625,1.5625,9
2,down,1995-01-06,16.625,1995-01-12,15.9375,0.6875,3
3,up,1995-01-12,15.9375,1995-02-16,19.125,3.1875,15
4,down,1995-02-16,19.125,1995-03-13,18.1875,0.9375,7
5,up,1995-03-13,18.1875,1995-03-28,20.375,2.1875,5
6,down,1995-03-28,20.375,1995-04-19,18.625,1.75,9
7,up,1995-04-19,18.625,1995-06-07,23.375,4.75,18
8,down,1995-06-07,23.375,1995-06-12,22.0,1.375,3
9,up,1995-06-12,22.0,1995-06-19,23.6875,1.6875,4
10,down,1995-06-19,23.6875,1995-08-03,21.375,2.3125,16
11,up,1995-08-03,21.375,1995-08-21,22.375,1.0,4
12,down,1995-08-21,22.375,1995-09-08,21.3125,1.0625,7
13,up,1995-09-08,21.3125,1995-10-06,23.6875,2.375,11
14,down,1995-10-06,23.6875,1995-10-18,22.875,0.8125,4
15,up,1995-10-18,22.875,1995-11-14,26.625,3.75,11
16,down,1995-11-14,26.625,1995-11-28,25.5625,1.0625,5
17,up,1995-11-28,25.5625,1995-12-06,26.25,0.6875,3
18,down,1995-12-06,26.25,1995-12-21,24.25,2.0,8
19,up,1995-12-21,24.25,1995-12-29,25.4375,1.1875,3
20,down,1995-12-29,25.4375,1996-01-08,24.625,0.8125,4
21,up,1996-01-08,24.625,1996-01-16,25.125,0.5,3
22,down,1996-01-16,25.125,1996-01-26,23.25,1.875,7
23,up,1996-01-26,23.25,1996-02-14,27.4375,4.1875,5
24,down,1996-02-14,27.4375,1996-02-29,25.75,1.6875,5
25,up,1996-02-29,25.75,1996-03-12,27.8125,2.0625,7
26,down,1996-03-12,27.8125,1996-04-11,23.875,3.9375,12
27,up,1996-04-11,23.875,1996-04-18,25.0,1.125,3
28,down,1996-04-18,25.0,1996-05-14,22.0,3.0,10
29,up,1996-05-14,22.0,1996-05-17,23.6875,1.6875,3
30,down,1996-05-17,23.6875,1996-05-30,22.5,1.1875,4
31,up,1996-05-30,22.5,1996-06-21,24.5,2.0,8
32,down,1996-06-21,24.5,1996-07-26,19.5,5.0,17
33,up,1996-07-26,19.5,1996-08-05,22.5,3.0,4
34,down,1996-08-05,22.5,1996-09-04,21.0,1.5,9
35,up,1996-09-04,21.0,1996-09-13,23.3125,2.3125,5
36,down,1996-09-13,23.3125,1996-09-23,22.75,0.5625,4
37,up,1996-09-23,22.75,1996-09-30,24.1875,1.4375,4
38,down,1996-09-30,24.1875,1996-10-03,22.6875,1.5,3
39,up,1996-10-03,22.6875,1996-10-21,26.375,3.6875,6
40,down,1996-10-21,26.375,1996-11-05,24.625,1.75,4
41,up,1996-11-05,24.625,1996-11-12,28.0625,3.4375,4
42,down,1996-11-12,28.0625,1996-11-21,27.125,0.9375,4
43,up,1996-11-21,27.125,1996-11-29,28.5,1.375,4
44,down,1996-11-29,28.5,1997-01-10,25.875,2.625,13
45,up,1997-01-10,25.875,1997-02-03,29.5,3.625,9
46,down,1997-02-03,29.5,1997-02-11,27.625,1.875,6
47,up,1997-02-11,27.625,1997-02-26,34.8125,7.1875,7
48,down,1997-02-26,34.8125,1997-03-20,30.6875,4.125,12
49,up,1997-03-20,30.6875,1997-04-08,33.8125,3.125,9
50,down,1997-04-08,33.8125,1997-04-14,31.875,1.9375,3
51,up,1997-04-14,31.875,1997-05-05,36.8125,4.9375,10
52,down,1997-05-05,36.8125,1997-05-13,36.0625,0.75,3
53,up,1997-05-13,36.0625,1997-06-17,40.0625,4.0,15
54,down,1997-06-17,40.0625,1997-06-26,37.875,2.1875,6
55,up,1997-06-26,37.875,1997-07-14,40.4375,2.5625,9
56,down,1997-07-14,40.4375,1997-07-21,38.25,2.1875,5
57,up,1997-07-21,38.25,1997-08-06,45.5,7.25,6
58,down,1997-08-06,45.5,1997-08-13,42.1875,3.3125,5
59,up,1997-08-13,42.1875,1997-09-24,53.125,10.9375,20
60,down,1997-09-24,53.125,1997-10-01,50.46875,2.65625,4
61,up,1997-10-01,50.46875,1997-10-16,55.1875,4.71875,9
62,down,1997-10-16,55.1875,1997-10-28,49.0,6.1875,6
63,up,1997-10-28,49.0,1997-11-06,56.5,7.5,3
64,down,1997-11-06,56.5,1997-11-12,51.875,4.625,3
65,up,1997-11-12,51.875,1997-11-20,56.625,4.75,3
66,down,1997-11-20,56.625,1997-11-25,53.75,2.875,3
67,up,1997-11-25,53.75,1997-12-04,56.875,3.125,4
68,down,1997-12-04,56.875,1997-12-19,48.6875,8.1875,9
69,up,1997-12-19,48.6875,1998-01-02,54.1875,5.5,6
70,down,1998-01-02,54.1875,1998-01-13,49.1875,5.0,7
71,up,1998-01-13,49.1875,1998-01-22,52.25,3.0625,4
72,down,1998-01-22,52.25,1998-01-30,47.875,4.375,3
73,up,1998-01-30,47.875,1998-02-19,56.8125,8.9375,11
74,down,1998-02-19,56.8125,1998-03-03,51.5625,5.25,4
75,up,1998-03-03,51.5625,1998-03-16,61.625,10.0625,7
76,down,1998-03-16,61.625,1998-03-31,56.9375,4.6875,7
77,up,1998-03-31,56.9375,1998-04-07,64.5,7.5625,5
78,down,1998-04-07,64.5,1998-04-16,57.625,6.875,4
79,up,1998-04-16,57.625,1998-05-01,71.375,13.75,8
80,down,1998-05-01,71.375,1998-05-07,65.625,5.75,4
81,up,1998-05-07,65.625,1998-06-10,81.4375,15.8125,13
82,down,1998-06-10,81.4375,1998-06-22,75.75,5.6875,8
83,up,1998-06-22,75.75,1998-07-08,90.125,14.375,7
84,down,1998-07-08,90.125,1998-07-22,75.0,15.125,9
85,up,1998-07-22,75.0,1998-07-30,85.0,10.0,5
86,down,1998-07-30,85.0,1998-08-06,77.0,8.0,5
87,up,1998-08-06,77.0,1998-08-26,86.0,9.0,12
88,down,1998-08-26,86.0,1998-09-01,73.75,12.25,4
89,up,1998-09-01,73.75,1998-09-28,96.25,22.5,15
90,down,1998-09-28,96.25,1998-10-01,88.25,8.0,3
91,up,1998-10-01,88.25,1998-10-06,96.0,7.75,3
92,down,1998-10-06,96.0,1998-10-13,78.25,17.75,4
93,up,1998-10-13,78.25,1998-10-16,89.75,11.5,3
94,down,1998-10-16,89.75,1998-10-23,70.0,19.75,3
