BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,2000-04-13,15.374332427978516,2000-04-20,13.703208923339844,1.6711235046386719,3
2,up,2000-04-20,13.703208923339844,2000-05-17,17.546791076660156,3.8435821533203125,13
3,down,2000-05-17,17.546791076660156,2000-05-22,15.485739707946776,2.0610513687133807,3
4,up,2000-05-22,15.485739707946776,2000-06-06,18.77228164672852,3.2865419387817436,5
5,down,2000-06-06,18.77228164672852,2000-06-21,16.15418815612793,2.6180934906005895,6
6,up,2000-06-21,16.15418815612793,2000-07-07,19.66354751586914,3.509359359741211,7
7,down,2000-07-07,19.66354751586914,2000-07-14,17.658199310302734,2.0053482055664062,4
8,up,2000-07-14,17.658199310302734,2000-07-27,18.939393997192383,1.2811946868896484,7
9,down,2000-07-27,18.939393997192383,2000-08-04,17.26827049255371,1.6711235046386719,6
10,up,2000-08-04,17.26827049255371,2000-08-11,21.61319160461425,4.34492111206054,5
11,down,2000-08-11,21.61319160461425,2000-08-21,20.61051750183105,1.0026741027831996,3
12,up,2000-08-21,20.61051750183105,2000-09-28,24.621212005615234,4.010694503784183,19
13,down,2000-09-28,24.621212005615234,2000-10-13,21.50178337097168,3.1194286346435547,6
14,up,2000-10-13,21.50178337097168,2000-10-19,23.17290687561035,1.6711235046386719,3
15,down,2000-10-19,23.17290687561035,2000-10-27,21.39037322998047,1.7825336456298828,5
16,up,2000-10-27,21.39037322998047,2000-11-17,27.57352828979492,6.18315505981445,13
17,down,2000-11-17,27.57352828979492,2000-11-24,23.507129669189453,4.066398620605465,3
18,up,2000-11-24,23.507129669189453,2000-12-11,32.531192779541016,9.024063110351562,8
19,down,2000-12-11,32.531192779541016,2000-12-21,28.63190650939941,3.899286270141605,8
20,up,2000-12-21,28.63190650939941,2001-01-03,32.642601013183594,4.010694503784183,7
21,down,2001-01-03,32.642601013183594,2001-01-17,26.96078491210937,5.681816101074222,6
22,up,2001-01-17,26.96078491210937,2001-01-25,30.30303001403809,3.342245101928718,5
23,down,2001-01-25,30.30303001403809,2001-02-22,26.336898803710938,3.966131210327152,10
24,up,2001-02-22,26.336898803710938,2001-03-12,29.3226375579834,2.985738754272461,6
25,down,2001-03-12,29.3226375579834,2001-03-23,22.72727394104004,6.595363616943359,5
26,up,2001-03-23,22.72727394104004,2001-04-02,27.201425552368164,4.474151611328125,6
27,down,2001-04-02,27.201425552368164,2001-04-11,25.55258560180664,1.6488399505615234,6
28,up,2001-04-11,25.55258560180664,2001-04-18,27.58466911315918,2.032083511352539,3
29,down,2001-04-18,27.58466911315918,2001-04-25,25.133689880371094,2.450979232788086,4
30,up,2001-04-25,25.133689880371094,2001-06-05,28.98395729064941,3.8502674102783168,19
31,down,2001-06-05,28.98395729064941,2001-06-15,26.40819931030273,2.5757579803466797,7
32,up,2001-06-15,26.40819931030273,2001-06-21,27.85205078125,1.4438514709472692,4
33,down,2001-06-21,27.85205078125,2001-06-27,26.65775489807129,1.194295883178711,3
34,up,2001-06-27,26.65775489807129,2001-07-05,28.52049827575684,1.8627433776855504,3
35,down,2001-07-05,28.52049827575684,2001-07-30,25.22281646728516,3.2976818084716797,9
36,up,2001-07-30,25.22281646728516,2001-08-06,26.604278564453125,1.3814620971679652,5
37,down,2001-08-06,26.604278564453125,2001-08-09,25.22281646728516,1.3814620971679652,3
38,up,2001-08-09,25.22281646728516,2001-08-31,27.58466911315918,2.36185264587402,12
39,down,2001-08-31,27.58466911315918,2001-09-21,22.1033878326416,5.481281280517578,7
40,up,2001-09-21,22.1033878326416,2001-10-04,26.63101577758789,4.527627944946289,4
41,down,2001-10-04,26.63101577758789,2001-10-19,22.014259338378903,4.616756439208988,7
42,up,2001-10-19,22.014259338378903,2001-11-06,25.40106964111328,3.3868103027343786,10
43,down,2001-11-06,25.40106964111328,2001-11-12,24.188947677612305,1.2121219635009766,3
44,up,2001-11-12,24.188947677612305,2001-11-20,25.213903427124023,1.0249557495117188,6
45,down,2001-11-20,25.213903427124023,2001-12-03,23.903743743896484,1.310159683227539,4
46,up,2001-12-03,23.903743743896484,2001-12-20,28.52049827575684,4.616754531860355,12
47,down,2001-12-20,28.52049827575684,2002-01-08,26.78253173828125,1.7379665374755895,8
48,up,2002-01-08,26.78253173828125,2002-01-15,27.37967872619629,0.5971469879150391,5
49,down,2002-01-15,27.37967872619629,2002-02-07,25.40106964111328,1.9786090850830078,12
50,up,2002-02-07,25.40106964111328,2002-02-15,28.34224510192871,2.9411754608154297,5
51,down,2002-02-15,28.34224510192871,2002-02-22,26.82709312438965,1.5151519775390625,4
52,up,2002-02-22,26.82709312438965,2002-03-05,29.94652366638184,3.119430541992191,5
53,down,2002-03-05,29.94652366638184,2002-03-20,26.71122932434082,3.235294342041019,9
54,up,2002-03-20,26.71122932434082,2002-04-22,30.91800308227539,4.20677375793457,16
55,down,2002-04-22,30.91800308227539,2002-04-29,29.41176414489746,1.5062389373779297,3
56,up,2002-04-29,29.41176414489746,2002-05-06,31.060606002807617,1.6488418579101562,4
57,down,2002-05-06,31.060606002807617,2002-05-29,27.18360137939453,3.877004623413086,9
58,up,2002-05-29,27.18360137939453,2002-06-11,28.32442092895508,1.1408195495605504,6
59,down,2002-06-11,28.32442092895508,2002-06-26,24.67023277282715,3.6541881561279332,10
60,up,2002-06-26,24.67023277282715,2002-07-09,26.64884185791016,1.9786090850830114,5
61,down,2002-07-09,26.64884185791016,2002-07-24,19.786096572875977,6.862745285034183,9
62,up,2002-07-24,19.786096572875977,2002-07-31,25.490196228027344,5.704099655151367,4
63,down,2002-07-31,25.490196228027344,2002-08-07,22.121212005615234,3.3689842224121094,4
64,up,2002-08-07,22.121212005615234,2002-08-23,25.0,2.8787879943847656,10
65,down,2002-08-23,25.0,2002-09-05,22.19251251220703,2.8074874877929688,6
66,up,2002-09-05,22.19251251220703,2002-09-11,23.083778381347656,0.891265869140625,4
67,down,2002-09-11,23.083778381347656,2002-10-07,18.360071182250977,4.72370719909668,16
68,up,2002-10-07,18.360071182250977,2002-10-28,23.52941131591797,5.169340133666992,11
69,down,2002-10-28,23.52941131591797,2002-11-01,20.94474220275879,2.5846691131591797,3
70,up,2002-11-01,20.94474220275879,2002-11-08,24.64349365234375,3.698751449584961,4
