BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1992-04-13,6.444444179534912,1992-05-27,7.3333330154418945,0.8888888359069824,5
2,down,1992-05-27,7.3333330154418945,1992-07-01,4.833333015441895,2.499999999999999,9
3,up,1992-07-01,4.833333015441895,1992-07-28,7.0,2.1666669845581046,8
4,down,1992-07-28,7.0,1992-08-06,5.444444179534912,1.555555820465088,3
5,up,1992-08-06,5.444444179534912,1992-09-03,6.6666669845581055,1.2222228050231934,7
6,down,1992-09-03,6.6666669845581055,1992-10-05,5.111111164093018,1.555555820465088,9
7,up,1992-10-05,5.111111164093018,1992-12-09,8.666666984558105,3.555555820465088,17
8,down,1992-12-09,8.666666984558105,1992-12-17,8.0,0.6666669845581055,4
9,up,1992-12-17,8.0,1993-03-31,15.777777671813965,7.777777671813965,28
10,down,1993-03-31,15.777777671813965,1993-04-20,13.11111068725586,2.6666669845581055,7
11,up,1993-04-20,13.11111068725586,1993-05-19,13.666666984558104,0.5555562973022443,4
12,down,1993-05-19,13.666666984558104,1993-06-03,12.0,1.6666669845581037,4
13,up,1993-06-03,12.0,1993-06-23,15.88888931274414,3.8888893127441406,4
14,down,1993-06-23,15.88888931274414,1993-07-09,15.444443702697754,0.4444456100463867,3
15,up,1993-07-09,15.444443702697754,1993-07-26,17.55555534362793,2.111111640930176,4
16,down,1993-07-26,17.55555534362793,1993-07-30,16.11111068725586,1.4444446563720703,3
17,up,1993-07-30,16.11111068725586,1993-08-25,20.33333206176757,4.222221374511712,8
18,down,1993-08-25,20.33333206176757,1993-09-01,17.75,2.583332061767571,3
19,up,1993-09-01,17.75,1993-10-06,21.33333206176757,3.583332061767571,9
20,down,1993-10-06,21.33333206176757,1993-10-21,18.33333206176757,3.0,6
21,up,1993-10-21,18.33333206176757,1993-12-17,23.166667938232425,4.833335876464854,18
22,down,1993-12-17,23.166667938232425,1994-01-04,22.166667938232425,1.0,6
23,up,1994-01-04,22.166667938232425,1994-01-18,24.33333206176757,2.1666641235351456,3
24,down,1994-01-18,24.33333206176757,1994-01-27,19.33333206176757,5.0,4
25,up,1994-01-27,19.33333206176757,1994-02-03,23.0,3.666667938232429,3
26,down,1994-02-03,23.0,1994-03-03,16.5,6.5,10
27,up,1994-03-03,16.5,1994-03-24,20.166667938232425,3.6666679382324254,7
28,down,1994-03-24,20.166667938232425,1994-04-04,17.333332061767578,2.8333358764648473,4
29,up,1994-04-04,17.333332061767578,1994-04-20,19.33333206176757,1.999999999999993,4
30,down,1994-04-20,19.33333206176757,1994-05-25,14.333333015441896,4.999999046325675,10
