BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1986-01-22,0.1464840024709701,1986-02-03,0.0976559966802597,0.048828005790710394,3
2,up,1986-02-03,0.0976559966802597,1986-08-08,0.1953130066394806,0.09765700995922089,3
3,down,1986-08-08,0.1953130066394806,1986-12-18,0.0488279983401298,0.1464850082993508,9
4,up,1986-12-18,0.0488279983401298,1987-06-03,0.1302080005407333,0.08138000220060351,3
5,down,1987-06-03,0.1302080005407333,1987-11-16,0.0162760000675916,0.11393200047314171,5
6,up,1987-11-16,0.0162760000675916,1988-02-26,0.0651040002703666,0.048828000202775,6
7,down,1988-02-26,0.0651040002703666,1988-04-12,0.0390629991888999,0.026041001081466703,6
8,up,1988-04-12,0.0390629991888999,1988-05-03,0.0664059966802597,0.027342997491359808,4
9,down,1988-05-03,0.0664059966802597,1988-06-13,0.0481770001351833,0.018228996545076405,4
10,up,1988-06-13,0.0481770001351833,1988-07-12,0.0625,0.0143229998648167,4
11,down,1988-07-12,0.0625,1988-10-13,0.04296899959445,0.019531000405550003,7
12,up,1988-10-13,0.04296899959445,1988-11-01,0.0846349969506263,0.04166599735617631,10
13,down,1988-11-01,0.0846349969506263,1988-11-07,0.0664059966802597,0.0182290002703666,3
14,up,1988-11-07,0.0664059966802597,1988-11-25,0.0755209997296333,0.009115003049373599,4
15,down,1988-11-25,0.0755209997296333,1989-01-30,0.0416669994592666,0.0338540002703667,14
16,up,1989-01-30,0.0416669994592666,1989-02-07,0.05859399959445,0.016927000135183397,4
17,down,1989-02-07,0.05859399959445,1989-09-14,0.0221350006759166,0.036458998918533395,17
18,up,1989-09-14,0.0221350006759166,1989-09-20,0.0364580005407333,0.014322999864816704,3
19,down,1989-09-20,0.0364580005407333,1990-01-02,0.01953100040555,0.016927000135183303,4
20,up,1990-01-02,0.01953100040555,1990-06-04,0.0625,0.04296899959445,10
21,down,1990-06-04,0.0625,1990-10-19,0.0182290002703666,0.0442709997296334,7
22,up,1990-10-19,0.0182290002703666,1990-11-08,0.0455729998648166,0.027343999594450004,5
23,down,1990-11-08,0.0455729998648166,1991-02-15,0.0143229998648166,0.03125,10
24,up,1991-02-15,0.0143229998648166,1991-03-14,0.0260419994592666,0.01171899959445,4
25,down,1991-03-14,0.0260419994592666,1991-11-05,0.0169270001351833,0.0091149993240833,4
26,up,1991-11-05,0.0169270001351833,1992-03-02,0.03515600040555,0.018229000270366703,7
27,down,1992-03-02,0.03515600040555,1992-06-15,0.015625,0.019531000405550003,7
28,up,1992-06-15,0.015625,1992-06-18,0.0234379991888999,0.0078129991888999,3
29,down,1992-06-18,0.0234379991888999,1992-06-26,0.0130209997296333,0.0104169994592666,4
30,up,1992-06-26,0.0130209997296333,1992-08-12,0.0338540002703666,0.0208330005407333,10
31,down,1992-08-12,0.0338540002703666,1992-08-18,0.0247399993240833,0.009114000946283299,3
32,up,1992-08-18,0.0247399993240833,1992-09-03,0.0286459997296333,0.0039060004055499996,3
33,down,1992-09-03,0.0286459997296333,1992-09-11,0.0234379991888999,0.0052080005407334,3
34,up,1992-09-11,0.0234379991888999,1992-10-01,0.03125,0.0078120008111001,4
35,down,1992-10-01,0.03125,1992-10-12,0.0260419994592666,0.0052080005407334,3
36,up,1992-10-12,0.0260419994592666,1992-11-17,0.0559899993240833,0.0299479998648167,11
37,down,1992-11-17,0.0559899993240833,1992-12-24,0.0442709997296333,0.011718999594450004,4
38,up,1992-12-24,0.0442709997296333,1993-01-06,0.0481770001351833,0.003906000405550003,3
39,down,1993-01-06,0.0481770001351833,1993-03-17,0.0286459997296333,0.01953100040555,9
40,up,1993-03-17,0.0286459997296333,1993-03-26,0.0338540002703666,0.005208000540733299,3
41,down,1993-03-26,0.0338540002703666,1993-05-19,0.0260419994592666,0.007812000811099999,9
42,up,1993-05-19,0.0260419994592666,1993-06-28,0.0338540002703666,0.007812000811099999,5
43,down,1993-06-28,0.0338540002703666,1993-08-04,0.0286459997296333,0.005208000540733299,4
44,up,1993-08-04,0.0286459997296333,1993-09-03,0.0325520001351833,0.0039060004055499996,5
45,down,1993-09-03,0.0325520001351833,1993-10-06,0.0221350006759166,0.0104169994592667,7
46,up,1993-10-06,0.0221350006759166,1993-11-19,0.03515600040555,0.013020999729633404,7
47,down,1993-11-19,0.03515600040555,1993-12-31,0.0260419994592666,0.009114000946283403,6
48,up,1993-12-31,0.0260419994592666,1994-01-19,0.0286459997296333,0.0026040002703667,5
49,down,1994-01-19,0.0286459997296333,1994-03-02,0.0266929995268583,0.0019530002027750015,3
50,up,1994-03-02,0.0266929995268583,1994-03-30,0.0325520001351833,0.005859000608325001,4
51,down,1994-03-30,0.0325520001351833,1994-06-21,0.0221350006759166,0.0104169994592667,10
52,up,1994-06-21,0.0221350006759166,1994-08-02,0.0325520001351833,0.0104169994592667,5
53,down,1994-08-02,0.0325520001351833,1994-09-02,0.0286459997296333,0.0039060004055499996,5
54,up,1994-09-02,0.0286459997296333,1994-09-19,0.03125,0.0026040002703667,5
55,down,1994-09-19,0.03125,1994-11-11,0.0192060004919767,0.0120439995080233,13
56,up,1994-11-11,0.0192060004919767,1994-11-22,0.0234379991888999,0.0042319986969232,3
57,down,1994-11-22,0.0234379991888999,1995-01-18,0.0169270001351833,0.0065109990537166006,7
58,up,1995-01-18,0.0169270001351833,1995-01-25,0.01953100040555,0.0026040002703667,3
59,down,1995-01-25,0.01953100040555,1995-02-02,0.0169270001351833,0.0026040002703667,3
60,up,1995-02-02,0.0169270001351833,1995-02-28,0.0208330005407333,0.0039060004055499996,5
61,down,1995-02-28,0.0208330005407333,1995-03-21,0.015625,0.005208000540733299,6
62,up,1995-03-21,0.015625,1995-03-27,0.0188800003379583,0.003255000337958301,3
63,down,1995-03-27,0.0188800003379583,1995-04-24,0.0136719997972249,0.005208000540733402,3
64,up,1995-04-24,0.0136719997972249,1995-05-25,0.015625,0.0019530002027751004,4
65,down,1995-05-25,0.015625,1995-06-23,0.0123699996620416,0.0032550003379584,4
66,up,1995-06-23,0.0123699996620416,1995-07-21,0.0182290002703666,0.005859000608324999,7
67,down,1995-07-21,0.0182290002703666,1995-08-08,0.0123699996620416,0.005859000608324999,4
68,up,1995-08-08,0.0123699996620416,1995-09-07,0.015625,0.0032550003379584,6
69,down,1995-09-07,0.015625,1995-10-05,0.0104170003905892,0.005207999609410799,10
70,up,1995-10-05,0.0104170003905892,1995-10-18,0.0136719997972249,0.003254999406635699,3
71,down,1995-10-18,0.0136719997972249,1995-10-31,0.0091150002554059,0.004556999541819,3
72,up,1995-10-31,0.0091150002554059,1995-11-27,0.0104170003905892,0.0013020001351833014,3
73,down,1995-11-27,0.0104170003905892,1995-12-14,0.0061849998310208,0.004232000559568401,3
74,up,1995-12-14,0.0061849998310208,1996-01-10,0.0100910002365708,0.0039060004055500004,4
75,down,1996-01-10,0.0100910002365708,1996-03-06,0.0065100002102553,0.0035810000263155,7
76,up,1996-03-06,0.0065100002102553,1996-04-12,0.0081380000337958,0.0016279998235405003,5
77,down,1996-04-12,0.0081380000337958,1996-04-22,0.0068359998986124,0.0013020001351834003,3
78,up,1996-04-22,0.0068359998986124,1996-05-14,0.0279949996620416,0.0211589997634292,10
79,down,1996-05-14,0.0279949996620416,1996-06-18,0.0136719997972249,0.014322999864816702,5
80,up,1996-06-18,0.0136719997972249,1996-07-10,0.0253909993916749,0.011718999594449999,7
