BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1980-03-20,11.0,1980-03-27,8.699999809265137,2.3000001907348633,5
2,up,1980-03-27,8.699999809265137,1980-04-10,10.166666984558104,1.466667175292967,7
3,down,1980-04-10,10.166666984558104,1980-04-18,8.466667175292969,1.699999809265135,6
4,up,1980-04-18,8.466667175292969,1980-04-25,9.93333339691162,1.4666662216186506,5
5,down,1980-04-25,9.93333339691162,1980-05-12,8.133333206176758,1.8000001907348615,5
6,up,1980-05-12,8.133333206176758,1980-05-27,10.56666660308838,2.433333396911623,7
7,down,1980-05-27,10.56666660308838,1980-06-03,9.966667175292969,0.5999994277954119,4
8,up,1980-06-03,9.966667175292969,1980-06-09,11.166666984558104,1.199999809265135,4
9,down,1980-06-09,11.166666984558104,1980-06-24,9.833333015441896,1.3333339691162074,9
10,up,1980-06-24,9.833333015441896,1980-07-02,12.133333206176758,2.3000001907348615,6
11,down,1980-07-02,12.133333206176758,1980-07-14,11.199999809265137,0.9333333969116211,4
12,up,1980-07-14,11.199999809265137,1980-07-25,12.800000190734863,1.6000003814697266,8
13,down,1980-07-25,12.800000190734863,1980-08-06,11.633333206176758,1.1666669845581055,7
14,up,1980-08-06,11.633333206176758,1980-08-26,13.633333206176758,2.0,9
15,down,1980-08-26,13.633333206176758,1980-09-02,12.833333015441896,0.8000001907348615,3
16,up,1980-09-02,12.833333015441896,1980-09-10,15.366666793823242,2.533333778381346,5
17,down,1980-09-10,15.366666793823242,1980-09-15,14.600000381469728,0.7666664123535138,3
18,up,1980-09-15,14.600000381469728,1980-09-23,16.233333587646484,1.633333206176756,3
19,down,1980-09-23,16.233333587646484,1980-09-29,13.733332633972168,2.5000009536743164,3
20,up,1980-09-29,13.733332633972168,1980-10-17,15.699999809265137,1.9666671752929688,8
21,down,1980-10-17,15.699999809265137,1980-11-07,12.5,3.1999998092651367,12
22,up,1980-11-07,12.5,1980-11-21,15.133333206176758,2.633333206176758,9
23,down,1980-11-21,15.133333206176758,1980-12-11,12.666666984558104,2.466666221618654,10
24,up,1980-12-11,12.666666984558104,1980-12-23,13.033332824707031,0.36666584014892756,6
25,down,1980-12-23,13.033332824707031,1980-12-30,11.833333015441896,1.199999809265135,4
26,up,1980-12-30,11.833333015441896,1981-01-06,13.233332633972168,1.3999996185302717,3
27,down,1981-01-06,13.233332633972168,1981-01-16,11.666666984558104,1.5666656494140643,4
28,up,1981-01-16,11.666666984558104,1981-01-30,14.866666793823242,3.1999998092651385,5
29,down,1981-01-30,14.866666793823242,1981-02-12,12.100000381469728,2.766666412353514,6
30,up,1981-02-12,12.100000381469728,1981-02-19,12.866666793823242,0.7666664123535138,3
31,down,1981-02-19,12.866666793823242,1981-03-04,11.766667366027832,1.0999994277954102,7
32,up,1981-03-04,11.766667366027832,1981-04-10,17.666667938232422,5.90000057220459,20
33,down,1981-04-10,17.666667938232422,1981-04-23,15.533332824707031,2.1333351135253906,5
34,up,1981-04-23,15.533332824707031,1981-04-29,18.799999237060547,3.2666664123535156,4
35,down,1981-04-29,18.799999237060547,1981-05-12,17.233333587646484,1.5666656494140625,6
36,up,1981-05-12,17.233333587646484,1981-05-15,18.299999237060547,1.0666656494140625,3
37,down,1981-05-15,18.299999237060547,1981-05-27,16.133333206176758,2.166666030883789,6
38,up,1981-05-27,16.133333206176758,1981-06-08,17.366666793823242,1.2333335876464844,5
39,down,1981-06-08,17.366666793823242,1981-06-23,15.266667366027832,2.09999942779541,8
40,up,1981-06-23,15.266667366027832,1981-07-01,18.33333206176757,3.066664695739739,6
41,down,1981-07-01,18.33333206176757,1981-07-09,16.633333206176758,1.6999988555908132,4
42,up,1981-07-09,16.633333206176758,1981-07-16,19.233333587646484,2.6000003814697266,4
43,down,1981-07-16,19.233333587646484,1981-07-23,17.53333282470703,1.7000007629394531,4
44,up,1981-07-23,17.53333282470703,1981-08-14,21.13333320617676,3.60000038146973,11
45,down,1981-08-14,21.13333320617676,1981-09-09,14.133333206176758,7.0000000000000036,14
46,up,1981-09-09,14.133333206176758,1981-09-18,16.600000381469727,2.4666671752929688,6
47,down,1981-09-18,16.600000381469727,1981-09-28,13.133333206176758,3.4666671752929688,4
48,up,1981-09-28,13.133333206176758,1981-10-09,17.933332443237305,4.799999237060547,7
49,down,1981-10-09,17.933332443237305,1981-10-26,11.733332633972168,6.199999809265137,8
50,up,1981-10-26,11.733332633972168,1981-11-02,13.033332824707031,1.3000001907348633,4
51,down,1981-11-02,13.033332824707031,1981-11-11,11.866666793823242,1.166666030883789,3
52,up,1981-11-11,11.866666793823242,1981-11-25,13.333333015441896,1.4666662216186541,6
53,down,1981-11-25,13.333333015441896,1981-12-15,11.56666660308838,1.7666664123535156,11
54,up,1981-12-15,11.56666660308838,1981-12-21,12.0,0.4333333969116193,3
55,down,1981-12-21,12.0,1982-01-21,9.333333015441896,2.6666669845581037,15
56,up,1982-01-21,9.333333015441896,1982-02-03,10.533332824707031,1.199999809265135,7
57,down,1982-02-03,10.533332824707031,1982-02-10,9.366666793823242,1.166666030883789,3
58,up,1982-02-10,9.366666793823242,1982-02-22,9.733332633972168,0.3666658401489258,5
59,down,1982-02-22,9.733332633972168,1982-03-15,7.766666889190674,1.9666657447814941,11
60,up,1982-03-15,7.766666889190674,1982-04-16,10.166666984558104,2.40000009536743,18
61,down,1982-04-16,10.166666984558104,1982-04-21,9.666666984558104,0.5,3
62,up,1982-04-21,9.666666984558104,1982-04-27,10.199999809265137,0.533332824707033,4
63,down,1982-04-27,10.199999809265137,1982-05-03,9.133333206176758,1.066666603088379,3
64,up,1982-05-03,9.133333206176758,1982-05-12,9.43333339691162,0.3000001907348615,6
65,down,1982-05-12,9.43333339691162,1982-06-22,7.366666793823242,2.066666603088377,17
66,up,1982-06-22,7.366666793823242,1982-07-02,8.800000190734863,1.433333396911621,6
67,down,1982-07-02,8.800000190734863,1982-07-08,7.8333330154418945,0.9666671752929688,3
68,up,1982-07-08,7.8333330154418945,1982-07-23,9.5,1.6666669845581055,6
69,down,1982-07-23,9.5,1982-07-30,8.566666603088379,0.9333333969116211,4
70,up,1982-07-30,8.566666603088379,1982-08-06,9.43333339691162,0.8666667938232404,4
71,down,1982-08-06,9.43333339691162,1982-08-13,8.833333015441895,0.6000003814697248,3
72,up,1982-08-13,8.833333015441895,1982-09-08,12.333333015441896,3.5000000000000018,14
73,down,1982-09-08,12.333333015441896,1982-09-30,9.633333206176758,2.6999998092651385,10
74,up,1982-09-30,9.633333206176758,1982-10-14,12.333333015441896,2.6999998092651385,10
75,down,1982-10-14,12.333333015441896,1982-10-29,10.5,1.8333330154418963,9
76,up,1982-10-29,10.5,1982-11-04,12.100000381469728,1.6000003814697283,4
77,down,1982-11-04,12.100000381469728,1982-11-09,11.233332633972168,0.8666677474975604,3
78,up,1982-11-09,11.233332633972168,1982-11-12,12.0,0.766667366027832,3
79,down,1982-11-12,12.0,1982-11-26,10.833333015441896,1.1666669845581037,7
80,up,1982-11-26,10.833333015441896,1983-01-13,16.53333282470703,5.699999809265135,23
81,down,1983-01-13,16.53333282470703,1983-01-24,13.899999618530272,2.6333332061767596,5
82,up,1983-01-24,13.899999618530272,1983-02-01,15.833333015441896,1.9333333969116246,5
83,down,1983-02-01,15.833333015441896,1983-03-01,13.366666793823242,2.466666221618654,12
84,up,1983-03-01,13.366666793823242,1983-03-10,14.300000190734863,0.9333333969116211,3
85,down,1983-03-10,14.300000190734863,1983-03-21,12.93333339691162,1.366666793823244,6
86,up,1983-03-21,12.93333339691162,1983-04-18,14.899999618530272,1.9666662216186523,11
87,down,1983-04-18,14.899999618530272,1983-05-02,14.0,0.8999996185302717,5
88,up,1983-05-02,14.0,1983-05-25,16.0,2.0,10
89,down,1983-05-25,16.0,1983-06-01,14.733332633972168,1.266667366027832,3
90,up,1983-06-01,14.733332633972168,1983-06-14,15.56666660308838,0.8333339691162127,7
91,down,1983-06-14,15.56666660308838,1983-06-30,13.866666793823242,1.6999998092651385,9
92,up,1983-06-30,13.866666793823242,1983-07-12,15.166666984558104,1.3000001907348615,3
93,down,1983-07-12,15.166666984558104,1983-07-19,14.06666660308838,1.100000381469723,3
94,up,1983-07-19,14.06666660308838,1983-07-27,15.833333015441896,1.7666664123535156,5
95,down,1983-07-27,15.833333015441896,1983-08-11,15.0,0.8333330154418963,7
96,up,1983-08-11,15.0,1983-08-18,15.733332633972168,0.733332633972168,4
97,down,1983-08-18,15.733332633972168,1983-08-25,15.199999809265137,0.5333328247070312,5
98,up,1983-08-25,15.199999809265137,1983-09-06,16.133333206176758,0.9333333969116211,6
99,down,1983-09-06,16.133333206176758,1983-09-16,13.93333339691162,2.1999998092651385,7
100,up,1983-09-16,13.93333339691162,1983-09-28,14.366666793823242,0.43333339691162287,5
101,down,1983-09-28,14.366666793823242,1983-10-03,12.133333206176758,2.2333335876464844,3
102,up,1983-10-03,12.133333206176758,1983-10-14,13.5,1.3666667938232422,7
103,down,1983-10-14,13.5,1983-10-21,12.266667366027832,1.233332633972168,4
104,up,1983-10-21,12.266667366027832,1983-12-05,14.800000190734863,2.5333328247070312,21
105,down,1983-12-05,14.800000190734863,1984-01-30,12.300000190734863,2.5,18
106,up,1984-01-30,12.300000190734863,1984-02-03,13.466667175292969,1.1666669845581055,4
107,down,1984-02-03,13.466667175292969,1984-02-13,12.199999809265137,1.266667366027832,5
108,up,1984-02-13,12.199999809265137,1984-02-28,14.633333206176758,2.433333396911621,8
109,down,1984-02-28,14.633333206176758,1984-03-21,13.399999618530272,1.2333335876464862,12
110,up,1984-03-21,13.399999618530272,1984-03-29,13.866666793823242,0.4666671752929705,3
111,down,1984-03-29,13.866666793823242,1984-07-09,8.666666984558105,5.199999809265137,41
112,up,1984-07-09,8.666666984558105,1984-07-17,9.533332824707031,0.8666658401489258,6
113,down,1984-07-17,9.533332824707031,1984-07-27,8.266667366027832,1.2666654586791992,4
114,up,1984-07-27,8.266667366027832,1984-08-06,10.199999809265137,1.9333324432373047,5
115,down,1984-08-06,10.199999809265137,1984-08-09,8.666666984558105,1.5333328247070312,3
116,up,1984-08-09,8.666666984558105,1984-08-15,10.43333339691162,1.7666664123535138,3
117,down,1984-08-15,10.43333339691162,1984-08-22,9.399999618530272,1.0333337783813477,3
118,up,1984-08-22,9.399999618530272,1984-09-07,10.300000190734863,0.9000005722045916,7
119,down,1984-09-07,10.300000190734863,1984-09-20,9.133333206176758,1.1666669845581055,5
120,up,1984-09-20,9.133333206176758,1984-10-05,10.0,0.8666667938232422,6
121,down,1984-10-05,10.0,1984-10-18,9.199999809265137,0.8000001907348633,3
122,up,1984-10-18,9.199999809265137,1984-11-13,11.033332824707031,1.8333330154418945,12
123,down,1984-11-13,11.033332824707031,1984-12-03,9.533332824707031,1.5,9
124,up,1984-12-03,9.533332824707031,1984-12-12,9.733332633972168,0.19999980926513672,4
125,down,1984-12-12,9.733332633972168,1984-12-21,9.133333206176758,0.5999994277954102,5
126,up,1984-12-21,9.133333206176758,1985-02-08,12.166666984558104,3.033333778381346,19
127,down,1985-02-08,12.166666984558104,1985-02-25,11.133333206176758,1.0333337783813459,7
128,up,1985-02-25,11.133333206176758,1985-03-04,11.466667175292969,0.33333396911621094,3
129,down,1985-03-04,11.466667175292969,1985-03-18,10.5,0.9666671752929688,6
130,up,1985-03-18,10.5,1985-03-29,11.833333015441896,1.3333330154418963,7
131,down,1985-03-29,11.833333015441896,1985-04-09,11.600000381469728,0.23333263397216797,4
132,up,1985-04-09,11.600000381469728,1985-04-18,12.466667175292969,0.8666667938232404,4
133,down,1985-04-18,12.466667175292969,1985-05-01,11.600000381469728,0.8666667938232404,4
134,up,1985-05-01,11.600000381469728,1985-05-14,12.266667366027832,0.6666669845581037,6
135,down,1985-05-14,12.266667366027832,1985-07-05,10.699999809265137,1.5666675567626953,20
136,up,1985-07-05,10.699999809265137,1985-07-23,12.466667175292969,1.766667366027832,8
137,down,1985-07-23,12.466667175292969,1985-08-05,11.600000381469728,0.8666667938232404,4
138,up,1985-08-05,11.600000381469728,1985-08-19,12.466667175292969,0.8666667938232404,7
139,down,1985-08-19,12.466667175292969,1985-08-26,11.800000190734863,0.6666669845581055,4
140,up,1985-08-26,11.800000190734863,1985-09-10,12.466667175292969,0.6666669845581055,6
141,down,1985-09-10,12.466667175292969,1985-09-19,11.0,1.4666671752929688,4
