BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1995-12-05,2.40625,1995-12-19,1.910156011581421,0.4960939884185791,6
2,up,1995-12-19,1.910156011581421,1995-12-29,2.609375,0.6992189884185791,6
3,down,1995-12-29,2.609375,1996-01-18,1.421875,1.1875,8
4,up,1996-01-18,1.421875,1996-02-16,2.578125,1.15625,13
5,down,1996-02-16,2.578125,1996-03-04,1.90625,0.671875,4
6,up,1996-03-04,1.90625,1996-03-19,2.015625,0.109375,3
7,down,1996-03-19,2.015625,1996-04-18,1.625,0.390625,3
8,up,1996-04-18,1.625,1996-05-15,2.46875,0.84375,12
9,down,1996-05-15,2.46875,1996-08-01,1.25,1.21875,17
10,up,1996-08-01,1.25,1996-08-12,1.953125,0.703125,6
11,down,1996-08-12,1.953125,1996-08-28,1.65625,0.296875,4
12,up,1996-08-28,1.65625,1996-09-09,1.8125,0.15625,3
13,down,1996-09-09,1.8125,1996-09-20,1.53125,0.28125,5
14,up,1996-09-20,1.53125,1996-09-27,2.0,0.46875,3
15,down,1996-09-27,2.0,1996-10-10,1.765625,0.234375,6
16,up,1996-10-10,1.765625,1996-10-16,2.3125,0.546875,4
17,down,1996-10-16,2.3125,1996-10-28,1.9375,0.375,3
18,up,1996-10-28,1.9375,1996-11-11,2.515625,0.578125,5
19,down,1996-11-11,2.515625,1996-12-06,2.25,0.265625,5
20,up,1996-12-06,2.25,1996-12-30,3.234375,0.984375,10
21,down,1996-12-30,3.234375,1997-01-08,2.875,0.359375,4
22,up,1997-01-08,2.875,1997-01-23,3.742187976837158,0.8671879768371582,5
23,down,1997-01-23,3.742187976837158,1997-01-30,3.15625,0.5859379768371582,3
24,up,1997-01-30,3.15625,1997-02-10,3.4375,0.28125,4
25,down,1997-02-10,3.4375,1997-03-05,2.265625,1.171875,8
26,up,1997-03-05,2.265625,1997-03-11,2.640625,0.375,3
27,down,1997-03-11,2.640625,1997-03-20,1.84375,0.796875,6
28,up,1997-03-20,1.84375,1997-04-10,2.46875,0.625,5
29,down,1997-04-10,2.46875,1997-04-23,1.328125,1.140625,7
30,up,1997-04-23,1.328125,1997-05-29,2.609375,1.28125,8
31,down,1997-05-29,2.609375,1997-06-27,2.125,0.484375,10
32,up,1997-06-27,2.125,1997-08-07,2.898437976837158,0.7734379768371582,14
33,down,1997-08-07,2.898437976837158,1997-08-15,2.574218988418579,0.3242189884185791,5
34,up,1997-08-15,2.574218988418579,1997-09-23,3.507812976837158,0.9335939884185791,15
35,down,1997-09-23,3.507812976837158,1997-10-02,3.226562976837158,0.28125,4
36,up,1997-10-02,3.226562976837158,1997-10-14,3.570312976837158,0.34375,6
37,down,1997-10-14,3.570312976837158,1997-10-28,2.9375,0.6328129768371582,7
38,up,1997-10-28,2.9375,1997-11-11,3.46875,0.53125,8
39,down,1997-11-11,3.46875,1997-12-05,2.96875,0.5,8
40,up,1997-12-05,2.96875,1997-12-31,4.5,1.53125,11
