BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,2000-05-11,17.8125,2000-06-06,24.625,6.8125,10
2,down,2000-06-06,24.625,2000-06-19,20.5,4.125,8
3,up,2000-06-19,20.5,2000-06-26,26.8125,6.3125,4
4,down,2000-06-26,26.8125,2000-07-13,19.75,7.0625,8
5,up,2000-07-13,19.75,2000-08-02,22.25,2.5,7
6,down,2000-08-02,22.25,2000-08-11,16.25,6.0,6
7,up,2000-08-11,16.25,2000-08-28,17.9375,1.6875,8
8,down,2000-08-28,17.9375,2000-09-19,11.375,6.5625,11
9,up,2000-09-19,11.375,2000-09-25,13.125,1.75,3
10,down,2000-09-25,13.125,2000-09-29,10.125,3.0,3
11,up,2000-09-29,10.125,2000-10-16,12.0625,1.9375,7
12,down,2000-10-16,12.0625,2000-11-13,7.625,4.4375,11
13,up,2000-11-13,7.625,2000-11-20,9.125,1.5,4
14,down,2000-11-20,9.125,2000-11-30,6.5,2.625,6
15,up,2000-11-30,6.5,2000-12-11,9.75,3.25,6
16,down,2000-12-11,9.75,2000-12-26,4.0,5.75,10
17,up,2000-12-26,4.0,2001-01-30,8.75,4.75,15
18,down,2001-01-30,8.75,2001-02-23,5.5,3.25,14
19,up,2001-02-23,5.5,2001-03-08,6.75,1.25,4
20,down,2001-03-08,6.75,2001-03-22,4.8125,1.9375,5
21,up,2001-03-22,4.8125,2001-03-28,5.75,0.9375,3
22,down,2001-03-28,5.75,2001-04-06,3.9375,1.8125,4
23,up,2001-04-06,3.9375,2001-05-09,8.0,4.0625,15
24,down,2001-05-09,8.0,2001-06-25,4.400000095367432,3.5999999046325684,22
25,up,2001-06-25,4.400000095367432,2001-06-28,5.170000076293945,0.7699999809265137,3
26,down,2001-06-28,5.170000076293945,2001-07-25,3.039999961853028,2.1300001144409175,10
27,up,2001-07-25,3.039999961853028,2001-08-08,3.670000076293945,0.6300001144409171,4
28,down,2001-08-08,3.670000076293945,2001-08-16,3.299999952316284,0.3700001239776607,5
29,up,2001-08-16,3.299999952316284,2001-08-27,3.5899999141693115,0.28999996185302734,3
30,down,2001-08-27,3.5899999141693115,2001-10-05,1.1200000047683716,2.46999990940094,16
31,up,2001-10-05,1.1200000047683716,2001-10-23,1.600000023841858,0.48000001907348633,9
32,down,2001-10-23,1.600000023841858,2001-10-30,1.2699999809265137,0.33000004291534424,3
33,up,2001-10-30,1.2699999809265137,2001-11-27,1.9600000381469729,0.6900000572204592,12
34,down,2001-11-27,1.9600000381469729,2001-12-04,1.5399999618530271,0.42000007629394576,3
35,up,2001-12-04,1.5399999618530271,2001-12-10,2.650000095367432,1.110000133514405,4
36,down,2001-12-10,2.650000095367432,2001-12-14,1.850000023841858,0.8000000715255742,3
37,up,2001-12-14,1.850000023841858,2001-12-24,2.3299999237060547,0.4799998998641968,5
38,down,2001-12-24,2.3299999237060547,2001-12-31,1.940000057220459,0.3899998664855957,4
39,up,2001-12-31,1.940000057220459,2002-01-10,4.130000114440918,2.190000057220459,4
40,down,2002-01-10,4.130000114440918,2002-02-08,2.0,2.130000114440918,12
41,up,2002-02-08,2.0,2002-03-08,3.440000057220459,1.440000057220459,12
42,down,2002-03-08,3.440000057220459,2002-03-13,2.9100000858306885,0.5299999713897705,3
43,up,2002-03-13,2.9100000858306885,2002-04-24,6.269999980926514,3.359999895095825,17
44,down,2002-04-24,6.269999980926514,2002-05-10,2.990000009536743,3.2799999713897705,9
45,up,2002-05-10,2.990000009536743,2002-05-21,3.5799999237060547,0.5899999141693115,4
46,down,2002-05-21,3.5799999237060547,2002-06-24,1.5800000429153442,1.9999998807907104,16
47,up,2002-06-24,1.5800000429153442,2002-07-18,2.900000095367432,1.3200000524520878,13
48,down,2002-07-18,2.900000095367432,2002-08-01,1.6699999570846558,1.2300001382827763,4
49,up,2002-08-01,1.6699999570846558,2002-08-21,2.299999952316284,0.6299999952316284,8
50,down,2002-08-21,2.299999952316284,2002-10-08,0.8899999856948853,1.409999966621399,19
51,up,2002-10-08,0.8899999856948853,2002-11-25,2.6700000762939453,1.78000009059906,23
52,down,2002-11-25,2.6700000762939453,2002-12-18,1.309999942779541,1.3600001335144043,8
53,up,2002-12-18,1.309999942779541,2003-01-10,1.9700000286102293,0.6600000858306883,8
54,down,2003-01-10,1.9700000286102293,2003-01-28,1.2000000476837158,0.7699999809265134,9
55,up,2003-01-28,1.2000000476837158,2003-02-06,1.3600000143051147,0.15999996662139893,5
56,down,2003-02-06,1.3600000143051147,2003-02-14,1.100000023841858,0.25999999046325684,3
57,up,2003-02-14,1.100000023841858,2003-02-28,1.4900000095367432,0.38999998569488525,4
58,down,2003-02-28,1.4900000095367432,2003-03-12,1.190000057220459,0.2999999523162842,3
59,up,2003-03-12,1.190000057220459,2003-03-25,1.4900000095367432,0.2999999523162842,9
60,down,2003-03-25,1.4900000095367432,2003-04-10,0.9900000095367432,0.5,5
61,up,2003-04-10,0.9900000095367432,2003-05-20,2.4600000381469727,1.4700000286102295,16
62,down,2003-05-20,2.4600000381469727,2003-05-23,1.919999957084656,0.5400000810623167,3
63,up,2003-05-23,1.919999957084656,2003-06-02,2.950000047683716,1.0300000905990598,5
64,down,2003-06-02,2.950000047683716,2003-06-17,2.0899999141693115,0.8600001335144043,5
65,up,2003-06-17,2.0899999141693115,2003-06-30,2.759999990463257,0.6700000762939453,6
66,down,2003-06-30,2.759999990463257,2003-07-08,2.569999933242798,0.19000005722045898,3
67,up,2003-07-08,2.569999933242798,2003-07-25,3.5999999046325684,1.0299999713897705,8
68,down,2003-07-25,3.5999999046325684,2003-08-01,2.400000095367432,1.1999998092651363,3
69,up,2003-08-01,2.400000095367432,2003-09-09,6.389999866485596,3.9899997711181636,20
70,down,2003-09-09,6.389999866485596,2003-09-18,4.25,2.1399998664855957,6
71,up,2003-09-18,4.25,2003-09-24,4.670000076293945,0.4200000762939453,3
72,down,2003-09-24,4.670000076293945,2003-10-08,4.0,0.6700000762939453,6
73,up,2003-10-08,4.0,2003-10-15,4.679999828338623,0.679999828338623,3
