BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1972-06-14,13.375,1972-07-11,14.125,0.75,11
2,down,1972-07-11,14.125,1972-07-20,13.1875,0.9375,6
3,up,1972-07-20,13.1875,1972-08-24,15.1875,2.0,8
4,down,1972-08-24,15.1875,1972-09-19,14.0625,1.125,9
5,up,1972-09-19,14.0625,1972-11-01,16.125,2.0625,11
6,down,1972-11-01,16.125,1972-11-13,15.125,1.0,4
7,up,1972-11-13,15.125,1972-11-27,16.3125,1.1875,5
8,down,1972-11-27,16.3125,1972-12-06,15.9375,0.375,3
9,up,1972-12-06,15.9375,1972-12-13,16.6875,0.75,5
10,down,1972-12-13,16.6875,1973-01-31,14.625,2.0625,17
11,up,1973-01-31,14.625,1973-02-13,14.9375,0.3125,4
12,down,1973-02-13,14.9375,1973-03-26,13.3125,1.625,14
13,up,1973-03-26,13.3125,1973-04-16,14.1875,0.875,9
14,down,1973-04-16,14.1875,1973-04-30,13.75,0.4375,4
15,up,1973-04-30,13.75,1973-05-09,14.4375,0.6875,5
16,down,1973-05-09,14.4375,1973-05-21,13.9375,0.5,5
17,up,1973-05-21,13.9375,1973-06-14,14.9375,1.0,10
18,down,1973-06-14,14.9375,1973-06-26,13.5625,1.375,5
19,up,1973-06-26,13.5625,1973-07-12,14.1875,0.625,7
20,down,1973-07-12,14.1875,1973-07-19,13.6875,0.5,4
21,up,1973-07-19,13.6875,1973-07-25,13.9375,0.25,3
22,down,1973-07-25,13.9375,1973-08-16,12.3125,1.625,9
23,up,1973-08-16,12.3125,1973-09-07,13.75,1.4375,10
24,down,1973-09-07,13.75,1973-09-18,13.25,0.5,4
25,up,1973-09-18,13.25,1973-09-28,13.9375,0.6875,4
26,down,1973-09-28,13.9375,1973-12-06,10.75,3.1875,27
27,up,1973-12-06,10.75,1973-12-13,12.0,1.25,4
28,down,1973-12-13,12.0,1973-12-24,11.0625,0.9375,4
29,up,1973-12-24,11.0625,1974-01-03,12.0625,1.0,4
30,down,1974-01-03,12.0625,1974-01-15,11.1875,0.875,3
31,up,1974-01-15,11.1875,1974-01-31,12.4375,1.25,6
32,down,1974-01-31,12.4375,1974-02-14,11.625,0.8125,4
33,up,1974-02-14,11.625,1974-03-15,12.375,0.75,9
34,down,1974-03-15,12.375,1974-04-08,11.3125,1.0625,10
35,up,1974-04-08,11.3125,1974-04-17,11.6875,0.375,4
36,down,1974-04-17,11.6875,1974-04-30,10.5,1.1875,8
37,up,1974-04-30,10.5,1974-05-08,11.625,1.125,5
38,down,1974-05-08,11.625,1974-05-23,10.5625,1.0625,7
39,up,1974-05-23,10.5625,1974-06-11,11.625,1.0625,7
40,down,1974-06-11,11.625,1974-06-24,10.0,1.625,5
41,up,1974-06-24,10.0,1974-07-25,11.6875,1.6875,13
42,down,1974-07-25,11.6875,1974-08-30,9.1875,2.5,15
43,up,1974-08-30,9.1875,1974-09-06,9.625,0.4375,3
44,down,1974-09-06,9.625,1974-09-16,8.6875,0.9375,4
45,up,1974-09-16,8.6875,1974-09-23,9.375,0.6875,5
46,down,1974-09-23,9.375,1974-10-04,8.5625,0.8125,5
47,up,1974-10-04,8.5625,1974-11-11,10.4375,1.875,15
48,down,1974-11-11,10.4375,1974-11-21,9.375,1.0625,8
49,up,1974-11-21,9.375,1975-01-07,11.125,1.75,13
50,down,1975-01-07,11.125,1975-01-24,10.25,0.875,9
51,up,1975-01-24,10.25,1975-02-21,11.75,1.5,6
52,down,1975-02-21,11.75,1975-03-25,9.625,2.125,15
53,up,1975-03-25,9.625,1975-04-10,10.0,0.375,6
54,down,1975-04-10,10.0,1975-05-08,9.0625,0.9375,6
55,up,1975-05-08,9.0625,1975-06-25,10.9375,1.875,20
56,down,1975-06-25,10.9375,1975-07-09,10.1875,0.75,5
57,up,1975-07-09,10.1875,1975-07-15,11.0,0.8125,3
58,down,1975-07-15,11.0,1975-08-15,9.8125,1.1875,8
59,up,1975-08-15,9.8125,1975-09-02,10.625,0.8125,7
60,down,1975-09-02,10.625,1975-09-23,9.6875,0.9375,6
61,up,1975-09-23,9.6875,1975-10-22,10.9375,1.25,11
62,down,1975-10-22,10.9375,1975-12-22,10.0,0.9375,19
63,up,1975-12-22,10.0,1976-01-29,11.5625,1.5625,14
64,down,1976-01-29,11.5625,1976-03-02,10.0625,1.5,12
65,up,1976-03-02,10.0625,1976-03-12,11.0625,1.0,5
66,down,1976-03-12,11.0625,1976-03-26,10.0,1.0625,5
67,up,1976-03-26,10.0,1976-04-06,10.875,0.875,4
68,down,1976-04-06,10.875,1976-05-27,10.0,0.875,12
69,up,1976-05-27,10.0,1976-06-09,10.625,0.625,4
70,down,1976-06-09,10.625,1976-06-25,10.0,0.625,5
71,up,1976-06-25,10.0,1976-08-19,11.25,1.25,11
72,down,1976-08-19,11.25,1976-08-31,10.5625,0.6875,3
73,up,1976-08-31,10.5625,1976-09-20,11.6875,1.125,8
74,down,1976-09-20,11.6875,1976-10-29,10.375,1.3125,9
75,up,1976-10-29,10.375,1976-12-10,12.0625,1.6875,13
76,down,1976-12-10,12.0625,1976-12-20,11.3125,0.75,5
77,up,1976-12-20,11.3125,1977-01-27,12.1875,0.875,12
78,down,1977-01-27,12.1875,1977-03-24,11.1875,1.0,10
79,up,1977-03-24,11.1875,1977-05-06,12.125,0.9375,11
80,down,1977-05-06,12.125,1977-05-31,11.75,0.375,5
81,up,1977-05-31,11.75,1977-06-10,12.25,0.5,5
82,down,1977-06-10,12.25,1977-07-11,11.875,0.375,4
83,up,1977-07-11,11.875,1977-07-26,12.75,0.875,4
84,down,1977-07-26,12.75,1977-08-22,12.0,0.75,4
