BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,2000-02-09,9.75,2000-03-03,11.9375,2.1875,7
2,down,2000-03-03,11.9375,2000-03-15,9.25,2.6875,7
3,up,2000-03-15,9.25,2000-05-17,12.75,3.5,21
4,down,2000-05-17,12.75,2000-05-25,11.25,1.5,4
5,up,2000-05-25,11.25,2000-06-15,11.8125,0.5625,6
6,down,2000-06-15,11.8125,2000-06-26,10.25,1.5625,4
7,up,2000-06-26,10.25,2000-06-30,12.5,2.25,3
8,down,2000-06-30,12.5,2000-08-04,10.625,1.875,13
9,up,2000-08-04,10.625,2000-08-17,11.75,1.125,4
10,down,2000-08-17,11.75,2000-08-24,11.1875,0.5625,4
11,up,2000-08-24,11.1875,2000-09-07,13.1875,2.0,5
12,down,2000-09-07,13.1875,2000-09-27,10.25,2.9375,8
13,up,2000-09-27,10.25,2000-12-12,16.375,6.125,29
14,down,2000-12-12,16.375,2000-12-15,12.75,3.625,3
15,up,2000-12-15,12.75,2000-12-28,16.8125,4.0625,5
16,down,2000-12-28,16.8125,2001-01-22,12.875,3.9375,10
17,up,2001-01-22,12.875,2001-02-02,14.489999771118164,1.614999771118164,3
18,down,2001-02-02,14.489999771118164,2001-02-12,13.81999969482422,0.6700000762939435,6
19,up,2001-02-12,13.81999969482422,2001-02-15,14.25,0.4300003051757795,3
20,down,2001-02-15,14.25,2001-02-23,13.550000190734863,0.6999998092651367,5
21,up,2001-02-23,13.550000190734863,2001-03-06,14.989999771118164,1.4399995803833008,3
22,down,2001-03-06,14.989999771118164,2001-03-23,12.649999618530272,2.3400001525878924,8
23,up,2001-03-23,12.649999618530272,2001-04-17,14.869999885559082,2.2200002670288104,11
24,down,2001-04-17,14.869999885559082,2001-04-27,13.550000190734863,1.3199996948242188,5
25,up,2001-04-27,13.550000190734863,2001-05-02,14.350000381469728,0.8000001907348651,3
26,down,2001-05-02,14.350000381469728,2001-05-09,13.850000381469728,0.5,3
27,up,2001-05-09,13.850000381469728,2001-05-21,16.979999542236328,3.1299991607666,6
28,down,2001-05-21,16.979999542236328,2001-06-18,13.75,3.229999542236328,14
29,up,2001-06-18,13.75,2001-06-21,16.149999618530273,2.3999996185302734,3
30,down,2001-06-21,16.149999618530273,2001-06-28,14.600000381469728,1.549999237060545,4
31,up,2001-06-28,14.600000381469728,2001-07-26,20.700000762939453,6.100000381469725,17
32,down,2001-07-26,20.700000762939453,2001-08-09,19.14999961853028,1.5500011444091726,6
33,up,2001-08-09,19.14999961853028,2001-08-15,20.56999969482422,1.4200000762939382,3
34,down,2001-08-15,20.56999969482422,2001-10-03,14.229999542236328,6.340000152587891,25
35,up,2001-10-03,14.229999542236328,2001-10-12,18.010000228881836,3.780000686645508,6
36,down,2001-10-12,18.010000228881836,2001-11-12,16.299999237060547,1.710000991821289,15
37,up,2001-11-12,16.299999237060547,2001-11-27,18.549999237060547,2.25,7
38,down,2001-11-27,18.549999237060547,2001-12-14,16.850000381469727,1.6999988555908203,10
39,up,2001-12-14,16.850000381469727,2001-12-28,18.63999938964844,1.7899990081787145,7
40,down,2001-12-28,18.63999938964844,2002-01-07,18.18000030517578,0.4599990844726598,5
41,up,2002-01-07,18.18000030517578,2002-01-11,19.32999992370605,1.1499996185302699,3
42,down,2002-01-11,19.32999992370605,2002-01-22,16.450000762939453,2.879999160766598,6
43,up,2002-01-22,16.450000762939453,2002-02-01,18.34000015258789,1.8899993896484375,6
44,down,2002-02-01,18.34000015258789,2002-02-07,16.950000762939453,1.3899993896484375,3
45,up,2002-02-07,16.950000762939453,2002-03-05,19.799999237060547,2.8499984741210938,10
46,down,2002-03-05,19.799999237060547,2002-03-14,18.709999084472656,1.0900001525878906,4
47,up,2002-03-14,18.709999084472656,2002-03-19,19.850000381469727,1.1400012969970703,3
48,down,2002-03-19,19.850000381469727,2002-03-22,19.209999084472656,0.6400012969970703,3
49,up,2002-03-22,19.209999084472656,2002-04-05,20.200000762939453,0.9900016784667969,6
50,down,2002-04-05,20.200000762939453,2002-04-12,19.34000015258789,0.8600006103515625,3
51,up,2002-04-12,19.34000015258789,2002-04-19,20.0,0.6599998474121094,4
52,down,2002-04-19,20.0,2002-04-25,18.89999961853028,1.1000003814697195,3
53,up,2002-04-25,18.89999961853028,2002-05-16,21.100000381469727,2.200000762939446,12
54,down,2002-05-16,21.100000381469727,2002-06-04,19.01000022888184,2.090000152587887,10
55,up,2002-06-04,19.01000022888184,2002-06-11,19.950000762939453,0.9400005340576136,3
56,down,2002-06-11,19.950000762939453,2002-06-14,18.809999465942383,1.1400012969970703,3
57,up,2002-06-14,18.809999465942383,2002-06-28,20.0,1.1900005340576172,7
58,down,2002-06-28,20.0,2002-07-24,16.270000457763672,3.729999542236328,13
59,up,2002-07-24,16.270000457763672,2002-08-01,19.299999237060547,3.029998779296875,4
60,down,2002-08-01,19.299999237060547,2002-08-14,18.0,1.2999992370605469,7
61,up,2002-08-14,18.0,2002-08-22,19.479999542236328,1.4799995422363281,3
62,down,2002-08-22,19.479999542236328,2002-09-24,16.729999542236328,2.75,15
63,up,2002-09-24,16.729999542236328,2002-10-01,18.1299991607666,1.3999996185302734,4
64,down,2002-10-01,18.1299991607666,2002-10-10,16.690000534057617,1.4399986267089844,5
65,up,2002-10-10,16.690000534057617,2002-10-15,17.75,1.0599994659423828,3
66,down,2002-10-15,17.75,2002-10-18,16.700000762939453,1.0499992370605469,3
67,up,2002-10-18,16.700000762939453,2002-10-28,17.770000457763672,1.0699996948242188,3
68,down,2002-10-28,17.770000457763672,2002-11-12,16.200000762939453,1.5699996948242188,5
69,up,2002-11-12,16.200000762939453,2002-11-15,17.739999771118164,1.539999008178711,3
70,down,2002-11-15,17.739999771118164,2002-11-20,16.84000015258789,0.8999996185302734,3
71,up,2002-11-20,16.84000015258789,2002-12-03,18.0,1.1599998474121094,6
72,down,2002-12-03,18.0,2002-12-11,17.239999771118164,0.7600002288818359,3
73,up,2002-12-11,17.239999771118164,2002-12-20,18.600000381469727,1.3600006103515625,6
74,down,2002-12-20,18.600000381469727,2002-12-26,17.309999465942383,1.2900009155273438,3
75,up,2002-12-26,17.309999465942383,2003-01-13,19.229999542236328,1.9200000762939453,10
76,down,2003-01-13,19.229999542236328,2003-01-31,16.56999969482422,2.6599998474121094,13
77,up,2003-01-31,16.56999969482422,2003-02-05,17.790000915527344,1.220001220703125,3
78,down,2003-02-05,17.790000915527344,2003-02-21,16.280000686645508,1.510000228881836,10
79,up,2003-02-21,16.280000686645508,2003-03-03,17.479999542236328,1.1999988555908203,3
80,down,2003-03-03,17.479999542236328,2003-03-13,16.34000015258789,1.1399993896484375,5
81,up,2003-03-13,16.34000015258789,2003-03-21,18.440000534057617,2.1000003814697266,6
82,down,2003-03-21,18.440000534057617,2003-04-01,17.540000915527344,0.8999996185302734,4
83,up,2003-04-01,17.540000915527344,2003-04-15,18.63999938964844,1.0999984741210973,7
84,down,2003-04-15,18.63999938964844,2003-04-25,18.25,0.38999938964844105,5
85,up,2003-04-25,18.25,2003-05-05,18.850000381469727,0.6000003814697266,5
86,down,2003-05-05,18.850000381469727,2003-06-11,17.229999542236328,1.6200008392333984,17
87,up,2003-06-11,17.229999542236328,2003-06-27,19.200000762939453,1.970001220703125,9
88,down,2003-06-27,19.200000762939453,2003-07-10,17.84000015258789,1.3600006103515625,7
89,up,2003-07-10,17.84000015258789,2003-07-30,19.209999084472656,1.3699989318847656,10
90,down,2003-07-30,19.209999084472656,2003-08-06,18.700000762939453,0.5099983215332031,4
91,up,2003-08-06,18.700000762939453,2003-08-21,20.5,1.7999992370605469,7
92,down,2003-08-21,20.5,2003-08-26,19.57999992370605,0.9200000762939489,3
93,up,2003-08-26,19.57999992370605,2003-09-10,20.799999237060547,1.2199993133544957,5
94,down,2003-09-10,20.799999237060547,2003-09-26,19.11000061035156,1.689998626708988,9
95,up,2003-09-26,19.11000061035156,2003-10-16,20.75,1.639999389648441,13
96,down,2003-10-16,20.75,2003-10-23,18.850000381469727,1.8999996185302734,5
97,up,2003-10-23,18.850000381469727,2003-11-14,20.350000381469727,1.5,11
98,down,2003-11-14,20.350000381469727,2003-11-21,19.25,1.1000003814697266,5
99,up,2003-11-21,19.25,2003-12-10,21.84000015258789,2.5900001525878906,8
100,down,2003-12-10,21.84000015258789,2003-12-17,21.15999984741211,0.6800003051757812,3
101,up,2003-12-17,21.15999984741211,2004-01-21,23.239999771118164,2.0799999237060547,15
102,down,2004-01-21,23.239999771118164,2004-01-30,21.100000381469727,2.1399993896484375,5
103,up,2004-01-30,21.100000381469727,2004-03-01,23.96999931335449,2.869998931884762,14
104,down,2004-03-01,23.96999931335449,2004-03-12,21.61000061035156,2.3599987030029297,7
105,up,2004-03-12,21.61000061035156,2004-03-19,23.1299991607666,1.5199985504150426,4
106,down,2004-03-19,23.1299991607666,2004-03-24,21.6299991607666,1.5,3
107,up,2004-03-24,21.6299991607666,2004-04-19,25.209999084472656,3.5799999237060547,12
108,down,2004-04-19,25.209999084472656,2004-05-10,20.989999771118164,4.219999313354492,10
109,up,2004-05-10,20.989999771118164,2004-06-10,24.0,3.010000228881836,16
110,down,2004-06-10,24.0,2004-06-16,23.030000686645508,0.9699993133544922,3
111,up,2004-06-16,23.030000686645508,2004-06-30,24.0,0.9699993133544922,6
112,down,2004-06-30,24.0,2004-07-12,23.51000022888184,0.4899997711181605,5
113,up,2004-07-12,23.51000022888184,2004-07-21,24.790000915527344,1.2800006866455043,4
114,down,2004-07-21,24.790000915527344,2004-08-12,22.06999969482422,2.720001220703125,12
115,up,2004-08-12,22.06999969482422,2004-08-26,23.75,1.6800003051757812,5
116,down,2004-08-26,23.75,2004-08-31,22.64999961853028,1.1000003814697195,3
117,up,2004-08-31,22.64999961853028,2004-09-08,24.299999237060547,1.6499996185302663,4
118,down,2004-09-08,24.299999237060547,2004-09-27,22.770000457763672,1.529998779296875,10
119,up,2004-09-27,22.770000457763672,2004-10-04,24.61000061035156,1.840000152587887,5
120,down,2004-10-04,24.61000061035156,2004-10-21,21.299999237060547,3.310001373291012,9
121,up,2004-10-21,21.299999237060547,2004-12-03,23.540000915527344,2.240001678466797,21
122,down,2004-12-03,23.540000915527344,2004-12-10,22.18000030517578,1.3600006103515625,3
123,up,2004-12-10,22.18000030517578,2004-12-31,23.700000762939453,1.5200004577636719,13
124,down,2004-12-31,23.700000762939453,2005-01-07,22.25,1.4500007629394531,5
125,up,2005-01-07,22.25,2005-01-20,23.64999961853028,1.3999996185302805,4
126,down,2005-01-20,23.64999961853028,2005-01-26,21.8700008392334,1.779998779296882,3
127,up,2005-01-26,21.8700008392334,2005-03-07,25.6299991607666,3.759998321533203,19
128,down,2005-03-07,25.6299991607666,2005-03-18,24.38999938964844,1.2399997711181605,5
129,up,2005-03-18,24.38999938964844,2005-03-24,24.93000030517578,0.5400009155273402,4
130,down,2005-03-24,24.93000030517578,2005-04-04,24.1200008392334,0.8099994659423828,5
131,up,2005-04-04,24.1200008392334,2005-04-07,24.90999984741211,0.7899990081787109,3
132,down,2005-04-07,24.90999984741211,2005-05-16,21.0,3.9099998474121094,18
133,up,2005-05-16,21.0,2005-06-03,22.299999237060547,1.2999992370605469,11
134,down,2005-06-03,22.299999237060547,2005-06-13,20.71999931335449,1.5799999237060582,5
135,up,2005-06-13,20.71999931335449,2005-06-22,21.68000030517578,0.9600009918212926,4
136,down,2005-06-22,21.68000030517578,2005-07-07,20.040000915527344,1.6399993896484375,9
137,up,2005-07-07,20.040000915527344,2005-07-12,21.100000381469727,1.0599994659423828,3
138,down,2005-07-12,21.100000381469727,2005-07-18,20.299999237060547,0.8000011444091797,3
139,up,2005-07-18,20.299999237060547,2005-07-27,21.489999771118164,1.1900005340576172,6
140,down,2005-07-27,21.489999771118164,2005-08-01,21.01000022888184,0.4799995422363246,3
141,up,2005-08-01,21.01000022888184,2005-08-11,22.43000030517578,1.4200000762939418,5
142,down,2005-08-11,22.43000030517578,2005-08-29,20.36000061035156,2.0699996948242223,10
143,up,2005-08-29,20.36000061035156,2005-09-08,21.61000061035156,1.25,5
144,down,2005-09-08,21.61000061035156,2005-09-27,19.1299991607666,2.4800014495849574,11
145,up,2005-09-27,19.1299991607666,2005-09-30,19.600000381469727,0.470001220703125,3
146,down,2005-09-30,19.600000381469727,2005-10-07,18.239999771118164,1.3600006103515625,4
147,up,2005-10-07,18.239999771118164,2005-12-08,24.170000076293945,5.930000305175781,35
148,down,2005-12-08,24.170000076293945,2005-12-16,21.709999084472656,2.460000991821289,4
149,up,2005-12-16,21.709999084472656,2006-01-11,23.6299991607666,1.9200000762939453,10
150,down,2006-01-11,23.6299991607666,2006-01-20,22.479999542236328,1.1499996185302734,6
151,up,2006-01-20,22.479999542236328,2006-01-27,23.979999542236328,1.5,3
152,down,2006-01-27,23.979999542236328,2006-02-08,22.51000022888184,1.4699993133544886,4
153,up,2006-02-08,22.51000022888184,2006-02-17,23.989999771118164,1.4799995422363246,3
154,down,2006-02-17,23.989999771118164,2006-02-24,22.700000762939453,1.289999008178711,4
155,up,2006-02-24,22.700000762939453,2006-03-02,23.549999237060547,0.8499984741210938,4
156,down,2006-03-02,23.549999237060547,2006-03-08,22.239999771118164,1.3099994659423828,4
157,up,2006-03-08,22.239999771118164,2006-03-17,23.32999992370605,1.090000152587887,6
158,down,2006-03-17,23.32999992370605,2006-03-31,22.15999984741211,1.1700000762939418,8
159,up,2006-03-31,22.15999984741211,2006-04-07,23.100000381469727,0.9400005340576172,3
160,down,2006-04-07,23.100000381469727,2006-04-13,22.020000457763672,1.0799999237060547,3
161,up,2006-04-13,22.020000457763672,2006-04-24,23.270000457763672,1.25,5
162,down,2006-04-24,23.270000457763672,2006-05-24,20.61000061035156,2.659999847412113,15
163,up,2006-05-24,20.61000061035156,2006-06-02,22.14999961853028,1.5399990081787216,5
164,down,2006-06-02,22.14999961853028,2006-06-14,20.190000534057617,1.9599990844726634,7
165,up,2006-06-14,20.190000534057617,2006-07-06,22.479999542236328,2.289999008178711,10
166,down,2006-07-06,22.479999542236328,2006-07-14,21.0,1.4799995422363281,5
167,up,2006-07-14,21.0,2006-07-20,23.82999992370605,2.829999923706051,3
168,down,2006-07-20,23.82999992370605,2006-08-01,22.36000061035156,1.4699993133544922,6
169,up,2006-08-01,22.36000061035156,2006-08-08,22.8700008392334,0.5100002288818395,3
170,down,2006-08-08,22.8700008392334,2006-08-11,22.100000381469727,0.7700004577636719,3
171,up,2006-08-11,22.100000381469727,2006-08-17,23.18000030517578,1.0799999237060547,4
172,down,2006-08-17,23.18000030517578,2006-08-28,22.309999465942383,0.8700008392333984,5
173,up,2006-08-28,22.309999465942383,2006-09-05,23.43000030517578,1.1200008392333984,4
174,down,2006-09-05,23.43000030517578,2006-09-19,22.520000457763672,0.9099998474121094,8
175,up,2006-09-19,22.520000457763672,2006-09-28,23.670000076293945,1.1499996185302734,5
176,down,2006-09-28,23.670000076293945,2006-10-04,22.979999542236328,0.6900005340576172,3
177,up,2006-10-04,22.979999542236328,2006-10-10,24.229999542236328,1.25,3
178,down,2006-10-10,24.229999542236328,2006-10-25,21.770000457763672,2.4599990844726562,5
179,up,2006-10-25,21.770000457763672,2006-11-01,23.200000762939453,1.4300003051757812,5
180,down,2006-11-01,23.200000762939453,2006-12-22,22.0,1.2000007629394531,20
181,up,2006-12-22,22.0,2007-01-04,22.81999969482422,0.8199996948242188,5
182,down,2007-01-04,22.81999969482422,2007-01-22,22.040000915527344,0.779998779296875,7
183,up,2007-01-22,22.040000915527344,2007-02-22,25.82999992370605,3.7899990081787074,16
184,down,2007-02-22,25.82999992370605,2007-03-06,23.68000030517578,2.14999961853027,5
185,up,2007-03-06,23.68000030517578,2007-03-09,25.57999992370605,1.8999996185302699,3
186,down,2007-03-09,25.57999992370605,2007-03-16,23.780000686645508,1.7999992370605433,3
187,up,2007-03-16,23.780000686645508,2007-03-26,25.25,1.4699993133544922,5
188,down,2007-03-26,25.25,2007-04-05,24.790000915527344,0.45999908447265625,6
189,up,2007-04-05,24.790000915527344,2007-04-17,25.489999771118164,0.6999988555908203,4
190,down,2007-04-17,25.489999771118164,2007-04-24,24.459999084472656,1.0300006866455078,3
191,up,2007-04-24,24.459999084472656,2007-05-07,26.39999961853028,1.9400005340576243,8
192,down,2007-05-07,26.39999961853028,2007-05-21,25.09000015258789,1.30999946594239,7
193,up,2007-05-21,25.09000015258789,2007-06-06,26.549999237060547,1.4599990844726562,8
194,down,2007-06-06,26.549999237060547,2007-06-13,25.06999969482422,1.4799995422363281,5
195,up,2007-06-13,25.06999969482422,2007-06-18,26.32999992370605,1.2600002288818324,3
196,down,2007-06-18,26.32999992370605,2007-06-28,24.950000762939453,1.379999160766598,5
197,up,2007-06-28,24.950000762939453,2007-07-19,31.780000686645508,6.829999923706055,10
198,down,2007-07-19,31.780000686645508,2007-08-10,21.8700008392334,9.90999984741211,12
199,up,2007-08-10,21.8700008392334,2007-10-01,30.280000686645508,8.40999984741211,24
200,down,2007-10-01,30.280000686645508,2007-10-12,29.200000762939453,1.0799999237060547,6
201,up,2007-10-12,29.200000762939453,2007-10-18,31.600000381469727,2.3999996185302734,3
202,down,2007-10-18,31.600000381469727,2007-10-26,29.540000915527344,2.059999465942383,4
203,up,2007-10-26,29.540000915527344,2007-10-31,31.8799991607666,2.339998245239258,3
204,down,2007-10-31,31.8799991607666,2007-11-08,29.07999992370605,2.7999992370605504,5
205,up,2007-11-08,29.07999992370605,2007-11-15,31.049999237060547,1.9699993133544957,3
