BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1980-03-25,3.3763248920440674,1980-05-29,4.773425102233887,1.3971002101898193,24
2,down,1980-05-29,4.773425102233887,1980-06-04,4.395043849945068,0.37838125228881836,4
3,up,1980-06-04,4.395043849945068,1980-06-19,4.715212821960449,0.32016897201538086,5
4,down,1980-06-19,4.715212821960449,1980-07-07,4.336831092834473,0.37838172912597656,5
5,up,1980-07-07,4.336831092834473,1980-07-30,4.627893924713135,0.2910628318786621,6
6,down,1980-07-30,4.627893924713135,1980-08-15,4.336831092834473,0.2910628318786621,5
7,up,1980-08-15,4.336831092834473,1980-09-03,4.569681167602539,0.2328500747680664,4
8,down,1980-09-03,4.569681167602539,1980-10-06,3.783812999725342,0.7858681678771973,15
9,up,1980-10-06,3.783812999725342,1980-11-05,4.162193775177002,0.37838077545166016,6
10,down,1980-11-05,4.162193775177002,1980-12-16,3.463644027709961,0.698549747467041,12
11,up,1980-12-16,3.463644027709961,1980-12-23,3.929343938827514,0.46569991111755327,4
12,down,1980-12-23,3.929343938827514,1981-01-02,3.580069065093994,0.34927487373352006,4
13,up,1981-01-02,3.580069065093994,1981-01-12,3.900238037109375,0.32016897201538086,4
14,down,1981-01-12,3.900238037109375,1981-01-27,3.725600004196167,0.174638032913208,4
15,up,1981-01-27,3.725600004196167,1981-03-02,4.191299915313721,0.4656999111175537,9
16,down,1981-03-02,4.191299915313721,1981-03-11,3.754705905914306,0.4365940093994145,3
17,up,1981-03-11,3.754705905914306,1981-03-20,4.074874877929688,0.3201689720153822,3
18,down,1981-03-20,4.074874877929688,1981-04-02,3.725600004196167,0.3492748737335214,5
19,up,1981-04-02,3.725600004196167,1981-04-29,3.987555980682373,0.26195597648620605,7
20,down,1981-04-29,3.987555980682373,1981-05-13,3.8420250415802,0.14553093910217285,4
21,up,1981-05-13,3.8420250415802,1981-06-03,4.045769214630127,0.20374417304992676,8
22,down,1981-06-03,4.045769214630127,1981-06-09,3.783812999725342,0.26195621490478516,3
23,up,1981-06-09,3.783812999725342,1981-06-18,4.249513149261475,0.4657001495361328,4
24,down,1981-06-18,4.249513149261475,1981-07-09,3.725600004196167,0.5239131450653076,4
