BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1985-08-19,0.5195310115814209,1985-08-22,0.5429689884185791,0.023437976837158203,3
2,down,1985-08-22,0.5429689884185791,1985-09-17,0.40625,0.1367189884185791,10
3,up,1985-09-17,0.40625,1985-11-14,0.5664060115814209,0.1601560115814209,21
4,down,1985-11-14,0.5664060115814209,1985-11-26,0.546875,0.0195310115814209,5
5,up,1985-11-26,0.546875,1985-12-13,0.6171879768371582,0.0703129768371582,5
6,down,1985-12-13,0.6171879768371582,1985-12-24,0.53125,0.0859379768371582,5
7,up,1985-12-24,0.53125,1986-01-06,0.5703129768371582,0.0390629768371582,3
8,down,1986-01-06,0.5703129768371582,1986-01-24,0.3867189884185791,0.1835939884185791,7
9,up,1986-01-24,0.3867189884185791,1986-02-07,0.4492189884185791,0.0625,3
10,down,1986-02-07,0.4492189884185791,1986-02-25,0.3515630066394806,0.09765598177909851,7
11,up,1986-02-25,0.3515630066394806,1986-03-05,0.4296880066394806,0.078125,5
12,down,1986-03-05,0.4296880066394806,1986-03-11,0.3867189884185791,0.04296901822090149,4
13,up,1986-03-11,0.3867189884185791,1986-04-28,0.4414060115814209,0.0546870231628418,12
14,down,1986-04-28,0.4414060115814209,1986-05-09,0.375,0.0664060115814209,4
15,up,1986-05-09,0.375,1986-06-06,0.4921880066394806,0.11718800663948059,10
16,down,1986-06-06,0.4921880066394806,1986-06-18,0.4570310115814209,0.03515699505805969,5
17,up,1986-06-18,0.4570310115814209,1986-06-27,0.5117189884185791,0.0546879768371582,4
18,down,1986-06-27,0.5117189884185791,1986-07-30,0.3125,0.1992189884185791,12
19,up,1986-07-30,0.3125,1986-08-25,0.3398439884185791,0.0273439884185791,3
20,down,1986-08-25,0.3398439884185791,1986-09-25,0.2304690033197403,0.1093749850988388,9
21,up,1986-09-25,0.2304690033197403,1986-10-01,0.3007810115814209,0.0703120082616806,3
22,down,1986-10-01,0.3007810115814209,1986-11-28,0.1328130066394806,0.1679680049419403,12
23,up,1986-11-28,0.1328130066394806,1987-01-12,0.1835940033197403,0.050780996680259705,11
24,down,1987-01-12,0.1835940033197403,1987-02-02,0.15625,0.027344003319740295,5
25,up,1987-02-02,0.15625,1987-02-09,0.2382809966802597,0.0820309966802597,5
26,down,1987-02-09,0.2382809966802597,1987-02-20,0.1953130066394806,0.042967990040779114,4
27,up,1987-02-20,0.1953130066394806,1987-02-26,0.2734380066394806,0.078125,4
28,down,1987-02-26,0.2734380066394806,1987-04-06,0.1992190033197403,0.0742190033197403,7
29,up,1987-04-06,0.1992190033197403,1987-04-22,0.21875,0.019530996680259705,3
30,down,1987-04-22,0.21875,1987-05-07,0.203125,0.015625,5
31,up,1987-05-07,0.203125,1987-07-17,0.3476560115814209,0.1445310115814209,16
32,down,1987-07-17,0.3476560115814209,1987-07-24,0.28125,0.0664060115814209,4
33,up,1987-07-24,0.28125,1987-08-26,0.3476560115814209,0.0664060115814209,7
34,down,1987-08-26,0.3476560115814209,1987-10-28,0.1132809966802597,0.2343750149011612,15
35,up,1987-10-28,0.1132809966802597,1987-11-17,0.1601559966802597,0.046875,10
36,down,1987-11-17,0.1601559966802597,1987-12-08,0.1132809966802597,0.046875,3
37,up,1987-12-08,0.1132809966802597,1988-01-08,0.1835940033197403,0.07031300663948059,10
38,down,1988-01-08,0.1835940033197403,1988-01-21,0.1601559966802597,0.02343800663948059,4
39,up,1988-01-21,0.1601559966802597,1988-02-04,0.2109380066394806,0.050782009959220886,5
40,down,1988-02-04,0.2109380066394806,1988-03-07,0.171875,0.03906300663948059,6
41,up,1988-03-07,0.171875,1988-03-21,0.1953130066394806,0.02343800663948059,3
42,down,1988-03-21,0.1953130066394806,1988-04-25,0.15625,0.03906300663948059,7
43,up,1988-04-25,0.15625,1988-05-06,0.1914059966802597,0.035155996680259705,5
44,down,1988-05-06,0.1914059966802597,1988-05-25,0.171875,0.019530996680259705,5
45,up,1988-05-25,0.171875,1988-08-08,0.3046880066394806,0.1328130066394806,16
46,down,1988-08-08,0.3046880066394806,1988-08-24,0.2734380066394806,0.03125,4
47,up,1988-08-24,0.2734380066394806,1988-09-21,0.3515630066394806,0.078125,10
48,down,1988-09-21,0.3515630066394806,1988-10-13,0.2929689884185791,0.05859401822090149,7
49,up,1988-10-13,0.2929689884185791,1988-11-04,0.3359380066394806,0.04296901822090149,7
50,down,1988-11-04,0.3359380066394806,1988-11-28,0.2773439884185791,0.05859401822090149,5
51,up,1988-11-28,0.2773439884185791,1988-12-09,0.3515630066394806,0.07421901822090149,7
52,down,1988-12-09,0.3515630066394806,1988-12-21,0.3085939884185791,0.04296901822090149,4
53,up,1988-12-21,0.3085939884185791,1989-04-19,0.4921880066394806,0.1835940182209015,31
54,down,1989-04-19,0.4921880066394806,1989-05-01,0.4804689884185791,0.01171901822090149,3
55,up,1989-05-01,0.4804689884185791,1989-06-05,0.6367189884185791,0.15625,10
56,down,1989-06-05,0.6367189884185791,1989-07-03,0.5,0.1367189884185791,8
57,up,1989-07-03,0.5,1989-08-03,0.6640629768371582,0.1640629768371582,11
58,down,1989-08-03,0.6640629768371582,1989-08-15,0.5820310115814209,0.0820319652557373,3
59,up,1989-08-15,0.5820310115814209,1989-10-13,0.7695310115814209,0.1875,19
60,down,1989-10-13,0.7695310115814209,1989-10-31,0.5820310115814209,0.1875,8
61,up,1989-10-31,0.5820310115814209,1989-11-13,0.640625,0.0585939884185791,6
62,down,1989-11-13,0.640625,1989-11-24,0.4609380066394806,0.1796869933605194,4
63,up,1989-11-24,0.4609380066394806,1989-11-30,0.5078129768371582,0.04687497019767761,3
64,down,1989-11-30,0.5078129768371582,1989-12-20,0.4140630066394806,0.09374997019767761,7
65,up,1989-12-20,0.4140630066394806,1989-12-29,0.4609380066394806,0.046875,4
66,down,1989-12-29,0.4609380066394806,1990-01-16,0.3515630066394806,0.109375,6
67,up,1990-01-16,0.3515630066394806,1990-01-23,0.453125,0.10156199336051941,3
68,down,1990-01-23,0.453125,1990-01-31,0.3710939884185791,0.0820310115814209,4
69,up,1990-01-31,0.3710939884185791,1990-02-05,0.3828130066394806,0.01171901822090149,3
70,down,1990-02-05,0.3828130066394806,1990-02-14,0.3125,0.07031300663948059,4
71,up,1990-02-14,0.3125,1990-03-05,0.3984380066394806,0.08593800663948059,8
72,down,1990-03-05,0.3984380066394806,1990-03-09,0.3710939884185791,0.02734401822090149,3
73,up,1990-03-09,0.3710939884185791,1990-03-29,0.453125,0.0820310115814209,5
74,down,1990-03-29,0.453125,1990-05-11,0.2578130066394806,0.1953119933605194,20
75,up,1990-05-11,0.2578130066394806,1990-05-29,0.3828130066394806,0.125,6
76,down,1990-05-29,0.3828130066394806,1990-06-05,0.3046880066394806,0.078125,4
77,up,1990-06-05,0.3046880066394806,1990-06-19,0.3710939884185791,0.06640598177909851,6
78,down,1990-06-19,0.3710939884185791,1990-06-26,0.3320310115814209,0.0390629768371582,4
79,up,1990-06-26,0.3320310115814209,1990-07-05,0.3710939884185791,0.0390629768371582,3
