BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1982-01-25,11.6875,1982-01-29,13.59375,1.90625,4
2,down,1982-01-29,13.59375,1982-03-04,10.4375,3.15625,15
3,up,1982-03-04,10.4375,1982-04-08,11.875,1.4375,15
4,down,1982-04-08,11.875,1982-04-21,10.34375,1.53125,8
5,up,1982-04-21,10.34375,1982-05-13,12.4375,2.09375,10
6,down,1982-05-13,12.4375,1982-05-20,11.3125,1.125,5
7,up,1982-05-20,11.3125,1982-05-25,11.90625,0.59375,3
8,down,1982-05-25,11.90625,1982-06-09,9.40625,2.5,8
9,up,1982-06-09,9.40625,1982-06-24,10.34375,0.9375,8
10,down,1982-06-24,10.34375,1982-07-06,8.9375,1.40625,4
11,up,1982-07-06,8.9375,1982-07-15,9.46875,0.53125,4
12,down,1982-07-15,9.46875,1982-07-20,8.96875,0.5,3
13,up,1982-07-20,8.96875,1982-07-26,10.0625,1.09375,4
14,down,1982-07-26,10.0625,1982-08-19,7.5,2.5625,16
15,up,1982-08-19,7.5,1982-08-26,9.6875,2.1875,5
16,down,1982-08-26,9.6875,1982-09-02,8.90625,0.78125,4
17,up,1982-09-02,8.90625,1982-09-15,9.78125,0.875,7
18,down,1982-09-15,9.78125,1982-10-06,8.34375,1.4375,10
19,up,1982-10-06,8.34375,1982-10-14,11.5625,3.21875,4
20,down,1982-10-14,11.5625,1982-10-29,9.25,2.3125,7
21,up,1982-10-29,9.25,1982-11-10,11.1875,1.9375,7
22,down,1982-11-10,11.1875,1982-11-16,9.375,1.8125,3
23,up,1982-11-16,9.375,1983-01-07,13.0,3.625,25
24,down,1983-01-07,13.0,1983-02-02,10.3125,2.6875,18
25,up,1983-02-02,10.3125,1983-02-14,11.4375,1.125,5
26,down,1983-02-14,11.4375,1983-03-01,9.78125,1.65625,7
27,up,1983-03-01,9.78125,1983-03-10,11.03125,1.25,6
28,down,1983-03-10,11.03125,1983-03-21,9.5625,1.46875,6
29,up,1983-03-21,9.5625,1983-04-04,10.875,1.3125,5
30,down,1983-04-04,10.875,1983-04-25,10.09375,0.78125,12
31,up,1983-04-25,10.09375,1983-05-25,12.375,2.28125,13
32,down,1983-05-25,12.375,1983-06-08,11.3125,1.0625,3
33,up,1983-06-08,11.3125,1983-06-23,14.34375,3.03125,9
34,down,1983-06-23,14.34375,1983-06-29,13.03125,1.3125,4
35,up,1983-06-29,13.03125,1983-07-07,14.875,1.84375,3
36,down,1983-07-07,14.875,1983-07-18,13.6875,1.1875,6
37,up,1983-07-18,13.6875,1983-07-27,14.84375,1.15625,4
38,down,1983-07-27,14.84375,1983-08-03,13.78125,1.0625,4
39,up,1983-08-03,13.78125,1983-08-17,15.65625,1.875,8
40,down,1983-08-17,15.65625,1983-09-15,13.78125,1.875,15
41,up,1983-09-15,13.78125,1983-09-20,14.46875,0.6875,3
42,down,1983-09-20,14.46875,1983-10-05,12.625,1.84375,10
43,up,1983-10-05,12.625,1983-10-17,13.96875,1.34375,6
44,down,1983-10-17,13.96875,1983-11-09,12.40625,1.5625,10
45,up,1983-11-09,12.40625,1983-11-17,12.78125,0.375,5
46,down,1983-11-17,12.78125,1983-11-22,11.5625,1.21875,3
47,up,1983-11-22,11.5625,1983-11-29,12.34375,0.78125,4
48,down,1983-11-29,12.34375,1983-12-20,11.15625,1.1875,9
49,up,1983-12-20,11.15625,1983-12-29,13.21875,2.0625,5
50,down,1983-12-29,13.21875,1984-01-19,11.3125,1.90625,9
51,up,1984-01-19,11.3125,1984-01-25,12.25,0.9375,3
52,down,1984-01-25,12.25,1984-02-06,10.90625,1.34375,7
53,up,1984-02-06,10.90625,1984-02-28,12.46875,1.5625,10
54,down,1984-02-28,12.46875,1984-03-07,11.53125,0.9375,5
55,up,1984-03-07,11.53125,1984-03-28,13.59375,2.0625,12
56,down,1984-03-28,13.59375,1984-04-12,12.84375,0.75,7
57,up,1984-04-12,12.84375,1984-04-26,13.75,0.90625,5
58,down,1984-04-26,13.75,1984-05-31,11.625,2.125,13
59,up,1984-05-31,11.625,1984-06-11,12.6875,1.0625,4
60,down,1984-06-11,12.6875,1984-06-18,11.0,1.6875,5
61,up,1984-06-18,11.0,1984-06-25,11.625,0.625,3
62,down,1984-06-25,11.625,1984-07-09,10.46875,1.15625,8
63,up,1984-07-09,10.46875,1984-07-20,10.90625,0.4375,6
64,down,1984-07-20,10.90625,1984-07-31,9.3125,1.59375,7
65,up,1984-07-31,9.3125,1984-08-10,11.9375,2.625,8
66,down,1984-08-10,11.9375,1984-08-16,11.15625,0.78125,4
67,up,1984-08-16,11.15625,1984-08-22,12.3125,1.15625,4
68,down,1984-08-22,12.3125,1984-09-21,11.0625,1.25,12
69,up,1984-09-21,11.0625,1984-09-28,11.59375,0.53125,4
70,down,1984-09-28,11.59375,1984-10-22,9.9375,1.65625,9
71,up,1984-10-22,9.9375,1984-11-02,10.65625,0.71875,5
72,down,1984-11-02,10.65625,1984-11-28,9.4375,1.21875,11
