BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1973-02-22,0.796875,1973-02-27,0.8203129768371582,0.023437976837158203,3
2,down,1973-02-27,0.8203129768371582,1973-03-22,0.6875,0.1328129768371582,12
3,up,1973-03-22,0.6875,1973-03-29,0.75,0.0625,5
4,down,1973-03-29,0.75,1973-04-11,0.6328129768371582,0.1171870231628418,8
5,up,1973-04-11,0.6328129768371582,1973-04-19,0.6953129768371582,0.0625,5
6,down,1973-04-19,0.6953129768371582,1973-05-21,0.5078129768371582,0.1875,12
7,up,1973-05-21,0.5078129768371582,1973-05-29,0.625,0.1171870231628418,4
8,down,1973-05-29,0.625,1973-06-04,0.5390629768371582,0.0859370231628418,4
9,up,1973-06-04,0.5390629768371582,1973-06-11,0.5703129768371582,0.03125,3
10,down,1973-06-11,0.5703129768371582,1973-06-28,0.46875,0.1015629768371582,5
11,up,1973-06-28,0.46875,1973-07-26,0.65625,0.1875,10
12,down,1973-07-26,0.65625,1973-08-08,0.5625,0.09375,5
13,up,1973-08-08,0.5625,1973-08-22,0.59375,0.03125,3
14,down,1973-08-22,0.59375,1973-08-31,0.53125,0.0625,3
15,up,1973-08-31,0.53125,1973-10-11,0.6875,0.15625,15
16,down,1973-10-11,0.6875,1973-11-21,0.4375,0.25,14
17,up,1973-11-21,0.4375,1973-12-03,0.5078129768371582,0.0703129768371582,4
18,down,1973-12-03,0.5078129768371582,1973-12-14,0.359375,0.1484379768371582,7
19,up,1973-12-14,0.359375,1974-01-07,0.4921880066394806,0.1328130066394806,10
20,down,1974-01-07,0.4921880066394806,1974-02-14,0.4140630066394806,0.078125,14
21,up,1974-02-14,0.4140630066394806,1974-03-27,0.5625,0.1484369933605194,15
22,down,1974-03-27,0.5625,1974-05-01,0.515625,0.046875,3
23,up,1974-05-01,0.515625,1974-05-17,0.5546879768371582,0.0390629768371582,4
24,down,1974-05-17,0.5546879768371582,1974-06-04,0.4765630066394806,0.07812497019767761,6
25,up,1974-06-04,0.4765630066394806,1974-06-13,0.546875,0.07031199336051941,3
26,down,1974-06-13,0.546875,1974-07-12,0.421875,0.125,10
27,up,1974-07-12,0.421875,1974-08-08,0.5078129768371582,0.0859379768371582,9
28,down,1974-08-08,0.5078129768371582,1974-08-20,0.4375,0.0703129768371582,3
