BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1998-08-04,11.875,1998-08-27,12.9375,1.0625,13
2,down,1998-08-27,12.9375,1998-09-03,12.28125,0.65625,3
3,up,1998-09-03,12.28125,1998-10-07,14.65625,2.375,16
4,down,1998-10-07,14.65625,1998-10-22,12.5,2.15625,7
5,up,1998-10-22,12.5,1998-11-04,13.78125,1.28125,7
6,down,1998-11-04,13.78125,1998-12-18,12.28125,1.5,16
7,up,1998-12-18,12.28125,1999-01-05,13.0,0.71875,6
8,down,1999-01-05,13.0,1999-02-12,10.75,2.25,22
9,up,1999-02-12,10.75,1999-02-19,11.21875,0.46875,3
10,down,1999-02-19,11.21875,1999-03-04,10.15625,1.0625,6
11,up,1999-03-04,10.15625,1999-03-16,10.71875,0.5625,7
12,down,1999-03-16,10.71875,1999-04-09,9.25,1.46875,12
13,up,1999-04-09,9.25,1999-04-29,10.796875,1.546875,10
14,down,1999-04-29,10.796875,1999-05-07,10.25,0.546875,4
15,up,1999-05-07,10.25,1999-06-21,12.4375,2.1875,19
16,down,1999-06-21,12.4375,1999-08-10,10.8125,1.625,20
17,up,1999-08-10,10.8125,1999-08-30,11.59375,0.78125,9
18,down,1999-08-30,11.59375,1999-09-09,10.875,0.71875,5
19,up,1999-09-09,10.875,1999-09-15,11.28125,0.40625,3
20,down,1999-09-15,11.28125,1999-09-29,10.0,1.28125,7
21,up,1999-09-29,10.0,1999-10-04,10.875,0.875,3
22,down,1999-10-04,10.875,1999-10-21,10.0,0.875,7
23,up,1999-10-21,10.0,1999-11-02,10.4375,0.4375,3
24,down,1999-11-02,10.4375,1999-11-11,9.71875,0.71875,3
25,up,1999-11-11,9.71875,1999-11-16,10.0,0.28125,3
26,down,1999-11-16,10.0,1999-11-29,8.59375,1.40625,7
27,up,1999-11-29,8.59375,1999-12-08,9.40625,0.8125,5
28,down,1999-12-08,9.40625,2000-01-03,8.4375,0.96875,10
29,up,2000-01-03,8.4375,2000-01-07,9.25,0.8125,3
30,down,2000-01-07,9.25,2000-01-20,8.4375,0.8125,5
