BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,2002-12-27,9.859999656677246,2003-01-09,12.949999809265137,3.0900001525878906,6
2,down,2003-01-09,12.949999809265137,2003-01-23,9.300000190734863,3.6499996185302734,8
3,up,2003-01-23,9.300000190734863,2003-01-30,9.920000076293944,0.6199998855590803,3
4,down,2003-01-30,9.920000076293944,2003-02-10,7.78000020980835,2.139999866485594,7
5,up,2003-02-10,7.78000020980835,2003-02-26,9.75,1.9699997901916504,6
6,down,2003-02-26,9.75,2003-03-14,8.75,1.0,9
7,up,2003-03-14,8.75,2003-04-22,12.449999809265137,3.6999998092651367,17
8,down,2003-04-22,12.449999809265137,2003-04-30,11.579999923706056,0.8699998855590803,5
9,up,2003-04-30,11.579999923706056,2003-05-14,14.220000267028809,2.640000343322752,5
10,down,2003-05-14,14.220000267028809,2003-05-20,12.880000114440918,1.3400001525878906,4
11,up,2003-05-20,12.880000114440918,2003-05-29,15.899999618530272,3.0199995040893537,5
12,down,2003-05-29,15.899999618530272,2003-06-09,14.5,1.3999996185302717,7
13,up,2003-06-09,14.5,2003-06-17,18.0,3.5,4
14,down,2003-06-17,18.0,2003-06-24,16.59000015258789,1.4099998474121094,5
15,up,2003-06-24,16.59000015258789,2003-07-17,22.26000022888184,5.670000076293949,12
16,down,2003-07-17,22.26000022888184,2003-07-25,18.670000076293945,3.590000152587894,5
17,up,2003-07-25,18.670000076293945,2003-08-01,21.93000030517578,3.260000228881836,4
18,down,2003-08-01,21.93000030517578,2003-08-15,20.239999771118164,1.6900005340576172,8
19,up,2003-08-15,20.239999771118164,2003-09-09,25.25,5.010000228881836,15
20,down,2003-09-09,25.25,2003-09-15,23.030000686645508,2.219999313354492,3
21,up,2003-09-15,23.030000686645508,2003-10-15,31.350000381469727,8.319999694824219,16
22,down,2003-10-15,31.350000381469727,2003-10-27,20.32999992370605,11.020000457763675,7
23,up,2003-10-27,20.32999992370605,2003-10-30,25.350000381469727,5.020000457763675,3
24,down,2003-10-30,25.350000381469727,2003-11-21,18.489999771118164,6.8600006103515625,13
25,up,2003-11-21,18.489999771118164,2003-12-01,20.14999961853028,1.6599998474121165,3
26,down,2003-12-01,20.14999961853028,2003-12-17,16.700000762939453,3.4499988555908274,10
27,up,2003-12-17,16.700000762939453,2004-01-09,21.700000762939453,5.0,13
28,down,2004-01-09,21.700000762939453,2004-01-26,15.34000015258789,6.3600006103515625,7
29,up,2004-01-26,15.34000015258789,2004-02-19,18.100000381469727,2.760000228881836,13
30,down,2004-02-19,18.100000381469727,2004-03-24,14.989999771118164,3.1100006103515625,16
31,up,2004-03-24,14.989999771118164,2004-03-30,16.479999542236328,1.489999771118164,3
32,down,2004-03-30,16.479999542236328,2004-05-06,11.5,4.979999542236328,18
33,up,2004-05-06,11.5,2004-05-26,13.699999809265137,2.1999998092651367,10
34,down,2004-05-26,13.699999809265137,2004-06-02,12.15999984741211,1.5399999618530273,3
35,up,2004-06-02,12.15999984741211,2004-07-01,14.449999809265137,2.2899999618530273,12
36,down,2004-07-01,14.449999809265137,2004-08-13,10.109999656677246,4.340000152587891,15
37,up,2004-08-13,10.109999656677246,2004-09-20,14.229999542236328,4.119999885559082,15
38,down,2004-09-20,14.229999542236328,2004-09-27,12.75,1.4799995422363281,3
39,up,2004-09-27,12.75,2004-10-06,14.510000228881836,1.760000228881836,6
40,down,2004-10-06,14.510000228881836,2004-10-25,12.449999809265137,2.060000419616699,10
41,up,2004-10-25,12.449999809265137,2004-11-17,14.5,2.0500001907348633,15
42,down,2004-11-17,14.5,2004-11-22,13.5600004196167,0.9399995803833008,3
43,up,2004-11-22,13.5600004196167,2004-12-08,18.209999084472656,4.649998664855957,9
44,down,2004-12-08,18.209999084472656,2004-12-21,16.25,1.9599990844726562,6
45,up,2004-12-21,16.25,2005-01-18,18.38999938964844,2.139999389648441,11
46,down,2005-01-18,18.38999938964844,2005-01-26,16.600000381469727,1.7899990081787145,5
47,up,2005-01-26,16.600000381469727,2005-02-07,17.81999969482422,1.2199993133544922,7
48,down,2005-02-07,17.81999969482422,2005-02-10,16.959999084472656,0.8600006103515625,3
49,up,2005-02-10,16.959999084472656,2005-03-08,19.549999237060547,2.5900001525878906,12
50,down,2005-03-08,19.549999237060547,2005-03-14,18.229999542236328,1.3199996948242188,3
