BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1973-05-16,0.1796880066394806,1973-06-07,0.109375,0.07031300663948059,5
2,up,1973-06-07,0.109375,1973-10-23,0.1996529996395111,0.09027799963951111,8
3,down,1973-10-23,0.1996529996395111,1974-09-24,0.0694440007209777,0.1302089989185334,15
4,up,1974-09-24,0.0694440007209777,1975-07-15,0.1692710071802139,0.0998270064592362,18
5,down,1975-07-15,0.1692710071802139,1975-10-13,0.1197919994592666,0.04947900772094731,8
6,up,1975-10-13,0.1197919994592666,1976-02-02,0.1397570073604583,0.019965007901191698,7
7,down,1976-02-02,0.1397570073604583,1976-08-16,0.0894099995493888,0.05034700781106949,4
8,up,1976-08-16,0.0894099995493888,1977-01-21,0.1197919994592666,0.03038199990987779,4
9,down,1977-01-21,0.1197919994592666,1977-02-02,0.0998260006308555,0.01996599882841109,3
10,up,1977-02-02,0.0998260006308555,1977-05-12,0.1293399930000305,0.029513992369174985,5
11,down,1977-05-12,0.1293399930000305,1977-09-01,0.1197919994592666,0.009547993540763897,3
12,up,1977-09-01,0.1197919994592666,1977-12-15,0.1397570073604583,0.019965007901191698,5
13,down,1977-12-15,0.1397570073604583,1977-12-27,0.1293399930000305,0.010417014360427801,3
14,up,1977-12-27,0.1293399930000305,1978-05-19,0.1996529996395111,0.07031300663948062,5
15,down,1978-05-19,0.1996529996395111,1978-06-27,0.1796880066394806,0.019964993000030518,3
16,up,1978-06-27,0.1796880066394806,1978-08-18,0.2300350069999694,0.05034700036048881,5
17,down,1978-08-18,0.2300350069999694,1978-10-30,0.1493059992790222,0.08072900772094721,9
18,up,1978-10-30,0.1493059992790222,1979-01-30,0.2300350069999694,0.08072900772094721,7
19,down,1979-01-30,0.2300350069999694,1979-03-08,0.1996529996395111,0.03038200736045829,5
20,up,1979-03-08,0.1996529996395111,1979-04-30,0.25,0.05034700036048889,4
21,down,1979-04-30,0.25,1979-07-06,0.1992190033197403,0.050780996680259705,7
22,up,1979-07-06,0.1992190033197403,1979-09-18,0.25,0.050780996680259705,6
23,down,1979-09-18,0.25,1979-10-26,0.1888020038604736,0.061197996139526395,3
24,up,1979-10-26,0.1888020038604736,1979-12-27,0.25,0.061197996139526395,3
25,down,1979-12-27,0.25,1980-01-23,0.2096350044012069,0.04036499559879311,3
26,up,1980-01-23,0.2096350044012069,1980-02-11,0.2695310115814209,0.05989600718021401,3
27,down,1980-02-11,0.2695310115814209,1980-03-31,0.2096350044012069,0.05989600718021401,4
28,up,1980-03-31,0.2096350044012069,1980-09-26,0.3893229961395263,0.17968799173831942,19
29,down,1980-09-26,0.3893229961395263,1980-10-31,0.359375,0.02994799613952631,3
30,up,1980-10-31,0.359375,1980-11-19,0.4296880066394806,0.07031300663948059,4
31,down,1980-11-19,0.4296880066394806,1980-12-15,0.3697920143604278,0.05989599227905279,5
32,up,1980-12-15,0.3697920143604278,1981-01-06,0.4589839875698089,0.0891919732093811,6
33,down,1981-01-06,0.4589839875698089,1981-01-19,0.4296880066394806,0.029295980930328314,3
34,up,1981-01-19,0.4296880066394806,1981-02-05,0.5390629768371582,0.10937497019767761,4
35,down,1981-02-05,0.5390629768371582,1981-02-25,0.4589839875698089,0.0800789892673493,3
36,up,1981-02-25,0.4589839875698089,1981-04-21,0.5996090173721313,0.14062502980232244,10
37,down,1981-04-21,0.5996090173721313,1981-05-13,0.5292969942092896,0.0703120231628418,3
