BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1998-01-05,20.75,1998-01-12,17.25,3.5,4
2,up,1998-01-12,17.25,1998-02-12,27.375,10.125,14
3,down,1998-02-12,27.375,1998-03-11,24.0,3.375,9
4,up,1998-03-11,24.0,1998-03-17,25.625,1.625,3
5,down,1998-03-17,25.625,1998-03-23,21.5,4.125,3
6,up,1998-03-23,21.5,1998-04-17,31.875,10.375,13
7,down,1998-04-17,31.875,1998-04-27,29.1875,2.6875,3
8,up,1998-04-27,29.1875,1998-05-13,37.25,8.0625,5
9,down,1998-05-13,37.25,1998-05-22,33.0,4.25,3
10,up,1998-05-22,33.0,1998-06-05,36.4375,3.4375,5
11,down,1998-06-05,36.4375,1998-06-15,32.875,3.5625,4
12,up,1998-06-15,32.875,1998-07-20,48.0625,15.1875,16
13,down,1998-07-20,48.0625,1998-08-17,28.75,19.3125,15
14,up,1998-08-17,28.75,1998-08-25,31.25,2.5,6
15,down,1998-08-25,31.25,1998-09-02,18.125,13.125,4
16,up,1998-09-02,18.125,1998-09-16,21.6875,3.5625,8
17,down,1998-09-16,21.6875,1998-09-25,20.0,1.6875,3
18,up,1998-09-25,20.0,1998-10-01,23.9375,3.9375,3
19,down,1998-10-01,23.9375,1998-10-08,10.5625,13.375,5
20,up,1998-10-08,10.5625,1998-11-05,28.875,18.3125,16
21,down,1998-11-05,28.875,1998-12-08,21.125,7.75,15
22,up,1998-12-08,21.125,1998-12-31,33.75,12.625,10
23,down,1998-12-31,33.75,1999-01-13,29.125,4.625,3
24,up,1999-01-13,29.125,1999-02-01,35.5625,6.4375,9
25,down,1999-02-01,35.5625,1999-02-11,30.5,5.0625,6
26,up,1999-02-11,30.5,1999-02-25,33.875,3.375,7
27,down,1999-02-25,33.875,1999-03-18,26.125,7.75,10
28,up,1999-03-18,26.125,1999-03-30,31.3125,5.1875,4
29,down,1999-03-30,31.3125,1999-04-08,25.75,5.5625,4
30,up,1999-04-08,25.75,1999-04-20,33.25,7.5,6
31,down,1999-04-20,33.25,1999-05-04,27.75,5.5,6
32,up,1999-05-04,27.75,1999-05-11,30.625,2.875,3
33,down,1999-05-11,30.625,1999-05-20,28.25,2.375,5
34,up,1999-05-20,28.25,1999-05-28,30.625,2.375,4
35,down,1999-05-28,30.625,1999-06-14,25.125,5.5,6
36,up,1999-06-14,25.125,1999-07-23,31.0,5.875,13
37,down,1999-07-23,31.0,1999-08-20,23.4375,7.5625,12
38,up,1999-08-20,23.4375,1999-09-15,25.6875,2.25,11
39,down,1999-09-15,25.6875,1999-09-24,21.6875,4.0,5
40,up,1999-09-24,21.6875,1999-09-29,23.0,1.3125,3
41,down,1999-09-29,23.0,1999-10-19,15.25,7.75,9
42,up,1999-10-19,15.25,1999-11-02,20.125,4.875,7
43,down,1999-11-02,20.125,1999-11-23,14.3125,5.8125,10
44,up,1999-11-23,14.3125,1999-12-06,19.9375,5.625,6
45,down,1999-12-06,19.9375,1999-12-21,15.75,4.1875,7
46,up,1999-12-21,15.75,1999-12-27,18.4375,2.6875,3
47,down,1999-12-27,18.4375,2000-01-04,15.875,2.5625,5
48,up,2000-01-04,15.875,2000-01-20,22.3125,6.4375,8
49,down,2000-01-20,22.3125,2000-03-15,13.4375,8.875,28
50,up,2000-03-15,13.4375,2000-04-03,17.3125,3.875,8
51,down,2000-04-03,17.3125,2000-05-03,13.0,4.3125,16
52,up,2000-05-03,13.0,2000-05-17,15.25,2.25,6
53,down,2000-05-17,15.25,2000-05-22,13.875,1.375,3
54,up,2000-05-22,13.875,2000-06-15,19.9375,6.0625,12
55,down,2000-06-15,19.9375,2000-06-28,16.875,3.0625,8
56,up,2000-06-28,16.875,2000-07-17,19.875,3.0,10
